Symbol          Name	https://stooq.com/db/l/?g=29
02P.DE          PEARL GOLD
1COV.DE         COVESTRO
2HR.DE          H + R KGAA INH
333.DE          DECHENG TECHNOLOGY
5AB.DE          ASIAN BAMBOO INH
8GS.DE          CHINA SPEC GLASS
8S9.DE          SNOWBIRD
99SC.DE         STARAMBA
A1OS.DE         ALL FOR ONE STEEB
AAA.DE          AAA ALLG ANL VERW
AAD.DE          AMADEUS FIRE
AAH.DE          AHLERS ST
AAH3.DE         AHLERS VZO
AAQ.DE          AAP IMPLANTATE
ABA.DE          ALBA
ACWN.DE         AS CREATION TAPETEN
ACX.DE          BET AT HOME COM
ADD.DE          ADLER MODEMAERKTE
ADJ.DE          ADO PROPERTIES SA NPV
ADL.DE          ADLER REAL ESTATE
ADN1.DE         ADESSO
ADS.DE          ADIDAS
ADV.DE          ADVA OPT NETW
AEI.DE          ALLGEIER
AFX.DE          CARL ZEISS MEDITEC
AGX.DE          AGENNIX
AIR.DE          AIRBUS
AIXA.DE         AIXTRON
ALG.DE          ALBIS LEASING
ALV.DE          ALLIANZ
AM3D.DE         SLM SOLUTIONS GRP
ANO.DE          ALNO
AOF.DE          ATOSS SOFTWARE
AOX.DE          ALSTRIA OFFICE REIT
ARL.DE          AAREAL BANK
ARO.DE          ARCANDOR
ART.DE          ARTNET
ARX.DE          TDMI
ATF.DE          ALPHAFORM
AVES.DE         AVES ONE
B5A.DE          BAUER
B8F.DE          BIOFRONTERA
BAS.DE          BASF
BAYN.DE         BAYER
BC8.DE          BECHTLE
BDT.DE          BERTRANDT
BEI.DE          BEIERSDORF
BEZ.DE          BERENTZEN GRP
BIJ.DE          BIJOU BRIGITTE
BIO.DE          BIOTEST ST
BIO3.DE         BIOTEST VZ
BKS3.DE         BBS KRAFTFAHR TEC VZO
BMW.DE          BAY MOTOREN WERKE ST
BMW3.DE         BAY MOTOREN WERKE VZO
BNN.DE          BRAIN
BNR.DE          BRENNTAG
BNT1.DE         EYEMAXX R EST
BOSS.DE         HUGO BOSS
BSL.DE          BASLER
BST.DE          BASTEI LUEBBE
BSY.DE          BOEWE SYSTEC
BTBA.DE         BMP HOLDING
BTT.DE          BABCOCK BSH
BUF.DE          S + O AGRAR
BVB.DE          BORUSSIA DORTMUND
BYW.DE          BAYWA NA
BYW6.DE         BAYWA VINK NA
CAG.DE          CLERE
CAP.DE          CAPITAL STAGE
CBK.DE          COMMERZBANK
CE2.DE          CROPENERGIES
CEA.DE          FRIWO
CEV.DE          CENTROTEC SUSTAINABLE
CNWK.DE         CO DON INH
COK.DE          CANCOM
COM.DE          COMDIRECT BANK
CON.DE          CONTINENTAL
COP.DE          COMPUGROUP MED
CSH.DE          CENIT
CU1.DE          CHORUS CLEAN ENERGY
CUR.DE          CURASAN
CWC.DE          CEWE STIFT KGAA
DAI.DE          DAIMLER
DAM.DE          DATA MODUL
DB11.DE         DEUTSCHE BOERSE Z UMT
DBAN.DE         DT BETEILIG
DBK.DE          DEUTSCHE BANK
DEQ.DE          DEUTSCHE EUROSHOP
DEX.DE          DELTICOM
DEZ.DE          DEUTZ
DFTK.DE         DF DT FORFAIT
DIC.DE          DIC ASSET
DIE.DE          DIERIG HOLDING
DKA.DE          DUERKOPP ADLER
DKG.DE          DT KONSUM REIT
DLG.DE          DIALOG SEMICOND
DMRE.DE         DEMIRE DT MTS RE
DPW.DE          DEUTSCHE POST
DRE2.DE         DT REAL ESTATE
DRI.DE          DRILLISCH
DRW3.DE         DRAEGERWERK VZO
DRW8.DE         DRAEGERWERK ST A
DTD2.DE         B + S BANKSYSTEME
DTE.DE          DT TELEKOM
DUE.DE          DUERR
DVB.DE          DVB BANK
DWNI.DE         DEUTSCHE WOHNEN INH
E4C.DE          ECOTEL COMMUNICATION
E7S.DE          ACCENTRO R EST
EBK.DE          ENBW ENERGIE BAD WUE
ECK.DE          LUDW BECK A RATHAUSECK
ECX.DE          EPIGENOMICS
EIN3.DE         EINHELL GERMANY VZO
EIS.DE          EISEN U HUETTENWERKE
EKT.DE          ENERGIEKONTOR
ELB.DE          ELUMEO
ELG.DE          ELMOS SEMICONDUCTOR
ELN.DE          ELANIX BIOTECHN
EMH1.DE         PFERDEWETTEN DE
EMQ.DE          EMQTEC
EOAN.DE         E ON
ERMK.DE         DEAG DT ENTERTAINM
ESY.DE          EASY SOFTWARE
EUCA.DE         EUROMICRON
EUZ.DE          ECKERT + ZIEGLER
EV4.DE          CONSTANTIN MEDIEN
EVD.DE          CTS EVENTIM KGAA
EVK.DE          EVONIK INDUSTRIES
EVT.DE          EVOTEC
EXJ.DE          ENERXY IL
F3C.DE          SFC ENERGY
FAM1.DE         DT CANNABIS
FEV.DE          FORTEC ELEKTRO
FIE.DE          FIELMANN
FKE.DE          FEIKE
FME.DE          FRESEN MED CARE KGAA
FNG.DE          FRITZ NOLS
FNTN.DE         FREENET
FPE.DE          FUCHS PETROLUB
FPE3.DE         FUCHS PETROL VZO
FPH.DE          FRANCOTYP POSTALIA
FRA.DE          FRAPORT FFM AIRPORT
FRE.DE          FRESENIUS + CO KGAA
FRO.DE          FROEHLICH BAU
FRO3.DE         FROEHLICH BAU VZO
FRS.DE          FORIS
FVI.DE          FAIR VALUE REIT INH
G1A.DE          GEA GROUP
G24.DE          SCOUT24
G7B.DE          GWB IMMOBILIEN INH
GBF.DE          BILFINGER
GFK.DE          GFK
GFT.DE          GFT TECHNOLOGIES
GGS.DE          GIGASET
GIB.DE          GSW IMMOBILIEN
GIL.DE          DMG MORI
GKS.DE          GK SOFTWARE
GLJ.DE          GRENKE
GME.DE          GERATHERM
GMM.DE          GRAMMER
GSC1.DE         GESCO
GWI1.DE         GERRY WEBER INTERNAT
GXI.DE          GERRESHEIMER
H2FA.DE         HELIOCENTRIS EN SOL
H9Y.DE          HANSEYACHTS
HAB.DE          HAMBORNER REIT
HAW.DE          HAWESKO HOLDING SVG
HBD1.DE         FD GROUP
HBH.DE          HORNBACH HOLD ST
HBM.DE          HORNBACH BAUMARKT
HDD.DE          HEIDELBERG DRUCKMA
HEI.DE          HEIDELBERGCEMENT
HEN.DE          HENKEL + CO KGAA ST
HEN3.DE         HENKEL + CO KGAA VZO
HETA.DE         KHD HUMB WEDAG IND
HEZ.DE          PELIKAN
HHFA.DE         HAMBURG HAFEN U LOG A SP
HLAG.DE         HAPAG LLOYD
HLE.DE          HELLA KGAA HUECK + CO
HNL.DE          DR HOENLE
HNR1.DE         HANNOVER RUECK
HOC.DE          HOLIDAYCHECK GRP
HOT.DE          HOCHTIEF
HOZ.DE          PHILIPP HOLZMANN
HRPK.DE         7C SOLARPARKEN
HUL.DE          BHS TABLETOP
HWSA.DE         METRIC MOB SOL
HYQ.DE          HYPOPORT
I7N.DE          ITN NANOVATION
ICP.DE          PANAMAX
IFA.DE          IFA HOTEL U TOURISTI
IFS.DE          INFAS
IFX.DE          INFINEON TECH
IGY.DE          INNOGY INH
ILM1.DE         MEDIOS
INH.DE          INDUS HOLDING
IPO.DE          HEIDEL BETEIL
IS7.DE          INTICA SYSTEMS
ISH2.DE         INTERSHOP COMM
ISR.DE          ISRA VISION
ITN.DE          INTERTAINMENT
IUR.DE          KAP BETEILIGUNGS
IVU.DE          IVU TRAFFIC TECHN
IVX.DE          INVISION
IXX.DE          INIT INNOVATION
JEN.DE          JENOPTIK
JJO.DE          JJ AUTO
JUN3.DE         JUNGHEINRICH ON VZO
K1R.DE          KROMI LOGISTIK INH
KA8.DE          KLASSIK RADIO
KBC.DE          KONTRON
KCO.DE          KLOECKNER + CO
KGX.DE          KION GROUP
KPH.DE          KAMPA
KRN.DE          KRONES
KSB.DE          KSB ON ST
KSB3.DE         KSB ON VZO
KSC.DE          KPS
KU2.DE          KUKA
KWG.DE          KHD HUMBOLDT WEDAG
KWS.DE          KWS SAAT
LEG.DE          LEG IMMOBILIEN
LEI.DE          LEIFHEIT
