Date,Open,High,Low,Close,Volume,OpenInt
20101222,7.5,7.5,7.5,7.5,1200,0
20101223,7.6,8,7.6,8,5000,0
20101227,8.2,8.5,8.2,8.5,4000,0
20101228,9,9,9,9,2000,0
20101230,9,9,9,9,280,0
20110104,9,9.5,9,9.5,3000,0
20110110,10,10,10,10,2522,0
20110111,9.55,11,9.55,11,4550,0
20110113,12,12,12,12,1400,0
20110114,12,12,12,12,1665,0
20110117,11,13,11,11.5,1100,0
20110118,11.5,11.5,11.5,11.5,1500,0
20110120,11.5,11.5,11.5,11.5,2130,0
20110124,11.5,11.5,11.5,11.5,1300,0
20110127,12,12,12,12,149,0
20110128,12,12,12,12,1600,0
20110131,12,12,11.5,12,4097,0
20110201,11.55,11.55,11.55,11.55,1670,0
20110202,11.55,11.55,11.55,11.55,131,0
20110203,12,12,12,12,2250,0
20110207,12,12,11.9,11.9,15525,0
20110208,12,12,12,12,2400,0
20110211,12.5,12.5,12.5,12.5,156,0
20110214,12.8,13,12.8,13,156,0
20110215,13.1,13.1,13,13,1644,0
20110221,13,13,12.5,12.5,1773,0
20110222,12,12,12,12,1330,0
20110308,12.1,12.1,12.1,12.1,8300,0
20110316,12,12,12,12,1200,0
20110322,11.25,11.25,11,11,1720,0
20110323,11,11,11,11,2000,0
20110324,12,12,12,12,2000,0
20110325,12,12,12,12,2000,0
20110401,12.2,12.2,12.2,12.2,1584,0
20110408,12.3,12.5,12.3,12.3,7116,0
20110412,12.3,12.3,12,12,6800,0
20110413,12,12,12,12,10000,0
20110414,12,12,12,12,1000,0
20110415,11.9,11.9,11.9,11.9,4000,0
20110418,11.5,12.5,11.5,12.5,5000,0
20110505,12.25,12.25,12.25,12.25,13200,0
20110512,12.2,12.5,12.2,12.5,2000,0
20110517,12.2,12.5,12.2,12.5,11000,0
20110519,12.2,12.5,12.2,12.5,500,0
20110520,12.2,13.1,12.2,12.3,3400,0
20110525,12.295,12.295,12.295,12.295,2,0
20110530,12.2,12.205,12.2,12.205,10,0
20110531,12.2,12.2,12.2,12.2,500,0
20110601,12,12,12,12,1100,0
20110608,11.9,12.25,11.9,12.2,35108,0
20110610,12.2,12.2,12.2,12.2,892,0
20110613,12,12,12,12,100,0
20110614,11.9,12.005,11.9,12.005,8,0
20110620,11.5,11.9,11.5,11.9,380,0
20110621,11.5,12.05,11.5,12,4000,0
20110623,11.5,11.9,11.5,11.9,620,0
20110624,11.5,12.14,11.5,12.14,15012,0
20110628,12.15,12.15,12,12.15,3050,0
20110629,11.8,11.8,11.8,11.8,2000,0
20110630,11.5,12.1,11.5,12,23000,0
20110701,12,12.2,12,12.2,2500,0
20110704,12.15,12.15,12.15,12.15,50,0
20110708,11.5,12.195,11.5,11.9,1400,0
20110711,11.7,11.7,11.7,11.7,80,0
20110712,11.3,11.5,10,11.5,470,0
20110713,11,11.75,11,11.75,450,0
20110715,11.7,12.15,11.7,12.15,230,0
20110719,11.5,12.145,11.5,12.145,6,0
20110729,12.15,12.15,12.15,12.15,100,0
20110801,11.7,12.145,11.7,12.145,25,0
20110802,11.7,11.7,11.7,11.7,86,0
20110804,11.6,12,11.6,11.7,473,0
20110805,11.6,11.6,11.6,11.6,250,0
20110808,11.8,12.5,11.8,12,1039,0
20110809,11.9,12.2,11.9,12.2,368,0
20110816,12.1,12.5,12.1,12.5,502,0
20110817,12.4,12.7,12.4,12.4,670,0
20110818,12.2,12.85,12.2,12.65,838,0
20110822,12.1,12.6,12,12,714,0
20110823,11.9,12.5,11.9,12.4,156,0
20110824,12.2,12.7,12,12.2,40200,0
20110826,12,12.2,12,12.2,40,0
20110829,12,12.85,12,12.5,2310,0
20110830,12.2,12.7,11.5,12.3,20209,0
20110831,12,12.6,12,12.3,1921,0
20110901,12.1,12.5,11.95,12,8848,0
20110902,12,12.2,11.8,12,475,0
20110905,11.75,12.5,11.75,12.5,9800,0
20110906,12,12.055,11.88,12,24150,0
20110907,11.8,12.55,11.8,12.55,472,0
20110908,12.5,12.6,12.5,12.5,180,0
20110909,12.7,12.745,11.2,11.985,42263,0
20110912,11.8,12.6,11.8,12.25,188418,0
20110913,12.2,12.2,11.98,11.98,185230,0
20110914,11.95,12.4,11.95,11.955,202084,0
20110915,12,12.5,12,12.5,131159,0
