Date,Open,High,Low,Close,Volume,OpenInt
20151007,26.407,26.828,25.525,25.868,1588732,0
20151008,25.814,25.951,25.211,25.456,709182,0
20151009,25.54,25.868,25.334,25.672,365345,0
20151012,25.892,26.152,25.309,25.476,287699,0
20151013,25.456,25.594,24.741,25.182,166779,0
20151014,25.074,25.388,24.56,24.736,291031,0
20151015,24.623,24.986,24.506,24.692,234780,0
20151016,24.829,25.109,24.496,24.692,134786,0
20151019,24.81,25.231,24.006,24.006,255137,0
20151020,23.987,24.251,23.859,24.251,82055,0
20151021,24.506,25.064,24.055,24.594,137195,0
20151022,24.692,25.486,24.496,25.476,146123,0
20151023,25.682,26.946,25.638,26.701,481475,0
20151026,26.789,26.936,26.466,26.564,166405,0
20151027,27.23,27.411,26.284,26.519,400765,0
20151028,26.456,27.632,26.132,27.426,351118,0
20151029,27.921,27.965,26.99,27.46,308853,0
20151030,27.725,27.916,27.171,27.431,123892,0
20151102,27.313,28.112,26.789,27.534,236324,0
20151103,27.926,28.092,27.578,27.632,205634,0
20151104,27.828,27.828,27.073,27.416,219779,0
20151105,27.45,27.779,26.72,27.578,257989,0
20151106,27.788,27.823,27.122,27.411,66655,0
20151109,27.436,27.534,26.96,27.294,71340,0
20151110,27.24,27.612,27.147,27.612,104247,0
20151111,27.73,27.828,27.47,27.617,28490,0
20151112,29.993,29.993,28.171,29.292,747236,0
20151113,29.591,30.885,28.729,30.375,709771,0
20151116,30.669,31.453,29.768,30.571,464961,0
20151117,30.997,31.247,29.738,29.856,330941,0
20151118,29.988,30.826,29.297,30.375,196968,0
20151119,30.875,31.242,30.62,31.061,346015,0
20151120,31.389,32.384,30.669,31.473,326023,0
20151123,32.237,32.374,31.174,31.355,253441,0
20151124,31.468,31.835,31.296,31.453,239503,0
20151125,31.718,33.32,31.419,32.629,374515,0
20151126,32.776,34.784,32.487,34.128,467475,0
20151127,34.099,34.931,33.315,33.903,276446,0
20151130,34.255,34.456,32.869,34.035,332721,0
20151201,34.265,34.265,33.364,33.628,184071,0
20151202,33.903,34.833,33.756,34.197,242814,0
20151203,34.412,34.677,33.217,33.217,214547,0
20151204,33.501,33.966,32.839,33.315,265946,0
20151207,34.148,34.569,33.682,33.707,181288,0
20151208,33.824,34.295,33.217,33.315,181808,0
20151209,33.334,33.594,32.629,33.315,283938,0
20151210,33.315,33.374,32.884,33.021,199244,0
20151211,33.315,33.422,32.884,32.923,309436,0
20151214,33.182,33.315,31.404,32.32,301922,0
20151215,32.702,33.305,32.555,32.839,223716,0
20151216,33.04,33.315,32.727,33.055,140035,0
