Date,Open,High,Low,Close,Volume,OpenInt
20160628,3.6,3.8,3.199,3.249,21267,0
20160629,3.249,3.4,3.249,3.29,3499,0
20160630,3.4,3.4,2.87,3.1,5340,0
20160701,2.8,3.38,2.8,3.2,2544,0
20160704,3.1,3.249,2.92,3.1,1537,0
20160705,3,3.25,2.99,3.25,1070,0
20160706,3.15,3.15,2.99,2.999,6062,0
20160707,3.098,3.1,3.098,3.1,2000,0
20160711,3.189,3.189,3.189,3.189,100,0
20160712,3.15,3.15,3.15,3.15,500,0
20160713,3,3,2.92,2.92,2100,0
20160714,2.9,2.9,2.8,2.801,1176,0
20160715,2.802,2.802,2.802,2.802,100,0
20160718,2.75,2.75,2.75,2.75,1,0
20160720,2.75,2.799,2.7,2.7,399,0
20160722,2.46,2.461,2.201,2.461,2300,0
20160725,2.4,2.495,2.35,2.4,2800,0
20160726,2.474,2.497,2.474,2.497,1020,0
20160727,2.2,2.2,2.187,2.187,1150,0
20160729,2.33,2.33,2.33,2.33,500,0
20160801,2.35,2.35,2.35,2.35,250,0
20160802,2.25,2.25,1.82,2,4925,0
20160803,1.899,1.899,1.894,1.897,2525,0
20160804,1.855,1.897,1.855,1.897,1010,0
20160808,1.895,1.895,1.743,1.743,660,0
20160809,1.7,1.749,1.695,1.749,3060,0
20160810,1.619,1.619,1.5,1.599,340,0
20160811,1.599,1.599,1.5,1.5,551,0
20160812,1.628,1.648,1.5,1.5,4292,0
20160815,1.473,1.473,1.473,1.473,1565,0
20160816,1.605,1.605,1.605,1.605,270,0
20160817,1.604,1.604,1.604,1.604,100,0
20160818,1.604,1.604,1.604,1.604,100,0
20160819,1.604,1.604,1.604,1.604,800,0
20160822,1.605,1.605,1.58,1.58,1210,0
20160823,1.605,1.605,1.605,1.605,200,0
20160824,1.605,1.65,1.605,1.65,1450,0
20160825,1.682,1.682,1.682,1.682,200,0
20160826,1.681,1.681,1.53,1.53,400,0
20160829,1.5,1.5,1.5,1.5,200,0
20160830,1.539,1.781,1.52,1.781,1195,0
20160831,1.803,2.174,1.803,2.174,3555,0
20160901,2.15,2.15,2.149,2.149,290,0
20160902,2.149,2.149,2.149,2.149,170,0
20160905,2.149,2.25,2.149,2.216,2288,0
20160906,2.364,2.419,2.364,2.419,795,0
20160907,2.42,2.474,2.42,2.474,140,0
20160908,2.399,2.475,2.399,2.475,489,0
20160909,2.52,2.52,2.52,2.52,80,0
20160913,2.585,2.585,2.42,2.42,889,0
20160914,2.584,2.584,2.43,2.43,489,0
20160915,2.4,2.4,2.35,2.387,3150,0
20160916,2.475,2.475,2.475,2.475,50,0
20160921,2.5,2.5,2.5,2.5,390,0
20160922,2.53,3.4,2.53,3.355,5750,0
20160923,3.398,3.5,3.398,3.499,3832,0
20160926,3.52,3.52,2.7,3,9451,0
20160927,3,3,2.6,3,5494,0
20160928,2.7,2.744,2.679,2.679,3245,0
20160929,2.6,2.75,2.5,2.75,4837,0
20160930,2.701,2.701,2.6,2.6,900,0
20161004,2.6,2.6,2.55,2.584,2250,0
20161005,2.352,2.584,2.352,2.584,300,0
20161007,2.455,2.455,2.455,2.455,300,0
20161010,2.65,2.65,2.65,2.65,100,0
20161017,2.551,2.551,2.551,2.551,100,0
20161018,2.447,2.447,2.447,2.447,400,0
20161019,2.613,2.613,2.613,2.613,100,0
20161020,2.581,2.804,2.58,2.8,6201,0
20161021,2.6,2.6,2.6,2.6,820,0
20161024,2.6,2.6,2.6,2.6,2400,0
20161025,2.729,2.729,2.729,2.729,828,0
20161026,2.499,2.499,2.499,2.499,449,0
20161031,2.43,2.43,2.35,2.35,3000,0
20161101,2.348,2.348,2.348,2.348,275,0
20161102,2.348,2.348,2.348,2.348,212,0
20161103,2.28,2.409,2.28,2.409,2850,0
20161104,2.607,2.607,2.607,2.607,800,0
20161109,2.585,2.728,2.585,2.728,466,0
20161110,2.75,2.8,2.55,2.8,800,0
20161114,2.82,2.84,2.82,2.84,1000,0
20161116,2.809,2.809,2.809,2.809,100,0
20161117,2.75,2.75,2.537,2.537,210,0
20161118,2.716,2.716,2.5,2.599,450,0
20161121,2.5,2.5,2.439,2.439,333,0
20161123,2.403,2.403,2.403,2.403,200,0
20161124,2.38,2.606,2.38,2.606,200,0
20161130,2.39,2.39,2.35,2.35,1450,0
20161202,2.507,2.507,2.507,2.507,100,0
20161207,2.27,2.27,2.27,2.27,120,0
20161208,2.43,2.65,2.43,2.43,4533,0
20161209,2.35,2.439,2.35,2.439,200,0
20161213,2.3,2.3,2.3,2.3,100,0
20161214,2.2,2.2,2.199,2.199,369,0
20161215,2.119,2.119,2.119,2.119,200,0
20161216,2.2,2.2,2.2,2.2,40,0
20161219,2.1,2.1,2.1,2.1,600,0
20161220,2.15,2.15,2.15,2.15,2000,0
20161221,2.188,2.2,2.188,2.19,9500,0
20161227,2.188,2.188,2.188,2.188,250,0
20161228,2.15,2.2,2,2.05,3873,0
20161229,2.05,2.196,2.05,2.196,1700,0
20170102,2.2,2.2,2.2,2.2,500,0
20170103,2.25,2.25,2.161,2.161,400,0
20170104,2.299,2.299,2.15,2.15,2000,0
20170105,2.19,2.2,2.189,2.2,10752,0
20170109,2.3,2.3,2.3,2.3,5000,0
20170110,2.33,2.33,2.33,2.33,50,0
