Date,Open,High,Low,Close,Volume,OpenInt
20090406,5.85,6.49,5.85,6.34,18347,0
20090407,6.22,6.5,5.95,6.38,6535,0
20090408,6.48,6.61,6.12,6.37,4180,0
20090409,6.43,6.66,6.33,6.33,5041,0
20090414,6.63,6.93,6.4,6.6,13632,0
20090415,6.6,6.95,6.5,6.71,18599,0
20090416,6.5,6.95,6.5,6.8,9163,0
20090417,6.8,7.81,6.8,7.56,52156,0
20090420,7.59,8,7.28,7.31,26352,0
20090421,7.5,7.96,7.5,7.88,16580,0
20090422,7.9,7.95,7.72,7.94,17762,0
20090423,7.94,8.09,7.81,8.09,14573,0
20090424,7.93,8.79,7.93,8.51,27183,0
20090427,8.7,8.7,7.95,8.4,31311,0
20090428,8.4,8.4,8.03,8.22,14475,0
20090429,8.28,8.31,8.1,8.16,14745,0
20090430,8.16,8.63,8.11,8.63,22239,0
20090504,8.8,8.8,8.4,8.54,16038,0
20090505,8.54,8.67,8.18,8.45,36910,0
20090506,8.45,8.58,8.35,8.5,10761,0
20090507,8.51,8.51,8.35,8.45,24948,0
20090508,8.4,8.5,8.17,8.38,15179,0
20090511,8.38,8.49,8.02,8.1,19432,0
20090512,8.05,8.24,8.03,8.23,7557,0
20090513,8.1,8.55,8.1,8.2,21805,0
20090514,8.21,9.23,8.21,9.19,71635,0
20090515,9.19,9.36,9.1,9.2,15820,0
20090518,9.12,9.39,9.1,9.2,16599,0
20090519,9.2,9.67,9.17,9.45,25298,0
20090520,9.45,10.22,9.45,10.1,15952,0
20090521,10.1,10.62,9.8,10.31,29290,0
20090522,10.34,11.28,10.11,10.75,32615,0
20090525,10.75,10.93,9.52,10.33,61348,0
20090526,10.05,10.4,10.05,10.4,13971,0
20090527,10.28,11.09,10.28,10.83,26922,0
20090528,10.83,11.77,10.74,11.25,36131,0
20090529,11.19,11.69,11.07,11.65,32517,0
20090601,11.8,11.8,11.34,11.55,7021,0
20090602,11.55,11.9,11.45,11.53,15433,0
20090603,11.53,11.7,11.36,11.45,13828,0
20090604,11.45,11.74,11.36,11.38,12693,0
20090605,11.38,11.64,10.25,10.75,32369,0
20090608,10.75,11,10.4,10.75,28850,0
20090609,10.75,11.2,10.62,10.74,12266,0
20090610,10.65,10.97,10.65,10.94,7209,0
20090611,10.94,11,10.65,10.76,4609,0
20090612,10.7,10.9,10.64,10.65,14840,0
20090615,10.7,10.84,10.62,10.84,14797,0
20090616,10.84,10.84,10.6,10.66,10662,0
20090617,10.66,10.8,9.3,9.74,43817,0
20090618,9.74,10.18,9.43,9.6,26209,0
20090619,9.6,10.73,9.57,10.73,43467,0
20090622,10.8,10.8,10.21,10.42,14912,0
20090623,10.42,10.42,9.8,10,15562,0
20090624,9.91,10.29,9.9,10.29,9575,0
20090625,10.29,10.35,9.99,10.28,14883,0
20090626,10.35,10.35,10.07,10.19,4116,0
20090629,10.2,10.2,10,10.2,8425,0
20090630,10.19,11.3,10.19,10.73,61288,0
20090701,10.83,11.43,10.7,11.01,35820,0
20090702,11.01,11.34,10.73,11.05,10683,0
20090703,11.05,11.22,10.55,10.6,10032,0
20090706,10.6,11,10.6,10.9,15559,0
20090707,10.85,11,10.74,10.74,11967,0
20090708,10.74,11,10.53,10.6,5935,0
20090709,10.8,10.95,10.62,10.68,16441,0
20090710,10.9,10.95,10.52,10.6,9443,0
20090713,10.67,10.79,10.46,10.79,8642,0
20090714,10.62,10.95,10.6,10.92,12564,0
20090715,11,11,10.74,10.76,19622,0
20090716,10.97,11.39,10.8,11.1,18371,0
20090717,11,11.25,10.78,10.78,9113,0
20090720,11,11.8,10.51,10.6,11748,0
20090721,10.79,10.85,10.51,10.6,22322,0
20090722,10.6,11.17,10.5,10.99,24146,0
20090723,10.99,11.5,10.79,11.15,19080,0
20090724,11.15,11.2,10.86,11,32433,0
20090727,11,11.2,10.8,10.8,22981,0
20090728,10.95,11,10.43,10.43,12067,0
20090729,10.43,10.88,10.43,10.75,8892,0
20090730,10.75,11.05,10.7,10.9,16374,0
20090731,11.02,11.02,10.71,10.71,11349,0
20090803,10.84,11,10.75,11,26760,0
20090804,10.97,11.1,10.85,10.92,8611,0
20090805,10.87,10.95,10.8,10.85,15891,0
20090806,10.85,10.98,10.72,10.84,14095,0
20090807,10.84,11,10.6,11,29858,0
20090810,10.79,13.3,10.79,12.89,124533,0
20090811,12.3,14.35,12.3,13.72,88032,0
20090812,13.7,13.7,12.75,13.39,36882,0
20090813,13.39,14.9,13.39,14.5,74054,0
20090814,15,15.18,13.71,14.5,68571,0
20090817,14.49,14.65,13.82,14.05,25470,0
20090818,14.05,14.29,13.8,14.25,23824,0
20090819,14.25,14.25,13.8,13.92,36717,0
20090820,13.98,14.83,13.8,14.72,69533,0
20090821,14.71,15.64,14.65,15.34,33370,0
20090824,15.34,15.89,15,15.76,32507,0
20090825,15.87,15.87,14.9,15.42,43247,0
20090826,15.4,15.85,15,15.85,39716,0
20090827,15.8,16.47,15.6,16.3,78832,0
20090828,16.3,16.65,16.06,16.38,50399,0
20090831,16.3,17.6,16.3,17.25,66047,0
20090901,17.52,17.52,15.66,16,71978,0
20090902,16.25,16.25,14.5,14.93,97513,0
20090903,15,16.49,15,16.2,57909,0
20090904,16.2,16.91,16.2,16.85,52579,0
20090907,16.9,16.98,16.6,16.84,35869,0
20090908,16.97,18.06,16.85,17.85,53017,0
20090909,17.99,18,17.6,17.85,31593,0
20090910,17.89,18.11,16.87,17.45,46378,0
20090911,17.57,17.98,16.53,17.78,65620,0
20090914,17.88,17.95,17.33,17.78,19221,0
20090915,17.7,17.92,17.52,17.73,23971,0
20090916,17.83,19,17.69,18.88,70931,0
20090917,18.99,19.1,18.45,19.05,35281,0
20090918,19.08,19.08,18.08,18.79,25617,0
20090921,18.8,18.8,18.25,18.3,27353,0
20090922,18.51,18.8,18.18,18.7,28813,0
20090923,18.74,18.9,18.55,18.78,19099,0
20090924,19.17,19.17,18.62,18.88,49267,0
20090925,19.27,19.5,18.81,19.33,41324,0
20090928,19.53,19.53,17.5,18.72,58630,0
20090929,19.09,19.09,18.11,18.35,19774,0
20090930,18.62,18.84,17.8,18.7,19723,0
20091001,18.93,18.93,17.85,17.98,11057,0
20091002,17.58,18.18,17.56,17.71,34593,0
20091005,18.06,18.71,17.61,18.6,32567,0
20091006,18.87,19.41,18.75,19.25,38196,0
20091007,19.43,19.48,18.98,19.1,46840,0
20091008,19.4,19.4,19.05,19.2,47723,0
20091009,19.38,19.38,18.28,19.13,24711,0
20091012,19.35,19.49,18.76,19.34,40328,0
20091013,19.14,19.45,19.11,19.4,17627,0
20091014,19.3,19.3,19.06,19.1,10624,0
20091015,19.47,19.47,18.78,19.35,71593,0
20091016,19.68,21.7,19.25,20.8,141888,0
20091019,21.11,21.85,20.5,21.7,65133,0
20091020,22.02,24,21.8,22.8,113154,0
20091021,23.29,23.65,22.5,22.75,71545,0
20091022,22.49,22.49,20.03,20.55,239904,0
20091023,21.5,21.5,20.43,20.98,109278,0
20091026,21.29,21.38,20.4,20.45,54863,0
20091027,20.73,21,19.82,20.13,57009,0
20091028,20.5,20.5,18.4,18.6,102886,0
20091029,18.26,18.99,17.5,18.87,90564,0
20091030,19.17,19.59,18.71,18.88,45166,0
20091102,18.98,20.1,18.98,19.93,31853,0
20091103,20.1,20.31,19.58,20.23,25660,0
20091104,20.37,21.5,19.95,21,31908,0
20091105,21.32,21.32,20.55,20.96,28413,0
20091106,21.1,22.88,20.88,22,69917,0
20091109,22.2,22.5,21.66,21.93,38449,0
20091110,21.6,22.1,20.45,20.9,35453,0
20091111,21.43,22.01,20.73,21.75,27388,0
20091112,21.42,22,21.14,21.38,25930,0
20091113,21.17,22.6,21.17,22.46,24343,0
20091116,22.51,23,22.23,22.71,60196,0
20091117,22.59,22.9,22.3,22.63,12172,0
20091118,22.21,22.92,22.1,22.2,23720,0
