Date,Open,High,Low,Close,Volume,OpenInt
20110701,9,9,7.55,7.85,613362,0
20110704,8,8,7.55,7.6,55240,0
20110705,7.3,7.52,7.02,7.29,24702,0
20110706,7.385,7.57,7.18,7.35,10060,0
20110707,7.4,7.5,7.31,7.35,1092,0
20110708,7.35,7.479,6.7,6.95,20307,0
20110711,6.6,6.97,6.5,6.71,8834,0
20110712,6.7,6.972,6.7,6.8,3894,0
20110713,6.72,6.99,6.661,6.84,9427,0
20110714,6.82,7.05,6.66,6.8,6067,0
20110715,6.58,6.795,6.52,6.65,10551,0
20110718,6.5,6.61,6.089,6.12,3550,0
20110719,6.06,6.3,6.06,6.29,8764,0
20110720,6.22,6.39,6.22,6.301,753,0
20110721,6.43,6.548,6.28,6.3,209,0
20110722,6.45,6.45,6.135,6.341,10040,0
20110725,6.15,6.4,6.1,6.15,334,0
20110726,6.15,7.5,6.11,7.15,11944,0
20110727,7.05,7.59,6.861,7.32,7696,0
20110728,7.23,7.55,7.23,7.5,976,0
20110729,7.3,7.55,7.246,7.3,1348,0
20110801,7.3,7.3,6.8,6.8,1560,0
20110802,6.89,7.179,5.1,6.3,6687,0
20110803,5.8,6.196,5.6,5.895,7886,0
20110804,5.75,6,5.7,5.8,10596,0
20110805,5.383,5.7,4.7,5.7,5576,0
20110808,5.101,6.149,5.101,5.8,4910,0
20110809,5.75,6.01,5.501,5.52,2783,0
20110810,5.8,6.2,5.501,5.95,1224,0
20110811,5.8,6.15,5.7,6,1003,0
20110812,6,6.175,6,6,1825,0
20110815,6.1,6.17,5.61,5.85,1652,0
20110816,5.89,6.1,5.75,5.75,111,0
20110817,5.8,5.899,5.75,5.75,52,0
20110819,5.6,5.6,5.5,5.6,1100,0
20110822,5.6,5.718,5.511,5.615,1550,0
20110823,5.71,5.828,5.6,5.6,5705,0
20110824,5.51,5.709,5.51,5.605,5163,0
20110825,5.6,5.71,5.59,5.6,528,0
20110826,5.6,5.75,5.585,5.75,26,0
20110829,5.7,5.926,5.6,5.9,9439,0
20110830,5.71,5.899,5.61,5.68,7364,0
20110831,5.57,5.68,5.502,5.594,1573,0
20110901,5.45,6.55,5.45,6.55,12580,0
20110902,6.3,6.448,6.01,6.1,10347,0
20110905,6.08,6.1,5.96,6.1,1127,0
20110906,6.08,6.101,5.95,6.039,3475,0
20110907,6.08,6.1,6,6,263,0
20110908,6.08,6.151,6,6.1,3958,0
20110909,6,6.1,6,6.1,1908,0
20110912,6,6.01,5.8,5.8,1310,0
20110913,5.9,6.1,5.8,6.1,3309,0
20110914,6.25,6.25,5.8,6.1,56,0
20110915,6,6.62,5.8,6.62,6367,0
20110916,6.25,7.79,6.2,7.79,13412,0
20110919,7.1,7.65,7,7.53,3824,0
20110920,7.55,7.59,7,7.59,335,0
20110921,7.5,7.5,7.418,7.46,1091,0
20110922,7.25,7.65,7.25,7.5,8827,0
20110923,7.1,7.261,7.06,7.06,2015,0
20110926,6.98,7.15,6.98,7.079,1099,0
20110927,7,7.236,6.76,7.164,1774,0
20110928,7.7,7.7,7.004,7.35,5036,0
20110929,7.1,7.35,7.08,7.35,1128,0
20110930,7.1,7.1,6.92,6.92,1130,0
20111003,6.9,7,6.612,6.899,126,0
20111004,6.65,6.87,6.62,6.87,27,0
20111005,6.65,6.9,6.65,6.9,6,0
20111006,6.65,6.7,6.65,6.7,200,0
20111007,6.65,6.9,6.564,6.9,1604,0
20111010,6.55,6.681,6.55,6.65,200,0
20111011,6.65,6.65,6.5,6.65,126,0
20111013,6.65,6.65,6.3,6.3,700,0
20111014,6.3,6.6,6.3,6.6,731,0
20111017,6.5,6.55,6.5,6.503,400,0
20111018,6.4,6.55,6.4,6.5,14,0
20111019,6.45,6.53,6.45,6.45,478,0
20111020,6.45,6.511,6.45,6.45,300,0
20111021,6.35,6.511,6.35,6.5,1901,0
20111024,6.4,6.437,6.363,6.363,361,0
20111025,6.35,6.646,6.263,6.4,2557,0
20111026,6.4,6.62,6.4,6.62,2091,0
20111027,6.3,6.395,6.2,6.25,2508,0
20111028,6.15,6.25,6.15,6.151,100,0
20111031,6.15,6.25,6,6.2,23240,0
20111103,5.985,6.25,5.985,6.2,1155,0
