Date,Open,High,Low,Close,Volume,OpenInt
20000114,13.927,14.196,13.657,13.747,16250,0
20000117,13.928,14.557,13.569,14.017,79348,0
20000118,14.246,14.292,13.033,13.302,34378,0
20000119,13.305,13.305,11.687,13.08,92104,0
20000120,13.214,13.474,12.944,13.448,31149,0
20000121,13.124,15.551,13.124,15.236,237740,0
20000124,17.972,17.972,16.354,17.082,179055,0
20000125,16.18,16.72,15.911,16.271,60629,0
20000126,16.4,17.613,16.4,17.343,43845,0
20000127,16.893,18.152,16.804,17.972,65214,0
20000128,17.971,20.263,17.432,20.128,274883,0
20000131,18.321,18.329,16.802,16.802,72899,0
20000201,17.746,18.177,16.713,17.063,45630,0
20000202,17.53,18.204,17.53,18.204,53618,0
20000203,18.698,19.326,18.383,18.832,80319,0
20000204,19.057,19.057,18.068,18.068,41938,0
20000207,17.976,18.695,17.437,17.769,33379,0
20000208,17.975,18.289,16.717,16.986,43172,0
20000209,17.976,17.976,16.538,16.628,24143,0
20000210,16.627,16.663,15.729,16.357,23143,0
20000211,16.402,16.447,15.368,15.458,18804,0
20000214,15.283,15.731,14.653,15.642,23249,0
20000215,15.732,16.938,15.598,15.913,36261,0
20000216,16.176,17.344,15.817,16.85,41282,0
20000217,17.171,17.171,16.182,16.551,16684,0
20000218,17.304,17.304,16.189,16.271,75201,0
20000221,16.087,16.087,14.738,15.323,33603,0
20000222,15.109,15.28,14.785,14.83,14130,0
20000223,14.829,16.176,14.829,15.961,26261,0
20000224,15.733,16.892,15.105,15.41,19921,0
20000225,15.724,15.724,15.095,15.275,16584,0
20000228,15.102,15.461,14.022,14.472,29147,0
20000229,14.735,14.735,14.106,14.376,10796,0
20000301,14.626,14.626,13.125,13.844,25696,0
20000302,13.841,13.841,12.591,13.032,17134,0
20000303,13.036,13.576,12.633,13.486,38596,0
20000306,13.666,14.025,13.127,13.486,14014,0
20000307,13.081,13.485,13.036,13.476,16239,0
20000308,13.029,13.478,12.625,12.742,25596,0
20000309,12.626,13.029,12.356,12.49,52192,0
20000310,12.756,13.475,12.577,12.945,29924,0
20000313,12.989,12.989,12.315,12.809,24808,0
20000314,12.767,13.486,12.542,13.486,45936,0
20000315,13.029,13.829,12.85,13.119,39175,0
20000316,12.849,13.468,12.849,12.849,13801,0
20000317,13.485,13.62,13.035,13.216,25250,0
20000320,13.477,16.083,13.208,15.275,62659,0
20000321,15.458,15.729,13.58,13.931,41278,0
20000322,14.107,14.376,13.657,13.747,16584,0
20000323,13.975,14.11,13.391,13.66,17247,0
20000324,13.885,13.885,13.48,13.66,3783,0
20000327,13.838,13.883,13.389,13.883,11908,0
20000328,13.794,14.017,13.658,14.017,8569,0
20000329,13.666,13.666,12.587,13.486,32255,0
20000330,13.125,13.125,12.774,12.945,10012,0
20000331,12.583,13.302,12.404,13.302,34268,0
20000403,13.301,13.795,13.032,13.032,11127,0
20000404,12.758,13.027,12.579,12.849,10351,0
20000405,12.677,13.036,12.228,12.587,49384,0
20000406,12.584,12.674,12.135,12.674,14908,0
20000407,12.676,12.676,11.866,12.181,13571,0
20000410,12.401,12.58,12.131,12.49,8791,0
20000411,12.228,12.902,11.688,12.587,22579,0
20000412,12.587,12.722,12.228,12.587,18018,0
20000413,12.268,12.394,12.088,12.394,8011,0
20000414,12.132,12.437,11.862,11.862,14021,0
20000417,11.867,11.912,11.283,11.418,10568,0
20000418,11.684,12.582,11.684,12.133,21031,0
20000419,12.488,12.587,12.183,12.587,19019,0
20000420,12.362,12.848,12.362,12.587,36927,0
20000425,12.497,12.587,12.317,12.587,11567,0
20000426,12.812,12.812,12.317,12.587,6785,0
20000427,12.313,13.032,12.223,13.032,23811,0
20000428,13.029,13.281,12.85,13.119,31051,0
20000502,13.214,13.214,12.315,12.558,13794,0
20000503,12.39,12.489,12.084,12.084,7791,0
20000504,12.228,12.228,12.075,12.075,4338,0
20000505,12.132,12.132,11.817,11.862,2670,0
20000508,11.769,12.354,11.689,11.949,6678,0
20000511,12.228,12.228,11.778,11.823,5561,0
20000512,11.815,12.22,11.815,12.22,3895,0
20000515,12.317,12.758,12.137,12.587,12902,0
20000516,12.587,13.486,12.317,13.486,61507,0
20000517,13.034,13.304,12.585,12.945,11347,0
20000518,12.583,12.763,12.134,12.404,10236,0
20000519,12.136,12.136,11.193,11.418,19800,0
20000522,11.233,11.233,10.379,10.963,18251,0
20000523,10.875,11.056,10.697,11.002,5674,0
20000524,10.337,10.364,10.022,10.364,11682,0
20000525,10.244,10.513,10.064,10.064,1447,0
20000526,10.025,10.276,10.025,10.276,779,0
20000529,10.068,10.157,9.986,9.986,1446,0
20000530,9.975,10.2,9.975,10.2,1336,0
