Date,Open,High,Low,Close,Volume,OpenInt
20060628,5.1008,5.1835,5.1008,5.1835,612,0
20060629,5.1008,5.1164,4.9756,5.0484,636,0
20060630,4.9445,5.1991,4.9445,5.1058,4570,0
20060703,5.2048,5.2048,4.9706,5.1008,4277,0
20060704,4.8561,5.5845,4.8561,5.2932,10963,0
20060705,5.2309,5.5166,5.2309,5.47,2383,0
20060706,5.3922,5.6001,5.2203,5.4649,8223,0
20060707,5.2359,5.5894,5.2359,5.4649,2578,0
20060710,5.4649,5.6107,5.4649,5.47,293,0
20060711,5.4183,5.569,5.4183,5.4855,1374,0
20060712,5.4126,5.4855,5.4126,5.4805,612,0
20060713,5.4649,5.569,5.1835,5.267,16376,0
20060714,5.267,5.4233,5.2097,5.4233,5500,0
20060717,5.5484,5.5484,5.1786,5.3505,7204,0
20060718,5.2563,5.3554,5.1786,5.3554,612,0
20060719,5.2932,5.4338,5.1786,5.3709,4521,0
20060720,5.4437,6.1156,5.2408,5.9856,21505,0
20060721,5.902,5.9176,5.4855,5.6467,2115,0
20060724,5.47,5.6467,5.4649,5.6156,10586,0
20060725,5.4649,5.569,5.4649,5.5484,3332,0
20060726,5.3455,5.5484,5.3455,5.5166,733,0
20060727,5.3922,5.569,5.3243,5.4757,31697,0
20060728,5.3971,5.5426,5.3709,5.5426,10020,0
20060731,5.3349,5.5951,5.3349,5.5951,5894,0
20060801,5.5166,5.5582,5.4183,5.4183,2501,0
20060802,5.3505,5.5426,5.3349,5.3455,745,0
20060803,5.4021,5.4592,5.3349,5.4078,490,0
20060804,5.4389,5.4649,5.3865,5.4437,1417,0
20060807,5.3865,5.569,5.3088,5.4592,14544,0
20060808,5.4649,5.4649,5.3088,5.3865,13033,0
20060809,5.2621,5.4233,5.2621,5.3709,6354,0
20060810,5.2621,5.4437,5.1991,5.2253,6576,0
20060811,5.1631,5.4649,4.9756,5.3455,18049,0
20060814,5.1991,5.3971,5.1263,5.2408,6049,0
20060815,5.3088,5.4592,5.0591,5.2563,6977,0
20060816,5.2359,5.3865,5.1524,5.3194,14176,0
20060817,5.2408,5.4649,5.2408,5.4494,7527,0
20060818,5.2932,5.4649,5.2932,5.3088,2891,0
20060821,5.4649,5.5738,5.3505,5.5738,10220,0
20060822,5.47,5.5484,5.3865,5.5484,3055,0
20060823,5.4649,5.4649,5.3611,5.3767,0,0
20060824,5.2932,5.569,5.2932,5.3922,12469,0
20060825,5.3136,5.3922,5.3136,5.3815,0,0
20060828,5.3088,5.4233,5.2408,5.2408,2836,0
20060829,5.3815,5.4592,5.3505,5.366,9676,0
20060830,5.4592,5.4649,5.1319,5.4649,2372,0
20060831,5.2359,5.3767,5.1942,5.3767,7210,0
20060901,5.3038,5.4544,5.2465,5.3291,7059,0
20060904,5.5166,5.5166,5.1942,5.366,1680,0
20060905,5.2048,5.366,5.1835,5.366,8982,0
20060906,5.2514,5.366,5.1475,5.2563,19846,0
20060907,5.2825,5.2825,5.1942,5.2825,4196,0
20060908,5.2097,5.2825,5.0747,5.1319,6182,0
20060911,5.1319,5.2309,5.1058,5.2048,18529,0
20060912,5.1368,5.2048,5.1008,5.1737,2060,0
20060913,5.1008,5.1737,5.1008,5.1524,183,0
20060914,5.1008,5.1263,4.8145,5.0329,16947,0
20060915,4.7678,5.2309,4.7678,5.0329,7769,0
20060918,5.0591,5.1581,4.9551,5.1581,1038,0
20060919,5.1524,5.366,5.1524,5.366,7357,0
20060920,5.3088,5.5068,5.2309,5.3922,8103,0
20060921,5.3194,5.3611,5.1475,5.3038,4403,0
20060922,5.2408,5.3088,5.2154,5.2563,696,0
20060925,5.0951,5.3088,5.0951,5.267,7546,0
20060926,4.9445,5.1991,4.9445,5.0533,1467,0
