Date,Open,High,Low,Close,Volume,OpenInt
20000114,15.8,16.05,15.7,15.75,5800,0
20000117,16,16.8,15.8,16.2,7800,0
20000118,16.22,16.5,16.01,16.3,4100,0
20000119,16.2,16.2,15.9,16.1,3000,0
20000120,16.2,16.6,16,16.6,9900,0
20000121,16.7,16.9,16.25,16.75,9800,0
20000124,16.39,18.9,16.39,18.15,30500,0
20000125,17.6,17.6,16.7,17.3,17200,0
20000126,17.35,17.55,16.32,16.35,23600,0
20000127,16.63,16.63,15.1,16.05,14100,0
20000128,16.05,16.05,15.3,15.75,15600,0
20000131,15.51,16,15.05,15.1,7100,0
20000201,14.9,15.45,14.9,15.1,7800,0
20000202,15.05,15.46,15,15.1,8700,0
20000203,15.45,15.45,15.05,15.35,9600,0
20000204,15.8,15.8,14.9,15,10300,0
20000207,15.05,15.3,15.05,15.3,1300,0
20000208,15.35,16.1,15.35,16,7800,0
20000209,16,17,15.8,16,24400,0
20000210,15.5,15.8,15.2,15.6,12500,0
20000211,15.5,16.89,15.21,16.68,12500,0
20000214,16.6,17.05,16.35,16.99,6500,0
20000215,16.9,17.05,16.02,16.02,7500,0
20000216,16.25,16.4,15.6,15.82,8200,0
20000217,16.02,16.02,15.5,15.5,3100,0
20000218,15.6,15.7,15.6,15.7,1000,0
20000221,15.7,15.8,15.31,15.8,3800,0
20000222,15.85,16.65,15.5,15.5,9800,0
20000223,16.5,27,16.5,26.36,157300,0
20000224,30.5,31.35,22.5,23,70700,0
20000225,24.2,29,24.2,26.5,37100,0
20000228,28,29,24.2,24.5,30600,0
20000229,26.3,29,26.1,29,21800,0
20000301,29.7,32,27.23,28.45,21100,0
20000302,28.5,28.5,24.42,25.8,18800,0
20000303,25.27,26.31,24.79,25,12900,0
20000306,25,25.65,24.8,25.16,4300,0
20000307,25,25.5,21.5,24,26600,0
20000308,23.64,23.64,21.21,22,12000,0
20000309,23,23.5,22.72,22.8,3500,0
20000310,23.01,23.3,20.7,21.8,18000,0
20000314,21.34,21.34,19.5,20.69,9400,0
20000315,19.85,20,18.87,19.61,6900,0
20000316,19.5,19.57,18.51,18.51,8300,0
20000317,20.3,21.8,20.1,20.4,14000,0
20000320,21,24.55,20.6,24.3,19600,0
20000321,23.9,23.9,22.5,23.4,9500,0
20000322,23.96,24.1,22.5,22.5,5000,0
20000323,23,23,21.01,21.9,4700,0
20000324,21.9,24.2,21.6,23.5,10500,0
20000327,22.8,22.95,21.45,22,14000,0
20000328,21.8,21.8,20,20.25,7500,0
20000329,20,20.57,19.5,20,8300,0
20000330,20,20,18.5,19,13100,0
20000331,18.5,19.6,16.72,18.73,23100,0
20000403,19,19.3,17.7,18,6600,0
20000404,17.99,18.52,16.05,17.5,8500,0
20000405,17.75,17.75,16.5,17,7400,0
20000406,17.2,19.5,17.2,19,7600,0
20000407,19.87,20,19.2,19.7,6000,0
20000410,20.2,20.5,19.3,19.7,10300,0
20000411,17.8,18.26,17.7,17.7,12700,0
20000412,18.6,19,17.8,17.8,11900,0
20000413,17,18.1,17,17.99,2200,0
20000414,17.82,18,17.6,18,6600,0
20000417,17,17.52,16.1,17.4,4800,0
20000418,17.8,18.15,17.5,17.85,5800,0
20000419,18.3,18.7,18,18.7,7000,0
20000420,18.99,18.99,18.3,18.3,400,0
20000425,18.8,18.8,17.8,17.8,100,0
20000426,18.5,18.6,17.76,17.9,5800,0
20000427,18.5,18.5,17.5,17.8,1200,0
20000428,17.8,18.1,17.2,17.2,4200,0
20000502,17.9,18.2,17.6,17.7,2900,0
20000503,17.4,19.85,17.4,19.65,14300,0
20000504,19.65,20.3,19.4,20.3,7000,0
20000505,19.65,20.5,19.65,20.05,8100,0
20000508,20.35,21,19.5,20.9,14000,0
20000510,20.42,20.42,19,19.5,8400,0
20000511,18.51,19.5,18.51,19.5,3500,0
20000512,19.7,19.7,18.9,19.5,6900,0
20000515,18.9,18.9,17.6,18.1,8400,0
20000516,17.68,18.2,17.68,18,2200,0
20000517,18,18,17.5,17.54,5200,0
20000518,17.25,17.5,17.25,17.5,200,0
20000519,17.7,17.7,16.31,16.5,3100,0
20000522,16.5,16.85,16,16.5,3500,0
20000523,16.78,16.78,16.45,16.5,1900,0
20000524,16.5,16.5,16.01,16.06,400,0
20000525,16.5,16.5,16.3,16.5,1200,0
20000526,16.84,16.84,16.5,16.6,1300,0
20000529,16.6,16.6,16.4,16.4,800,0
20000530,16.6,16.6,16.3,16.3,300,0
20000531,16.5,16.51,16.3,16.3,1200,0
20000601,16.3,16.3,16.1,16.1,200,0
20000602,16.65,16.68,16.25,16.3,1400,0
20000605,16.84,16.85,16.4,16.6,6400,0
20000606,17,17.6,16.9,17.6,2400,0
20000607,16.9,17.3,16.9,17,1900,0
20000608,17.2,17.2,17.2,17.2,600,0
20000609,17,17,16.7,16.7,200,0
20000612,17,17,16.7,16.7,900,0
20000613,16.8,17.4,16.8,17,8500,0
20000614,17,17,16.75,16.75,1900,0
20000615,16.95,16.99,16.63,16.63,3400,0
20000616,16.9,17.16,16.75,17,1500,0
20000619,17.1,17.1,16.4,16.41,3100,0
20000620,16.88,16.88,16.3,16.4,5300,0
20000621,16.4,16.6,15.75,15.75,4700,0
20000622,16.15,16.36,15.75,15.75,1000,0
20000623,16.24,16.6,15.97,16.6,1300,0
20000626,16.9,17.05,16.1,16.1,500,0
20000627,16.4,16.4,15.85,16.26,500,0
20000628,15.65,15.73,15.65,15.73,100,0
20000629,15.65,15.65,15.35,15.46,5100,0
20000630,15.34,15.55,14.8,15.3,6400,0
20000703,15,16.28,15,16.1,4200,0
20000704,15.8,17.76,15.8,17.5,9700,0
20000705,17.95,18.55,17,17,11900,0
20000706,17.5,17.5,16.51,17.06,3900,0
20000710,16.92,17,16.05,16.05,2600,0
20000711,16.2,16.2,15.85,15.85,3400,0
20000712,16,16,15.8,16,1600,0
20000714,16.15,17.05,16.15,16.75,6800,0
20000717,16.8,17.35,16.8,16.9,2900,0
20000718,17.5,17.5,16.92,16.92,2600,0
20000719,17.1,17.5,17.1,17.2,2600,0
20000720,17.5,19,17.2,18.6,18000,0
20000721,19,19.19,18.51,18.51,7500,0
20000724,18.5,18.93,18.5,18.55,4900,0
20000725,18.6,19.25,18.38,19.05,8000,0
20000726,19.5,19.5,18.55,18.8,5900,0
20000727,18.5,18.5,17.5,18.11,8300,0
20000728,18.4,18.64,18,18.5,12000,0
20000731,18,18.6,18,18.5,9200,0
20000801,18.5,18.6,18.45,18.5,7300,0
20000802,18.5,18.8,18.4,18.4,8900,0
20000803,18.2,18.5,18.1,18.1,16300,0
20000804,17.7,18.1,17.7,18.1,3100,0
20000807,18,18.3,18,18,3300,0
20000808,18,18,17.9,17.9,700,0
20000809,17.25,17.25,15.49,17,10800,0
20000810,15.5,16.53,14.95,16.33,24800,0
20000811,16,16,15.05,15.5,5400,0
20000814,15.4,15.9,15.2,15.85,3600,0
20000815,15.99,17,15.9,15.95,11100,0
20000816,17,17,16.1,16.51,4500,0
20000817,16.5,16.8,16.48,16.48,1900,0
20000818,16.52,16.52,16.42,16.42,1400,0
20000821,16.15,16.2,15.7,16.1,1800,0
20000822,15.75,16.16,15.75,15.99,900,0
20000823,16.2,16.55,16.05,16.55,2300,0
20000824,16.3,16.3,16,16,300,0
20000825,16.3,16.41,16.03,16.38,500,0
20000828,16.2,16.5,15.72,16,4200,0
20000829,16.15,16.15,15.91,16,600,0
20000830,16.2,16.4,16.02,16.35,2700,0
20000831,16.03,16.3,15.91,16.3,400,0
20000901,16.4,16.75,16,16.4,2900,0
20000904,16.7,16.76,16.3,16.3,600,0
20000905,16.7,17,16.5,16.6,4400,0
20000906,16.6,16.79,16.23,16.5,2900,0
20000907,16.25,16.3,16,16,1400,0
20000908,16.35,16.71,16.26,16.26,1500,0
20000911,16.26,16.81,16.26,16.6,2900,0
20000912,16.77,16.8,16.45,16.45,1000,0
20000914,16.5,17,16.25,16.9,12100,0
20000915,16.5,16.7,16.5,16.5,400,0
20000918,16.5,16.5,16.4,16.4,1900,0
20000919,16,16,14.95,15.35,8300,0
20000920,15.7,15.87,15.45,15.45,2500,0
20000921,16,16,15.14,15.14,400,0
20000922,15,15,14.38,14.7,4000,0
20000925,15,15.7,15,15.7,1000,0
20000926,15.7,15.7,15.02,15.02,3000,0
20000927,16.4,16.4,15.6,15.8,5800,0
20000928,15.8,16.25,15.25,15.25,3600,0
20000929,15.71,15.71,14.7,14.7,6000,0
20001002,14.65,14.8,13.9,13.9,3800,0
20001004,15.45,16.45,14.67,15.25,9600,0
20001005,15.6,15.6,15,15,2500,0
20001006,14.77,14.85,14.39,14.58,4700,0
20001009,14.6,14.6,14.4,14.45,700,0
20001010,14.4,14.4,14.15,14.15,1400,0
20001011,14.5,14.5,13.3,13.5,7600,0
20001012,13.4,13.8,12.8,12.95,1000,0
20001013,12.6,12.94,12.6,12.9,2700,0
20001016,13.25,13.4,13.15,13.35,300,0
20001017,13.2,13.2,12.65,12.65,3600,0
20001018,12.6,12.6,11.6,12.2,9500,0
20001019,12.42,13.1,12.1,13.1,2900,0
20001020,13.69,13.7,12.8,13.1,18700,0
20001023,13.7,13.7,12.65,12.7,5000,0
20001025,13.2,13.2,12.5,12.62,12900,0
20001026,12.5,13.52,12.5,13.49,5400,0
20001027,13.8,14.05,13.32,13.5,6100,0
20001030,13.4,14.4,13,14.01,8400,0
20001101,14.82,14.82,14.45,14.45,1400,0
20001102,14.1,15,14.1,15,2600,0
20001103,15,15.35,15,15.1,1400,0
20001106,15.5,15.5,15.01,15.35,3900,0
20001107,15.27,15.9,15,15.65,15100,0
20001108,15.85,16.66,15.85,16.05,12100,0
20001109,16.5,16.7,15.95,15.95,4000,0
20001110,16.4,16.4,15.3,15.4,6100,0
20001113,16.3,16.5,13.52,13.52,9400,0
20001115,15.65,15.65,15.2,15.6,2100,0
20001116,15.4,15.65,15.4,15.4,900,0
20001117,15.13,15.13,14.81,14.81,5900,0
20001120,15.2,15.2,14.6,14.9,3200,0
20001121,14.9,15.01,14.31,14.5,2700,0
20001122,14.52,14.52,13.2,13.65,8000,0
20001123,13.2,13.55,12.95,13.5,2900,0
20001124,13.75,14.95,13.75,14.66,4900,0
20001127,15.25,15.3,14.86,14.86,3500,0
20001128,14.5,14.6,14.21,14.21,600,0
20001129,14.3,16.5,14.3,16.01,4900,0
20001130,16.31,16.4,15.2,15.4,6600,0
20001201,15.6,15.8,15.3,15.3,5900,0
20001204,15.4,15.4,14.35,14.35,800,0
20001205,14.45,14.75,14.45,14.75,2100,0
20001206,15.7,15.7,14.06,14.49,18200,0
20001207,14.5,14.5,13.61,14.15,900,0
20001208,14,14.5,14,14.5,2700,0
20001211,13.87,15.7,13.87,15.65,21300,0
20001212,15.75,15.75,15,15,1500,0
20001213,15.65,15.65,14.8,15.19,800,0
20001214,14.85,15.1,14.85,15,1100,0
20001215,14.85,14.95,14.5,14.5,800,0
20001218,14.9,15,13.8,14.45,2100,0
20001219,14.23,14.23,14.23,14.23,600,0
20001220,14,14,13.6,13.6,6400,0
20001221,14,14,13.6,13.92,1700,0
20001222,13.85,14.21,13.6,13.9,9700,0
20001227,14.35,14.35,13.6,13.75,2300,0
