Date,Open,High,Low,Close,Volume,OpenInt
20090406,24.944,25.094,24.494,24.786,8411,0
20090407,24.724,25.138,24.714,25.138,7643,0
20090408,25.121,25.138,24.697,24.82,13847,0
20090409,24.714,26.434,24.714,25.809,17834,0
20090414,25.755,26.462,25.447,25.447,13054,0
20090415,25.721,28.005,25.367,27.14,17370,0
20090416,27.035,29.954,27.035,29.751,11981,0
20090417,29.549,30.21,29.107,30.21,20363,0
20090420,29.981,30.219,29.107,29.945,6423,0
20090421,29.989,30.254,28.913,29.637,8795,0
20090422,29.637,29.813,29.116,29.655,4373,0
20090423,29.813,30.192,29.151,30.192,12131,0
20090424,29.857,31.313,29.566,31.295,9361,0
20090427,31.313,31.313,28.852,29.054,20080,0
20090428,28.852,29.204,27.785,28.428,35936,0
20090429,28.27,30.166,28.225,29.875,26730,0
20090430,28.446,30.298,28.446,29.681,12652,0
20090504,29.725,31.569,29.725,31.295,4734,0
20090505,30.095,31.313,30.095,30.562,22824,0
20090506,30.828,31.489,30.298,31.136,8965,0
20090507,31.489,31.489,30.21,30.562,8308,0
20090508,31.004,31.004,29.901,29.901,23520,0
20090511,29.989,30.466,28.402,29.945,5228,0
20090512,29.901,31.268,29.901,31.18,6477,0
20090513,30.518,31.18,30.448,30.66,4659,0
20090514,30.562,30.66,29.769,30.21,6245,0
20090515,30.183,30.21,29.575,29.857,12065,0
20090518,29.883,30.484,29.107,30.43,27597,0
20090519,30.43,30.43,29.813,30.386,9207,0
20090520,30.025,30.43,29.989,30.033,14166,0
20090521,30.078,30.43,29.989,30.21,6677,0
20090522,30.228,30.43,29.989,29.989,5104,0
20090525,30.254,30.474,29.989,30.474,4197,0
20090526,30.351,31.092,30.351,30.474,2520,0
20090527,30.44,31.885,30.44,31.885,3725,0
20090528,31.577,32.53,31.33,32.15,3243,0
20090529,31.339,32.847,30.43,30.65,22992,0
20090601,32.194,32.636,30.43,31.118,6507,0
20090602,31.719,32.283,31.313,32.194,6026,0
20090603,32.177,33.041,32.177,32.9,2393,0
20090604,33.041,33.633,32.636,33.367,5231,0
20090605,32.724,33.791,32.636,33.297,4910,0
20090608,32.636,33.517,32.636,33.209,8038,0
20090609,33.253,34.973,33.174,34.84,2911,0
20090610,33.174,35.079,33.174,34.823,2411,0
20090611,35.079,35.255,33.641,34.532,2502,0
20090612,34.576,35.679,34.4,35.193,2878,0
20090615,34.806,35.458,34.4,34.884,7014,0
20090616,35.088,36.428,35.044,35.679,15948,0
20090617,35.29,35.741,34.408,35.149,7850,0
20090618,35.017,35.723,34.84,35.052,2867,0
20090619,35.176,35.282,34.179,34.796,7906,0
20090622,35.282,35.282,34.4,34.84,5290,0
20090623,34.858,35.105,34.62,34.796,3944,0
20090624,34.84,35.07,34.62,34.884,1661,0
20090625,34.85,34.85,33.959,34.664,9442,0
20090626,34.664,34.938,34.17,34.876,12654,0
20090629,34.84,35.537,34.638,35.017,6417,0
20090630,34.84,36.164,34.84,35.979,3602,0
20090701,35.881,36.164,35.29,36.164,1510,0
20090702,35.379,36.137,34.4,34.4,4536,0
20090703,34.4,36.164,34.4,36.164,2150,0
20090706,35.379,36.164,35.37,35.731,905,0
20090707,35.731,36.252,35.282,35.723,3110,0
20090708,35.547,36.243,35.282,35.723,892,0
20090709,35.819,36.252,35.282,35.723,4795,0
20090710,35.723,36.075,35.317,35.635,533,0
20090713,35.317,35.635,34.902,35.282,3934,0
20090714,36.111,36.111,35.317,35.899,785,0
20090715,35.591,35.811,35.405,35.669,1138,0
20090716,35.405,37.487,35.405,37.152,4589,0
20090717,37.019,39.066,36.737,39.066,2165,0
20090720,37.539,39.595,37.539,38.81,1929,0
20090721,39.251,43.317,38.369,42.073,30880,0
20090722,39.957,42.338,38.139,39.691,3578,0
20090723,40.574,41.438,39.251,40.998,1336,0
20090724,39.789,41.191,39.489,40.574,3210,0
20090727,39.691,41.28,37.972,41.094,5965,0
20090728,37.972,40.874,37.487,39.78,2265,0
20090729,39.78,40.221,39.251,39.251,2469,0
20090730,39.251,39.885,37.927,38.422,1867,0
20090731,37.927,39.11,37.575,38.545,934,0
20090803,37.575,38.81,37.575,37.937,3818,0
20090804,38.81,38.81,37.707,37.927,3307,0
20090805,37.927,38.281,37.487,37.927,1100,0
20090806,37.487,38.104,37.046,37.046,4987,0
20090807,37.487,38.095,37.046,37.927,1920,0
20090810,36.596,38.148,36.596,38.148,2019,0
20090811,38.351,38.351,37.046,37.927,867,0
20090812,37.927,38.325,37.046,38.139,1105,0
20090813,37.046,38.139,37.046,37.927,760,0
20090814,37.046,39.691,37.046,39.691,15244,0
20090817,37.046,39.251,37.046,38.263,1935,0
20090818,38.545,39.691,38.334,38.334,6233,0
20090819,38.369,39.118,38.201,38.369,3365,0
20090820,38.201,38.81,37.927,38.413,2893,0
20090821,38.148,38.634,37.927,38.351,350,0
20090824,37.927,38.413,37.927,38.413,1687,0
20090825,38.104,38.325,37.733,38.325,1277,0
20090826,37.927,38.157,37.345,38.157,2966,0
20090827,37.345,38.404,37.345,38.404,1950,0
20090828,37.927,38.369,37.927,38.342,1856,0
20090831,38.016,38.36,37.487,38.36,1528,0
20090901,37.487,38.695,37.487,37.954,1490,0
20090902,37.954,38.316,37.663,38.281,1689,0
20090903,37.663,38.325,37.354,38.192,1341,0
20090904,37.354,38.148,37.354,37.927,5156,0
20090907,37.927,38.148,37.487,37.927,960,0
20090908,37.707,37.927,37.487,37.927,1944,0
20090909,37.707,37.927,37.707,37.927,2272,0
20090910,37.707,37.927,37.707,37.927,1628,0
20090911,37.707,37.927,37.046,37.927,2249,0
20090914,37.663,38.104,37.663,38.104,4869,0
20090915,37.716,38.183,37.716,38.104,1998,0
20090916,37.927,38.104,37.927,38.104,859,0
20090917,37.927,39.515,37.927,39.515,5071,0
20090918,37.927,39.647,37.927,39.251,4327,0
20090921,39.691,39.691,38.607,38.686,2030,0
20090922,38.378,39.603,38.378,39.603,2153,0
20090923,38.501,39.507,38.501,39.233,708,0
20090924,39.63,40.574,38.81,40.574,2960,0
20090925,39.392,43.441,39.392,43.441,11947,0
20090928,42.082,44.217,40.936,42.161,8562,0
20090929,43.873,43.873,40.724,41.456,1546,0
20090930,42.082,42.161,40.794,41.985,1313,0
20091001,42.082,42.082,40.715,41.032,788,0
20091002,40.838,41.368,39.825,41.368,1309,0
20091005,40.732,42.161,39.825,41.791,1045,0
20091006,40.856,41.633,40.574,41.456,434,0
20091007,41.182,43.211,40.574,41.897,2403,0
20091008,41.182,42.294,41.112,42.25,929,0
20091009,41.721,42.276,40.398,41.677,2007,0
20091012,41.711,41.711,39.895,41.544,2828,0
20091013,39.789,41.28,39.789,39.869,189,0
20091014,41.015,41.28,40.133,41.28,2143,0
20091015,41.2,41.412,40.574,41.412,2016,0
20091016,41.473,41.677,40.838,41.456,5961,0
20091019,42.082,42.082,41.015,41.897,883,0
20091020,42.7,42.7,41.288,41.897,956,0
20091021,41.905,41.905,41.456,41.456,1235,0
20091022,42.25,42.25,41.456,41.853,2303,0
20091023,42.25,42.373,41.641,42.338,3766,0
20091026,41.703,43.555,41.703,43.555,5362,0
20091027,41.985,43.573,41.985,43.573,2941,0
20091028,41.985,43.661,41.853,43.22,4339,0
20091029,43.017,43.017,41.633,41.633,1816,0
20091030,41.13,43.22,41.13,43.114,3279,0
20091102,42.435,44.102,41.456,44.102,6256,0
20091103,43.873,44.058,42.338,43.079,5432,0
20091104,42.223,43.238,42.073,43.044,5990,0
20091105,43.873,43.873,42.868,43.661,2408,0
20091106,44.305,44.305,42.779,43.661,2428,0
20091109,43.22,45.867,43.044,43.617,1289,0
20091110,42.576,43.661,42.576,43.317,1246,0
20091111,43.414,43.652,43.044,43.229,696,0
20091112,42.4,44.764,42.4,44.543,3412,0
20091113,42.4,44.852,42.4,44.852,5298,0
20091116,44.199,44.852,43.591,44.843,938,0
20091117,43.123,44.71,43.123,44.631,581,0
20091118,43.441,44.199,43.441,44.102,1623,0
20091119,43.123,44.411,42.779,42.779,512,0
20091120,42.135,44.411,42.135,42.779,967,0
20091123,42.135,43.061,41.544,42.956,1403,0
20091124,40.918,43.661,40.918,43.396,1265,0
20091125,41.773,44.72,41.773,43.935,1319,0
20091126,41.703,44.72,41.703,43.935,3634,0
20091127,44.455,44.808,43.22,44.808,630,0
20091130,43.441,44.808,43.441,43.925,545,0
20091201,43.008,44.058,43.008,43.467,701,0
20091202,42.682,44.808,42.682,44.455,1445,0
20091203,43.785,44.808,43.785,44.367,1343,0
20091204,43.485,44.808,43.485,44.798,285,0
20091207,43.493,44.71,43.493,44.71,935,0
20091208,42.84,44.887,42.84,44.367,692,0
20091209,43.229,44.896,43.229,44.896,2771,0
20091210,43.617,44.896,43.617,44.543,1857,0
20091211,44.543,44.543,43.625,44.102,148,0
20091214,42.973,44.279,42.973,44.279,5315,0
20091215,44.279,44.808,43.599,44.808,826,0
20091216,44.279,44.375,43.661,44.279,425,0
20091217,41.421,44.279,41.421,42.585,1660,0
20091218,41.421,43.273,36.604,38.36,12237,0
20091221,36.446,43.22,36.446,42.109,6423,0
20091222,38.131,42.241,38.131,42.241,8897,0
20091223,38.545,42.25,38.545,42.25,2190,0
20091228,43.07,43.07,41.403,42.338,255,0
20091229,40.221,42.779,40.221,42.338,1794,0
20091230,39.551,44.102,39.551,44.102,1774,0
20100104,40.221,44.631,40.221,43.661,3229,0
20100105,41.482,44.543,41.482,43.308,1224,0
20100106,42.148,43.961,42.148,43.441,399,0
20100107,41.271,43.67,41.271,42.907,1108,0
20100108,40.97,43.67,40.97,43.215,2384,0
20100111,40.053,43.485,40.053,41.677,6066,0
20100112,39.807,42.25,39.807,42.161,9070,0
20100113,39.551,42.073,39.551,41.897,9503,0
20100114,38.968,43.661,38.968,43.388,3445,0
