Date,Open,High,Low,Close,Volume,OpenInt
20000107,9.891,9.891,9.891,9.891,269,0
20000110,10.048,10.048,10.048,10.048,135,0
20000111,10.42,10.42,10.234,10.234,269,0
20000114,10.234,10.234,10.234,10.234,135,0
20000121,10.077,10.077,10.077,10.077,135,0
20000124,10.449,10.449,10.449,10.449,135,0
20000126,10.007,10.007,9.969,9.969,672,0
20000127,10.343,10.418,10.343,10.381,2419,0
20000131,10.42,10.42,10.42,10.42,403,0
20000210,10.449,10.449,10.449,10.449,672,0
20000211,10.457,10.457,10.42,10.42,269,0
20000216,10.449,10.449,10.449,10.449,135,0
20000217,10.449,10.449,10.449,10.449,269,0
20000222,10.449,10.449,10.449,10.449,135,0
20000224,10.567,10.567,10.567,10.567,135,0
20000303,10.451,10.674,10.451,10.674,807,0
20000314,10.792,10.792,10.792,10.792,135,0
20000322,10.714,10.714,10.714,10.714,269,0
20000403,10.792,10.792,10.792,10.792,269,0
20000404,11.193,11.193,11.164,11.193,135,0
20000406,11.194,11.194,10.792,11.164,135,0
20000417,11.037,11.037,11.037,11.037,269,0
20000418,11.069,11.069,10.674,10.674,135,0
20000419,11.041,11.041,10.684,10.684,403,0
20000428,11.037,11.037,11.037,11.037,135,0
20000503,10.645,10.645,10.645,10.645,135,0
20000522,10.635,10.635,10.635,10.635,135,0
20000609,11.014,11.037,11.014,11.037,269,0
20000613,10.694,10.694,10.694,10.694,135,0
20000616,10.86,11.105,10.86,11.105,1479,0
20000619,10.909,10.909,10.909,10.909,135,0
20000620,10.792,10.792,10.792,10.792,806,0
20000706,10.6,10.6,10.488,10.488,1345,0
20000712,10.234,10.234,10.234,10.234,135,0
20000718,10.195,10.195,10.008,10.008,403,0
20000724,9.75,9.75,9.676,9.676,403,0
20000803,9.4918,9.4992,9.4918,9.4992,1479,0
20000804,9.2152,9.2152,9.2152,9.2152,135,0
20000807,9.3863,9.3863,9.0442,9.2152,538,0
20000814,9.52,9.52,9.4013,9.4013,1209,0
20000821,9.1761,9.1761,9.1761,9.1761,135,0
20000830,8.9312,8.9312,8.9312,8.9312,672,0
20000904,8.6123,8.6197,8.471,8.471,2152,0
20000905,8.3143,8.3143,8.3143,8.3143,538,0
20000906,8.4514,8.4514,8.4514,8.4514,1075,0
20000907,8.5493,8.5493,8.5493,8.5493,1075,0
20000911,8.4122,8.4122,8.4122,8.4122,269,0
20000914,8.5199,8.5199,8.5199,8.5199,269,0
20000919,8.4514,8.4514,8.4514,8.4514,940,0
20000929,8.0381,8.187,8.0381,8.187,1209,0
20001002,8.187,8.187,8.187,8.187,538,0
20001004,8.187,8.187,8.187,8.187,135,0
20001005,8.3281,8.4024,8.3281,8.4024,3093,0
20001026,8.4024,8.4024,8.4024,8.4024,673,0
20001115,8.3339,8.3339,8.3339,8.3339,269,0
20001117,8.4906,8.4906,8.4906,8.4906,1479,0
20001120,8.3437,8.3437,8.3437,8.3437,135,0
20001124,8.2091,8.4024,8.2091,8.4024,135,0
20001127,8.2947,8.2947,8.2947,8.2947,269,0
20001130,8.5591,8.5591,8.5591,8.5591,269,0
20001206,8.4921,8.9312,8.4921,8.9312,4030,0
20001207,8.8529,8.8529,8.8529,8.8529,269,0
20001211,9.0724,9.221,9.0724,9.1467,4841,0
20001212,8.9312,8.9312,8.9312,8.9312,1478,0
20001213,8.8568,8.9312,8.8568,8.9312,1075,0
20001219,8.6277,8.6277,8.6277,8.6277,135,0
20001220,8.6277,8.6277,8.6277,8.6277,135,0
20001221,8.6277,8.6277,8.6277,8.6277,135,0
20001227,8.8529,8.8529,8.8529,8.8529,269,0
20001228,8.6277,8.6277,8.6277,8.6277,135,0
20010102,8.9273,8.9273,8.8529,8.8529,269,0
20010109,9.0586,9.0586,9.0586,9.0586,1345,0
20010111,8.7941,8.7941,8.7941,8.7941,1344,0
20010118,8.9312,8.9312,8.9312,8.9312,672,0
20010122,8.9312,8.9312,8.9312,8.9312,2016,0
20010124,8.8529,8.8529,8.8529,8.8529,135,0
20010206,8.9508,8.9508,8.9508,8.9508,1882,0
20010213,9.225,9.225,9.225,9.225,2017,0
20010214,9.0292,9.0292,9.0292,9.0292,941,0
20010223,9.0013,9.0013,8.8823,8.8823,3092,0
20010302,8.706,8.706,8.706,8.706,1747,0
20010309,9.0292,9.0292,9.0292,9.0292,269,0
20010316,8.6864,8.6864,8.6864,8.6864,941,0
20010319,8.6277,8.6277,8.6277,8.6277,672,0
20010320,8.9312,8.9312,8.9312,8.9312,2016,0
20010328,8.6277,8.6277,8.6277,8.6277,1075,0
20010329,8.8568,8.9312,8.8568,8.9312,2149,0
20010330,9.2662,9.4894,9.2662,9.4894,1344,0
20010402,9.627,9.627,9.2103,9.597,1747,0
20010403,9.566,9.566,9.3426,9.3426,1345,0
20010404,9.2642,9.2642,9.2642,9.2642,269,0
20010409,9.676,9.676,9.676,9.676,672,0
20010412,10.016,10.016,9.793,9.793,1881,0
20010417,9.744,9.744,9.3719,9.3719,2152,0
20010418,9.3182,9.705,9.3182,9.705,2152,0
20010420,10.04,10.04,9.891,9.891,2286,0
20010423,10.107,10.122,10.048,10.048,1612,0
20010425,10.087,10.087,10.087,10.087,269,0
20010426,10.048,10.048,10.048,10.048,1075,0
20010427,9.676,9.676,9.676,9.676,1075,0
20010502,9.862,10.234,9.862,10.234,1478,0
20010503,10.267,10.267,9.969,9.969,1747,0
20010504,10.4,10.4,10.4,10.4,1075,0
20010509,10.077,10.077,10.077,10.077,538,0
20010514,10.439,10.655,10.439,10.655,2957,0
20010515,11.071,11.503,11.071,11.458,1210,0
20010516,11.261,11.261,11.164,11.164,806,0
20010517,11.163,11.252,11.014,11.252,403,0
20010521,11.216,11.216,11.164,11.164,3762,0
20010523,11.158,11.158,11.076,11.076,1075,0
20010531,10.939,10.939,10.939,10.939,135,0
20010604,11.282,11.282,11.282,11.282,940,0
20010606,11.381,11.381,11.233,11.233,1075,0
20010607,11.458,11.458,11.458,11.458,537,0
20010612,11.83,11.83,11.83,11.83,1344,0
20010613,11.605,11.605,11.605,11.605,941,0
20010622,11.156,11.156,10.933,11.007,1479,0
20010625,11.086,11.086,11.086,11.086,135,0
20010626,11.272,11.272,11.272,11.272,940,0
20010627,11.047,11.047,11.047,11.047,1747,0
20010629,10.79,12.427,10.79,11.869,8063,0
20010702,11.685,12.183,11.655,11.752,3899,0
20010703,11.534,11.534,11.497,11.497,1075,0
20010704,11.272,11.272,11.272,11.272,807,0
20010709,11.164,11.164,11.164,11.164,403,0
20010718,10.792,10.792,10.792,10.792,403,0
20010720,10.792,10.792,10.792,10.792,537,0
20010727,10.958,10.958,10.958,10.958,135,0
20010730,11.207,11.609,11.207,11.311,3628,0
20010731,11.609,11.609,11.497,11.497,1344,0
20010801,11.331,11.331,11.331,11.331,940,0
20010806,11.507,11.507,11.507,11.507,403,0
20010807,11.419,11.419,11.419,11.419,941,0
20010808,11.311,11.311,11.311,11.311,269,0
20010810,11.258,11.258,11.184,11.184,1882,0
20010816,11.428,11.428,11.428,11.428,135,0
20010817,11.164,11.164,11.164,11.164,806,0
20010820,11.233,11.233,11.233,11.233,269,0
20010822,11.233,11.233,11.233,11.233,941,0
20010827,11.908,11.908,11.908,11.908,2553,0
20010828,11.759,11.908,11.722,11.908,1209,0
20010829,11.908,11.908,11.908,11.908,1344,0
20010830,11.722,11.722,11.722,11.722,269,0
20010831,11.752,11.752,11.752,11.752,538,0
20010903,11.797,12.057,11.797,11.908,672,0
20010904,11.908,11.908,11.908,11.908,403,0
20010905,11.754,11.977,11.754,11.977,403,0
20010906,11.906,11.906,11.683,11.683,1479,0
20010907,11.977,11.977,11.977,11.977,135,0
20010911,11.419,11.419,11.419,11.419,135,0
20010913,11.421,11.421,11.242,11.242,269,0
20010914,11.199,11.199,11.088,11.125,1479,0
20010921,11.088,11.088,10.909,10.909,403,0
20010925,10.42,10.606,10.42,10.606,1344,0
20010928,9.919,9.971,9.822,9.822,2151,0
20011002,9.862,9.862,9.862,9.862,403,0
20011005,9.822,9.822,9.822,9.822,269,0
20011009,10.152,10.263,10.152,10.263,1210,0
20011018,9.891,9.891,9.891,9.891,1075,0
20011023,10.116,10.377,10.116,10.302,2151,0
20011026,10.494,10.494,10.42,10.42,1075,0
20011029,10.606,11.164,10.606,11.164,2956,0
20011105,10.939,10.939,10.939,10.939,1209,0
20011106,10.937,10.937,10.9,10.9,672,0
20011112,11.387,11.387,11.164,11.164,940,0
20011113,11.423,11.497,11.423,11.497,269,0
20011114,11.528,11.566,11.528,11.566,269,0
20011120,11.737,11.752,11.737,11.752,1613,0
20011130,11.752,11.752,11.752,11.752,403,0
20011203,11.752,11.752,11.752,11.752,403,0
20011204,12.094,12.094,11.871,12.094,403,0
20011205,12.094,12.094,12.094,12.094,403,0
20011206,11.869,11.869,11.869,11.869,135,0
20011207,11.908,11.908,11.573,11.908,940,0
20011210,11.752,11.752,11.752,11.752,538,0
20011211,11.605,11.605,11.605,11.605,135,0
20011213,11.826,11.826,11.752,11.752,135,0
20011217,11.758,11.758,11.683,11.683,2151,0
20011219,11.752,11.752,11.752,11.752,135,0
20020108,12.055,12.055,12.055,12.055,403,0
20020109,12.053,12.202,12.053,12.202,1882,0
20020110,12.016,12.016,12.016,12.016,940,0
20020117,11.908,11.908,11.908,11.908,2688,0
20020118,11.908,11.908,11.908,11.908,403,0
20020131,11.908,11.908,11.908,11.908,135,0
20020204,11.908,11.908,11.908,11.908,269,0
20020208,11.908,11.908,11.908,11.908,806,0
20020213,11.536,11.536,11.536,11.536,135,0
20020215,11.908,11.908,11.908,11.908,1478,0
20020226,11.644,11.644,11.644,11.644,135,0
20020308,11.908,11.908,11.908,11.908,269,0
20020311,11.648,11.648,11.09,11.164,6853,0
20020312,11.164,11.164,11.164,11.164,135,0
20020313,11.38,11.38,11.38,11.38,403,0
20020318,11.395,11.536,11.395,11.536,806,0
20020319,11.536,11.536,11.536,11.536,1209,0
20020320,11.536,11.536,11.536,11.536,269,0
20020321,11.828,11.828,11.605,11.605,1075,0
20020322,11.908,11.908,11.908,11.908,135,0
20020325,11.908,11.908,11.908,11.908,269,0
20020328,11.73,11.908,11.722,11.908,9271,0
20020402,11.908,11.908,11.908,11.908,135,0
20020405,11.867,12.202,11.689,12.202,6855,0
20020409,12.594,12.966,12.594,12.966,1344,0
20020410,12.763,12.763,12.539,12.584,2284,0
20020411,12.653,12.653,12.653,12.653,269,0
20020415,12.653,12.653,12.653,12.653,537,0
20020417,12.682,12.868,12.682,12.868,135,0
20020418,12.799,12.799,12.799,12.799,403,0
20020422,12.794,12.868,12.794,12.868,403,0
20020508,12.427,12.427,12.427,12.427,135,0
20020510,12.421,14.131,12.421,14.131,269,0
20020513,12.427,12.427,12.427,12.427,269,0
20020516,14.131,14.131,13.759,13.759,672,0
20020522,13.612,13.612,13.612,13.612,269,0
20020523,13.988,13.988,13.691,13.691,1075,0
20020524,13.62,13.62,11.536,11.536,403,0
20020529,13.12,13.12,11.624,11.624,269,0
20020530,13.72,13.72,13.72,13.72,269,0
20020531,13.759,13.759,13.759,13.759,269,0
20020603,13.382,13.397,13.382,13.397,941,0
20020606,13.25,13.25,13.25,13.25,269,0
