Date,Open,High,Low,Close,Volume,OpenInt
20160811,62.8,64.92,61.65,64.25,8422,0
20160812,64.55,64.72,63.15,63.3,10729,0
20160815,63.84,63.84,61.9,62.11,6518,0
20160816,61.9,61.9,60.58,60.58,7578,0
20160817,60.94,61.26,60.4,60.77,5869,0
20160818,60.91,61.04,60.65,60.75,3936,0
20160819,61.02,61.02,60.11,60.15,7414,0
20160822,60.33,61.1,60.15,60.7,9870,0
20160823,61.08,62.86,61.08,61.8,9408,0
20160824,61.55,62.6,60.1,60.1,9596,0
20160825,60.75,61.29,60.14,60.85,6472,0
20160826,60.86,62.46,60.86,61.39,11206,0
20160829,62,63,61.25,61.25,10639,0
20160830,61.6,62,60.5,61.1,10260,0
20160831,61.16,61.3,60.3,61,8524,0
20160901,61.6,62.76,61.15,62.02,17543,0
20160902,62.77,65.75,62.53,65.45,22401,0
20160905,65.9,66.49,65,65.51,20645,0
20160906,65.86,66.34,65.5,65.5,6405,0
20160907,65.6,65.88,65.5,65.5,4485,0
20160908,66.28,66.55,65.5,65.5,6465,0
20160909,65.77,65.99,65.1,65.1,24630,0
20160912,64.5,64.5,62.61,63.31,9276,0
20160913,64,64,61.75,61.75,8149,0
20160914,61.31,62.58,61.31,62.01,7845,0
20160915,62.01,63.13,62.01,63.13,7652,0
20160916,63.07,63.22,62.25,62.77,9158,0
20160919,63.28,65.5,63.1,65.16,13797,0
20160920,65.21,68.97,65.21,67.44,24748,0
20160921,67.51,69.9,67.51,69.4,16436,0
20160922,69.69,69.69,69,69,7257,0
20160923,69,71.28,68.35,71.28,19093,0
20160926,70.75,72.01,70.2,70.9,24127,0
20160927,71,71.01,68.65,69.29,10748,0
20160928,69.44,70.08,68.76,69,7157,0
20160929,69.48,69.65,68.75,69.1,6935,0
20160930,68.9,69.01,68.09,68.43,9219,0
20161004,69.03,69.35,68.11,68.42,6482,0
20161005,68.93,69.03,68.5,68.86,7785,0
20161006,68.9,69,67.27,68.1,12693,0
20161007,68.22,68.44,66.66,66.66,10311,0
20161010,67.2,68.34,67.19,67.51,8472,0
20161011,67.72,68.5,67.7,68.4,13555,0
20161012,68.5,68.5,67.55,68.05,4160,0
20161013,68,68.14,67.21,67.35,5628,0
20161014,68.09,69.01,67.5,68.5,20571,0
20161017,69.22,69.25,66.97,67.52,15021,0
20161018,67.75,69,67.75,68.6,5021,0
20161019,68.83,69.18,68.5,68.5,9068,0
20161020,68.82,69.27,68.5,68.6,4702,0
