Date,Open,High,Low,Close,Volume,OpenInt
20110622,8.9882,9.151,8.7466,8.9976,566319,0
20110623,8.9283,8.9778,8.7726,8.9778,45485,0
20110624,8.9283,8.9778,8.8176,8.8608,41309,0
20110627,8.8608,8.9076,8.7817,8.7817,6268,0
20110628,8.8203,8.9882,8.7951,8.7951,6049,0
20110629,8.8708,8.8708,8.7817,8.7951,20172,0
20110630,8.8536,9.1689,8.742,8.7951,13175,0
20110701,9.0512,9.1322,9.007,9.0155,7634,0
20110704,9.1105,9.1999,8.9103,9.0155,1934,0
20110705,9.1105,9.1105,8.9449,8.9976,26,0
20110706,9.0428,9.0964,8.7276,8.9618,2830,0
20110707,8.9647,9.0155,8.8806,8.8806,128,0
20110708,9.0155,9.0155,8.7276,8.9571,8464,0
20110711,8.8842,8.9797,8.8627,8.8627,2232,0
20110712,8.9703,8.9703,8.6377,8.8266,5785,0
20110713,8.7771,8.8095,8.7456,8.7529,120,0
20110714,8.8095,8.8627,8.7187,8.7456,1402,0
20110715,8.7736,8.7915,8.7276,8.7637,2650,0
20110718,8.7645,8.9085,8.6917,8.7006,628,0
20110719,8.9085,9.1237,8.6377,8.7726,27990,0
20110720,8.7438,8.7726,8.6071,8.6071,159,0
20110721,8.7069,8.9873,8.6647,8.6647,1599,0
20110722,8.8455,9.0879,8.7501,8.7996,33535,0
20110725,8.9346,9.1237,8.8176,8.9976,12712,0
20110726,9.1416,9.1416,8.9364,8.9882,6738,0
20110727,9.0428,9.1595,8.9882,8.9976,5335,0
20110728,9.0879,9.1595,8.9976,9.0381,372,0
20110729,9.1284,9.1595,8.9882,9.0832,3921,0
20110801,9.1416,9.1726,8.8779,9.1416,12149,0
20110802,8.9076,8.9524,8.7852,8.877,2520,0
20110803,8.8572,8.9076,8.6143,8.6143,3333,0
20110804,8.8176,8.9076,8.7511,8.8392,125,0
20110805,8.8716,8.8716,8.2994,8.5477,3674,0
20110808,8.5243,8.5243,8.0142,8.302,7280,0
20110809,8.0142,8.1977,7.8351,7.8351,1950,0
20110810,8.1105,8.3606,7.5993,8.1284,4146,0
20110811,7.8675,8.1968,7.6578,7.6687,4734,0
20110812,8.1095,8.1788,7.9278,7.9701,970,0
20110815,8.1878,8.3614,8.0438,8.0438,6432,0
20110816,8.2211,8.2211,8.0304,8.0718,1700,0
20110817,8.1383,8.1383,8.0079,8.0393,138,0
20110818,8.0168,8.1519,7.9269,7.9764,38,0
20110819,8.0708,8.1815,7.9566,7.9989,1281,0
20110822,8.1006,8.177,7.989,8.015,781,0
20110823,8.1698,8.1878,7.9746,8.0483,945,0
20110824,8.1743,8.1869,7.9178,8.069,3690,0
20110825,8.006,8.0079,7.7856,7.8999,75,0
20110826,7.7937,7.916,7.648,7.791,495,0
20110829,7.791,8.0079,7.6543,8.0079,451,0
20110830,8.0079,8.0079,7.8171,7.9322,148,0
20110831,7.9448,8.195,7.8,7.8108,49914,0
20110901,7.9746,8.0799,7.6659,7.8639,38395,0
20110902,7.8414,7.9178,7.702,7.702,29951,0
20110905,7.7649,7.917,7.6308,7.6578,2073,0
20110906,7.747,7.8999,7.513,7.8999,18,0
20110907,7.8738,7.9089,7.7109,7.899,183,0
20110908,7.899,7.9718,7.6219,7.8306,32,0
20110909,7.8306,7.944,7.6344,7.7937,1407,0
20110912,7.7937,7.9071,7.4473,7.5274,4089,0
20110913,7.5274,7.7091,7.441,7.7091,1,0
20110914,7.4275,7.7091,7.4275,7.7091,1,0
20110915,7.7091,7.7091,7.4284,7.7056,1,0
20110916,7.7056,7.7101,7.4284,7.7101,622,0
20110919,7.7101,7.7101,7.4707,7.647,2882,0
20110920,7.647,7.6785,7.3798,7.6785,2,0
20110921,7.6785,7.7091,7.3979,7.7091,2,0
20110922,7.7091,7.7091,7.4275,7.603,35,0
20110923,7.603,7.647,7.1081,7.1989,6721,0
20110926,7.1081,7.1989,6.1273,6.4243,61060,0
20110927,6.4243,6.8157,6.2354,6.7257,26913,0
20110928,6.7257,7.0181,6.5782,7.0181,5129,0
20110929,7.0181,7.6048,6.8427,7.6048,19461,0
20110930,7.3744,7.5562,7.288,7.3861,8414,0
20111003,7.3861,7.6596,7.2926,7.6596,941,0
20111004,7.576,7.9178,7.4042,7.8774,2024,0
20111005,7.8774,8.0888,7.5949,7.9431,16741,0
20111006,7.9431,8.0969,7.6119,7.8495,11229,0
20111007,7.6857,7.8495,7.5589,7.8108,1766,0
20111010,7.8108,7.8108,7.3492,7.3492,8955,0
20111011,7.3492,7.3492,7.046,7.3241,2389,0
20111012,7.3241,7.459,7.109,7.459,5134,0
20111013,7.459,7.558,7.1954,7.5328,7891,0
20111014,7.4878,7.5328,7.361,7.4815,19098,0
20111017,7.4815,7.4815,7.1989,7.2943,1736,0
20111018,7.2943,7.378,7.1405,7.378,1883,0
20111019,7.378,7.378,7.1981,7.2961,1010,0
20111020,7.2512,7.3501,7.1081,7.2628,64,0
20111021,7.2628,7.3591,7.109,7.1981,356,0
20111024,7.1981,7.333,6.8184,6.8184,7932,0
20111025,6.8184,7.1036,6.7302,7.1036,4691,0
20111026,7.0613,7.3492,6.8382,7.3492,22730,0
20111027,7.3492,7.3699,7.1999,7.333,5092,0
20111028,7.333,7.468,7.1981,7.378,8348,0
20111031,7.378,7.378,7.1981,7.2476,5158,0
20111101,7.2476,7.396,6.9111,7.2287,32548,0
20111102,7.306,7.3528,7.1189,7.1531,6695,0
20111103,7.1531,7.3222,6.8886,6.8886,4253,0
20111104,7.1063,7.1063,6.9281,7.0631,4,0
20111107,6.9731,7.378,6.9182,7.288,4679,0
20111108,7.288,7.333,7.1981,7.333,792,0
20111109,7.2431,7.333,7.0235,7.0235,30247,0
20111110,7.0001,7.2241,6.8993,7.019,21132,0
20111111,6.9281,7.288,6.9281,7.288,19312,0
20111114,7.3762,7.3762,7.1585,7.288,3224,0
20111115,7.288,7.288,7.1683,7.2431,2551,0
20111116,7.1081,7.3196,6.9614,7.3196,4490,0
20111117,7.189,7.3196,6.9821,7.0631,5698,0
20111118,6.9731,7.0631,6.8877,7.0622,115,0
20111121,7.0622,7.0622,6.8589,6.8589,7686,0
20111122,6.8589,6.8922,6.7752,6.8831,2861,0
20111123,6.8831,6.9011,6.7932,6.9011,2227,0
20111124,6.9011,7.0181,6.8112,6.9281,6385,0
20111125,6.8382,7.0172,6.821,6.8283,11653,0
20111128,6.8589,7.0406,6.7932,6.7932,8122,0
20111129,6.7932,6.8382,6.7032,6.7383,7014,0
20111130,6.7383,6.7482,6.597,6.7482,27,0
20111201,6.7482,6.8831,6.6303,6.8831,6,0
20111202,6.8382,6.8831,6.633,6.8202,18590,0
20111205,6.8202,6.8382,6.6421,6.7482,3957,0
20111206,6.7482,6.7482,6.6177,6.7482,2,0
20111207,6.7032,6.7482,6.1417,6.1417,215181,0
20111208,6.0554,6.2533,5.9834,6.0751,13217,0
20111209,5.8934,6.1147,5.1736,5.3086,49548,0
20111212,5.0863,5.2617,4.8749,4.8749,9721,0
20111213,4.8857,4.9351,4.4808,4.8587,62878,0
20111214,4.7687,4.8587,3.491,3.86,339947,0
20111215,3.7951,4.0201,3.7763,3.842,50559,0
20111216,4.0129,4.0129,3.6953,3.788,25426,0
20111219,3.788,4.3189,3.6081,3.6539,42161,0
