Date,Open,High,Low,Close,Volume,OpenInt
20151013,22.948,23.195,22.232,23.195,15037,0
20151014,23.714,24.189,23.714,23.714,101569,0
20151015,23.309,24.134,23.309,23.912,12898,0
20151016,23.61,23.882,23.057,23.714,41160,0
20151019,24.119,24.347,22.929,23.121,22320,0
20151020,23.121,23.121,22.835,23.023,34246,0
20151021,22.785,23.467,22.706,22.706,20029,0
20151022,22.845,23.166,22.726,23.023,93380,0
20151023,23.22,23.472,23.092,23.22,127486,0
20151026,23.393,23.393,22.726,22.726,41456,0
20151027,22.924,23.22,22.697,23.121,44216,0
20151028,23.467,23.467,22.8,23.023,51225,0
20151029,23.368,23.368,21.837,21.837,30413,0
20151030,22.42,23.166,22.415,22.973,50385,0
20151102,23.2,23.413,22.889,22.973,38223,0
20151103,22.874,23.714,22.874,23.714,43092,0
20151104,23.309,24.134,23.22,23.22,28995,0
20151105,23.615,23.615,22.627,23.22,13496,0
20151106,23.447,23.897,23.22,23.22,3318,0
20151109,23.22,23.576,22.682,22.84,34493,0
20151110,23.22,23.245,22.8,23.023,20026,0
20151111,22.845,23.526,22.845,23.067,28615,0
20151112,23.452,23.452,23.023,23.023,17695,0
20151113,23.013,23.22,22.726,22.726,32093,0
20151116,22.529,23.749,22.529,22.874,44765,0
20151117,22.677,23.601,22.677,23.22,26141,0
20151118,23.734,23.734,23.324,23.665,6625,0
20151119,23.26,24.253,23.26,24.001,18755,0
20151120,24.505,24.604,24.011,24.011,24866,0
20151123,24.623,24.776,23.517,24.238,40206,0
20151124,23.823,24.445,22.953,23.324,31030,0
20151125,23.848,24.742,23.61,24.707,65190,0
20151126,24.129,24.604,24.129,24.604,28223,0
20151127,24.406,24.658,23.976,24.455,16013,0
20151130,24.505,24.767,24.193,24.208,272785,0
20151201,24.416,24.534,24.208,24.381,47432,0
20151202,24.455,24.752,23.996,24.455,30111,0
20151203,24.455,24.974,24.292,24.628,26057,0
20151204,24.416,24.544,24.208,24.208,21652,0
20151207,24.159,24.623,24.159,24.366,10501,0
20151208,24.574,24.707,24.203,24.203,10094,0
20151209,24.411,24.86,24.381,24.86,24878,0
20151210,24.851,24.88,24.485,24.821,24687,0
20151211,24.727,24.801,24.396,24.455,29183,0
20151214,24.307,24.505,24.307,24.495,24420,0
20151215,24.707,24.707,24.174,24.455,32351,0
20151216,24.248,24.93,24.248,24.455,20802,0
20151217,24.653,25.305,24.653,24.9,18194,0
20151218,24.529,25.997,24.529,25.221,40392,0
20151221,25.251,25.789,25.226,25.483,45991,0
20151222,25.532,25.794,25.31,25.794,37444,0
20151223,26.234,26.259,25.933,25.937,15734,0
20151228,25.937,25.957,25.774,25.937,7793,0
20151229,25.937,26.629,25.74,26.629,11505,0
20151230,26.94,27.128,26.184,26.184,14645,0
20160104,26.412,26.431,25.142,25.76,45248,0
20160105,25.982,25.982,25.32,25.443,118029,0
20160106,25.404,25.404,25.226,25.394,13640,0
20160107,24.9,26.145,24.604,25.493,48422,0
20160108,25.71,26.051,25.394,25.789,29841,0
20160111,25.789,26.283,25.448,25.542,35918,0
20160112,25.364,25.488,25.236,25.295,21698,0
20160113,25.122,25.606,24.688,24.692,23660,0
20160114,25.009,25.038,24.04,24.04,32823,0
20160115,23.922,24.347,23.818,23.818,20717,0
20160118,23.714,24.48,23.714,24.352,16222,0
20160119,24.198,24.5,23.917,23.917,38908,0
20160120,23.675,24.534,23.22,23.22,44888,0
20160121,22.988,23.976,22.879,23.349,33843,0
20160122,23.912,24.939,23.853,24.238,30009,0
20160125,24.445,24.9,24.218,24.885,16000,0
20160126,24.574,26.377,24.574,26.377,80691,0
20160127,26.278,26.535,25.656,25.656,64320,0
20160128,25.745,25.774,25.335,25.493,14893,0
20160129,25.69,26.091,25.434,25.478,60875,0
20160201,25.829,26.456,25.824,26.016,39530,0
20160202,25.794,26.273,25.755,25.888,16168,0
20160203,26.313,26.713,25.933,26.086,67826,0
20160204,25.982,26.328,25.982,26.086,31186,0
20160205,25.903,26.476,25.903,26.264,45361,0
20160208,26.076,26.076,24.5,24.505,39895,0
20160209,24.248,24.44,23.739,24.208,52933,0
20160210,24.539,25.671,24.352,25.305,33155,0
20160211,25.196,25.345,24.381,24.702,26656,0
20160212,24.524,25.3,24.51,24.51,33429,0
20160215,24.855,26.264,24.855,26.17,22121,0
20160216,26.387,26.387,24.09,24.208,58733,0
20160217,24.45,24.964,24.45,24.9,21508,0
20160218,25.28,25.957,24.796,25.957,21686,0
20160219,25.626,26.125,25.409,25.409,22635,0
20160222,25.987,26.239,25.394,25.928,19763,0
20160223,26.086,26.456,25.928,26.456,25024,0
20160224,26.491,26.491,25.76,26.491,37291,0
20160225,26.491,27.182,25.977,26.204,21019,0
20160226,26.58,26.802,25.967,26.629,23066,0
20160229,26.955,27.212,26.54,27.212,43559,0
20160301,27.444,27.444,25.72,26.975,85765,0
20160302,26.876,27.321,26.679,26.679,44982,0
20160303,26.906,27.222,26.777,26.777,31500,0
20160304,26.723,27.676,26.723,27.676,36251,0
20160307,27.864,28.383,27.686,27.864,40841,0
20160308,27.513,28.25,27.513,28.25,15605,0
20160309,28.339,28.437,27.568,27.835,33850,0
20160310,27.785,28.294,27.42,27.42,23037,0
20160311,27.365,28.032,27.192,27.928,27330,0
20160314,28.171,28.171,27.869,27.963,16035,0
20160315,28.309,28.309,27.933,28.259,24452,0
20160316,28.398,28.645,28.195,28.408,20247,0
20160317,28.65,28.773,28.082,28.388,19979,0
20160318,28.655,28.921,27.691,28.921,294303,0
20160321,29.169,29.218,28.655,29.218,18951,0
20160322,29.47,29.776,29.075,29.544,42849,0
20160323,29.91,29.91,28.556,28.655,61443,0
20160324,28.452,29.035,28.452,28.655,15738,0
20160329,28.852,29.272,28.299,29.272,43505,0
20160330,29.495,29.643,29.02,29.643,44194,0
20160331,29.9,29.9,29.386,29.781,28640,0
20160401,30.033,30.033,29.302,29.643,29356,0
20160404,29.9,29.9,29.391,29.712,12992,0
20160405,29.524,29.544,28.734,29.544,10719,0
20160406,29.336,30.053,29.336,29.584,11365,0
20160407,29.835,29.919,29.643,29.831,10674,0
20160408,30.087,30.087,29.766,29.89,11222,0
20160411,29.89,30.631,29.84,29.915,15812,0
20160412,30.216,30.216,29.504,29.643,9805,0
20160413,29.895,29.895,28.215,28.655,76236,0
20160414,28.902,29.005,28.279,28.457,18797,0
20160415,28.259,28.803,28.21,28.358,29133,0
20160418,28.828,28.828,28.215,28.531,24338,0
20160419,28.156,28.803,28.156,28.423,33301,0
20160420,28.225,28.655,28.225,28.655,12510,0
20160421,28.655,28.655,27.795,28.111,101709,0
20160422,27.775,28.2,27.059,28.022,60438,0
20160425,28.091,28.111,27.474,27.815,58648,0
20160426,27.993,28.161,27.909,28.003,14780,0
20160427,27.76,28.003,27.76,27.914,8197,0
20160428,28.156,28.309,27.711,28.309,10939,0
20160429,28.506,28.506,28.037,28.408,12740,0
20160502,28.867,29.208,28.339,28.704,11976,0
