Date,Open,High,Low,Close,Volume,OpenInt
20090406,4.1149,4.2992,3.9579,4.0262,1151,0
20090407,3.8897,4.3674,3.8897,4.3674,266,0
20090408,3.7055,4.4357,3.7055,4.0944,2886,0
20090409,3.9579,4.2992,3.9579,4.0262,1257,0
20090414,3.7533,4.6403,3.7533,3.9579,3072,0
20090415,3.8897,4.4357,3.8897,4.265,1765,0
20090416,4.2446,4.6403,4.0944,4.3674,5978,0
20090417,4.3811,4.613,4.3811,4.4357,2445,0
20090420,4.4357,4.5039,4.2992,4.422,3108,0
20090421,4.1627,4.5721,4.1627,4.2309,311,0
20090422,4.0944,4.4357,4.0944,4.4357,50,0
20090423,4.2992,4.4357,4.2309,4.4357,42,0
20090424,4.2992,4.4357,4.2992,4.4357,405,0
20090427,4.2582,4.5721,4.2377,4.4425,112,0
20090428,4.4015,4.5721,4.1627,4.1627,2853,0
20090429,4.1831,4.6403,4.1627,4.5721,8176,0
20090430,4.5039,4.8451,4.4357,4.8451,6350,0
20090504,4.7768,5.1181,4.5721,4.8997,11513,0
20090505,4.7768,5.2545,4.7768,5.2545,2861,0
20090506,4.7768,5.1863,4.1627,4.7086,5373,0
20090507,4.4425,5.1863,4.4425,5.1181,4996,0
20090508,5.1863,5.1863,4.9816,5.1181,1637,0
20090511,4.9133,5.2545,4.9133,5.2545,4560,0
20090512,4.9133,5.0498,4.9133,4.9884,2331,0
20090513,5.0498,6.476,4.9816,6.1757,58437,0
20090514,6.1416,6.1416,5.4592,6.0051,42438,0
20090515,6.0734,6.5511,5.739,6.0051,20870,0
20090518,5.7663,6.3464,5.7663,5.8687,12044,0
20090519,5.9369,6.1416,5.8005,6.0051,5988,0
20090520,6.0051,6.3464,6.0051,6.244,8452,0
20090521,6.0051,6.2781,6.0051,6.2781,2468,0
20090522,6.1553,6.2781,5.8073,6.0734,7508,0
20090525,6.0188,6.2781,5.4592,6.0051,12866,0
20090526,5.5957,6.0734,5.4592,5.4592,13893,0
20090527,5.2545,5.8005,5.1863,5.3978,11530,0
20090528,5.391,5.8005,5.3227,5.7322,16120,0
20090529,5.7595,5.9369,5.5275,5.5275,8338,0
20090601,5.4592,5.664,5.391,5.5275,532,0
20090602,5.391,5.8687,5.391,5.8687,2552,0
20090603,5.6776,5.8687,5.4592,5.8005,1299,0
20090604,5.8687,5.8687,5.5275,5.664,1167,0
20090605,5.466,5.664,5.4592,5.5275,3638,0
20090608,5.2545,5.7322,5.2545,5.4592,2884,0
20090609,5.4865,5.5957,5.4592,5.4592,3509,0
20090610,5.4251,5.5275,5.1863,5.5275,4645,0
20090611,5.391,5.664,5.2545,5.5275,1436,0
20090612,5.3227,5.5957,5.2545,5.4592,3430,0
20090615,5.2408,5.5206,5.1863,5.2545,2587,0
20090616,5.0566,5.2545,5.0498,5.0908,3646,0
20090617,5.4592,5.4592,5.0498,5.1181,4735,0
20090618,5.0703,5.0703,4.3674,4.8451,13292,0
20090619,4.6403,5.0498,4.5721,4.7768,4173,0
20090622,4.6676,5.0498,4.6403,4.7768,2021,0
20090623,4.6403,4.9816,4.5379,4.7768,550,0
20090624,4.5176,4.8451,4.5176,4.8451,2058,0
20090625,4.654,4.9816,4.6062,4.729,761,0
20090626,4.5039,4.9816,4.5039,4.8451,1612,0
20090629,4.7359,4.9133,4.6403,4.6403,1549,0
20090630,4.6403,4.9816,4.6403,4.9816,410,0
20090701,4.654,5.1181,4.6062,4.8451,2453,0
20090702,4.7768,5.1181,4.7768,5.0498,849,0
20090703,4.8451,5.1863,4.8109,5.1112,500,0
20090706,4.8451,5.1181,4.8451,5.1181,795,0
20090707,4.8519,5.2545,4.8451,5.0498,1460,0
20090708,4.8451,5.1181,4.8451,4.9133,171,0
20090709,4.9133,5.0498,4.7768,5.0498,630,0
20090710,4.8451,5.391,4.7768,5.1181,5274,0
20090713,5.0703,5.8687,5.0703,5.6094,9082,0
20090714,5.5957,6.2781,5.5957,6.0734,36970,0
20090715,5.9369,6.3464,5.6981,6.1416,22800,0
20090716,6.0051,6.3805,5.664,5.9369,6879,0
20090717,6.2099,6.2099,5.8005,5.9369,8073,0
20090720,5.8005,6.4829,5.8005,6.4829,18332,0
20090721,6.2372,6.4146,5.9369,6.3464,5898,0
20090722,6.1484,6.2781,5.8414,6.1416,2188,0
20090723,5.896,6.2099,5.8687,6.2099,853,0
20090724,6.1757,6.3464,5.8687,6.2099,7651,0
20090727,6.3805,6.3805,5.8005,6.0734,4069,0
20090728,5.8687,6.2099,5.8005,6.1075,648,0
20090729,5.8755,6.1416,5.8005,6.0734,305,0
20090730,5.9369,6.1416,5.8005,6.0734,2906,0
20090731,5.9369,6.1416,5.8005,6.1416,1904,0
20090803,5.9369,6.1416,5.8005,5.8687,3640,0
20090804,6.1416,6.1416,5.8005,5.8005,6955,0
20090805,5.5616,5.7322,5.2545,5.3227,10997,0
20090806,5.2068,5.5957,5.1863,5.5275,5307,0
20090807,5.1863,5.5957,5.1863,5.4592,2284,0
20090810,5.664,5.8619,5.391,5.8619,5042,0
20090811,5.664,6.0051,5.2545,5.6298,1956,0
20090812,5.5275,5.7322,5.3227,5.4592,1210,0
20090813,5.3022,5.664,5.3022,5.4592,1890,0
20090814,5.3227,5.8005,5.3227,5.8005,2702,0
20090817,5.9369,5.9369,5.4592,5.4592,1740,0
20090818,5.3618,5.4592,5.0693,5.3618,882,0
20090819,4.8743,5.2155,4.8743,4.884,3512,0
20090820,4.9718,5.1472,4.923,5.1472,696,0
20090821,4.9913,5.079,4.9328,5.0693,12343,0
20090824,5.0595,5.196,4.9426,5.0303,913,0
20090825,4.9328,5.1667,4.9328,5.1667,3972,0
20090826,5.0108,5.313,4.9328,5.313,1017,0
20090827,5.0986,5.274,5.0595,5.0888,3867,0
20090828,4.9523,5.0986,4.8743,5.0595,7826,0
20090831,4.8645,5.235,4.8645,5.2058,5611,0
20090901,5.2058,5.3618,4.9718,5.3618,2602,0
20090902,4.884,5.313,4.884,5.1375,473,0
20090903,5.1472,5.4104,5.1181,5.1765,4577,0
20090904,5.1863,5.4592,5.0693,5.3618,5907,0
20090907,5.3227,5.508,5.1863,5.4202,4466,0
20090908,5.2837,5.4592,5.1863,5.4592,2761,0
20090909,5.2643,5.3618,5.196,5.313,2167,0
20090910,5.2058,5.313,5.1863,5.2155,802,0
20090911,5.1863,5.508,5.1667,5.3422,3965,0
20090914,5.196,5.3618,5.0693,5.0693,2027,0
20090915,5.079,5.2837,5.079,5.0888,1431,0
20090916,5.0595,5.2643,5.0108,5.2448,673,0
20090917,5.1278,5.5373,5.0595,5.2155,871,0
20090918,5.0693,5.2448,4.9913,5.1667,1809,0
20090921,4.884,5.313,4.884,5.313,1038,0
20090922,5.0693,5.313,5.04,5.2643,336,0
20090923,5.04,5.2643,5.04,5.1181,1183,0
20090924,4.9913,5.0693,4.923,5.04,605,0
20090925,5.0693,5.196,4.9816,4.9816,1904,0
20090928,4.9133,5.196,4.9133,5.1765,390,0
20090929,4.9328,5.2643,4.923,5.2643,4787,0
20090930,5.1472,5.4495,4.9621,5.1278,38164,0
20091001,5.001,5.2155,4.6989,4.8645,11355,0
20091002,4.7475,5.157,4.7475,5.0498,2279,0
20091005,4.9523,5.0693,4.9133,5.0693,1798,0
20091006,4.9621,5.2545,4.8743,5.1667,3300,0
20091007,5.1083,5.2155,4.9718,5.2155,3608,0
20091008,5.079,5.1181,4.9718,4.9718,2256,0
20091009,5.001,5.2643,5.001,5.2448,5129,0
20091012,5.1181,5.2837,5.079,5.2253,7677,0
20091013,5.0986,5.2545,5.0693,5.0693,2487,0
20091014,5.1181,5.1667,4.9718,4.9816,1053,0
20091015,4.9816,5.1181,4.9328,5.1181,6142,0
20091016,5.2155,5.235,4.9035,5.1181,851,0
