Date,Open,High,Low,Close,Volume,OpenInt
19951117,8.7677,8.802,8.6531,8.6714,1338878,0
19951120,8.6714,8.7333,8.4239,8.5384,1555698,0
19951121,8.4812,8.5271,8.4239,8.4353,590694,0
19951122,8.4628,8.5844,8.4583,8.5729,1020845,0
19951123,8.5959,8.6875,8.5775,8.6531,742512,0
19951124,8.6531,8.8824,8.6188,8.825,820603,0
19951127,8.8067,8.8824,8.802,8.8709,663114,0
19951128,8.8296,8.8481,8.7333,8.7975,655260,0
19951129,8.7724,8.9168,8.7403,8.7861,492973,0
19951130,8.8136,9.1692,8.7403,9.0195,1212799,0
19951201,9.0546,9.1644,8.9512,9.0432,2153374,0
19951204,8.9397,8.9397,8.8709,8.9008,263501,0
19951205,8.9168,8.9168,8.7104,8.8434,661804,0
19951206,8.8481,8.8709,8.7104,8.7104,204169,0
19951207,8.7632,8.825,8.6875,8.802,582842,0
19951208,8.802,8.8481,8.7562,8.7906,239070,0
19951211,8.7906,8.7906,8.6303,8.6303,173195,0
19951212,8.676,8.7104,8.6531,8.6829,310181,0
19951213,8.6875,8.6875,8.5384,8.6646,530490,0
19951214,8.6417,8.6417,8.55,8.5616,234708,0
19951215,8.5616,8.5616,8.3666,8.378,475522,0
19951218,8.252,8.252,8.0457,8.0801,467232,0
19951219,8.0273,8.4239,8.0228,8.229,799226,0
19951220,8.252,8.5616,8.252,8.4767,302328,0
19951221,8.4239,8.7677,8.4239,8.6531,741204,0
19951222,8.6531,8.8824,8.6531,8.7104,226854,0
19951227,8.6531,8.6531,8.5202,8.5202,203297,0
19951228,8.4812,8.5384,8.4583,8.5155,78962,0
19951229,8.5959,8.7677,8.5959,8.7104,119098,0
19960102,8.7104,8.825,8.5959,8.7792,365585,0
19960103,8.802,9.0082,8.7677,8.825,391760,0
19960104,8.8824,8.9856,8.8824,8.9512,168831,0
19960105,8.8824,9.031,8.7677,8.9168,188464,0
19960108,8.9168,8.9168,8.8481,8.8481,119972,0
19960109,8.9054,8.9625,8.8777,8.9397,240814,0
19960110,8.9168,8.9625,8.825,8.8594,230345,0
19960111,8.7724,8.8824,8.7677,8.825,28793,0
19960112,8.9054,9.031,8.8938,8.9969,133058,0
19960115,9.0546,9.1114,8.9969,9.1114,275280,0
19960116,9.0546,9.4547,9.0546,9.4379,401794,0
19960117,9.513,9.605,9.3985,9.605,284004,0
19960118,9.582,9.638,9.3401,9.3985,603347,0
19960119,9.4547,9.525,9.433,9.513,137859,0
19960122,9.513,9.822,9.513,9.628,508240,0
19960123,9.57,9.65,9.3985,9.537,174939,0
19960124,9.513,9.57,9.4162,9.525,312796,0
19960125,9.534,9.684,9.534,9.575,106447,0
19960126,9.57,9.695,9.3798,9.3985,201552,0
19960129,9.3401,9.3401,9.2378,9.2841,222927,0
19960130,9.3296,9.684,9.3296,9.684,287494,0
19960131,9.684,9.799,9.57,9.657,140911,0
19960201,9.715,9.753,9.684,9.684,65438,0
19960202,9.72,9.742,9.57,9.695,78962,0
19960205,9.628,9.662,9.628,9.662,80272,0
19960206,9.674,9.777,9.674,9.753,362967,0
19960207,9.742,9.777,9.72,9.742,140911,0
19960208,9.742,10.063,9.742,9.971,1059235,0
19960209,9.971,10.177,9.971,10.104,692343,0
19960212,10.075,10.257,10.075,10.12,181047,0
19960213,10.143,10.315,10.143,10.143,304508,0
19960214,10.12,10.12,10.001,10.001,114736,0
19960215,9.914,10.001,9.914,9.949,102084,0
19960216,9.971,10.212,9.971,10.059,505625,0
19960219,9.994,10.075,9.971,10.028,157926,0
19960220,10.063,10.086,10.028,10.052,80708,0
19960221,10.059,10.407,10.059,10.373,410519,0
19960222,10.373,10.693,10.373,10.522,538779,0
19960223,10.601,10.888,10.601,10.72,294910,0
19960226,10.726,10.763,10.636,10.659,101211,0
19960227,10.659,10.659,10.491,10.544,165343,0
19960228,10.544,10.888,10.544,10.888,329374,0
19960229,10.888,11.083,10.773,10.808,482067,0
19960301,10.773,11.3,10.773,11.049,402230,0
19960304,11.004,11.427,11.004,11.288,326321,0
19960305,11.404,11.45,10.659,10.796,509114,0
19960306,10.659,10.866,10.315,10.51,590259,0
19960307,10.601,11.404,10.601,11.3,1020845,0
19960308,11.404,11.805,10.83,11.45,864228,0
19960311,11.347,11.347,10.888,11.071,371256,0
19960312,11.232,11.392,11.117,11.117,340282,0
19960313,11.06,11.06,10.659,10.992,434514,0
19960314,10.83,11.06,10.83,10.866,121280,0
19960315,11.117,11.633,11.004,11.404,303200,0
19960318,11.461,11.919,11.288,11.748,353370,0
19960319,11.805,11.977,11.542,11.542,234708,0
19960320,11.691,11.691,11.117,11.575,449346,0
19960321,11.518,11.575,11.404,11.438,213330,0
19960322,11.461,11.919,11.461,11.919,369511,0
19960325,12.035,12.493,12.035,12.263,328940,0
19960326,12.321,12.378,12.035,12.035,225982,0
19960327,12.091,12.378,12.091,12.263,504753,0
19960328,12.056,12.309,12.056,12.148,76781,0
19960329,12.321,12.549,12.205,12.321,253030,0
19960401,12.263,12.355,12.148,12.263,78962,0
19960402,12.148,12.549,12.148,12.263,227727,0
19960403,12.493,12.493,11.931,12,314107,0
19960404,12.126,12.126,11.919,12.126,65876,0
19960409,12.148,12.321,12.091,12.194,136111,0
19960410,12.205,12.205,11.874,12.046,94232,0
19960411,11.919,11.919,11.575,11.575,232089,0
19960412,11.633,11.805,11.518,11.575,331555,0
19960415,11.691,11.919,11.656,11.816,223801,0
19960416,11.816,12.148,11.805,11.953,396995,0
19960417,11.977,12.401,11.965,12.333,378673,0
19960418,12.493,12.608,12.367,12.435,273534,0
19960419,12.549,12.722,12.378,12.447,233834,0
19960422,12.493,13.353,12.493,13.353,342900,0
19960423,13.353,13.398,12.951,13.123,370820,0
19960424,13.088,13.18,13.088,13.088,210278,0
19960425,13.066,13.123,13.009,13.123,62385,0
19960426,13.295,13.295,13.134,13.18,256520,0
19960429,13.066,13.146,12.722,12.951,193700,0
19960430,12.549,13.449,12.549,13.34,1251627,0
19960502,13.409,14.441,13.34,14.097,439311,0
19960503,13.926,13.926,13.295,13.52,929231,0
19960506,13.753,13.869,13.639,13.753,52351,0
19960507,13.869,14.212,13.513,13.582,373438,0
19960508,13.869,13.96,13.238,13.34,280950,0
19960509,13.582,13.741,13.467,13.73,130442,0
19960510,13.684,13.857,13.639,13.639,373002,0
19960513,13.639,13.753,13.497,13.524,39264,0
19960514,13.787,14.304,13.753,14.212,634320,0
19960515,14.212,14.441,13.639,13.972,802281,0
19960517,13.753,13.982,13.467,13.982,408337,0
19960520,13.926,14.326,13.535,13.535,242996,0
19960521,13.753,13.753,13.57,13.673,132623,0
19960522,13.753,13.869,13.593,13.639,122151,0
19960523,13.857,13.857,13.18,13.524,268735,0
19960524,12.951,13.524,12.951,13.158,132623,0
19960528,13.353,13.409,12.893,13.009,187592,0
19960529,12.779,13.054,12.688,13.054,267863,0
19960530,12.951,13.123,12.722,13.123,333738,0
19960531,13.009,13.146,13.009,13.111,242996,0
19960603,13.009,13.066,13.009,13.042,35338,0
19960604,13.066,13.513,13.066,13.513,266118,0
19960605,13.524,13.753,13.467,13.634,222492,0
19960606,14.064,14.064,13.972,13.982,43189,0
19960607,13.73,14.326,13.524,13.535,508240,0
19960610,13.869,13.926,13.639,13.857,210713,0
19960611,13.869,14.017,13.787,14.017,172759,0
19960612,13.845,14.212,13.845,14.144,319342,0
19960613,13.982,14.017,13.753,13.902,215949,0
19960614,13.753,13.914,13.409,13.432,571062,0
19960617,13.811,14.097,13.811,13.879,114736,0
19960618,13.926,14.659,13.926,14.659,577170,0
19960619,14.67,14.728,14.35,14.499,212894,0
