Date,Open,High,Low,Close,Volume,OpenInt
20050124,3.0251,3.0251,3.0251,3.0251,277,0
20050126,3.0996,3.0996,3.0996,3.0996,277,0
20050201,3.1034,3.1034,2.6343,2.6343,277,0
20050207,2.988,2.988,2.988,2.988,694,0
20050214,2.9507,2.9507,2.9507,2.9507,278,0
20050216,2.9507,2.9507,2.9507,2.9507,139,0
20050222,3.3654,3.3654,3.315,3.351,11795,0
20050223,3.3119,3.5639,3.3119,3.5279,8334,0
20050224,3.4626,3.4626,3.3905,3.4626,7625,0
20050225,3.3501,3.6384,3.3501,3.6024,9439,0
20050228,3.4935,3.8536,3.4935,3.8536,16244,0
20050301,3.6771,4.0882,3.6051,4.0305,24549,0
20050302,4.1956,4.2317,3.965,4.1235,14288,0
20050303,4.2155,4.2155,3.9993,4.1795,9437,0
20050304,4.1766,4.1766,4.0398,4.0398,1249,0
20050307,4.1764,4.1764,3.8164,3.8164,9999,0
20050308,3.7866,3.9309,3.7506,3.8443,10675,0
20050309,3.8531,3.8531,3.5651,3.5651,10552,0
20050310,3.71,3.71,3.5371,3.5371,1111,0
20050311,3.6719,3.7079,3.5279,3.5279,4861,0
20050314,3.5709,3.5709,3.4626,3.4626,1386,0
20050315,3.5422,3.5422,3.5279,3.5279,1667,0
20050316,3.6167,3.6167,3.5302,3.6024,3193,0
20050317,3.75,3.75,3.714,3.714,1664,0
20050321,3.5998,3.5998,3.5279,3.5279,4167,0
20050322,3.6433,3.6506,3.593,3.593,2221,0
20050323,3.6675,3.999,3.6026,3.8909,40804,0
20050324,3.9629,3.9629,3.8909,3.8909,4579,0
20050329,3.8896,3.9257,3.8321,3.8536,6386,0
20050330,3.8378,3.8378,3.7512,3.7512,1525,0
20050401,3.714,3.714,3.714,3.714,1387,0
20050404,3.7512,3.8594,3.7512,3.7512,555,0
20050405,3.7861,3.7861,3.714,3.714,2080,0
20050406,3.6768,3.6768,3.6768,3.6768,3190,0
20050407,3.6744,3.6744,3.6024,3.6024,2499,0
20050411,3.6046,3.6768,3.6046,3.6768,4022,0
20050412,3.7512,3.7512,3.7512,3.7512,693,0
20050413,3.6756,3.6756,3.6035,3.6395,4163,0
20050414,3.5348,3.8234,3.5348,3.7512,19546,0
20050415,3.8861,3.8861,3.7203,3.742,6658,0
20050418,3.8222,3.8222,3.678,3.714,6656,0
20050419,3.6094,3.6239,3.6024,3.6024,11381,0
20050420,3.6122,3.742,3.6049,3.742,11512,0
20050421,3.6029,3.7326,3.6029,3.7326,10686,0
20050422,3.7464,3.7464,3.6024,3.6024,5691,0
20050425,3.6274,3.714,3.613,3.714,3883,0
20050426,3.7104,3.7104,3.6024,3.6024,24846,0
20050427,3.5348,3.5348,3.4626,3.4626,3327,0
20050429,3.4626,3.5059,3.4626,3.4626,3743,0
20050502,3.4626,3.4626,3.4626,3.4626,2773,0
20050503,3.3882,3.3882,3.3161,3.3882,9571,0
20050504,3.387,3.387,3.315,3.351,5551,0
20050506,3.5271,3.5271,3.3323,3.3323,416,0
20050509,3.5279,3.5279,3.5279,3.5279,555,0
20050512,3.3975,3.3975,3.3975,3.3975,1803,0
20050513,3.4266,3.4626,3.4266,3.4626,831,0
20050516,3.4582,3.6024,3.4582,3.6024,1665,0
20050517,3.6024,3.6024,3.6024,3.6024,2220,0
20050518,3.5986,3.7065,3.4906,3.4906,9866,0
20050524,3.5305,3.6675,3.5305,3.6675,2915,0
20050530,3.6395,3.6395,3.6395,3.6395,1388,0
20050531,3.6395,3.6395,3.6395,3.6395,416,0
20050601,3.7089,3.7449,3.6009,3.7233,12774,0
20050603,3.8812,3.8812,3.8164,3.8164,2083,0
20050606,3.7512,3.7512,3.7512,3.7512,277,0
20050607,3.8143,3.8215,3.8071,3.8071,1941,0
20050608,3.895,4.0677,3.8877,4.0677,24863,0
20050609,4.0606,4.0606,3.9094,3.9094,1806,0
20050610,3.9956,4.0677,3.9956,4.0677,2912,0
20050613,3.9654,3.9654,3.9004,3.9654,3606,0
20050615,3.9654,3.9654,3.9654,3.9654,416,0
20050616,3.8752,4.0337,3.8536,3.8536,7635,0
20050617,4.0364,4.2166,4.0364,4.2166,16510,0
20050620,4.2527,4.3248,4.2166,4.2166,9574,0
20050621,4.2539,4.2539,4.1458,4.2539,11095,0
20050622,4.2155,4.2155,4.1795,4.1795,3747,0
20050623,4.1803,4.1803,4.1515,4.1515,971,0
20050624,4.165,4.1795,4.165,4.1795,1665,0
20050627,4.1757,4.1757,4.0677,4.0677,4584,0
20050628,4.1461,4.1461,4.0957,4.0957,1664,0
20050629,4.1422,4.1422,4.1062,4.1422,3055,0
20050630,4.1085,4.2527,4.1085,4.2166,13874,0
20050701,4.2539,4.2539,4.2539,4.2539,2635,0
20050704,4.9513,5.2974,4.8793,5.0451,77699,0
20050705,5.1978,5.241,5.0395,5.1474,19446,0
20050706,5.1905,5.1905,5.0103,5.0823,5826,0
20050707,5.1114,5.1835,4.8236,5.1474,12085,0
20050708,5.1132,5.4733,5.1132,5.4733,9721,0
20050711,5.5109,5.9791,5.5109,5.799,23738,0
20050712,5.76,6.0839,5.76,5.9759,17500,0
20050713,6.093,6.093,5.6315,5.6315,10541,0
20050714,5.6902,5.6902,5.0778,5.2219,10691,0
20050715,5.3289,5.4585,4.868,5.0265,19996,0
20050718,5.041,5.4587,4.8609,5.2499,13608,0
20050719,5.2508,5.366,5.2219,5.2219,4997,0
20050720,5.3384,5.3384,5.2592,5.2592,694,0
20050721,5.2592,5.2592,5.2592,5.2592,277,0
20050722,5.2219,5.2579,5.2219,5.2219,1528,0
20050725,5.2579,5.2579,5.2219,5.2219,1667,0
20050726,5.1907,5.3709,5.1907,5.3709,3190,0
20050727,5.2924,5.4364,5.1196,5.1196,7083,0
20050728,5.1553,5.2923,5.0544,5.0544,1803,0
20050729,5.256,5.256,5.0544,5.0544,2361,0
20050801,5.2985,5.2985,5.0823,5.0823,2774,0
20050802,5.0456,5.2619,5.0385,5.1754,20671,0
20050803,5.1847,5.3287,5.1847,5.1847,2777,0
20050804,5.336,5.4081,5.2278,5.4081,4854,0
20050805,4.54,4.6769,4.468,4.468,27476,0
20050808,4.5329,4.5329,4.3455,4.468,8464,0
20050809,4.4773,4.4773,4.4773,4.4773,278,0
20050810,4.4469,4.5118,4.3749,4.3749,1527,0
20050811,4.4175,4.468,4.2518,4.468,5273,0
20050812,4.3208,4.3208,4.2631,4.2631,833,0
20050815,4.2238,4.2238,4.1446,4.2166,9850,0
20050816,4.1446,4.2166,4.1446,4.2166,1387,0
20050817,4.1434,4.1795,4.1434,4.1795,1388,0
20050819,4.1457,4.1457,4.0305,4.0305,696,0
20050822,3.9797,4.0735,3.8932,3.9654,14563,0
20050823,3.9654,3.9654,3.9654,3.9654,139,0
20050824,3.9586,4.0305,3.9586,4.0305,2222,0
20050825,4.1697,4.1697,4.105,4.105,417,0
20050826,4.1607,4.3191,4.1607,4.3191,9029,0
20050829,4.177,4.213,4.105,4.105,3471,0
20050831,4.0376,4.0376,4.0305,4.0305,278,0
20050901,4.2176,4.2176,4.0305,4.0305,972,0
20050905,4.1396,4.1396,4.0677,4.0677,1667,0
20050906,4.0305,4.0376,4.0305,4.0305,1112,0
20050907,4.1394,4.4351,4.1394,4.226,18997,0
20050908,4.3919,4.3919,4.2192,4.2911,1528,0
20050909,4.4758,4.6703,4.4758,4.5983,39682,0
20050912,4.6869,4.9752,4.5498,4.831,42161,0
20050913,4.8586,4.8586,4.7577,4.7937,9988,0
20050914,4.8289,4.901,4.7569,4.8217,23588,0
20050915,4.8136,4.8136,4.6191,4.6262,14016,0
20050916,4.7454,4.8031,4.6876,4.8031,2218,0
20050919,4.8273,4.8273,4.7193,4.7193,2776,0
20050920,4.7193,4.7193,4.6904,4.7193,1527,0
20050921,4.688,4.688,4.6088,4.6448,9859,0
20050922,4.6084,4.6084,4.5797,4.5797,3749,0
20050923,4.5517,4.6166,4.5517,4.5517,694,0
20050926,4.5745,4.589,4.5458,4.589,2082,0
20050927,4.6076,4.6076,4.6076,4.6076,417,0
20050928,4.5425,4.5425,4.5425,4.5425,1389,0
20050929,4.5734,4.5734,4.5517,4.5517,1388,0
20050930,4.5469,4.828,4.5398,4.6262,19012,0
20051003,4.9715,5.3895,4.9715,5.1661,33587,0
20051004,5.0905,5.2275,5.0473,5.0544,6934,0
20051005,5.0427,5.0427,4.949,4.9706,6941,0
20051006,4.9032,4.9032,4.831,4.831,6379,0
20051007,4.8517,4.8589,4.8517,4.8589,1389,0
20051010,5.0103,5.1832,4.9741,5.0823,10543,0
20051011,5.1875,5.5478,5.1299,5.5478,49272,0
20051012,5.7967,6.1209,5.6887,5.948,61936,0
20051013,6.0119,6.0119,5.76,5.9759,37778,0
20051014,6.0068,6.0068,5.87,5.9852,16800,0
20051017,6.1285,6.5251,6.1285,6.5251,44799,0
20051018,6.702,7.0983,6.4857,6.702,41630,0
20051019,6.8013,6.8013,6.0519,6.3761,25262,0
20051020,6.409,6.697,6.409,6.553,21385,0
20051021,6.483,6.4974,6.1372,6.3389,8884,0
20051024,6.2662,6.4752,6.1942,6.2086,5693,0
20051025,6.4734,6.4879,6.4158,6.4879,1804,0
20051026,6.3447,6.4167,6.2365,6.2365,2913,0
20051027,6.1249,6.1249,6.0528,6.1249,3469,0
20051028,6.0497,6.0857,5.9129,5.9201,4999,0
20051031,6.0095,6.2474,6.0095,6.1249,6245,0
20051101,6.33,6.33,5.9051,6.0131,13887,0
20051102,6.0499,6.0499,5.7258,5.7618,10830,0
20051103,5.7685,5.7685,5.6244,5.6315,9430,0
20051104,5.5515,5.7246,5.5515,5.7246,11374,0
20051107,5.7606,5.7606,5.6166,5.7246,6527,0
20051108,5.9051,6.0131,5.7611,6.0131,11248,0
20051109,6.0557,6.3296,6.0197,6.3296,19142,0
20051110,6.2009,6.3017,6.1577,6.3017,5137,0
20051111,6.305,6.3194,6.1249,6.1249,9715,0
20051114,6.1276,6.2717,6.1276,6.2645,1387,0
20051115,6.489,6.8496,6.352,6.5251,20804,0
20051116,6.4121,6.4843,6.3761,6.3761,2220,0
20051117,6.4134,6.4134,6.3774,6.4134,2498,0
20051118,6.3761,6.4771,6.2681,6.3761,4581,0
20051121,6.4143,6.472,6.3783,6.3854,3469,0
20051122,6.3017,6.4457,6.3017,6.3017,2360,0
20051123,6.3017,6.3017,6.3017,6.3017,972,0
20051124,6.2645,6.2645,6.2645,6.2645,2638,0
20051125,6.1981,6.1981,6.162,6.162,3607,0
20051128,6.122,6.1652,5.834,5.9852,14996,0
20051129,6.0491,6.0636,6.0131,6.0131,4444,0
20051130,6.1104,6.1249,6.1104,6.1249,139,0
20051201,6.0876,6.0876,6.0876,6.0876,277,0
20051202,6.0528,6.1249,6.0528,6.1249,4442,0
20051205,6.0528,6.1969,6.0528,6.1249,10825,0
20051206,6.0504,6.1585,6.0504,6.0504,1388,0
20051207,6.0479,6.0479,5.904,5.9759,5973,0
20051208,5.9828,5.9828,5.9108,5.9108,4162,0
20051209,5.9078,6.1599,5.9078,6.1528,15268,0
20051212,6.1567,6.207,6.0847,6.1062,5555,0
20051213,6.1609,6.1969,6.1249,6.1249,3747,0
20051214,6.1224,6.1224,6.0504,6.0504,5276,0
20051215,6.1572,6.1572,6.0131,6.0131,2500,0
20051216,6.0155,6.0876,6.0155,6.0876,2220,0
20051219,5.9828,6.055,5.9108,5.9108,8879,0
20051220,5.8411,6.0499,5.6179,5.7618,15412,0
20051221,5.6244,5.6315,5.6171,5.6315,3471,0
20051222,5.6351,5.7432,5.6351,5.7432,1527,0
20051223,5.7618,5.8123,5.7618,5.7618,10136,0
20051227,5.6186,5.8348,5.6186,5.7339,7635,0
20051228,5.8317,5.8317,5.7525,5.7525,1806,0
20051229,5.7618,5.7618,5.7618,5.7618,277,0
20051230,5.7672,5.8177,5.659,5.8177,1248,0
20060102,5.805,5.8339,5.6971,5.7618,2638,0
20060103,5.9119,5.984,5.9119,5.948,8183,0
20060104,5.948,5.948,5.948,5.948,1664,0
20060105,5.9336,5.948,5.9336,5.948,277,0
20060106,5.9294,5.9294,5.9294,5.9294,832,0
20060109,5.9312,5.9312,5.8735,5.8735,2359,0
20060110,5.9431,5.9431,5.799,5.799,3887,0
20060111,5.7979,5.7979,5.7618,5.7618,1249,0
20060112,5.7676,5.7676,5.6594,5.6594,3606,0
20060113,5.7315,5.7315,5.6594,5.6594,4161,0
20060116,5.6294,5.6294,5.6222,5.6222,2636,0
20060117,5.6246,5.6967,5.6246,5.6967,2913,0
20060118,5.5486,5.5486,5.1163,5.2964,20816,0
20060119,5.2925,5.4006,5.2566,5.343,9305,0
20060120,5.4048,5.6138,5.4048,5.5849,6800,0
20060123,5.5839,5.9081,5.5839,5.7712,12769,0
20060124,5.904,6.0695,5.868,5.9759,6110,0
20060125,5.9095,5.9095,5.8735,5.8735,3330,0
20060126,5.765,5.765,5.5561,5.5849,4995,0
20060127,5.5489,5.5849,5.5489,5.5849,277,0
20060130,5.5825,5.5825,5.5105,5.5105,3887,0
20060131,5.4081,5.4081,5.4081,5.4081,1664,0
20060201,5.404,5.44,5.339,5.3895,21374,0
20060202,5.3493,5.4429,5.3348,5.3709,5826,0
20060203,5.3709,5.479,5.3709,5.3709,1110,0
20060206,6.6985,7.4332,6.4823,7.4187,71085,0
20060207,7.6059,7.7861,7.3247,7.3535,18864,0
20060208,7.4207,7.4207,7.0605,7.2046,10827,0
20060209,7.3115,7.3115,7.1026,7.1674,4443,0
20060210,7.0986,7.0986,6.9905,6.9905,15402,0
20060213,7.065,7.1731,7.0361,7.065,4022,0
20060214,7.101,7.101,7.065,7.065,3053,0
20060215,7.0628,7.3151,7.0628,7.2791,10546,0
20060216,7.2454,7.5482,7.1372,7.3535,15119,0
20060217,7.5183,7.5183,7.3455,7.3815,1111,0
20060220,7.4175,7.4175,7.3455,7.3815,5833,0
20060221,7.3145,7.3145,7.1488,7.1488,5413,0
20060222,7.2791,7.2791,7.243,7.2791,971,0
20060223,7.2814,7.3535,7.0652,7.3535,5409,0
20060224,7.3455,7.3815,7.2014,7.3815,1111,0
20060227,7.4173,7.9934,7.4173,7.9213,16525,0
20060228,7.9285,8.4619,7.9285,8.1447,11793,0
20060301,8.1734,8.2454,7.9213,7.9213,5833,0
20060302,7.9213,8.1013,7.9213,7.9213,3194,0
20060303,7.8521,8.0681,7.8521,8.0609,1527,0
20060306,7.853,8.0331,7.853,8.0331,7773,0
20060307,8.0293,8.0582,7.9213,7.9213,2500,0
20060308,7.9967,7.9967,7.7445,7.7445,15130,0
20060309,7.7501,7.7501,6.993,7.3535,9987,0
20060310,7.2794,7.5676,7.2794,7.5676,5550,0
20060313,7.7082,7.7442,7.6362,7.6794,4997,0
20060314,7.6036,7.7118,7.5676,7.5676,4441,0
20060315,7.7118,7.7478,7.5676,7.5676,3469,0
20060316,7.4745,7.4745,7.4745,7.4745,139,0
20060317,7.4241,7.6043,7.4241,7.4745,3607,0
20060320,7.4202,7.7805,7.4202,7.7445,7080,0
20060321,7.7481,7.9282,7.712,7.8562,5827,0
20060322,8.2123,8.6445,8.2123,8.2843,24293,0
20060323,8.4293,8.4293,7.9971,8.0331,9717,0
20060324,8.0727,8.1447,8.0005,8.1447,3469,0
20060327,8.2288,8.3945,8.2288,8.2937,11380,0
20060328,8.4321,8.4321,8.252,8.3961,4302,0
20060329,8.3951,8.6474,8.3951,8.6474,14710,0
20060330,8.6424,8.6424,8.4624,8.4984,4305,0
20060331,8.4324,8.4612,8.2161,8.4612,4302,0
20060403,8.3549,8.4054,8.283,8.4054,4304,0
20060404,8.2143,8.2143,7.9262,8.0703,8327,0
20060405,8.2123,8.2843,7.9962,8.2843,4304,0
20060406,8.2843,8.7886,8.2843,8.2843,8884,0
20060407,8.2508,8.3588,8.2147,8.3588,832,0
20060410,8.2861,8.2861,7.7817,7.7817,15405,0
20060411,7.7851,7.7851,7.4246,7.6049,5411,0
20060412,7.5658,7.71,7.4,7.4,3470,0
20060413,7.5624,7.5984,7.3535,7.3535,2083,0
20060418,7.3505,7.5956,6.9542,7.5956,25394,0
20060419,7.7109,7.9271,7.6388,7.819,17901,0
20060420,7.8944,7.8944,7.6421,7.6421,4022,0
20060421,7.6349,7.6709,7.5989,7.6421,2360,0
20060424,7.7053,8.0653,7.7053,7.9213,13192,0
20060425,7.9258,7.9258,7.7817,7.7817,832,0
20060426,7.819,7.819,7.819,7.819,1388,0
20060427,7.9295,7.9295,7.8502,7.8935,3190,0
20060428,7.891,7.891,7.783,7.819,4024,0
20060502,7.8207,7.8207,7.7055,7.7631,12914,0
20060503,7.2003,7.2003,6.5523,6.8044,36108,0
20060504,6.8488,7.065,6.7046,7.065,5411,0
20060505,6.9195,7.0277,6.9195,7.0277,3329,0
20060508,6.9126,7.0565,5.9045,6.2645,22222,0
20060509,6.2676,6.4837,6.2676,6.4692,15825,0
20060510,6.4803,6.4803,6.4227,6.4227,2917,0
20060511,6.4486,6.7007,6.4197,6.6647,9577,0
20060512,7.0241,7.0241,6.844,6.916,12215,0
20060515,6.9843,6.9843,6.7321,6.7391,8879,0
20060516,6.7263,6.9784,6.7263,6.8416,2221,0
20060517,6.9149,7.0949,6.7707,6.8789,20131,0
20060518,6.81,6.81,6.702,6.702,5413,0
20060519,6.6984,6.7992,6.5902,6.5902,14996,0
20060522,6.6941,6.6941,6.06,6.1249,17347,0
20060523,6.054,6.162,5.9818,6.162,34549,0
20060524,6.2731,6.4318,6.2731,6.3669,9430,0
20060525,6.3761,6.3761,6.3761,6.3761,139,0
20060526,6.265,6.553,6.229,6.553,5138,0
20060529,6.3461,6.3461,6.3389,6.3389,1805,0
20060530,6.272,6.553,6.0628,6.553,4022,0
20060531,6.0551,6.1993,5.9831,6.1993,4716,0
20060601,5.984,6.1282,5.948,5.948,6103,0
20060602,6.055,6.055,5.9108,5.9108,1942,0
20060605,5.7762,5.7762,5.7618,5.7618,3194,0
20060606,5.5849,5.5849,5.2391,5.3615,7910,0
20060607,5.4028,5.5756,5.3308,5.5756,9162,0
20060608,5.4,5.436,5.3208,5.436,5695,0
20060609,5.3656,5.5384,5.3656,5.5384,1944,0
20060612,5.7527,5.9759,5.7527,5.9759,5000,0
20060613,5.8003,5.8363,5.7643,5.8363,26785,0
20060614,5.7657,5.8378,5.7153,5.7153,3053,0
20060619,6.4805,6.8405,6.4805,6.6461,19859,0
20060620,6.6216,6.6647,6.4486,6.6647,7633,0
20060621,6.8493,6.8493,6.4166,6.4599,5964,0
20060622,6.5555,6.6635,6.5194,6.6275,3331,0
20060623,6.6681,6.8408,6.6681,6.7113,3056,0
20060626,6.7115,6.7115,6.553,6.553,6943,0
20060627,6.5599,6.5599,6.4879,6.4879,3884,0
20060628,6.553,6.553,6.553,6.553,278,0
20060629,6.481,6.553,6.481,6.553,2777,0
20060630,6.5915,6.6275,6.5915,6.6275,1388,0
20060703,6.596,6.596,6.4879,6.4879,3468,0
20060704,6.4879,6.4879,6.4879,6.4879,694,0
20060706,6.7323,6.8044,6.7323,6.8044,8194,0
20060707,6.846,6.846,6.702,6.702,2082,0
20060710,6.553,6.553,6.553,6.553,1389,0
20060711,6.4879,6.4879,6.4879,6.4879,1526,0
20060712,6.5537,6.6978,6.5537,6.6833,3333,0
20060713,6.8485,6.9206,6.7044,6.7764,19421,0
20060714,6.4879,6.4879,6.4879,6.4879,277,0
20060717,6.2681,6.4121,6.2681,6.3761,6385,0
20060718,6.3777,6.4786,6.2696,6.4786,4718,0
20060719,6.4506,6.4506,6.2704,6.4506,5550,0
20060720,6.4134,6.4134,6.4134,6.4134,277,0
20060721,6.4506,6.4506,6.4506,6.4506,139,0
20060724,6.3404,6.4414,6.2684,6.4414,3470,0
20060725,6.4134,6.4134,6.4134,6.4134,1527,0
20060726,6.3954,6.3954,6.3017,6.3017,5693,0
20060727,6.3017,6.3088,6.1647,6.3017,6797,0
20060728,6.2946,6.3017,6.2946,6.3017,7497,0
20060731,6.2329,6.2329,5.9808,6.1249,8743,0
20060801,6.1435,6.1435,6.1435,6.1435,556,0
20060802,6.126,6.2341,6.0972,6.162,6660,0
20060803,6.2329,6.2329,6.1249,6.1249,1944,0
20060804,6.0988,6.2645,6.0988,6.2645,7638,0
20060807,6.132,6.132,6.1249,6.1249,417,0
20060808,6.1924,6.2645,6.1924,6.2645,417,0
20060809,6.1284,6.2365,6.1284,6.2365,277,0
20060810,6.0864,6.1585,6.0144,6.0504,5832,0
20060811,6.0551,6.1993,6.0551,6.1993,2081,0
20060814,6.4134,6.4134,6.1324,6.4134,1388,0
20060815,6.1969,6.1969,6.1249,6.1249,277,0
20060816,6.301,6.553,6.121,6.553,3749,0
20060817,6.3488,6.702,6.3488,6.702,2636,0
20060818,6.7004,6.7725,6.3761,6.3761,4581,0
20060821,6.3774,6.4134,6.3053,6.4134,1249,0
20060822,6.4457,6.4457,6.3017,6.3017,2777,0
20060823,6.3365,6.3365,6.2645,6.2645,4028,0
20060824,6.2365,6.2365,6.2365,6.2365,1664,0
20060825,6.3449,6.5251,6.3449,6.5251,2913,0
20060828,6.5206,6.7728,6.5206,6.6647,9299,0
20060829,6.806,7.3101,6.77,7.1301,33463,0
20060830,7.1322,7.1322,6.6639,6.916,11938,0
20060831,6.9927,6.9998,6.8557,6.9998,5272,0
20060901,6.9128,7.0929,6.9128,7.0929,5138,0
20060904,7.1729,7.209,6.7764,6.7764,37037,0
20060905,6.8466,7.2791,6.8466,7.2791,13321,0
20060906,7.3459,7.7061,7.3459,7.6701,7360,0
20060907,7.5676,7.7335,7.5676,7.5676,3607,0
20060908,7.4956,7.6325,7.3874,7.5676,3746,0
20060911,7.5665,7.5665,7.3502,7.5304,11935,0
20060912,7.4892,7.6979,7.4892,7.6979,1249,0
20060913,7.5632,7.7072,7.5632,7.7072,832,0
20060914,7.5665,7.5665,7.5304,7.5304,556,0
20060915,7.4932,7.7093,7.4932,7.4932,694,0
20060918,7.6049,7.6049,7.6049,7.6049,277,0
20060919,7.4907,7.4907,7.4187,7.4187,832,0
20060920,7.2887,7.3535,7.2165,7.3535,2497,0
20060921,7.5267,7.5267,7.4187,7.4187,3333,0
20060922,7.2791,7.2791,7.2791,7.2791,139,0
20060925,7.422,7.422,7.2419,7.2419,3330,0
20060926,7.2046,7.2046,7.2046,7.2046,3193,0
20060927,7.1337,7.2779,7.1337,7.2419,1527,0
20060928,7.1301,7.1878,7.1301,7.1301,2360,0
20060929,7.0929,7.165,7.0929,7.0929,4305,0
20061002,7.1301,7.2022,7.1301,7.1301,2916,0
20061003,7.1301,7.1301,7.1301,7.1301,694,0
20061004,7.2034,7.2034,7.0593,7.1674,2499,0
20061005,7.0929,7.0929,7.0929,7.0929,139,0
20061006,7.1674,7.1674,7.0593,7.1674,3609,0
20061009,7.1974,7.2118,7.1614,7.2046,2776,0
