Date,Open,High,Low,Close,Volume,OpenInt
20000322,23.422,25.277,20.804,24.11,490078,0
20000323,27.142,33.065,25.488,32.377,323137,0
20000324,36.171,40.644,32.717,33.755,258974,0
20000327,35.132,35.472,30.31,31,90147,0
20000328,31,33.745,28.252,28.722,57775,0
20000329,28.932,29.282,27.077,27.077,51387,0
20000330,26.784,28.244,25.452,28.244,73017,0
20000331,27.142,30.484,26.251,29.732,77227,0
20000403,30.723,31.651,28.308,29.171,42388,0
20000404,28.584,31.55,27.904,29.622,32953,0
20000405,30.31,31.275,27.49,28.106,45871,0
20000406,30.31,30.659,28.722,30.31,25694,0
20000407,30.787,30.861,28.658,28.996,15243,0
20000410,30.164,30.164,28.996,29.584,7548,0
20000411,27.729,28.52,26.526,26.803,21484,0
20000412,27.077,28.244,26.526,26.729,32806,0
20000413,26.177,28.244,26.177,27.555,20033,0
20000414,27.528,28.244,26.526,26.867,19597,0
20000417,25.764,27.674,25.075,27.206,16258,0
20000418,28.932,28.932,27.555,28.207,13645,0
20000419,28.62,28.832,26.939,26.939,10452,0
20000420,27.729,28.252,27.206,27.555,4936,0
20000425,27.886,27.886,26.93,27.416,3049,0
20000426,27.555,27.555,26.867,27.416,4645,0
20000427,27.206,27.555,26.93,27.555,4790,0
20000428,27.518,27.518,26.526,26.655,7112,0
20000502,27.904,27.904,25.664,26.729,11177,0
20000503,26.177,26.315,25.351,25.351,5806,0
20000504,25.764,26.113,25.01,26.113,4645,0
20000505,25.699,26.526,25.699,26.187,4790,0
20000508,26.867,27.077,26.177,26.452,20177,0
20000510,26.251,26.315,24.799,24.799,11177,0
20000511,24.863,26.867,24.249,26.867,11759,0
20000512,26.857,26.857,25.149,25.149,5227,0
20000515,25.351,26.241,25.149,25.277,1743,0
20000516,25.829,26.039,24.735,24.735,7838,0
20000517,25.075,25.075,24.386,24.386,4354,0
20000518,24.799,24.799,23.559,24.074,4936,0
20000519,23.559,23.559,22.136,22.733,9146,0
20000522,22.733,23.973,22.393,22.393,13065,0
20000523,22.871,23.073,20.252,20.528,24097,0
20000524,20.39,20.795,20.151,20.252,51387,0
20000525,21.695,22.044,21.016,22.044,8564,0
20000526,21.695,22.669,20.666,22.393,11032,0
20000529,23.009,25.313,22.513,25.149,13645,0
20000530,25.351,25.829,22.962,23.422,15243,0
20000531,24.799,25.488,23.67,24.964,11468,0
20000601,24.799,24.799,24.661,24.799,581,0
20000602,24.863,26.177,24.863,26.177,11468,0
20000605,26.177,26.655,25.112,25.112,9726,0
20000606,26.113,26.113,24.863,25.829,20758,0
20000607,25.829,26.526,25.029,26.177,11177,0
20000608,25.764,26.93,25.764,26.177,7984,0
20000609,26.875,33.48,26.875,31,97261,0
20000612,31,31,28.722,30.31,16839,0
20000613,29.208,29.622,28.244,28.244,14661,0
20000614,28.382,29.144,27.619,27.693,6532,0
20000615,27.793,27.793,25.948,27.307,16114,0
20000616,28.316,30.31,28.308,29.282,33387,0
20000619,28.97,29.622,28.308,28.932,8855,0
20000620,28.932,28.932,27.693,28.804,8564,0
20000621,28.244,28.593,27.83,27.904,4936,0
20000622,27.968,27.968,26.875,27.215,5662,0
20000623,27.013,27.206,26.177,26.416,4645,0
20000626,26.857,27.601,26.241,26.93,3483,0
20000627,26.903,27.28,26.903,26.93,3483,0
20000628,27.28,27.546,26.803,27.004,1160,0
20000629,27.454,27.454,26.113,26.729,7984,0
20000630,27.454,27.454,26.444,26.444,3338,0
20000703,28.096,28.096,27.49,27.555,4064,0
20000704,27.904,27.923,27.316,27.316,3338,0
20000705,27.352,27.904,26.93,27.904,2613,0
20000706,27.206,28.032,27.206,27.555,1743,0
20000710,27.49,27.49,24.799,26.232,4645,0
20000711,26.352,26.352,25.112,25.112,1743,0
20000712,25.764,25.764,25.01,25.543,2902,0
20000714,25.837,26.609,25.837,26.609,3629,0
20000717,27.49,27.867,26.903,27.555,4790,0
20000718,27.555,28.593,27.416,28.593,2322,0
20000719,26.803,29.622,26.803,28.794,8564,0
20000720,29.236,29.236,27.767,27.904,2179,0
20000721,28.382,29.144,27.904,27.904,4500,0
20000724,27.904,27.904,26.241,26.388,2757,0
20000725,26.388,26.388,24.175,25.829,20612,0
20000726,26.177,27.416,25.829,26.729,7838,0
20000727,26.803,27.555,26.113,26.241,3049,0
20000728,26.526,26.609,25.829,26.609,4064,0
20000731,26.039,26.039,25.341,25.341,4354,0
20000801,25.213,25.69,24.919,24.919,2902,0
20000802,25.048,25.048,23.422,24.863,5662,0
20000803,24.735,24.735,21.98,23.073,9290,0
20000804,23.422,23.697,22.044,22.393,15678,0
20000807,22.393,22.458,22.053,22.393,4936,0
20000808,22.393,23.283,22.081,23.283,4790,0
20000809,23.283,23.697,22.797,23.21,7548,0
20000810,23.422,23.449,23.009,23.145,1306,0
20000811,23.283,23.486,23.21,23.21,436,0
20000814,23.486,23.522,22.255,22.733,4064,0
20000815,22.733,22.733,22.044,22.393,1016,0
20000816,22.319,22.632,22.007,22.393,1743,0
20000817,21.695,22.393,21.355,22.393,1887,0
20000818,22.522,22.522,22.393,22.42,726,0
20000821,22.393,23.486,22.393,23.486,5080,0
20000822,23.486,23.973,23.081,23.633,5806,0
20000823,23.559,24.046,23.32,23.771,3338,0
20000824,24.285,26.177,24.285,26.03,21919,0
20000825,26.104,26.223,25.829,26.177,5080,0
20000828,26.177,26.609,23.799,25.01,7548,0
20000829,25.829,26.526,24.799,25.764,16403,0
20000830,26.452,26.867,26.039,26.729,9726,0
20000831,26.867,27.362,25.699,25.764,6532,0
20000901,26.397,27.206,25.552,26.867,14226,0
20000904,27.261,27.261,26.867,27.004,2032,0
20000905,26.867,27.004,26.867,26.867,6097,0
20000906,26.857,27.206,26.857,26.867,1887,0
20000907,26.867,27.206,26.867,26.867,1016,0
20000908,26.867,27.206,26.867,27.004,1596,0
20000911,26.867,27.206,25.902,25.902,3774,0
