Date,Open,High,Low,Close,Volume,OpenInt
20080114,18.047,18.481,18.047,18.34,574718,0
20080115,18.31,18.368,17.299,17.573,1285037,0
20080116,17.356,17.753,16.363,17.62,1686806,0
20080117,17.734,18.056,16.93,17.072,965791,0
20080118,17.119,17.119,16.126,16.24,1054416,0
20080121,16.267,16.267,15.01,15.171,1647740,0
20080122,14.092,16.013,13.715,15.691,1291891,0
20080123,16.316,16.316,14.973,15.114,926620,0
20080124,16.069,16.069,15.445,15.767,786143,0
20080125,16.06,16.741,15.786,16.562,874383,0
20080128,16.24,16.589,15.899,16.212,592229,0
20080129,16.438,16.892,16.259,16.883,388068,0
20080130,16.826,16.996,16.438,16.741,666013,0
20080131,16.637,16.855,15.88,16.25,621761,0
20080201,16.343,16.656,15.919,16.552,577723,0
20080204,16.684,16.808,16.552,16.618,338342,0
20080205,16.552,16.599,15.475,15.54,663677,0
20080206,15.426,15.738,15.124,15.597,851603,0
20080207,15.53,15.559,14.707,15.171,557427,0
20080208,15.237,15.653,15.105,15.397,410997,0
20080211,15.228,15.482,15.18,15.246,344692,0
20080212,15.577,16.031,15.314,15.974,643962,0
20080213,15.909,15.956,15.568,15.814,705521,0
20080214,16.013,16.543,15.984,16.325,702714,0
20080215,16.316,16.391,15.616,15.795,812731,0
20080218,15.909,16.192,15.833,16.165,356075,0
20080219,16.135,16.95,15.937,16.816,590765,0
20080220,16.808,17.025,16.514,16.987,510877,0
20080221,16.977,17.11,16.826,17.091,539215,0
20080222,16.789,17.119,16.647,16.911,385403,0
20080225,17.053,17.781,16.968,17.61,508456,0
20080226,17.791,18.415,17.725,18.31,723961,0
20080227,18.264,18.434,17.64,17.81,502071,0
20080228,17.725,17.819,17.015,17.119,525262,0
20080229,16.816,17.158,16.335,16.514,779358,0
20080303,18.217,18.33,17.459,17.999,1605743,0
20080304,17.971,17.971,17.11,17.11,688575,0
20080305,17.498,17.762,17.271,17.327,381910,0
20080306,17.459,17.459,16.562,16.769,535071,0
20080307,16.58,16.92,16.325,16.58,510103,0
20080310,16.552,16.798,15.994,16.287,639552,0
20080311,15.606,16.145,15.133,15.512,1420771,0
20080312,15.634,15.682,15.341,15.37,684010,0
20080313,15.001,15.114,14.519,15.02,1231184,0
20080314,14.953,15.322,14.707,14.887,569875,0
20080317,14.546,14.546,12.92,13.232,1374348,0
20080318,13.327,13.515,12.967,13.091,695412,0
20080319,13.43,13.43,12.617,12.712,736289,0
20080320,12.617,13.1,12.145,13.1,2021254,0
20080325,13.715,13.998,13.573,13.828,580851,0
20080326,13.819,13.819,13.337,13.781,480664,0
20080327,13.686,14.3,13.648,14.244,763995,0
20080328,14.395,14.395,13.799,13.989,313048,0
20080331,13.781,14.3,13.734,14.197,356952,0
20080401,14.017,15.19,13.894,15.028,800865,0
20080402,14.973,15.114,14.755,14.916,382069,0
20080403,14.982,15.001,14.49,14.613,345098,0
20080404,14.717,14.934,14.376,14.859,409579,0
20080407,14.973,15.001,14.632,14.868,418735,0
20080408,14.755,14.812,14.613,14.736,208981,0
20080409,14.622,14.727,14.338,14.368,337414,0
20080410,14.338,14.49,14.207,14.434,308069,0
20080411,14.338,14.688,14.207,14.283,197976,0
20080414,14.159,14.368,14.064,14.131,289549,0
20080415,14.074,14.405,13.894,14.112,293115,0
20080416,14.037,14.414,14.037,14.263,300567,0
20080417,14.33,14.452,14.178,14.405,192734,0
20080418,14.376,15.105,14.263,15.077,357219,0
20080421,15.02,15.068,14.283,14.414,325149,0
20080422,14.33,14.68,14.131,14.187,266745,0
20080423,14.187,14.187,13.402,13.791,336218,0
20080424,13.573,13.913,13.563,13.913,267128,0
20080425,13.61,14.802,13.61,14.566,366607,0
20080428,14.273,14.887,14.273,14.84,208671,0
20080429,14.765,15.001,14.509,14.604,183803,0
20080430,14.556,15.482,14.556,15.304,307653,0
20080502,15.199,16.135,15.199,16.079,572156,0
