Date,Open,High,Low,Close,Volume,OpenInt
20161122,4.4,4.45,4.231,4.246,266071,0
20161123,4.23,4.23,3.935,3.985,759610,0
20161124,3.995,4.09,3.926,4.063,404169,0
20161125,4.076,4.076,3.808,3.9,704974,0
20161128,3.89,3.897,3.67,3.67,554933,0
20161129,3.704,3.83,3.569,3.83,611674,0
20161130,3.88,3.937,3.831,3.87,305774,0
20161201,3.83,3.89,3.716,3.86,159952,0
20161202,3.7,3.85,3.57,3.832,604730,0
20161205,3.86,3.935,3.75,3.902,561886,0
20161206,3.914,3.917,3.811,3.885,297118,0
20161207,3.901,3.92,3.856,3.897,236327,0
20161208,3.919,3.93,3.66,3.777,514600,0
20161209,3.799,3.94,3.751,3.917,432924,0
20161212,3.919,3.949,3.807,3.85,301005,0
20161213,3.87,3.896,3.564,3.614,704754,0
20161214,3.605,3.7,3.531,3.575,656282,0
20161215,3.55,3.57,3.3,3.38,1753221,0
20161216,3.4,3.468,3.376,3.385,1213053,0
20161219,3.437,3.437,3.213,3.25,1140198,0
20161220,3.25,3.308,3.11,3.15,1352900,0
20161221,3.15,3.195,3.083,3.155,739052,0
20161222,3.135,3.153,3.075,3.088,516045,0
20161223,3.08,3.117,3.028,3.054,551502,0
20161227,3.1,3.105,3.047,3.06,604028,0
20161228,3.072,3.116,3.06,3.1,512122,0
20161229,3.078,3.099,3.052,3.066,376496,0
20161230,3.06,3.099,3.04,3.099,569205,0
20170102,3.065,3.27,3.054,3.246,754005,0
20170103,3.28,3.3,3.158,3.264,884262,0
20170104,3.28,3.28,3.201,3.245,602598,0
20170105,3.249,3.319,3.22,3.256,464806,0
20170106,3.272,3.284,3.245,3.28,319267,0
20170109,3.29,3.42,3.28,3.351,655819,0
20170110,3.379,3.4,3.335,3.35,576542,0
20170111,3.355,3.355,3.266,3.266,431875,0
20170112,3.307,3.307,3.21,3.279,480126,0
20170113,3.23,3.3,3.217,3.278,388218,0
20170116,3.271,3.271,3.14,3.201,1070079,0
20170117,3.155,3.201,3.133,3.147,320098,0
20170118,3.188,3.2,3.155,3.2,333137,0
20170119,3.2,3.214,3.121,3.19,640074,0
20170120,3.185,3.274,3.13,3.247,1078172,0
20170123,3.34,3.34,3.141,3.17,990960,0
20170124,3.18,3.2,3.131,3.2,671569,0
20170125,3.2,3.217,3.15,3.195,583100,0
20170126,3.195,3.28,3.173,3.265,1023865,0
20170127,3.275,3.317,3.236,3.31,617688,0
20170130,3.332,3.59,3.332,3.57,2173089,0
20170131,3.634,3.64,3.385,3.414,1326323,0
20170201,3.454,3.454,3.341,3.39,725389,0
20170202,3.39,3.39,3.338,3.363,428660,0
20170203,3.39,3.595,3.328,3.583,951979,0
20170206,3.589,3.599,3.49,3.501,716351,0
20170207,3.5,3.543,3.426,3.448,594775,0
20170208,3.45,3.486,3.435,3.483,338036,0
20170209,3.5,3.556,3.457,3.55,596676,0
20170210,3.55,3.597,3.519,3.583,522352,0
20170213,3.599,3.833,3.58,3.795,1950028,0
20170214,3.81,3.81,3.64,3.688,1069103,0
20170215,3.711,3.736,3.65,3.682,817640,0
20170216,3.691,3.765,3.66,3.725,426388,0
20170217,3.738,3.738,3.609,3.664,977324,0
20170220,3.684,3.746,3.647,3.746,417430,0
20170221,3.75,3.777,3.7,3.758,478274,0
20170222,3.75,3.798,3.65,3.7,738881,0
20170223,3.721,3.749,3.472,3.472,1393388,0
20170224,3.461,3.481,3.225,3.238,2302500,0
20170227,3.275,3.343,3.275,3.337,747439,0
20170228,3.357,3.365,3.23,3.234,822430,0
20170301,3.3,3.341,3.267,3.32,1140372,0
20170302,3.334,3.539,3.322,3.492,1371709,0
20170303,3.5,3.551,3.45,3.495,1038953,0
20170306,3.518,3.583,3.495,3.5,1058595,0
20170307,3.515,3.516,3.352,3.362,1104788,0
20170308,3.381,3.553,3.377,3.492,1341634,0
20170309,3.493,3.5,3.382,3.386,914267,0
20170310,3.4,3.573,3.39,3.48,1414161,0
20170313,3.494,3.494,3.365,3.421,1094522,0
20170314,3.413,3.45,3.379,3.4,718683,0
20170315,3.401,3.429,3.356,3.387,670603,0
20170316,3.397,3.423,3.357,3.423,658626,0
20170317,3.418,3.449,3.39,3.446,2009048,0
20170320,3.45,3.562,3.437,3.475,984861,0
20170321,3.453,3.496,3.405,3.423,547139,0
20170322,3.4,3.437,3.329,3.369,843807,0
20170323,3.386,3.399,3.267,3.394,1083678,0
