Date,Open,High,Low,Close,Volume,OpenInt
20030917,1.9561,1.9561,1.9561,1.9561,509,0
20030919,1.966,1.966,1.966,1.966,203,0
20030922,2.0446,2.0446,2.0446,2.0446,1526,0
20030930,2.0446,2.0446,1.6809,1.6809,1526,0
20031023,1.2287,1.2287,1.2287,1.2287,1323,0
20031104,1.7006,1.7006,1.7006,1.7006,1119,0
20031203,1.7104,1.7104,1.7104,1.7104,305,0
20040123,1.5334,1.5334,1.5334,1.5334,1017,0
20040126,1.5728,1.5728,1.5728,1.5728,1017,0
20040130,1.4745,1.4745,1.4745,1.4745,814,0
20040226,1.4745,1.7694,1.4745,1.7694,814,0
20040423,2.0643,2.0643,2.0643,2.0643,2035,0
20040426,2.1626,2.4083,2.1626,2.4083,9665,0
20040427,2.1232,2.3591,2.1232,2.3591,3662,0
20040428,2.31,2.31,2.31,2.31,2442,0
20040429,2.428,2.428,2.428,2.428,1628,0
20040503,2.1626,2.1626,2.1626,2.1626,4069,0
20040504,2.1134,2.1134,2.1134,2.1134,29706,0
20040506,2.1134,2.1134,2.1134,2.1134,6104,0
20040507,2.1134,2.1134,2.1134,2.1134,4883,0
20040510,2.1134,2.1626,2.0249,2.1626,22686,0
20040511,2.1822,2.1822,2.1822,2.1822,1017,0
20040512,2.1134,2.1134,2.1134,2.1134,5697,0
20040513,2.1527,2.1527,2.0741,2.1527,26247,0
20040514,2.1626,2.31,2.1331,2.1626,25229,0
20040519,2.0741,2.2314,2.0741,2.2314,203,0
20040521,2.2314,2.2314,2.2314,2.2314,1221,0
20040525,2.2609,2.2609,2.1822,2.1822,5087,0
20040526,2.4083,2.5557,2.3493,2.4083,57987,0
20040527,2.4574,2.5557,2.4083,2.4574,27874,0
20040528,2.4476,2.4476,2.2609,2.3591,8240,0
20040531,2.4476,2.4476,2.2117,2.3985,3968,0
20040601,2.4378,2.4378,2.4378,2.4378,2340,0
20040602,2.4476,2.4574,2.4083,2.4574,5290,0
20040603,2.4574,2.5066,2.4574,2.4968,3561,0
20040604,2.4968,2.4968,2.4968,2.4968,407,0
20040607,2.4181,2.6049,2.4181,2.4574,2035,0
20040608,2.4574,2.4673,2.4083,2.4673,2442,0
20040609,2.4673,2.4673,2.4083,2.4673,4171,0
20040610,2.3788,2.4673,2.3788,2.4673,1221,0
20040611,2.4673,2.4673,2.4673,2.4673,1017,0
20040615,2.4673,2.4673,2.3788,2.3788,6613,0
20040616,2.4083,2.4574,2.3788,2.4574,8444,0
20040617,2.4574,2.5852,2.4574,2.5852,6307,0
20040618,2.6049,2.6049,2.4574,2.5852,5087,0
20040621,2.654,2.7917,2.4673,2.7917,13327,0
20040622,2.8015,3.5387,2.8015,3.1554,40489,0
20040623,3.3323,3.3421,2.8998,2.8998,16786,0
20040624,2.9096,3.3421,2.9096,3.293,26755,0
20040625,3.293,3.3421,3.116,3.1652,17193,0
20040628,3.1652,3.1652,3.0964,3.1455,8444,0
20040629,3.1455,3.2831,3.0964,3.116,24009,0
20040630,3.0964,3.116,3.0472,3.116,15361,0
20040701,3.0276,3.0276,2.9489,2.9981,5392,0
20040702,3.0079,3.0472,2.9686,3.0472,2747,0
20040705,3.1652,3.1652,3.0964,3.0964,9563,0
20040706,3.1357,3.2537,3.1357,3.1947,6816,0
20040707,3.1259,3.1455,3.1259,3.1455,4374,0
20040708,3.1455,3.1455,3.0669,3.0669,6206,0
20040709,3.0472,3.1455,3.0472,3.1455,3866,0
20040712,3.1455,3.1455,3.0669,3.0767,2747,0
20040713,3.0964,3.0964,3.0964,3.0964,2035,0
20040714,3.0964,3.4404,2.8998,3.0177,126452,0
20040715,2.9489,2.9489,2.8605,2.8998,11496,0
20040716,2.8506,2.8506,2.6049,2.8506,4680,0
20040719,2.7523,2.7523,2.654,2.7523,6714,0
20040720,2.713,2.713,2.3395,2.713,16582,0
20040721,2.7032,2.7032,2.369,2.4574,8342,0
20040722,2.4673,2.6737,2.4673,2.5557,2035,0
20040723,2.4574,2.713,2.4574,2.7032,5900,0
20040726,2.831,2.831,2.7425,2.7523,10682,0
20040727,2.7425,2.7523,2.654,2.654,6307,0
20040728,2.7523,2.8605,2.7523,2.8015,6409,0
20040729,2.8015,3.1947,2.8015,3.1947,13327,0
20040730,3.234,3.5879,3.234,3.352,86879,0
20040802,3.637,3.6862,3.4404,3.6862,99494,0
20040803,3.7353,3.7353,3.3913,3.4896,81996,0
20040804,3.4404,3.5387,3.293,3.4896,43338,0
20040805,3.6862,3.8238,3.5584,3.6763,30621,0
20040806,3.6763,4.0302,3.6567,3.755,29706,0
20040809,3.7845,4.3251,3.7845,4.2268,53816,0
20040810,4.3743,4.5217,4.0302,4.2071,56156,0
20040811,4.3841,4.3841,3.9712,4.0302,30418,0
20040812,3.9417,4.0302,3.7746,3.8828,36115,0
20040813,3.9811,3.9811,3.4896,3.6567,42015,0
20040816,3.7353,3.9516,3.696,3.9516,12411,0
20040817,4.0302,4.0794,3.9319,3.9712,9156,0
20040818,3.8828,3.9811,3.6862,3.9319,12513,0
20040819,3.7648,3.9319,3.7353,3.9319,6307,0
20040820,3.9319,4.0302,3.8828,3.9319,5494,0
20040823,3.9319,3.9909,3.9319,3.9319,4171,0
20040824,3.9319,4.2366,3.9319,4.1777,25535,0
20040825,4.1875,4.3743,4.1875,4.2858,11190,0
20040826,4.4037,4.4234,3.9811,4.276,28892,0
20040827,4.2661,4.2661,4.0794,4.0794,5188,0
20040830,4.4234,4.4234,3.8828,3.9811,16684,0
20040831,3.9909,3.9909,3.7353,3.9319,11292,0
20040901,3.9319,4.1285,3.9319,3.9319,7019,0
20040902,3.9319,3.9811,3.9123,3.9319,8545,0
20040903,3.9319,4.0204,3.9319,4.0204,1526,0
20040906,4.0302,4.0302,4.0302,4.0302,203,0
20040908,3.8926,3.9811,3.7353,3.9811,9665,0
20040909,3.755,3.9811,3.755,3.8926,2136,0
20040910,3.9319,3.9319,3.8336,3.8336,2950,0
20040913,3.8336,4.099,3.8336,4.0794,13022,0
20040914,4.0794,4.0794,3.8926,3.8926,3764,0
20040915,4.0302,4.0302,3.8336,3.8336,1323,0
20040916,3.9516,3.9516,3.8336,3.8336,3662,0
20040917,3.7845,4.0302,3.7845,4.0302,3866,0
20040920,3.8336,3.8336,3.7845,3.7845,1323,0
20040921,4.0499,4.0695,3.8533,3.8533,3357,0
20040922,3.8533,3.9319,3.7943,3.8533,14548,0
20040923,3.8926,3.8926,3.4896,3.7353,24721,0
20040924,3.637,3.637,3.5387,3.637,9359,0
20040927,3.5387,3.637,3.3323,3.5879,21364,0
20040928,3.4896,3.4896,3.2635,3.3913,16481,0
20040929,3.4896,3.5387,3.2045,3.3421,7833,0
20040930,3.4797,3.4797,3.3028,3.3913,3255,0
20041001,3.4404,3.637,3.4404,3.5879,15158,0
20041004,3.6469,3.6862,3.578,3.578,8444,0
20041005,3.696,3.7353,3.5879,3.5879,2950,0
20041006,3.7058,3.7845,3.7058,3.7845,3561,0
20041007,3.7353,3.8828,3.6862,3.7746,13022,0
20041008,3.7845,3.8828,3.7353,3.7845,13225,0
20041011,3.7845,3.8336,3.7058,3.7353,5087,0
20041012,3.7058,3.7157,3.4404,3.6862,17396,0
20041013,3.6469,3.7845,3.5879,3.7845,5697,0
20041014,3.7845,3.7845,3.6174,3.6174,5087,0
20041015,3.7255,3.7255,3.637,3.637,2645,0
20041018,3.6665,3.6862,3.5879,3.637,8444,0
20041019,3.6862,3.7255,3.5879,3.5879,1628,0
20041020,3.5879,3.637,3.5879,3.5879,3459,0
20041021,3.637,3.7058,3.637,3.637,13327,0
20041022,3.7157,3.7353,3.696,3.7255,8647,0
20041025,3.7255,3.7845,3.637,3.7746,10478,0
20041026,3.7746,3.7746,3.6862,3.7353,6613,0
20041027,3.7255,3.7255,3.7255,3.7255,2035,0
20041028,3.7255,3.7353,3.6862,3.7255,5494,0
20041029,3.7353,3.7353,3.3421,3.4601,23907,0
20041101,3.6174,3.6862,3.5387,3.5387,5494,0
20041102,3.6862,3.6862,3.5387,3.6272,4985,0
20041103,3.637,3.637,3.637,3.637,1628,0
20041104,3.637,3.7255,3.5486,3.6862,4273,0
20041105,3.6862,3.7255,3.637,3.637,6104,0
20041108,3.7353,3.7353,3.5387,3.637,19024,0
20041109,3.6862,3.6862,3.4404,3.5682,10071,0
20041110,3.7353,3.7353,3.4896,3.5682,6816,0
20041112,3.637,3.6763,3.5486,3.5486,916,0
20041115,3.5682,3.5682,3.4404,3.4404,7121,0
20041116,3.4404,3.4896,3.3028,3.3618,9665,0
20041117,3.4404,3.4404,3.3421,3.3618,4374,0
20041118,3.4208,3.4208,3.2438,3.2635,2238,0
20041119,3.2438,3.3814,3.2438,3.3421,2747,0
20041122,3.2537,3.2537,2.9981,3.0472,36623,0
20041123,3.0472,3.3421,3.0472,3.1652,51476,0
20041124,3.3323,3.4404,3.2242,3.3421,8037,0
20041125,3.4109,3.4896,3.2537,3.2537,3764,0
20041126,3.3814,3.4109,3.3421,3.3421,5290,0
20041129,3.3421,3.5387,3.3028,3.3421,39370,0
20041130,3.4011,3.4011,3.3421,3.3421,8139,0
20041201,3.3814,3.3814,3.3814,3.3814,2645,0
20041202,3.3028,3.3028,3.2438,3.293,3662,0
20041203,3.3323,3.3913,3.3323,3.3421,10071,0
20041206,3.293,3.5191,3.2438,3.3716,19532,0
20041207,3.5387,3.5486,3.4503,3.5289,25535,0
20041208,3.5289,3.637,3.5289,3.637,21872,0
20041209,3.637,3.7058,3.5584,3.6862,9461,0
20041210,3.7255,3.8336,3.5486,3.8336,20143,0
20041213,3.7451,4.3743,3.7353,4.3349,47712,0
20041214,4.5217,4.5217,4.2268,4.3546,73552,0
20041215,4.3743,4.4529,3.9319,4.1383,75383,0
20041216,4.2366,4.6986,4.1777,4.6986,158905,0
20041217,4.5217,4.5217,4.2465,4.4431,20855,0
20041220,4.502,4.6102,4.3251,4.5217,33877,0
20041221,4.5807,4.7085,4.4234,4.7085,32758,0
20041222,4.7085,4.7576,4.4824,4.6593,31232,0
20041223,4.6593,5.0623,4.5315,4.9935,59818,0
20041227,5.1115,5.485,5.0623,5.3179,72535,0
20041228,5.2983,5.2983,5.0132,5.1508,33673,0
20041229,5.1115,5.2098,5.0132,5.1606,29706,0
20041230,5.1606,5.2098,5.0132,5.0132,18210,0
20050103,5.1115,5.6521,5.1115,5.3572,40082,0
20050104,5.4064,5.7504,5.3081,5.7504,45983,0
20050105,5.7996,6.1633,5.6521,6.1534,72229,0
20050106,6.1928,6.3402,5.7013,5.8979,105089,0
20050107,5.8979,6.1338,5.5243,5.5243,74773,0
20050110,5.5047,5.8782,5.3474,5.7013,63379,0
20050111,5.7996,5.8586,5.6521,5.6718,31435,0
20050112,5.7013,5.7013,5.1115,5.2393,35403,0
20050113,5.2983,5.4457,5.2491,5.4064,17905,0
20050114,5.2098,5.3474,5.0329,5.1508,42015,0
20050117,5.1606,5.2491,4.8657,4.9051,48933,0
20050118,4.8657,4.8657,4.561,4.62,72942,0
20050119,4.62,4.9837,4.5709,4.9542,81792,0
20050120,4.9935,4.9935,4.8166,4.9149,15463,0
20050121,4.9149,5.3081,4.9149,5.2098,13225,0
20050124,5.3081,5.3081,5.0623,5.2098,22076,0
20050125,5.2098,5.7013,5.2098,5.6816,50561,0
20050126,5.485,6.0453,5.3572,5.947,83522,0
20050127,5.888,5.888,5.662,5.7504,9359,0
20050128,5.7996,5.7996,5.4555,5.7013,14751,0
20050131,5.4555,5.7996,5.4555,5.7996,19227,0
20050201,5.7996,5.7996,5.603,5.7013,7223,0
20050202,5.5538,5.6816,5.2098,5.4064,30011,0
20050203,5.485,5.544,5.2589,5.3081,19532,0
20050204,5.3081,5.3081,5.1115,5.141,25840,0
20050207,5.141,5.2589,5.0722,5.1606,33165,0
20050208,5.2589,5.426,5.1803,5.1803,58496,0
20050209,5.3376,5.4064,5.2098,5.3867,16175,0
20050210,5.4064,5.4064,5.2098,5.2983,9563,0
20050211,5.2884,5.4064,5.1803,5.2983,11496,0
20050214,5.3081,5.3376,5.1115,5.3081,18006,0
20050215,5.3081,5.4064,5.1606,5.3081,20855,0
20050216,5.3081,5.3769,5.2983,5.3081,8851,0
20050217,5.3474,5.4064,5.3179,5.3179,8851,0
20050218,5.2983,5.3966,5.2884,5.3081,4171,0
20050221,5.3867,5.4064,5.2688,5.2983,10478,0
20050222,5.2983,5.3277,5.0132,5.1115,20753,0
20050223,5.3572,5.3572,5.1213,5.2884,4069,0
20050224,5.2098,5.2983,5.141,5.1606,9563,0
20050225,5.1803,5.1901,5.1213,5.1803,6307,0
20050228,5.1901,5.2491,5.0132,5.1311,26857,0
20050301,5.0623,5.2393,5.0623,5.2294,16175,0
20050302,5.1115,5.2098,5.0918,5.0918,4273,0
20050303,5.1606,5.2098,5.023,5.1901,15972,0
20050304,5.1213,5.1508,4.9149,5.0427,29604,0
