Date,Open,High,Low,Close,Volume,OpenInt
20140509,18.2,18.79,18,18.3,793893,0
20140512,18.4,19.65,18.298,19.04,398870,0
20140513,19.2,21.795,18.5,20.75,495758,0
20140514,20.95,21.21,19.855,20.648,166956,0
20140515,20.548,20.6,18.8,19.01,176107,0
20140516,19.25,19.75,18.9,18.9,46566,0
20140519,19.3,19.425,18.6,18.6,41569,0
20140520,18.79,19.59,18.65,19.4,35571,0
20140521,19.58,19.62,19.196,19.2,25859,0
20140522,19.8,20.05,19.2,19.8,58254,0
20140523,20.29,20.35,19.5,19.65,47566,0
20140526,20,20.15,19.275,19.4,28970,0
20140527,19.3,19.695,18.8,19.04,32922,0
20140528,19.3,19.3,18.65,18.88,37749,0
20140529,18.99,20.2,18.81,19.66,38381,0
20140530,19.712,20.2,19.121,19.3,34584,0
20140602,19.4,19.85,19.32,19.44,21699,0
20140603,19.39,19.995,19.31,19.84,51263,0
20140604,19.772,20.095,19.11,20.095,19448,0
20140605,19.6,19.6,19.275,19.33,18582,0
20140606,19.544,19.544,19.315,19.33,28301,0
20140609,19.5,19.5,19.315,19.32,3053,0
20140610,19.459,19.475,18.7,18.85,27827,0
20140611,18.9,19.18,18.67,18.7,27561,0
20140612,18.7,18.87,18.63,18.832,10975,0
20140613,18.741,19.21,18.565,19.2,45585,0
20140616,19.6,19.6,19.06,19.305,32710,0
20140617,19.499,19.5,18.92,18.965,32834,0
20140618,19.25,19.48,18.93,19.165,24465,0
20140619,19.001,19.175,18.85,19.06,25748,0
20140620,19,19.165,18.87,18.98,19900,0
20140623,19.31,19.5,18.77,19.265,64288,0
20140624,19.48,20.58,19.2,20.24,177524,0
20140625,20.38,20.38,19,19.405,110095,0
20140626,19.5,19.67,19.2,19.2,37900,0
20140627,19.2,19.635,19.2,19.45,17441,0
20140630,20,20.29,19.45,20.184,74264,0
20140701,20.001,20.7,19.82,20.7,54611,0
20140702,20.7,22,20.425,21.4,169713,0
20140703,21.689,21.689,20.915,21.4,45151,0
20140704,21.4,21.5,20.65,21.2,33113,0
20140707,21.359,22.55,21.15,22.17,104530,0
20140708,21.87,22.495,20.7,21.4,68808,0
20140709,21.32,21.93,21.21,21.7,25146,0
20140710,21.7,21.7,19.72,20.4,94389,0
20140711,20.6,20.75,19.82,20.649,37274,0
20140714,20.703,21.39,20.545,21.106,23093,0
20140715,21.349,21.349,20.655,20.7,14307,0
20140716,20.85,21.15,20.055,20.1,34098,0
20140717,20.39,20.527,20.03,20.03,10392,0
20140718,20.02,20.484,19.6,20.484,71018,0
20140721,20,20.01,18.75,19.424,55994,0
20140722,19.4,19.82,19.185,19.38,23959,0
20140723,19.13,20,19.01,19.7,37206,0
20140724,19.95,20.485,19.55,20,63297,0
20140725,20.2,20.2,19.63,19.98,20913,0
20140728,20,20.2,19.62,19.77,33310,0
20140729,19.811,20.05,19.65,19.7,4107,0
20140730,19.583,19.9,19.1,19.225,57902,0
20140731,19.26,19.5,19.1,19.31,59783,0
20140801,19.3,19.42,18.8,18.8,44049,0
20140804,18.81,19.03,18,18.4,16864,0
20140805,18.49,18.875,18.4,18.7,21661,0
20140806,18.8,18.8,18,18.1,28193,0
20140807,18,19.15,18,18.565,13215,0
20140808,18.55,18.865,18.33,18.5,14845,0
20140811,19,19.405,18.52,18.745,13911,0
20140812,18.978,19.69,18.695,19.25,10861,0
20140813,19.48,19.64,19,19,12242,0
20140814,19.09,19.49,18.95,19.49,6793,0
20140815,19.706,19.706,19,19,8923,0
20140818,18.85,19.82,18.82,19.561,10788,0
20140819,19.4,19.815,19.255,19.42,20375,0
20140820,19.65,19.67,19.235,19.38,8403,0
20140821,19.455,19.85,19.125,19.695,10556,0
20140822,20,20,19.4,19.605,9683,0
20140825,19.79,20.365,19.435,19.8,27207,0
20140826,19.695,19.93,19.33,19.45,10274,0
20140827,19.404,19.716,19.36,19.57,13008,0
20140828,20.08,20.4,18.9,19.7,75338,0
20140829,19.573,19.78,19.26,19.4,17758,0
20140901,19.49,19.49,19,19,11802,0
20140902,19.015,19.39,18.95,19,8105,0
20140903,19.12,19.22,19.025,19.22,27360,0
20140904,19.27,19.43,18.65,19.1,40456,0
20140905,19.28,19.28,19.015,19.25,9329,0
20140908,19.02,19.3,19.02,19.115,9356,0
20140909,19.101,19.14,18.835,18.915,10198,0
20140910,19.137,19.137,18.8,18.915,6075,0
20140911,19.09,19.1,18.5,18.65,26475,0
20140912,18.67,19.2,18.515,18.8,28073,0
20140915,19.05,19.05,18.65,18.65,10494,0
20140916,18.67,18.685,18.44,18.5,11783,0
20140917,18.5,18.795,18.5,18.515,6178,0
20140918,18.5,18.62,18.105,18.15,9398,0
20140919,18.17,18.495,18.02,18.29,53734,0
20140922,18.8,18.98,18.082,18.1,10552,0
20140923,18.12,18.3,18,18.085,16542,0
20140924,18.05,18.485,17.6,18.02,83155,0
20140925,18.02,18.25,17.385,17.98,37527,0
20140926,17.6,17.835,17.415,17.65,13746,0
20140929,17.52,18.21,17.49,17.92,30795,0
20140930,17.885,17.995,17.74,17.9,5346,0
20141001,17.9,18.29,17.76,17.874,21554,0
20141002,18.05,18.05,17.458,17.84,18403,0
20141003,17.805,17.875,17.805,17.805,150,0
20141006,18.49,18.715,17.85,17.914,24179,0
20141007,18.054,18.22,16.645,17.1,70513,0
20141008,17.3,17.7,17.02,17.3,33597,0
20141009,17.8,17.8,17.15,17.2,10962,0
20141010,16.9,17.529,16.79,17.305,41692,0
20141013,17.5,17.5,17.15,17.427,15658,0
20141014,17.65,17.65,16.765,17.009,26400,0
20141015,16.92,17.22,15.3,15.5,41387,0
20141016,15.5,17,15.12,16.366,56093,0
20141017,16.63,17.64,16.63,17.25,38004,0
20141020,17.636,17.66,17.25,17.292,8900,0
20141021,17.19,17.89,17.171,17.582,11062,0
20141022,17.735,18.2,17.438,17.54,25095,0
20141023,17.806,18,17.272,17.385,9814,0
20141024,17.523,18.2,17.52,17.82,11556,0
20141027,18.004,18.2,17.29,17.483,10646,0
20141028,17.865,18.175,17.603,17.687,7777,0
20141029,18,18.1,17.49,18,5249,0
20141030,17.8,18.1,17.28,17.302,7233,0
20141031,17.765,18.2,17.562,17.77,10931,0
20141103,17.89,18.81,17.804,17.874,24541,0
20141104,18.2,18.86,18.2,18.488,34648,0
20141105,18.744,19.35,18.336,18.7,26137,0
20141106,18.796,19.35,18.364,18.741,18461,0
20141107,18.801,19.605,18.715,18.93,46634,0
20141110,19.07,19.55,18.1,18.75,19412,0
20141111,18.711,19.315,17.9,18.217,27588,0
20141112,18.501,19.27,18.297,18.297,11866,0
20141113,18.644,19.1,18.451,18.466,3418,0
20141114,18.865,19.3,18.68,18.68,8041,0
20141117,19.449,19.449,18.672,18.784,5611,0
20141118,19.22,19.45,18.697,18.831,8307,0
20141119,19.376,19.45,18.809,18.809,11453,0
20141120,19.1,19.4,18.47,18.717,12813,0
20141121,19.5,19.73,19,19.31,35637,0
20141124,19.6,19.85,19,19.041,28706,0
20141125,19.453,19.61,18.316,18.316,127132,0
20141126,18.776,19.13,18.45,18.536,20173,0
20141127,18.87,19.48,18.723,18.851,17397,0
20141128,19.031,19.13,18.5,18.693,4388,0
20141201,19.1,19.15,18.5,18.5,10765,0
20141202,18.68,19,18,18.583,13862,0
20141203,18.573,19,18.289,18.289,10348,0
20141204,18.609,19.03,18.506,18.66,8853,0
20141205,18.735,19.05,18.424,18.787,9788,0
20141208,19.217,19.217,18.489,18.684,25146,0
20141209,18.951,19.1,18.235,18.47,10021,0
20141210,18.7,19,18.69,18.75,5417,0
20141211,18.681,18.915,18.044,18.15,6017,0
20141212,18.551,18.785,18.505,18.551,8239,0
20141215,18.555,18.935,17.976,18.017,7782,0
20141216,18.6,18.83,17.953,17.953,18594,0
20141217,18.4,18.875,17.969,17.969,15745,0
20141218,18.456,18.88,18.267,18.267,11692,0
20141219,18.999,19.2,18.462,18.462,25755,0
20141222,19.142,19.16,18.332,18.332,7114,0
20141223,18.86,19.09,18.261,18.288,9455,0
20141229,18.858,19.4,18.575,19.2,14653,0
20141230,19.106,19.44,19.105,19.3,10346,0
20150102,19.493,19.495,18.581,18.581,3843,0
20150105,19.359,19.39,18.9,19.2,6418,0
20150106,19.12,19.39,18.82,18.92,6931,0
20150107,18.9,19.29,18.78,18.811,7642,0
20150108,18.8,19.06,18.8,18.85,15148,0
20150109,19,19,18.251,18.251,10095,0
20150112,18.9,19.125,18.26,18.26,13563,0
20150113,18.71,19,18.288,18.298,2968,0
20150114,18.709,18.92,18.208,18.211,1880,0
20150115,18.941,19,18.383,18.383,8785,0
20150116,18.732,18.985,18.202,18.202,5906,0
20150119,18.941,19.14,18.61,18.61,14681,0
20150120,18.771,18.95,18.281,18.281,73781,0
20150121,18.749,18.99,18.11,18.161,51329,0
20150122,18.659,18.85,18.055,18.055,22175,0
20150123,18.44,18.85,18.35,18.4,27144,0
20150126,18.3,19.05,18.3,18.4,25072,0
20150127,18.5,18.86,18.4,18.4,15533,0
20150128,18.8,19,18.306,18.306,26038,0
20150129,18.749,18.99,18.3,18.3,12371,0
20150130,18.779,18.8,18.3,18.3,8077,0
20150202,18.659,18.8,18.149,18.28,7953,0
20150203,18.659,18.8,18.055,18.055,16349,0
20150204,18.301,18.795,18.055,18.055,11117,0
20150205,18.596,18.805,18.173,18.173,15570,0
20150206,18.6,18.8,18.29,18.29,8308,0
20150209,18.45,18.515,17.315,17.315,9968,0
20150210,18.35,18.35,17.3,17.3,16998,0
20150211,17.771,18.3,17.77,17.85,11089,0
20150212,18.015,18.4,17.85,17.85,8127,0
20150213,18.15,19.15,18.15,18.695,71683,0
20150216,18.9,19.6,18.7,19.25,67572,0
20150217,19.25,19.595,18.724,18.775,31647,0
20150218,19.135,19.425,18.733,18.765,28325,0
20150219,19.075,19.48,18.796,18.796,43253,0
20150220,19.255,19.29,18.563,18.563,19594,0
20150223,19.45,19.45,18.57,18.57,8789,0
20150224,19.35,19.35,18.661,18.661,12241,0
20150225,19.086,19.32,18.585,18.635,19545,0
20150226,19.056,19.3,19,19.204,15198,0
20150227,19.161,19.35,18.811,18.811,11346,0
20150302,18.8,19.185,18.8,19,22634,0
20150303,18.76,19.075,18.758,18.825,18961,0
20150304,18.7,19,18.685,18.925,9940,0
20150305,19.142,19.142,18.785,18.816,15301,0
20150306,18.75,19.025,18.75,18.925,16534,0
20150309,19.142,19.15,18.86,19.025,29123,0
20150310,18.9,19.185,18.8,18.925,23955,0
20150311,19.11,19.57,18.91,18.985,70084,0
20150312,18.84,19.16,18.8,18.891,21917,0
20150313,19.09,19.2,18.895,18.95,36766,0
20150316,19.099,19.437,18.885,19.437,32463,0
20150317,19.509,19.6,18.91,18.925,31357,0
20150318,18.901,19.2,18.9,19.135,22983,0
20150319,19.13,19.45,18.965,19.308,41465,0
20150320,19.255,19.45,19.105,19.205,59039,0
20150323,19.505,19.505,18.975,19.03,16262,0
20150324,19,19.14,18.8,18.99,14997,0
20150325,19.2,19.2,18.855,18.949,20190,0
20150326,18.883,19.13,18.785,18.855,9054,0
20150327,18.85,18.995,18.363,18.363,18309,0
20150330,18.302,18.8,17.26,17.865,30857,0
20150331,17.95,18.05,17.8,17.977,9633,0
20150401,17.98,18.492,17.8,18.369,15164,0
20150402,18.262,18.465,17.88,18.029,26118,0
20150407,18.1,18.45,18.1,18.33,12194,0
20150408,18.55,18.55,17.84,18,25167,0
20150409,18.005,18.3,18,18.19,14296,0
20150410,18.3,18.3,18.045,18.3,13141,0
20150413,18,18.195,17.885,18.16,13962,0
20150414,18.16,18.16,17.82,18.045,11639,0
20150415,18.045,18.15,17.82,17.995,22317,0
20150416,17.99,17.99,17.615,17.835,22027,0
20150417,17.79,17.895,17.7,17.7,8054,0
20150420,17.775,17.98,17.7,17.8,15347,0
20150421,17.9,18.29,17.8,17.99,61972,0
20150422,18.15,18.15,17.88,18.05,20416,0
20150423,18.05,18.05,17.755,17.9,25992,0
20150424,17.94,17.94,17.68,17.915,11791,0
20150427,17.7,17.9,17.305,17.9,38941,0
20150428,17.895,17.9,17.5,17.835,16065,0
20150429,17.9,18.045,17.75,17.995,34774,0
20150430,17.8,17.875,17.5,17.8,18218,0
