Date,Open,High,Low,Close,Volume,OpenInt
20090406,1.696,1.759,1.632,1.759,457,0
20090415,1.759,1.914,1.686,1.914,548,0
20090417,1.914,1.914,1.768,1.841,438,0
20090422,1.896,1.896,1.823,1.823,274,0
20090430,1.823,1.823,1.677,1.75,1305,0
20090505,1.75,1.778,1.696,1.732,162,0
20090511,1.732,1.732,1.623,1.723,4892,0
20090512,1.668,1.805,1.659,1.805,274,0
20090515,1.732,1.914,1.659,1.805,2742,0
20090518,1.896,2.024,1.814,2.024,2742,0
20090519,2.024,2.252,1.933,2.252,3729,0
20090525,2.252,2.279,2.151,2.151,1321,0
20090527,2.151,2.361,2.069,2.361,1755,0
20090528,2.361,2.461,2.197,2.37,2194,0
20090601,2.443,2.443,2.197,2.334,548,0
20090602,2.37,2.416,2.242,2.334,21,0
20090603,2.37,2.37,2.197,2.288,175,0
20090604,2.37,2.397,2.224,2.315,186,0
20090609,2.37,2.37,1.96,1.987,3587,0
20090611,1.96,2.015,1.905,2.015,680,0
20090618,2.005,2.005,1.896,1.96,438,0
20090619,1.978,1.978,1.814,1.814,274,0
20090622,1.814,1.841,1.759,1.796,2194,0
20090624,1.841,1.869,1.732,1.869,548,0
20090625,1.869,2.005,1.696,1.759,5199,0
20090626,1.814,1.869,1.741,1.814,658,0
20090629,1.805,1.805,1.668,1.732,5073,0
20090630,1.732,1.796,1.723,1.796,1206,0
20090701,1.796,1.796,1.732,1.732,1950,0
20090702,1.732,1.796,1.732,1.732,767,0
20090703,1.732,1.86,1.732,1.86,1305,0
20090706,1.86,1.914,1.86,1.914,2237,0
20090707,1.914,1.996,1.914,1.996,6,0
20090708,1.996,2.097,1.996,2.097,2742,0
20090709,2.097,2.142,1.869,2.142,5375,0
20090710,2.142,2.315,2.142,2.315,24986,0
20090713,2.315,2.507,2.315,2.443,20254,0
20090714,2.498,2.625,2.443,2.625,14703,0
20090715,2.625,2.689,2.479,2.552,14985,0
20090716,2.552,2.552,2.397,2.461,1645,0
20090717,2.397,2.552,2.397,2.397,6735,0
20090720,2.397,2.543,2.397,2.543,6051,0
20090721,2.543,2.561,2.47,2.543,4914,0
20090722,2.543,2.543,2.452,2.452,3236,0
20090723,2.452,2.662,2.452,2.543,18190,0
20090724,2.543,2.543,2.279,2.279,12977,0
20090727,2.324,2.461,2.279,2.416,3839,0
20090728,2.416,2.461,2.324,2.416,3455,0
20090729,2.416,2.489,2.416,2.489,7939,0
20090730,2.489,2.489,2.388,2.407,13153,0
20090731,2.407,2.407,2.306,2.306,383,0
20090803,2.306,2.37,2.206,2.315,2961,0
20090804,2.206,2.206,2.087,2.142,1150,0
20090805,2.142,2.142,1.969,1.969,8194,0
20090806,1.969,2.042,1.86,1.96,6801,0
20090807,1.96,2.005,1.96,1.987,3016,0
20090810,2.024,2.106,1.987,2.06,2248,0
20090811,2.106,2.115,2.06,2.06,3615,0
20090812,2.106,2.115,2.106,2.115,548,0
20090813,2.106,2.215,2.106,2.179,8771,0
20090814,2.179,2.252,2.151,2.252,2534,0
20090817,2.252,2.297,2.252,2.252,3291,0
20090819,2.252,2.252,1.987,2.188,948,0
20090821,2.188,2.224,2.188,2.188,437,0
20090824,2.188,2.224,1.869,1.96,16647,0
20090825,1.96,2.069,1.96,2.024,1450,0
20090826,2.024,2.097,2.015,2.015,4758,0
20090827,2.015,2.033,1.923,2.033,3734,0
20090828,2.033,2.033,1.942,1.942,8,0
20090831,1.942,1.96,1.942,1.96,2194,0
20090901,1.96,1.96,1.96,1.96,1853,0
20090907,2.005,2.005,2.005,2.005,877,0
20090908,2.005,2.005,1.869,1.869,2796,0
20090909,1.914,1.914,1.905,1.905,3949,0
20090911,1.869,1.933,1.823,1.823,2937,0
20090914,1.823,1.987,1.778,1.823,11474,0
20090915,1.823,1.823,1.705,1.75,9609,0
20090916,1.75,1.996,1.741,1.887,12659,0
20090917,1.887,1.996,1.841,1.978,2531,0
20090918,1.978,1.978,1.869,1.914,7742,0
20090921,1.933,1.933,1.869,1.914,2358,0
20090922,1.878,1.942,1.869,1.933,6691,0
20090923,1.923,1.933,1.887,1.887,1756,0
20090924,1.914,1.914,1.732,1.732,9354,0
20090925,1.75,1.869,1.732,1.841,7298,0
20090928,1.869,1.869,1.796,1.869,987,0
20090929,1.896,1.896,1.823,1.823,2742,0
20090930,1.896,1.896,1.823,1.823,3291,0
20091001,1.85,1.85,1.768,1.778,3400,0
20091002,1.75,1.823,1.732,1.732,8447,0
20091005,1.75,1.778,1.686,1.778,153,0
20091006,1.796,1.796,1.686,1.686,274,0
20091007,1.796,1.796,1.686,1.686,4388,0
20091008,1.75,1.75,1.641,1.677,11662,0
20091009,1.696,1.696,1.668,1.668,2741,0
20091012,1.696,1.741,1.668,1.741,2964,0
20091013,1.714,1.759,1.714,1.759,3291,0
20091014,1.732,1.741,1.732,1.732,6033,0
20091015,1.75,1.796,1.686,1.796,1810,0
20091016,1.814,1.814,1.686,1.768,5046,0
20091019,1.796,1.796,1.696,1.759,6690,0
20091020,1.778,1.778,1.714,1.714,131,0
20091021,1.732,1.768,1.686,1.732,658,0
20091022,1.732,1.732,1.641,1.668,11507,0
20091023,1.686,2.279,1.65,2.188,55023,0
20091026,2.242,2.552,2.097,2.461,22995,0
20091027,2.498,2.598,2.416,2.598,13330,0
20091028,2.589,2.589,2.461,2.461,9093,0
20091029,2.498,2.589,2.416,2.552,8776,0
20091030,2.516,2.552,2.461,2.552,1810,0
20091102,2.543,2.543,2.416,2.416,1179,0
20091103,2.534,2.534,2.297,2.297,6266,0
20091104,2.27,2.352,2.27,2.306,2369,0
20091105,2.334,2.443,2.297,2.352,629,0
20091106,2.334,2.352,2.279,2.279,1864,0
20091110,2.306,2.324,2.233,2.233,5485,0
20091111,2.261,2.297,2.188,2.252,1097,0
20091112,2.261,2.261,2.233,2.233,219,0
20091113,2.197,2.252,2.097,2.215,767,0
20091116,2.252,2.261,2.097,2.261,6636,0
20091117,2.224,2.261,2.17,2.215,2194,0
20091118,2.215,2.261,2.106,2.206,4629,0
20091119,2.17,2.215,2.106,2.16,1782,0
20091123,2.051,2.142,2.051,2.097,383,0
20091124,2.078,2.142,2.051,2.124,1488,0
20091125,2.024,2.051,2.024,2.051,1663,0
20091126,2.024,2.097,2.024,2.097,548,0
20091127,2.097,2.097,2.005,2.005,383,0
20091130,2.042,2.097,2.042,2.097,1976,0
20091201,2.033,2.097,2.015,2.051,767,0
20091204,2.051,2.115,2.005,2.069,2961,0
20091208,2.005,2.078,1.96,2.078,3570,0
20091210,1.951,2.051,1.951,2.015,257,0
20091211,2.024,2.024,1.96,1.96,630,0
20091217,1.878,2.051,1.878,2.051,3291,0
20091221,1.96,2.188,1.96,2.188,3071,0
20091222,2.042,2.188,2.042,2.106,15588,0
20091223,1.996,2.188,1.996,2.142,52931,0
20091228,2.297,2.37,2.188,2.37,12651,0
20091229,2.252,2.552,2.252,2.516,29219,0
20091230,2.388,2.461,2.242,2.37,7130,0
20100104,2.133,2.37,2.133,2.279,6944,0
20100106,2.165,2.37,2.165,2.37,6132,0
20100107,2.252,2.416,2.252,2.416,548,0
20100108,2.295,2.481,2.295,2.434,9379,0
20100111,2.33,2.461,2.33,2.452,4278,0
20100112,2.33,2.479,2.33,2.452,877,0
20100113,2.33,2.434,2.33,2.434,1206,0
20100114,2.313,2.489,2.313,2.479,3291,0
20100115,2.355,2.489,2.355,2.438,17974,0
20100118,2.295,2.46,2.295,2.46,12286,0
20100120,2.252,2.438,2.252,2.438,22236,0
20100121,2.295,2.598,2.295,2.598,41576,0
20100122,2.426,2.736,2.426,2.712,30639,0
20100125,2.598,2.908,2.598,2.871,9149,0
20100126,2.762,3.464,2.762,3.455,23311,0
20100127,3.282,3.418,2.963,3.054,15091,0
20100128,2.817,3.186,2.817,3.186,4552,0
20100129,3.026,3.19,2.917,2.918,5883,0
20100201,2.771,2.999,2.771,2.94,57,0
20100202,2.771,3.036,2.771,2.953,4618,0
20100203,2.808,3.081,2.808,2.963,5867,0
20100204,2.817,2.972,2.817,2.871,1804,0
20100205,2.726,2.926,2.689,2.689,12067,0
20100208,2.589,2.748,2.589,2.748,54,0
20100209,2.516,3.19,2.516,2.826,3400,0
20100210,2.689,2.881,2.644,2.881,1097,0
20100211,2.735,2.871,2.644,2.871,1206,0
20100212,2.726,3.19,2.726,3.19,548,0
20100215,2.653,3.19,2.644,2.735,9006,0
20100216,2.525,3.099,2.525,3.008,3620,0
20100217,2.862,3.2,2.862,3.099,658,0
20100218,2.99,3.282,2.917,3.19,2751,0
20100219,3.118,3.418,2.917,3.118,3400,0
20100222,3.209,3.373,2.917,3.177,109,0
20100225,3.127,3.236,3.026,3.026,548,0
20100226,2.871,3.172,2.844,2.981,603,0
20100301,2.944,3.099,2.844,2.972,778,0
20100302,2.899,3.09,2.735,2.912,2852,0
20100303,2.808,3.09,2.808,3.026,2687,0
20100304,2.835,3.874,2.835,3.646,8543,0
20100305,3.464,3.874,3.282,3.651,21568,0
20100308,3.651,4.376,3.345,3.76,2911,0
20100309,3.51,3.873,3.51,3.783,4360,0
20100310,3.592,3.809,3.592,3.715,7075,0
20100311,3.464,4.083,3.282,3.664,27920,0
20100315,3.464,4.102,3.464,3.92,6582,0
20100316,3.637,3.874,3.637,3.737,2540,0
20100317,3.683,4.101,3.683,4.006,5733,0
20100318,3.728,4.376,3.728,4.376,7515,0
20100319,3.901,4.148,3.901,4.107,3604,0
20100322,3.901,4.23,3.829,4.189,4010,0
20100323,3.938,4.558,3.938,4.262,12547,0
20100324,3.938,4.558,3.938,4.193,5320,0
20100325,4.157,4.262,4.157,4.157,164,0
20100326,3.947,4.262,3.646,4.252,1097,0
20100329,4.293,4.467,4.293,4.467,1251,0
20100330,4.248,5.652,4.248,4.968,20475,0
20100331,4.722,5.606,4.722,5.415,25048,0
20100401,5.114,5.561,5.114,5.365,9281,0
20100406,5.114,5.433,5.114,5.288,8732,0
20100407,5.023,5.46,5.023,5.314,7475,0
20100408,5.05,5.469,5.05,5.264,1897,0
20100409,4.941,5.433,4.558,4.786,21863,0
20100412,4.549,4.877,4.549,4.877,4687,0
20100413,4.503,4.831,4.43,4.494,2030,0
20100414,4.211,4.558,4.211,4.376,1946,0
20100415,4.157,4.467,4.148,4.148,3536,0
20100416,4.211,4.462,4.148,4.348,2391,0
20100419,4.239,4.913,4.239,4.831,23805,0
20100420,4.594,5.196,4.594,5.105,22587,0
20100421,4.941,5.196,4.922,5.014,21095,0
20100422,4.895,5.132,4.895,5.105,1755,0
20100423,4.767,5.195,4.767,5.082,11463,0
20100426,4.932,5.196,4.922,4.932,5364,0
20100427,4.685,4.967,4.685,4.831,5869,0
20100428,4.594,4.786,4.594,4.603,1316,0
20100429,4.549,4.922,4.549,4.558,5,0
20100430,4.676,4.877,4.376,4.467,636,0
20100503,4.631,4.904,4.631,4.831,1206,0
20100506,4.503,4.786,4.376,4.54,3499,0
20100507,4.54,4.54,4.011,4.193,3702,0
20100510,4.284,4.521,4.193,4.193,109,0
20100511,4.293,4.53,3.92,4.33,394,0
20100514,4.075,4.284,3.829,4.284,21,0
20100517,4.075,4.467,3.829,4.047,4887,0
20100518,4.066,4.328,3.92,3.92,2983,0
20100519,3.728,4.011,3.701,3.828,6748,0
