Date,Open,High,Low,Close,Volume,OpenInt
20000322,27.814,28.88,26.274,27.115,55785,0
20000323,27.488,27.819,24.784,25.911,61248,0
20000324,30.045,36.054,29.233,35.303,210221,0
20000327,31.544,33.422,29.929,32.288,87877,0
20000328,32.77,32.77,28.166,28.204,40874,0
20000329,28.163,31.131,27.788,29.966,32622,0
20000330,29.289,34.561,28.38,34.561,86286,0
20000331,33.047,37.125,30.876,35.293,55788,0
20000403,35.821,35.821,31.337,32.779,42737,0
20000404,32.298,32.298,29.67,30.12,42869,0
20000405,29.713,32.553,26.716,32.297,46465,0
20000406,32.777,34.009,30.712,31.546,34482,0
20000407,32.011,32.446,30.524,31.815,22501,0
20000410,31.345,34.102,30.796,32.818,47794,0
20000411,31.897,31.928,30.793,31.401,21303,0
20000412,31.844,32.483,30.191,30.409,25565,0
20000413,29.961,32.297,29.36,31.17,30622,0
20000417,28.541,30.044,27.79,29.225,20237,0
20000418,29.66,30.546,28.203,28.541,11052,0
20000419,28.84,28.84,26.287,27.038,26896,0
20000420,26.82,27.789,26.332,27.789,9053,0
20000425,27.676,27.818,27.187,27.818,4527,0
20000426,28.231,29.215,27.758,29.215,14647,0
20000427,29.592,30.794,29.217,30.044,31155,0
20000428,30.344,31.253,30.336,30.794,9187,0
20000502,31.253,32.244,30.321,30.794,15178,0
20000503,30.336,31.516,29.6,29.6,7190,0
20000504,29.369,30.113,29.369,29.812,7991,0
20000505,29.818,30.044,28.721,29.6,5858,0
20000508,29.968,30.036,29.15,29.292,4660,0
20000510,28.588,30.946,28.535,30.563,63238,0
20000511,30.263,30.789,29.812,29.812,6526,0
20000512,30.419,30.419,29.45,29.667,4927,0
20000515,30.11,30.11,28.187,28.608,17708,0
20000516,28.916,29.345,27.376,28.541,6791,0
20000517,28.163,28.163,27.036,27.578,6392,0
20000518,27.17,27.26,26.283,26.374,6658,0
20000519,26.174,26.211,24.161,25.16,13581,0
20000522,24.787,25.156,23.488,24.187,7190,0
20000523,24.543,24.769,23.514,24.033,9454,0
20000524,23.68,23.68,21.66,22.876,6391,0
20000525,22.537,22.868,22.154,22.154,3195,0
20000526,22.151,22.151,20.281,20.334,9722,0
20000529,20.357,22.031,20.041,21.461,18505,0
20000530,21.138,21.453,20.695,20.95,16780,0
20000531,21.557,22.534,20.355,20.43,20104,0
20000601,20.728,20.728,20.353,20.353,1598,0
20000602,20.653,20.653,19.616,19.939,11451,0
20000605,20.232,23.657,20.232,22.905,26231,0
20000606,23.199,23.657,22.2,23.657,23036,0
20000607,23.305,24.882,22.629,24.515,25431,0
20000608,26.657,26.657,24.78,25.141,4661,0
20000609,25.156,26.658,24.788,26.267,4261,0
20000612,25.889,25.911,25.535,25.535,532,0
20000613,25.177,26.213,25.162,25.545,3195,0
20000614,25.168,26.211,25.168,25.911,4793,0
20000615,25.531,26.133,24.195,26.133,15181,0
20000616,25.751,26.06,25.083,25.834,6126,0
20000619,25.683,25.691,25.166,25.459,5726,0
20000620,25.461,27.038,25.461,26.903,15578,0
20000621,26.66,26.675,25.526,25.526,2796,0
20000622,25.911,25.978,25.219,25.535,3462,0
20000623,25.16,25.512,24.784,24.784,799,0
20000626,24.425,25.522,24.418,24.418,6391,0
20000627,24.63,24.63,24.254,24.254,400,0
20000628,24.294,24.294,23.956,23.956,1598,0
20000629,23.612,24.182,22.328,22.328,10119,0
20000630,22.651,23.469,22.651,23.282,3329,0
20000703,23.627,24.333,23.289,23.657,3063,0
20000704,23.732,23.732,23.244,23.282,2663,0
20000705,23.356,23.356,22.905,23.243,1465,0
20000706,23.585,23.886,23.194,23.194,1996,0
20000710,23.358,23.358,22.539,22.539,667,0
20000711,22.232,22.232,21.422,21.76,3861,0
20000712,21.459,21.707,20.956,21.249,6790,0
20000714,20.906,23.421,20.906,23.098,17845,0
20000717,23.131,23.131,22.53,22.53,2663,0
20000718,22.85,22.865,22.549,22.549,399,0
20000719,22.755,22.755,22.222,22.222,1199,0
20000720,22.528,22.903,22.528,22.587,1997,0
20000721,22.906,22.906,22.531,22.568,667,0
20000724,22.885,25.131,22.885,25.131,12781,0
20000725,25.005,25.005,24.029,24.254,5727,0
20000726,24.56,24.935,24.147,24.823,2131,0
20000727,24.781,24.804,24.128,24.804,2396,0
20000728,25.152,25.152,23.785,24.716,3994,0
20000731,24.704,25.891,24.358,25.612,11316,0
20000801,25.534,26.691,25.272,26.691,6258,0
20000802,26.324,26.354,25.565,26.354,9587,0
20000803,26.89,26.89,24.524,24.9,11184,0
20000804,25.239,25.944,25.239,25.381,532,0
20000807,25.743,25.916,25.539,25.555,1864,0
20000808,25.903,26.084,25.19,25.911,2796,0
20000809,26.212,28.165,25.686,28.165,8122,0
20000810,30.795,33.327,28.887,28.887,30355,0
20000811,29.292,30.103,28.128,29.667,19173,0
20000814,30.075,30.834,29.475,29.475,12651,0
20000815,29.885,29.885,29.172,29.667,4128,0
20000816,30.037,30.037,28.121,28.309,2664,0
20000817,27.923,30.034,27.923,29.59,7723,0
20000818,29.329,31.544,29.329,31.132,33419,0
20000821,31.578,39.8,31.541,39.8,43145,0
20000822,39.356,39.356,34.549,34.917,47666,0
20000823,35.401,35.401,32.674,33.838,13579,0
20000824,33.724,33.724,31.546,33.048,9186,0
20000825,33.048,33.604,32.673,33.116,1464,0
20000828,32.653,33.57,31.301,31.7,1465,0
20000829,31.262,33.042,30.834,32.133,9188,0
20000830,32.575,32.74,32.124,32.74,3862,0
20000831,32.298,36.347,31.389,35.303,10252,0
20000901,35.786,35.816,33.33,33.645,7057,0
20000904,33.181,35.028,33.181,34.022,4260,0
20000905,33.794,34.493,32.819,33.299,3462,0
20000906,32.845,33.273,32.371,32.567,3329,0
20000907,32.451,32.902,32.293,32.451,1199,0
20000908,32.297,32.748,32.297,32.297,132,0
20000911,32.297,32.297,32.297,32.297,132,0
20000912,32.297,32.673,32.147,32.297,799,0
20000914,32.673,34.439,32.673,33.8,7854,0
20000915,34.266,34.266,33.425,33.425,1198,0
20000918,32.962,33.871,32.511,33.27,6392,0
20000919,33.161,33.619,33.161,33.425,4127,0
20000920,33.875,33.875,33.425,33.425,1864,0
20000921,32.966,33.874,30.044,31.17,14379,0
20000922,30.742,30.824,29.48,30.419,2930,0
20000925,30.836,31.218,30.415,31.218,267,0
20000926,31.542,31.542,30.715,31.218,400,0
20000927,30.794,31.223,30.794,31.17,799,0
20000928,31.434,31.547,30.661,31.517,1598,0
20000929,31.077,31.167,31.055,31.055,267,0
20001002,30.793,31.221,30.162,30.582,1199,0
20001004,30.164,30.164,28.405,28.405,6125,0
20001005,28.618,29.812,28.22,28.993,3594,0
20001006,28.99,30.229,28.652,29.966,3862,0
20001009,29.962,29.962,28.716,29.06,2396,0
20001010,29.437,29.437,28.61,28.993,1598,0
20001011,28.6,28.6,27.414,28.541,9853,0
20001012,28.942,28.957,28.131,28.522,1598,0
20001013,28.128,28.916,28.128,28.541,1598,0
20001016,29.439,30.716,28.387,29.311,14248,0
20001017,28.906,29.289,28.162,28.935,1199,0
20001018,28.537,28.935,27.719,28.935,18641,0
20001019,28.616,29.013,28.217,28.608,3994,0
20001020,29.008,29.219,28.114,28.926,4527,0
20001023,28.537,29.289,28.11,28.935,3595,0
20001025,28.163,29.139,27.75,28.733,4660,0
20001026,28.911,28.911,27.823,28.145,2531,0
20001027,27.94,28.863,27.94,28.541,932,0
20001030,28.941,29.963,28.558,29.918,14378,0
20001101,28.76,28.76,28.685,28.685,799,0
20001102,28.691,29.133,27.414,27.414,5326,0
20001103,27.414,27.414,27.414,27.414,267,0
20001106,27.038,27.797,25.934,26.663,1465,0
20001107,26.292,26.292,25.563,26.277,3329,0
20001108,25.997,25.997,24.735,24.735,2531,0
20001109,25.083,25.429,24.662,24.813,3728,0
20001110,24.71,24.71,21.803,23.32,16910,0
20001113,10.141,15.024,10.141,12.695,112885,0
20001115,12.675,12.675,9.3411,10.355,74978,0
20001116,10.503,11.021,10.075,10.721,17304,0
20001117,10.868,11.206,10.868,11.116,8254,0
20001120,11.262,13.025,11.111,12.762,30103,0
20001121,12.952,12.997,12.366,12.425,29150,0
20001122,12.596,12.604,11.598,11.598,3861,0
20001123,11.758,11.803,11.112,11.27,8791,0
20001124,11.435,11.435,11.112,11.27,2662,0
20001127,11.428,11.984,11.428,11.646,8252,0
20001128,11.484,11.665,11.342,11.665,931,0
20001129,11.508,11.508,10.907,11.192,5058,0
20001130,11.037,12.111,10.97,12.021,12112,0
20001201,12.013,12.013,11.788,11.848,5194,0
20001204,12.011,12.019,10.69,10.855,11189,0
20001205,10.892,10.892,8.9312,9.3824,14911,0
20001206,9.4314,9.665,8.7557,8.7557,10654,0
20001207,8.799,8.799,8.4837,8.6113,2931,0
20001208,8.2611,8.2611,6.5789,6.5789,58854,0
20001211,6.6718,6.9196,6.1834,6.7619,63621,0
20001212,6.8538,7.1316,6.8538,6.9063,9990,0
20001213,7.0166,8.3312,6.9264,7.0316,79869,0
20001214,7.1534,7.1534,6.74,6.8679,19031,0
20001215,6.7633,6.8609,6.5753,6.6656,23422,0
20001218,6.7619,6.8671,6.6642,6.7619,14109,0
20001219,7.6973,9.199,7.5096,9.064,91617,0
20001220,8.8794,10.517,8.2484,9.863,91717,0
20001221,9.759,10.007,9.0381,9.661,25444,0
20001222,9.813,9.911,9.4822,9.7,12112,0
20001227,9.549,9.759,9.151,9.151,6928,0
20001228,9.295,9.295,8.3782,8.6787,13840,0
20001229,9.0306,9.1654,8.5951,8.6402,8925,0
20010102,8.7677,8.9028,8.6401,8.7076,4796,0
20010103,8.5876,8.6402,8.2646,8.2646,10781,0
20010104,8.602,8.6396,8.4668,8.4668,7987,0
20010108,8.4201,8.4201,8.1497,8.255,2795,0
20010109,8.1352,8.2555,7.9399,8.0527,9852,0
20010110,8.1682,8.2883,8.0481,8.1682,1332,0
20010111,8.2889,8.4091,8.2889,8.4091,932,0
20010112,8.5388,8.5614,8.4111,8.4187,7191,0
20010115,8.5461,8.6363,8.4861,8.4861,3728,0
20010116,8.6016,8.6016,8.489,8.6016,2662,0
20010117,8.5971,9.3853,8.5971,9.2278,52075,0
20010118,9.1644,9.3142,8.706,9.3142,17173,0
20010119,9.3142,10.351,9.1788,10.133,42068,0
20010122,10.283,10.674,10.283,10.509,15043,0
20010123,10.361,11.194,10.293,10.894,59229,0
20010124,11.052,12.021,11.045,12.021,23958,0
20010125,12.166,12.316,11.641,11.963,10254,0
20010126,11.866,12.039,10.514,10.673,27428,0
20010129,10.895,11.052,10.669,10.827,7320,0
20010130,10.99,11.524,10.99,11.192,9585,0
20010131,11.339,11.339,11.039,11.039,3196,0
20010201,11.206,11.206,11.116,11.116,799,0
20010202,11.116,11.446,10.988,11.318,4260,0
