Date,Open,High,Low,Close,Volume,OpenInt
20070403,12.813,12.97,12.397,12.97,2481314,0
20070404,12.97,12.986,12.694,12.986,231149,0
20070405,13.128,13.166,12.774,13.12,99991,0
20070410,13.12,13.12,12.813,12.955,248577,0
20070411,12.97,12.97,12.813,12.892,87524,0
20070412,12.97,12.97,12.694,12.734,335335,0
20070413,12.899,12.899,12.64,12.656,83707,0
20070416,12.585,12.711,12.585,12.656,101517,0
20070417,12.734,12.931,12.617,12.931,237382,0
20070418,12.97,12.97,12.813,12.962,29767,0
20070419,12.931,12.962,12.577,12.623,93757,0
20070420,12.694,12.734,12.577,12.577,85997,0
20070423,12.718,12.734,12.577,12.734,66406,0
20070424,12.656,12.734,12.577,12.577,42871,0
20070426,12.734,12.734,12.577,12.617,27097,0
20070427,12.734,12.734,12.428,12.577,454791,0
20070430,12.656,12.656,12.577,12.656,23155,0
20070502,12.656,12.656,12.577,12.577,392583,0
20070503,12.656,12.694,12.577,12.577,75437,0
20070504,12.421,12.617,12.058,12.467,74166,0
20070507,12.538,12.585,12.35,12.46,94393,0
20070508,12.617,12.656,12.184,12.184,125561,0
20070509,12.405,12.46,12.184,12.184,25188,0
20070510,12.326,12.499,12.184,12.303,60808,0
20070511,12.381,12.499,11.948,12.042,72259,0
20070514,12.264,12.593,12.066,12.57,3563,0
20070515,12.593,12.734,12.279,12.279,95029,0
20070516,12.279,12.31,11.484,11.855,18319,0
20070517,11.855,12.122,11.855,11.948,5724,0
20070518,11.87,12.128,11.807,11.956,12086,0
20070521,11.791,12.577,11.791,12.113,39183,0
20070522,12.105,12.341,12.027,12.184,18573,0
20070523,12.381,12.577,12.232,12.499,17301,0
20070524,12.476,12.577,12.208,12.35,50250,0
20070525,12.405,12.499,12.184,12.341,64115,0
20070529,12.421,12.421,12.184,12.184,21499,0
20070530,12.035,12.247,11.87,12.216,48469,0
20070531,12.216,12.577,12.027,12.577,104316,0
20070601,12.577,12.774,12.577,12.734,231275,0
20070604,12.577,12.734,12.577,12.734,81290,0
20070605,12.617,12.734,12.499,12.499,29260,0
20070606,12.538,12.813,12.538,12.656,105841,0
20070607,12.656,13.05,12.421,12.499,74038,0
20070608,12.538,12.774,12.499,12.515,42744,0
20070611,12.656,12.656,12.499,12.499,98592,0
20070612,12.656,13.05,12.499,12.97,80273,0
20070613,12.97,12.97,12.577,12.656,124415,0
20070614,12.813,12.813,12.585,12.623,57118,0
20070615,12.837,13.105,12.593,13.105,72003,0
20070618,13.088,13.128,12.499,12.499,38037,0
20070619,12.538,12.647,12.507,12.507,23788,0
20070620,12.774,12.939,12.577,12.656,140189,0
20070621,12.656,12.734,12.507,12.577,63479,0
20070622,12.656,12.694,11.862,11.862,175429,0
20070625,11.987,12.042,11.633,11.633,50759,0
20070626,11.751,11.791,11.32,11.603,87524,0
20070627,11.713,12.193,11.618,12.193,62080,0
20070628,12.294,12.294,11.697,11.791,14247,0
20070629,11.87,12.066,11.76,11.76,107369,0
20070702,11.689,12.184,11.689,11.916,32949,0
20070703,11.948,12.538,11.791,11.791,97955,0
20070704,11.948,12.264,11.839,12.074,66024,0
20070705,11.91,12.223,11.87,12.027,60427,0
20070706,12.105,12.105,11.87,12.027,97828,0
20070709,12.105,12.105,11.453,11.492,23408,0
20070710,11.398,11.398,10.565,11.162,153547,0
20070711,11.084,11.202,11.084,11.202,112203,0
20070712,11.186,11.186,11.045,11.069,38927,0
20070713,11.162,11.413,11.045,11.413,63225,0
20070716,11.476,11.555,11.004,11.406,80526,0
20070717,11.358,11.43,10.494,10.847,122634,0
20070718,10.847,11.162,10.58,10.847,88288,0
20070719,11.004,11.547,11.004,11.343,177846,0
20070720,11.484,11.791,10.698,11.476,62972,0
20070723,11.476,11.633,11.437,11.633,9669,0
20070724,11.476,11.626,11.004,11.06,53431,0
20070725,11.146,11.202,10.847,11.037,98336,0
20070726,11.028,11.162,10.636,10.636,39309,0
20070727,10.871,10.871,10.455,10.604,115638,0
20070730,10.998,11.004,10.172,10.172,53176,0
20070731,10.297,11.217,10.297,10.612,98210,0
20070801,10.574,10.574,10.07,10.218,65643,0
20070802,10.376,10.556,10.218,10.556,67042,0
20070803,10.691,11.398,10.556,10.556,51904,0
20070806,10.376,10.479,10.297,10.392,22645,0
20070807,10.533,11.305,10.533,11.162,51521,0
20070808,11.14,11.311,10.604,11.013,68442,0
20070809,11.162,11.202,9.913,10.927,180517,0
20070810,10.73,10.73,9.969,10.258,36383,0
20070813,10.07,10.227,9.2838,9.716,96811,0
20070814,9.747,10.612,9.4411,10.07,95410,0
20070815,9.904,9.975,9.4717,9.684,68187,0
20070816,9.52,9.794,9.4411,9.794,92230,0
20070817,9.63,10.218,9.4564,10.102,59154,0
20070820,10.218,10.218,9.511,9.511,26713,0
20070821,9.511,9.511,9.0401,9.2598,57118,0
20070822,9.3854,9.708,9.3854,9.708,45033,0
20070823,9.59,9.827,9.488,9.621,42998,0
20070824,9.661,9.716,9.488,9.708,81163,0
20070827,9.827,10.062,9.827,10.062,38419,0
20070828,10.109,10.14,9.951,10.07,33202,0
20070829,9.945,10.556,9.945,10.509,24169,0
20070830,10.533,10.604,10.455,10.604,12595,0
20070831,10.612,10.847,10.604,10.84,35620,0
20070903,10.84,10.966,10.84,10.966,15010,0
20070904,10.998,10.998,10.73,10.966,28241,0
20070905,10.847,11.084,10.847,10.95,100117,0
20070906,10.808,10.808,10.282,10.361,31167,0
20070907,10.439,10.683,10.439,10.533,72511,0
20070910,10.368,10.439,10.218,10.218,44143,0
20070911,10.227,10.352,10.227,10.337,19209,0
20070912,10.258,10.376,10.14,10.235,36512,0
20070913,10.235,10.518,10.235,10.415,60808,0
20070914,10.352,10.863,10.218,10.218,29895,0
