Date,Open,High,Low,Close,Volume,OpenInt
20020618,16.854,17.349,16.808,16.943,118725,0
20020619,16.935,16.935,16.448,16.493,95757,0
20020620,16.421,16.421,15.095,16.222,96755,0
20020621,15.933,16.132,14.871,16.132,84439,0
20020624,16.312,16.358,15.411,16.078,36283,0
20020625,15.799,16.222,15.321,15.682,33509,0
20020626,14.871,15.321,13.969,14.429,68683,0
20020627,14.69,14.871,14.6,14.871,49821,0
20020628,14.871,15.727,14.465,14.654,52705,0
20020701,14.645,15.547,14.645,14.871,55922,0
20020702,15.141,15.141,14.42,14.6,38613,0
20020703,14.51,15.321,12.797,14.609,83885,0
20020704,14.618,14.871,13.618,14.195,41720,0
20020705,13.969,13.969,13.518,13.518,33953,0
20020708,13.518,13.789,13.447,13.789,25077,0
20020709,13.564,14.06,13.564,13.879,14868,0
20020710,13.627,14.817,13.627,14.736,34065,0
20020711,14.871,15.321,14.284,14.393,66464,0
20020712,14.825,15.763,14.51,14.871,84882,0
20020715,14.871,15.051,14.699,14.78,108406,0
20020716,14.961,14.961,14.068,14.736,124939,0
20020717,14.736,14.736,14.077,14.6,204940,0
20020718,14.825,14.825,13.987,14.185,31178,0
20020719,14.023,14.69,13.789,13.879,94868,0
20020722,14.15,14.15,12.707,13.311,108184,0
20020723,13.023,13.023,11.158,12.067,429518,0
20020724,12.167,12.167,11.229,12.167,31291,0
20020725,12.167,12.617,12.167,12.617,94092,0
20020726,12.401,12.464,11.761,12.347,69793,0
20020729,12.257,12.518,11.717,12.518,50486,0
20020730,12.257,12.392,11.986,12.301,84661,0
20020731,12.086,12.212,11.806,11.852,165549,0
20020801,11.806,11.941,11.536,11.536,53926,0
20020802,11.581,11.681,11.265,11.681,44273,0
20020805,12.077,12.077,11.175,11.175,10209,0
20020806,11.085,11.085,10.319,10.995,40833,0
20020807,11.194,11.986,11.194,11.717,176090,0
20020808,11.717,12.392,11.717,12.392,73344,0
20020809,12.411,12.528,11.779,12.482,69681,0
20020812,12.609,12.609,12.239,12.257,6435,0
20020813,12.248,12.257,12.032,12.257,17864,0
