Date,Open,High,Low,Close,Volume,OpenInt
20080901,5.4,5.41,5.18,5.19,1376900,0
20080902,5.34,5.61,5.21,5.58,3522600,0
20080903,5.58,5.69,5.46,5.48,1533500,0
20080904,5.5,5.58,5.27,5.27,1191300,0
20080905,5.21,5.26,5.06,5.08,1569000,0
20080908,5.3,5.35,5.03,5.07,1488900,0
20080909,5.07,5.19,4.86,4.91,1935500,0
20080910,4.89,5,4.82,4.89,1349100,0
20080911,4.9,4.92,4.4,4.45,2048200,0
20080912,4.56,4.59,4.39,4.45,2979300,0
20080915,4.22,4.32,3.99,4.1,2348300,0
20080916,4.02,4.08,3.24,3.5,4473600,0
20080917,3.89,3.95,3.06,3.17,4686700,0
20080918,3.25,3.49,3.15,3.23,3870500,0
20080919,3.5,3.89,3.06,3.43,5810600,0
20080922,3.59,3.8,3.35,3.47,2854100,0
20080925,3.45,3.59,2.48,2.5,10361700,0
20080926,2.5,2.53,1.58,1.91,15412200,0
20080929,2.05,2.1,1.64,1.87,9891600,0
20080930,1.94,2.43,1.84,2.33,8534100,0
20081001,2.45,2.6,2.38,2.49,4546900,0
20081002,2.56,2.59,2.15,2.23,3083800,0
20081003,2.17,2.26,2.1,2.15,1939000,0
20081006,2.13,2.13,2,2.04,2104300,0
20081007,2.1,2.1,1.67,1.83,2657800,0
20081008,1.74,1.83,1.53,1.57,2598800,0
20081009,1.86,1.89,1.63,1.7,3089900,0
20081010,1.6,1.64,1.46,1.54,2809700,0
20081014,2.16,2.26,1.8,1.85,3638300,0
20081016,1.75,1.75,1.51,1.55,3144200,0
20081017,1.81,1.81,1.56,1.64,1809900,0
20081020,1.72,1.76,1.66,1.71,862200,0
20081021,1.75,1.77,1.66,1.69,905100,0
20081022,1.64,1.72,1.56,1.57,1242500,0
20081023,1.58,1.66,1.53,1.57,1033400,0
20081024,1.58,1.58,1.45,1.53,1246100,0
20081027,1.46,1.48,1.4,1.42,1184500,0
20081028,1.45,1.46,1.31,1.32,954000,0
20081029,1.38,1.44,1.32,1.41,1144400,0
20081030,1.48,1.64,1.47,1.63,1347700,0
20081031,1.63,1.88,1.58,1.85,1942500,0
20081103,1.9,2.32,1.9,2.2,2452700,0
20081104,2.29,2.68,2.26,2.65,2893400,0
20081105,2.84,2.84,2.1,2.25,3239000,0
20081106,2.1,2.14,1.92,1.95,1494000,0
20081107,1.95,2.17,1.94,2.1,1458200,0
20081110,2.28,2.32,2.01,2.04,1359000,0
20081111,2.02,2.08,1.84,1.87,1552500,0
20081112,1.91,2,1.64,1.68,1862400,0
20081113,1.67,1.76,1.62,1.73,1341900,0
20081114,1.83,1.93,1.68,1.68,1813600,0
20081117,1.78,2.03,1.74,2.03,1122200,0
20081118,1.99,2,1.8,1.97,1517200,0
20081119,1.97,1.98,1.78,1.79,918400,0
20081120,1.74,1.83,1.65,1.77,977400,0
20081121,1.8,1.94,1.7,1.76,1468800,0
20081124,1.8,1.83,1.68,1.79,1998600,0
20081125,1.81,1.92,1.78,1.86,5500200,0
20081126,1.87,1.91,1.73,1.78,1845700,0
20081127,1.8,1.96,1.8,1.93,1881900,0
20081128,1.94,2.07,1.81,1.82,1699600,0
20081201,1.93,1.93,1.8,1.8,1119500,0
20081202,1.79,2.1,1.73,2.05,2150800,0
20081203,2.16,2.44,2.12,2.22,3893500,0
20081204,2.23,2.42,2.22,2.31,1592500,0
20081205,2.34,2.39,2.12,2.17,1049200,0
20081208,2.35,2.43,2.21,2.4,1576500,0
20081209,2.37,2.42,2.29,2.35,737000,0
20081210,2.35,2.39,2.3,2.39,668500,0
20081211,2.39,2.62,2.38,2.51,2075900,0
20081212,2.41,2.58,2.36,2.55,1072500,0
20081215,2.65,2.79,2.3,2.45,2797400,0
20081216,2.45,2.72,2.31,2.66,2071100,0
20081217,2.75,2.76,2.53,2.62,1673700,0
20081218,2.52,2.73,2.52,2.61,1251000,0
20081219,2.61,2.66,2.52,2.62,1557600,0
20081222,2.64,2.67,2.54,2.6,815600,0
20081223,2.63,2.9,2.56,2.77,1202500,0
20081229,2.82,3.06,2.8,3.01,1605500,0
20081230,3.06,3.35,2.96,3.09,1797200,0
20090102,3.11,3.41,3.1,3.36,530800,0
20090105,3.44,3.52,3.11,3.2,1410000,0
20090106,3.2,3.2,2.92,3.14,1537200,0
20090107,3.11,3.15,2.56,2.6,2890600,0
20090108,2.56,2.76,2.44,2.55,1759700,0
20090109,2.56,2.64,2.44,2.44,1054000,0
20090112,2.41,2.57,2.32,2.42,798000,0
20090113,2.41,2.49,2.36,2.38,716700,0
20090114,2.42,2.52,2.2,2.2,1606100,0
20090115,2.2,2.24,2.04,2.1,1130800,0
20090116,2.15,2.23,2.12,2.15,716900,0
20090119,2.18,2.2,1.85,1.88,1258300,0
20090120,1.92,1.98,1.84,1.91,712100,0
20090121,1.89,1.97,1.85,1.85,923100,0
20090122,1.89,2,1.89,1.89,783100,0
20090123,1.89,1.93,1.7,1.8,717600,0
20090126,1.73,1.82,1.73,1.76,510400,0
20090127,1.8,1.87,1.75,1.83,1154100,0
20090128,1.86,2.19,1.85,2.14,3046000,0
20090129,2.11,2.11,1.97,2.01,728000,0
20090130,2,2.04,1.93,2,525400,0
20090202,1.98,1.98,1.86,1.9,474200,0
20090203,1.96,1.96,1.81,1.89,733500,0
20090204,1.95,1.98,1.92,1.95,430300,0
20090205,1.91,1.94,1.86,1.89,751600,0
20090206,1.91,2.08,1.91,2.08,965800,0
20090209,2.05,2.19,2.04,2.1,958900,0
20090210,2.05,2.07,1.94,1.99,880500,0
20090211,1.94,1.96,1.86,1.86,665900,0
20090212,1.87,1.96,1.83,1.96,1057400,0
20090213,1.94,2.03,1.87,1.9,871100,0
20090216,1.88,1.93,1.82,1.83,498500,0
20090217,1.8,1.8,1.71,1.76,535100,0
20090218,1.77,1.77,1.64,1.64,1060300,0
20090219,1.65,1.65,1.57,1.58,977600,0
20090220,1.57,1.57,1.43,1.48,1492300,0
20090223,1.5,1.54,1.4,1.41,602300,0
20090224,1.39,1.41,1.3,1.3,1083000,0
20090225,1.35,1.41,1.29,1.3,914100,0
20090226,1.31,1.43,1.3,1.36,1307900,0
20090227,1.37,1.38,1.32,1.36,854700,0
20090302,1.34,1.37,1.31,1.34,547900,0
20090303,1.38,1.38,1.27,1.32,776100,0
20090304,1.34,1.39,1.27,1.3,661500,0
20090305,1.35,1.36,1.25,1.25,839800,0
20090306,1.25,1.27,1.15,1.22,749400,0
20090310,1.17,1.35,1.16,1.31,1116000,0
20090311,1.32,1.4,1.26,1.36,710700,0
20090312,1.35,1.35,1.25,1.29,663400,0
20090313,1.34,1.36,1.28,1.3,377800,0
20090316,1.33,1.4,1.33,1.4,399700,0
20090317,1.36,1.47,1.36,1.47,668400,0
20090318,1.5,1.57,1.33,1.39,1110200,0
20090319,1.39,1.45,1.37,1.38,598000,0
20090320,1.41,1.45,1.34,1.45,1260400,0
20090323,1.46,1.57,1.45,1.57,688900,0
20090324,1.59,1.61,1.47,1.5,662100,0
20090325,1.5,1.57,1.48,1.51,447800,0
20090326,1.53,1.88,1.51,1.84,2041300,0
20090327,1.84,1.86,1.72,1.76,836100,0
20090330,1.72,1.75,1.64,1.7,621300,0
20090331,1.69,1.74,1.57,1.67,681400,0
20090401,1.68,1.68,1.58,1.67,423600,0
20090402,1.7,1.82,1.69,1.82,811000,0
20090403,1.8,2.06,1.74,2.06,1473300,0
20090406,2.13,2.27,1.98,2.01,1503600,0
20090407,2.09,2.09,1.89,1.93,477800,0
20090408,1.87,1.87,1.59,1.64,2440700,0
20090409,1.7,1.75,1.61,1.73,1035800,0
20090414,1.74,1.74,1.62,1.71,850400,0
20090415,1.66,1.73,1.66,1.71,493000,0
20090416,1.73,1.77,1.69,1.76,595500,0
20090417,1.77,1.92,1.75,1.8,1323700,0
20090420,1.74,1.78,1.61,1.63,2191900,0
20090421,1.64,1.67,1.53,1.63,941900,0
20090422,1.63,1.69,1.54,1.66,925700,0
20090423,1.67,1.79,1.63,1.69,1137500,0
20090424,1.71,1.78,1.68,1.77,540300,0
20090427,1.81,1.93,1.75,1.87,1068800,0
20090428,1.82,1.86,1.77,1.8,383000,0
20090429,1.81,1.92,1.81,1.88,622700,0
