Date,Open,High,Low,Close,Volume,OpenInt
20090406,1.23,1.27,1.22,1.27,411,0
20090407,1.23,1.27,1.22,1.27,500,0
20090409,1.23,1.27,1.22,1.27,240,0
20090414,1.23,1.27,1.22,1.27,300,0
20090415,1.23,1.27,1.17,1.22,1410,0
20090417,1.22,1.22,1.17,1.22,520,0
20090420,1.22,1.22,1.15,1.17,35,0
20090430,1.17,1.17,1,1,3500,0
20090506,1,1,0.9,1,1698,0
20090507,1,1,0.96,1,60,0
20090508,1,1,0.958,0.958,2304,0
20090527,1.01,1.01,0.93,0.966,300,0
20090529,0.97,1,0.922,0.922,1321,0
20090601,0.92,0.922,0.874,0.91,210,0
20090602,0.91,0.91,0.8,0.816,4500,0
20090608,0.82,0.82,0.787,0.82,20,0
20090619,0.82,0.82,0.76,0.76,2160,0
20090630,0.62,0.66,0.58,0.62,170,0
20090701,0.62,0.7,0.62,0.62,12200,0
20090702,0.62,0.696,0.61,0.61,300,0
20090703,0.62,0.696,0.62,0.65,300,0
20090706,0.65,0.696,0.65,0.69,1020,0
20090707,0.69,0.696,0.68,0.68,1750,0
20090708,0.69,0.696,0.69,0.69,500,0
20090716,0.62,0.656,0.58,0.656,4000,0
20090717,0.66,0.66,0.616,0.616,100,0
20090721,0.59,0.626,0.55,0.561,2215,0
20090722,0.56,0.597,0.52,0.597,1000,0
20090723,0.6,0.6,0.557,0.56,35,0
20090724,0.56,0.593,0.56,0.561,25,0
20090727,0.56,0.593,0.136,0.136,55020,0
20090728,0.115,0.13,0.1,0.13,52960,0
20090729,0.13,0.13,0.09,0.111,650,0
20090730,0.11,0.15,0.09,0.12,3681,0
20090731,0.11,0.13,0.081,0.101,1452,0
20090803,0.1,0.119,0.085,0.09,43975,0
20090805,0.085,0.113,0.08,0.113,1465,0
20090810,0.101,0.101,0.085,0.086,4500,0
20090811,0.101,0.101,0.085,0.085,17200,0
20090812,0.101,0.113,0.1,0.1,14431,0
20090813,0.11,0.11,0.063,0.08,30,0
20090814,0.073,0.101,0.07,0.081,30,0
20090817,0.081,0.101,0.041,0.07,41602,0
20090818,0.07,0.089,0.02,0.02,10950,0
20090820,0.041,0.05,0.03,0.05,10000,0
20090821,0.05,0.07,0.03,0.045,2500,0
20090824,0.05,0.05,0.03,0.03,50,0
20090826,0.059,0.059,0.016,0.045,15837,0
20090827,0.05,0.07,0.05,0.07,33112,0
20090828,0.073,0.101,0.053,0.053,16882,0
20090831,0.1,0.109,0.061,0.109,66417,0
20090901,0.15,0.15,0.069,0.137,20934,0
20090902,0.14,0.15,0.069,0.069,11000,0
20090903,0.1,0.1,0.059,0.1,2000,0
20090904,0.09,0.12,0.059,0.12,1310,0
20090907,0.12,0.12,0.07,0.09,5085,0
20090908,0.12,0.12,0.09,0.1,17900,0
20090914,0.11,0.118,0.07,0.1,90,0
20090915,0.071,0.102,0.07,0.07,20700,0
20090916,0.099,0.12,0.08,0.12,3700,0
20090918,0.12,0.147,0.08,0.147,15000,0
20090921,0.099,0.151,0.08,0.11,19000,0
20090922,0.101,0.17,0.1,0.17,13400,0
20090923,0.169,0.198,0.12,0.15,2900,0
20090924,0.2,0.2,0.148,0.168,13630,0
20090925,0.17,0.196,0.128,0.196,17300,0
20090928,0.198,0.2,0.146,0.156,18230,0
20090929,0.158,0.158,0.106,0.116,50,0
20091001,0.119,0.146,0.108,0.119,5030,0
20091002,0.117,0.147,0.115,0.147,350,0
20091005,0.121,0.168,0.11,0.168,1300,0
20091006,0.17,0.196,0.12,0.132,7640,0
20091007,0.133,0.16,0.132,0.132,5000,0
20091012,0.12,0.16,0.116,0.132,28840,0
20091013,0.13,0.155,0.12,0.12,100,0
20091014,0.155,0.17,0.14,0.17,21324,0
20091015,0.172,0.172,0.12,0.132,19540,0
20091016,0.133,0.155,0.125,0.144,20,0
20091019,0.133,0.17,0.132,0.135,23760,0
20091020,0.137,0.21,0.135,0.21,3400,0
20091021,0.139,0.14,0.115,0.135,3300,0
20091022,0.137,0.137,0.125,0.125,40,0
20091023,0.137,0.205,0.125,0.205,7000,0
20091029,0.192,0.192,0.127,0.178,11325,0
20091030,0.175,0.18,0.168,0.178,1300,0
20091103,0.18,0.18,0.11,0.178,839,0
20091105,0.18,0.2,0.178,0.178,1100,0
20091109,0.178,0.178,0.168,0.168,140,0
20091112,0.175,0.178,0.108,0.14,9860,0
20091117,0.167,0.188,0.167,0.17,2838,0
20091118,0.174,0.178,0.169,0.17,29246,0
20091119,0.167,0.188,0.167,0.17,3750,0
20091120,0.167,0.178,0.13,0.142,80,0
20091124,0.14,0.17,0.14,0.144,581,0
20091125,0.142,0.178,0.142,0.175,4915,0
20091126,0.172,0.172,0.142,0.15,1000,0
20091130,0.148,0.17,0.142,0.15,140,0
20091201,0.148,0.152,0.142,0.152,140,0
20091202,0.15,0.15,0.122,0.122,5028,0
20091207,0.12,0.14,0.12,0.12,21,0
20091208,0.119,0.122,0.119,0.122,451,0
20091209,0.12,0.16,0.12,0.122,19470,0
20091210,0.12,0.123,0.12,0.123,172,0
20091211,0.121,0.122,0.12,0.122,60,0
20091215,0.12,0.122,0.12,0.122,45,0
20091217,0.114,0.16,0.1,0.16,6400,0
20091218,0.152,0.16,0.1,0.13,11701,0
20091221,0.103,0.13,0.1,0.111,2900,0
20091223,0.096,0.13,0.096,0.1,300,0
20091228,0.109,0.13,0.1,0.102,130,0
20091230,0.096,0.15,0.09,0.1,1892,0
20100104,0.143,0.143,0.1,0.1,40,0
20100105,0.133,0.133,0.1,0.1,8000,0
20100106,0.095,0.101,0.095,0.101,10130,0
20100107,0.096,0.1,0.096,0.1,140,0
20100111,0.1,0.1,0.095,0.1,40,0
20100112,0.095,0.101,0.09,0.09,300,0
20100113,0.096,0.101,0.096,0.101,260,0
20100114,0.096,0.102,0.09,0.102,550,0
20100118,0.095,0.101,0.095,0.1,300,0
20100119,0.096,0.101,0.096,0.101,200,0
20100120,0.096,0.101,0.096,0.101,100,0
20100121,0.096,0.101,0.09,0.1,10440,0
20100122,0.095,0.1,0.095,0.1,500,0
20100125,0.095,0.1,0.095,0.1,650,0
20100126,0.095,0.105,0.07,0.105,25,0
20100128,0.08,0.105,0.08,0.085,100,0
20100129,0.081,0.105,0.08,0.08,325,0
20100201,0.081,0.11,0.08,0.11,301,0
20100204,0.076,0.11,0.076,0.08,60,0
20100205,0.076,0.11,0.06,0.06,297,0
20100209,0.076,0.08,0.076,0.08,3800,0
20100212,0.076,0.1,0.073,0.073,200,0
20100215,0.076,0.1,0.06,0.076,415,0
20100218,0.072,0.1,0.072,0.075,100,0
20100219,0.071,0.1,0.071,0.074,280,0
20100222,0.07,0.1,0.06,0.06,1,0
20100223,0.07,0.073,0.07,0.073,20250,0
20100224,0.069,0.1,0.069,0.07,24504,0
20100226,0.067,0.09,0.067,0.07,50,0
20100301,0.067,0.09,0.067,0.07,400,0
20100303,0.067,0.09,0.067,0.07,95,0
20100304,0.067,0.09,0.067,0.07,12000,0
20100305,0.067,0.08,0.06,0.075,19700,0
20100308,0.08,0.09,0.055,0.09,43488,0
20100309,0.086,0.139,0.075,0.139,17000,0
20100310,0.152,0.152,0.081,0.12,170,0
20100311,0.114,0.139,0.076,0.11,5091,0
20100315,0.109,0.115,0.081,0.1,430,0
20100316,0.095,0.115,0.07,0.075,3870,0
20100318,0.067,0.1,0.06,0.1,1076,0
20100319,0.095,0.12,0.06,0.12,65326,0
20100322,0.114,0.131,0.114,0.12,11877,0
20100323,0.123,0.15,0.101,0.101,13849,0
20100325,0.08,0.139,0.07,0.1,50,0
20100326,0.095,0.133,0.08,0.12,60,0
20100329,0.128,0.128,0.085,0.101,100,0
20100401,0.095,0.122,0.083,0.083,170,0
20100406,0.086,0.122,0.086,0.091,514,0
20100407,0.086,0.095,0.086,0.09,1150,0
20100412,0.086,0.09,0.071,0.09,669,0
20100414,0.081,0.09,0.071,0.09,10,0
20100415,0.081,0.09,0.071,0.09,665,0
20100416,0.082,0.09,0.071,0.071,130,0
20100419,0.081,0.09,0.071,0.086,120,0
20100420,0.082,0.086,0.071,0.086,100,0
20100421,0.082,0.086,0.071,0.086,34,0
20100422,0.082,0.086,0.071,0.086,100,0
20100423,0.082,0.085,0.07,0.07,1,0
20100428,0.081,0.086,0.071,0.071,400,0
20100430,0.081,0.086,0.071,0.071,1,0
20100503,0.08,0.086,0.071,0.086,22,0
20100504,0.082,0.085,0.071,0.071,10,0
20100505,0.071,0.086,0.071,0.071,10,0
20100507,0.071,0.08,0.071,0.071,50,0
20100510,0.076,0.08,0.07,0.07,119,0
20100512,0.071,0.08,0.071,0.073,300,0
20100513,0.071,0.073,0.071,0.073,100,0
20100514,0.071,0.073,0.07,0.073,180,0
20100517,0.071,0.073,0.07,0.073,40,0
20100521,0.068,0.073,0.068,0.071,3000,0
20100524,0.069,0.072,0.069,0.07,100,0
20100526,0.068,0.073,0.068,0.073,100,0
20100527,0.069,0.073,0.069,0.071,50,0
20100528,0.069,0.073,0.069,0.071,300,0
20100610,0.068,0.073,0.061,0.073,330,0
20100611,0.069,0.072,0.061,0.061,60,0
20100618,0.068,0.073,0.068,0.071,110,0
20100622,0.068,0.08,0.068,0.08,70,0
20100707,0.068,0.072,0.06,0.06,380,0
20100708,0.068,0.071,0.068,0.07,200,0
