Date,Open,High,Low,Close,Volume,OpenInt
20161129,6.798,6.909,6.5,6.5,8988,0
20161130,6.4,6.4,5.9,6.01,21853,0
20161201,6.521,7.1,6.5,6.933,33542,0
20161202,7.032,7.032,6.9,7.03,1422,0
20161205,7.11,7.2,7,7,5054,0
20161206,6.9,7.13,6.841,6.841,2910,0
20161207,7,7.05,6.841,7.05,1784,0
20161208,7.2,7.2,6.961,6.961,1095,0
20161209,7.031,7.239,7.03,7.239,526,0
20161212,7.2,7.2,7.02,7.02,487,0
20161213,7.25,7.25,7.25,7.25,975,0
20161214,7.151,7.151,7.15,7.15,464,0
20161215,7.05,7.75,7.05,7.75,1376,0
20161216,8.96,9.8,8.65,8.75,19442,0
20161219,8.89,9,8.651,8.8,9031,0
20161220,8.601,8.805,8.601,8.805,520,0
20161221,8.605,8.615,8.605,8.61,1699,0
20161222,8.69,8.818,8.56,8.779,1538,0
20161223,8.77,8.779,8.69,8.69,304,0
20161227,8.51,8.51,8.4,8.4,3450,0
20161228,8.499,8.499,8.499,8.499,100,0
20161229,8.4,8.4,8.4,8.4,1230,0
20161230,8.5,8.53,8.5,8.53,1104,0
20170103,8.55,8.714,8.55,8.714,453,0
20170104,8.8,8.8,7.86,8,9882,0
20170105,8,8,7.7,7.76,3001,0
20170106,7.995,7.995,7.7,7.7,165,0
20170109,7.8,7.859,7.7,7.859,598,0
20170110,7.66,7.799,7.66,7.799,530,0
20170111,7.559,7.758,7.559,7.758,230,0
20170112,7.9,7.9,7.7,7.7,1992,0
20170113,7.7,7.7,7.25,7.55,2791,0
20170116,7.6,7.6,7.35,7.579,921,0
20170117,7.594,7.595,7.32,7.32,280,0
20170118,7.594,7.594,7.594,7.594,155,0
20170119,7.594,7.594,7.469,7.469,166,0
20170120,7.5,7.5,7.5,7.5,55,0
20170123,7.554,7.555,7.554,7.555,250,0
20170124,7.27,7.4,7.255,7.4,900,0
20170126,7.499,7.7,7.499,7.7,1430,0
20170127,7.7,7.7,7.7,7.7,650,0
20170131,7.7,7.7,7.7,7.7,444,0
20170201,7.779,7.889,7.6,7.889,1772,0
20170203,7.589,7.589,7.589,7.589,70,0
20170206,7.728,7.729,7.609,7.609,1800,0
20170207,7.609,7.7,7.609,7.7,1684,0
20170208,7.25,7.4,7.1,7.4,828,0
20170210,7.35,7.495,7.35,7.41,1620,0
20170213,7.5,7.67,7.5,7.551,3609,0
20170214,7.75,7.799,7.75,7.75,880,0
20170215,7.759,8.15,7.759,8.15,5361,0
20170216,8.12,8.15,7.92,8.15,651,0
20170217,7.89,7.89,7.89,7.89,732,0
20170220,8.03,8.03,7.7,7.879,1330,0
20170221,7.875,7.875,7.6,7.62,3413,0
20170222,7.94,7.94,7.94,7.94,150,0
20170223,7.919,7.99,7.919,7.92,3006,0
20170224,7.81,7.9,7.5,7.779,3460,0
20170227,7.779,7.87,7.749,7.87,3355,0
20170228,7.77,7.87,7.7,7.87,1255,0
20170301,7.849,7.87,7.63,7.79,2375,0
20170303,7.57,7.799,7.5,7.6,618,0
20170306,7.6,7.6,7.5,7.5,940,0
20170307,7.5,7.55,7.5,7.55,1347,0
20170308,7.55,7.55,7.55,7.55,300,0
20170309,7.55,7.65,7.491,7.491,2706,0
20170310,7.499,7.5,7.46,7.46,2045,0
20170313,7.48,7.48,7.43,7.43,300,0
20170314,7.43,7.57,7.43,7.57,950,0
20170315,7.301,7.549,7.301,7.549,205,0
20170316,7.549,7.549,7.5,7.5,351,0
20170317,7.499,7.6,7.499,7.6,1807,0
20170321,7.401,7.549,7.2,7.549,2455,0
20170322,7.239,7.536,7.239,7.536,319,0
