Date,Open,High,Low,Close,Volume,OpenInt
20060704,15.553,16.293,15.553,16.069,272376,0
20060705,16.209,16.209,15.928,16.021,80368,0
20060706,16.003,16.021,15.769,15.881,36502,0
20060707,15.928,16.013,15.835,15.928,31913,0
20060710,15.928,15.928,15.835,15.928,21026,0
20060711,15.881,15.919,15.553,15.835,78980,0
20060712,15.871,16.021,15.835,15.881,54326,0
20060713,15.835,16.021,15.835,15.928,12274,0
20060714,15.928,15.928,15.741,15.928,13235,0
20060717,15.806,15.928,15.741,15.919,5123,0
20060718,15.75,15.928,15.413,15.553,37996,0
20060719,15.694,16.021,15.451,15.928,46961,0
20060720,15.928,16.115,15.741,16.115,18251,0
20060721,16.105,16.115,16.105,16.115,4909,0
20060724,16.069,16.209,16.031,16.209,8965,0
20060725,16.115,16.293,16.115,16.293,2669,0
20060726,16.341,16.341,16.257,16.341,320,0
20060727,16.247,16.35,16.163,16.35,10459,0
20060728,16.35,16.396,16.322,16.396,6296,0
20060731,16.396,16.631,16.396,16.537,14195,0
20060801,16.762,16.762,16.584,16.584,8859,0
20060802,16.584,16.584,16.163,16.49,35755,0
20060803,16.396,16.612,15.928,16.443,25295,0
20060804,16.584,16.584,16.303,16.49,48029,0
20060807,16.584,16.612,16.35,16.537,3415,0
20060808,16.556,16.677,16.49,16.677,8005,0
20060809,16.865,16.865,16.677,16.837,32339,0
20060810,16.819,16.903,16.725,16.903,25189,0
20060811,16.911,17.239,16.911,17.239,4909,0
20060814,17.239,17.314,16.969,17.314,17611,0
20060815,17.239,17.989,17.239,17.989,48135,0
20060816,18.168,18.523,18.084,18.401,22200,0
20060817,18.364,18.458,18.177,18.458,13448,0
20060818,18.458,18.739,18.271,18.739,15689,0
20060821,19.048,19.489,18.935,19.386,13020,0
20060822,19.328,19.328,17.333,18.739,34261,0
20060823,19.019,19.019,18.298,18.458,18678,0
20060824,18.636,18.636,18.364,18.552,68520,0
20060825,18.552,18.598,18.458,18.552,3095,0
20060828,18.271,18.552,18.271,18.552,320,0
20060829,18.636,18.636,18.467,18.552,1814,0
20060830,18.505,18.645,18.458,18.645,10353,0
20060831,18.645,18.739,18.458,18.645,38957,0
20060901,18.691,18.739,18.552,18.552,16863,0
20060904,18.739,18.974,18.561,18.974,24228,0
20060905,19.31,19.31,18.833,19.113,36394,0
20060906,19.067,19.189,18.926,18.974,24867,0
20060907,18.926,18.926,18.636,18.833,3310,0
20060908,18.926,19.067,18.739,19.067,11421,0
20060911,19.067,19.067,18.786,18.935,3948,0
20060912,19.263,19.263,18.88,19.113,6511,0
20060913,19.113,19.113,19.019,19.104,1921,0
20060914,19.113,19.197,18.974,19.113,9606,0
20060915,19.207,19.489,19.029,19.489,22413,0
20060918,19.676,19.985,19.489,19.676,43867,0
20060919,20.126,20.126,19.404,20.079,27857,0
20060920,20.051,20.331,19.676,19.676,28817,0
20060921,20.051,20.051,19.685,19.975,6616,0
20060922,20.003,20.003,19.226,19.639,14088,0
20060925,19.489,19.919,19.441,19.441,28496,0
20060926,19.676,19.77,19.441,19.657,5016,0
20060927,19.909,19.909,19.395,19.489,6616,0
20060928,19.489,19.582,19.395,19.582,8005,0
20060929,19.629,19.657,19.516,19.657,10566,0
20061002,20.192,20.192,19.489,19.629,31272,0
20061003,19.676,20.032,19.489,19.489,30632,0
20061004,20.022,20.238,19.582,20.238,8965,0
