Date,Open,High,Low,Close,Volume,OpenInt
19910405,5.0608,5.0608,4.9856,5.0274,263659,0
19910408,5.0064,5.0316,5.0064,5.0274,215720,0
19910409,4.9939,5.0022,4.9939,4.9939,131828,0
19910410,4.9648,4.9856,4.9481,4.9773,383503,0
19910411,4.9856,4.9856,4.923,4.9773,491364,0
19910412,4.9648,5.019,4.9648,5.0064,407472,0
19910415,5.0064,5.0775,5.0064,5.0524,371519,0
19910416,5.069,5.1734,5.0608,5.1317,958757,0
19910417,5.1943,5.2693,5.1734,5.2693,970741,0
19910418,5.2777,5.2903,5.14,5.236,1186461,0
19910419,5.215,5.2569,5.1943,5.215,874866,0
19910422,5.1317,5.1943,5.1317,5.1859,287628,0
19910423,5.2025,5.3737,5.1943,5.3737,563269,0
19910424,5.3611,5.3652,5.3403,5.3611,467394,0
19910425,5.3861,5.4238,5.382,5.3944,778989,0
19910426,5.4238,5.4446,5.4028,5.4111,359533,0
19910429,5.4361,5.4613,5.4028,5.4028,491364,0
19910430,5.382,5.3986,5.2777,5.3069,479378,0
19910502,5.3193,5.3403,5.2986,5.3403,179767,0
19910503,5.3403,5.3611,5.3069,5.3193,215720,0
19910506,5.2569,5.2693,5.215,5.215,431440,0
19910507,5.2569,5.2693,5.1609,5.165,802958,0
19910508,5.14,5.14,5.0899,5.1233,335564,0
19910510,5.1567,5.165,5.1317,5.1317,215720,0
19910513,5.0899,5.1233,5.0899,5.1233,203736,0
19910514,5.1317,5.1317,5.0816,5.0816,575255,0
19910515,5.069,5.0982,5.069,5.0899,623192,0
19910516,5.0899,5.14,5.0899,5.14,155798,0
19910517,5.1525,5.165,5.14,5.1483,335564,0
19910521,5.1734,5.2443,5.1734,5.2443,359533,0
19910522,5.2777,5.3403,5.2652,5.3152,587238,0
19910523,5.3403,5.3737,5.2986,5.3193,1234398,0
19910524,5.3193,5.336,5.2986,5.3193,1186461,0
19910527,5.3403,5.4238,5.332,5.4111,2708487,0
19910528,5.4446,5.4529,5.357,5.382,1198445,0
19910529,5.407,5.4238,5.3737,5.3737,491364,0
19910531,5.4111,5.4278,5.3944,5.3944,635176,0
19910603,5.3944,5.3944,5.2986,5.332,371519,0
19910604,5.2986,5.3193,5.2943,5.2943,335564,0
19910605,5.3152,5.3737,5.3069,5.3652,707084,0
19910606,5.3737,5.4028,5.3403,5.3611,491364,0
19910607,5.3486,5.3611,5.3403,5.3403,203736,0
19910610,5.3403,5.3611,5.3193,5.3611,191752,0
19910611,5.3737,5.4028,5.3486,5.4028,611207,0
19910612,5.3944,5.3944,5.3486,5.3611,922803,0
19910613,5.3737,5.3737,5.3069,5.332,443424,0
19910614,5.3403,5.3611,5.3193,5.3403,443424,0
19910617,5.3611,5.3737,5.2025,5.215,874866,0
19910618,5.2025,5.2402,5.1734,5.2402,683114,0
19910619,5.1859,5.215,5.1734,5.1943,1234398,0
19910620,5.2109,5.2609,5.2109,5.236,767005,0
19910621,5.2777,5.3486,5.2569,5.3403,1426150,0
19910624,5.3193,5.3403,5.2777,5.2903,3703196,0
19910625,5.2693,5.3193,5.2443,5.2986,2756424,0
19910626,5.3069,5.3403,5.236,5.236,2001403,0
19910627,5.236,5.2903,4.8814,4.8896,1737746,0
19910628,4.8855,4.8855,4.7771,4.8521,1054632,0
19910701,4.8605,4.8855,4.8605,4.8814,395486,0
19910702,4.9147,4.9147,4.8271,4.8605,683114,0
19910703,4.8605,4.8729,4.8521,4.8563,371519,0
19910704,4.8729,4.9314,4.8729,4.9273,503348,0
