Date,Open,High,Low,Close,Volume,OpenInt
19910405,12.267,12.301,12.15,12.15,297710,0
19910408,12.079,12.106,12.061,12.079,89874,0
19910409,12.132,12.132,11.991,11.991,56171,0
19910410,11.928,12.079,11.883,12.079,292092,0
19910411,12.079,12.15,12.016,12.15,348263,0
19910412,12.106,12.195,12.079,12.15,151663,0
19910415,12.168,12.239,12.132,12.195,252771,0
19910416,12.213,12.355,12.177,12.283,398817,0
19910417,12.417,12.596,12.417,12.596,629121,0
19910418,12.623,12.64,12.417,12.507,488692,0
19910419,12.417,12.523,12.328,12.462,297710,0
19910422,12.328,12.417,12.301,12.372,314560,0
19910423,12.372,12.729,12.372,12.711,511161,0
19910424,12.729,12.844,12.729,12.774,370731,0
19910425,12.818,12.854,12.729,12.729,370731,0
19910426,12.747,12.827,12.711,12.72,325794,0
19910429,12.8,12.844,12.685,12.685,292092,0
19910430,12.685,12.685,12.542,12.596,297710,0
19910502,12.685,12.711,12.623,12.685,735847,0
19910503,12.64,12.675,12.623,12.623,162898,0
19910506,12.559,12.559,12.507,12.542,112343,0
19910507,12.552,12.623,12.552,12.577,275241,0
19910508,12.488,12.488,12.355,12.408,129195,0
19910510,12.507,12.552,12.507,12.507,190983,0
19910513,12.417,12.417,12.364,12.417,89874,0
19910514,12.372,12.372,12.239,12.239,359498,0
19910515,12.283,12.301,12.257,12.301,117961,0
19910516,12.267,12.4,12.267,12.4,190983,0
19910517,12.372,12.417,12.355,12.355,190983,0
19910521,12.417,12.516,12.417,12.516,174132,0
19910522,12.596,12.818,12.552,12.774,477458,0
19910523,12.863,12.879,12.685,12.782,387583,0
19910524,12.747,12.844,12.729,12.818,286475,0
19910527,12.774,13.067,12.774,12.996,365116,0
19910528,13.041,13.041,12.908,12.996,443754,0
19910529,13.041,13.085,12.951,12.951,443754,0
19910531,12.996,13.13,12.996,13.023,292092,0
19910603,12.951,12.996,12.818,12.863,117961,0
19910604,12.818,12.879,12.8,12.818,454989,0
19910605,12.898,13.085,12.889,13.023,657207,0
19910606,13.041,13.191,12.969,12.969,645972,0
19910607,12.996,13.067,12.969,12.996,353881,0
19910610,12.951,13.023,12.933,12.996,280857,0
19910611,13.067,13.076,12.879,12.987,348263,0
19910612,12.969,12.996,12.747,12.755,696528,0
19910613,12.755,12.818,12.685,12.693,528012,0
19910614,12.729,12.747,12.658,12.729,320179,0
19910617,12.774,12.774,12.462,12.488,578566,0
19910618,12.462,12.523,12.372,12.507,915597,0
19910619,12.417,12.523,11.643,11.643,1342499,0
19910620,11.643,11.768,11.635,11.75,702145,0
19910621,11.821,12.132,11.821,12.132,438138,0
19910624,12.061,12.07,11.857,11.857,393200,0
19910625,11.857,12.097,11.829,12.016,820104,0
19910626,12.061,12.132,11.911,11.911,572949,0
19910627,11.911,12.061,11.857,11.972,337029,0
19910628,11.928,11.955,11.794,11.955,690910,0
19910701,12.016,12.016,11.928,12.016,190983,0
19910702,12.079,12.079,11.839,11.991,264005,0
19910703,11.972,11.991,11.928,11.955,258389,0
19910704,11.972,12.213,11.972,12.132,331413,0
19910705,12.15,12.195,12.106,12.15,230303,0
19910708,12.061,12.142,12.035,12.132,213452,0
19910709,12.195,12.328,12.177,12.328,325794,0
19910710,12.346,12.4,12.32,12.391,421286,0
19910711,12.372,12.462,12.337,12.372,1275094,0
19910712,12.462,12.523,12.426,12.454,786402,0
19910715,12.488,12.488,12.417,12.444,213452,0
19910716,12.426,12.462,12.408,12.417,213452,0
19910717,12.417,12.436,12.372,12.436,219068,0
19910718,12.408,12.436,12.372,12.4,280857,0
19910719,12.436,12.436,12.372,12.372,190983,0
19910722,12.4,12.436,12.355,12.436,168515,0
19910723,12.436,12.462,12.417,12.426,275241,0
19910724,12.417,12.417,12.355,12.355,179749,0
19910725,12.4,12.4,12.301,12.32,258389,0
19910726,12.328,12.346,12.283,12.32,258389,0
19910729,12.301,12.372,12.239,12.372,196599,0
19910730,12.382,12.417,12.382,12.391,112343,0
19910731,12.4,12.417,12.372,12.382,140430,0
19910801,12.417,12.436,12.372,12.382,258389,0
19910802,12.355,12.426,12.355,12.372,168515,0
19910805,12.4,12.4,12.372,12.382,73023,0
19910806,12.372,12.372,12.248,12.276,174132,0
19910807,12.328,12.328,12.301,12.328,84257,0
19910808,12.301,12.328,12.239,12.257,129195,0
19910809,12.248,12.257,12.195,12.195,196599,0
19910812,12.177,12.195,12.15,12.16,95493,0
19910813,12.239,12.328,12.239,12.328,387583,0
19910814,12.372,12.4,12.267,12.355,679676,0
19910815,12.372,12.488,12.372,12.408,595418,0
19910816,12.4,12.417,12.372,12.417,292092,0
19910819,12.061,12.061,11.038,11.616,1157133,0
19910820,11.705,11.972,11.689,11.821,623504,0
19910821,12.016,12.4,11.972,12.372,1123431,0
19910822,12.436,12.488,12.301,12.328,499927,0
19910823,12.267,12.355,12.213,12.328,264005,0
19910826,12.372,12.417,12.355,12.372,95493,0
19910827,12.417,12.436,12.301,12.301,421286,0
19910828,12.283,12.4,12.283,12.4,235920,0
19910829,12.417,12.488,12.355,12.426,674057,0
19910830,12.462,12.64,12.462,12.623,1134664,0
19910902,12.658,12.711,12.623,12.711,539247,0
19910903,12.711,12.711,12.658,12.685,258389,0
19910904,12.648,12.658,12.604,12.64,179749,0
19910905,12.623,12.658,12.577,12.648,348263,0
19910906,12.658,12.658,12.596,12.623,224686,0
19910909,12.623,12.658,12.596,12.64,207834,0
19910910,12.596,12.667,12.577,12.64,353881,0
19910911,12.711,12.729,12.658,12.693,303326,0
19910912,12.711,12.8,12.693,12.747,353881,0
19910913,12.8,12.818,12.729,12.774,460606,0
19910916,12.774,12.863,12.747,12.818,348263,0
19910917,12.863,12.951,12.827,12.951,763933,0
19910918,12.969,13.067,12.844,12.879,842573,0
19910919,12.879,12.933,12.854,12.871,224686,0
19910920,12.863,12.871,12.8,12.863,241536,0
19910923,12.879,12.879,12.81,12.844,202218,0
19910924,12.844,12.889,12.818,12.889,348263,0
19910925,12.916,12.943,12.898,12.908,511161,0
19910926,12.898,12.908,12.827,12.827,348263,0
19910927,12.863,12.863,12.792,12.844,460606,0
19910930,12.844,12.863,12.827,12.844,342647,0
19911001,12.879,12.933,12.879,12.908,623504,0
19911002,12.889,12.943,12.827,12.916,674057,0
19911004,12.879,12.933,12.863,12.916,381966,0
19911007,12.854,12.943,12.818,12.844,449373,0
19911008,12.818,12.889,12.8,12.844,578566,0
19911009,12.854,12.854,12.685,12.711,359498,0
19911010,12.667,12.764,12.623,12.729,443754,0
