Date,Open,High,Low,Close,Volume,OpenInt
20000330,25.515,26.547,24.127,24.45,276360,0
20000331,24.563,26.629,23.804,25.016,160857,0
20000403,26.225,26.629,25.016,25.016,134460,0
20000404,25.011,25.809,24.365,24.607,44993,0
20000405,24.935,25.419,24.21,24.774,50064,0
20000406,25.256,26.224,24.611,25.821,29496,0
20000407,25.984,26.63,25.104,26.145,65556,0
20000410,25.82,26.626,25.246,25.497,68786,0
20000411,24.619,25.659,24.449,24.691,19581,0
20000412,24.609,25.617,24.609,24.931,15120,0
20000413,24.661,25.419,24.532,24.774,16731,0
20000414,25.336,25.416,24.61,24.691,21813,0
20000417,23.478,24.607,23.478,24.607,12146,0
20000418,24.69,25.013,24.198,24.931,23672,0
20000419,24.934,25.016,24.209,25.016,12021,0
20000420,24.609,24.689,23.962,24.366,28259,0
20000425,24.479,24.608,23.8,23.8,8799,0
20000426,24.408,24.731,24.207,24.691,8303,0
20000427,24.928,27.849,24.687,26.72,181098,0
20000428,29.776,30.543,27.275,27.961,111035,0
20000502,29.441,29.852,27.513,28.239,26152,0
20000503,28.32,29.49,27.352,27.434,47097,0
20000504,28.236,28.236,27.43,27.591,8428,0
20000505,28.002,28.244,27.01,27.276,10285,0
20000508,27.831,27.831,26.218,27.395,15743,0
20000510,26.05,26.22,25.412,25.412,4462,0
20000511,25.017,25.556,24.395,25.46,14499,0
20000512,25.172,25.978,25.13,25.978,5081,0
20000515,25.654,26.113,25.171,25.654,5205,0
20000516,25.417,26.063,24.933,25.821,13509,0
20000517,25.82,25.94,24.633,25.497,22308,0
20000518,25.413,25.882,24.607,24.607,10783,0
20000519,24.22,24.608,23.8,23.8,11279,0
20000522,23.386,24,21.619,22.588,68428,0
20000523,22.588,23.393,22.588,23.393,19338,0
20000524,22.991,23.878,22.184,22.588,42643,0
20000525,23.031,23.232,22.588,22.588,15619,0
20000526,22.27,22.503,21.786,22.189,10906,0
20000530,21.385,22.191,20.98,21.707,18340,0
20000531,22.07,22.506,21.458,21.458,15124,0
20000601,22.09,22.09,21.461,21.54,1239,0
20000602,22.188,25.634,22.188,23.56,39413,0
20000605,24.773,24.773,22.997,23.765,9419,0
20000606,23.478,23.961,23.397,23.922,3966,0
20000607,23.799,23.799,23.235,23.477,4089,0
20000608,23.195,23.195,22.663,22.986,2108,0
20000609,23.312,23.401,22.595,23.329,5825,0
20000612,22.593,22.996,22.593,22.996,992,0
20000613,22.59,23.074,22.59,22.912,8553,0
20000614,23.314,23.314,22.829,23.153,1984,0
20000615,22.755,23.157,22.594,22.755,2479,0
20000616,22.756,22.999,22.515,22.588,5701,0
20000619,22.91,22.91,22.345,22.588,7810,0
20000620,22.59,22.83,22.346,22.346,13017,0
