Date,Open,High,Low,Close,Volume,OpenInt
20060710,9.2849,9.2946,9.2508,9.2946,3111,0
20060711,9.2508,9.2508,9.2508,9.2508,230,0
20060712,9.2422,9.2761,9.1985,9.2761,1037,0
20060713,9.1206,9.1206,9.1206,9.1206,115,0
20060714,9.1111,9.3725,9.1111,9.1206,1613,0
20060717,9.2422,9.3034,9.1111,9.3034,6568,0
20060718,9.3034,9.3034,9.0163,9.1036,1728,0
20060719,9.1985,9.1985,9.1985,9.1985,346,0
20060720,9.1111,9.1985,9.1111,9.1111,922,0
20060721,9.1985,9.1985,8.9295,8.9295,1728,0
20060724,9.0248,9.3813,9.0248,9.3813,9104,0
20060725,9.547,9.633,9.1206,9.4679,9795,0
20060726,9.4592,9.537,9.4592,9.537,576,0
20060727,9.3725,9.3725,9.3725,9.3725,461,0
20060728,9.3628,9.3628,9.3628,9.3628,346,0
20060731,9.3725,9.4592,9.3725,9.4592,1844,0
20060801,9.4592,9.4592,9.4592,9.4592,1037,0
20060803,9.3287,9.3287,9.3034,9.3034,1267,0
20060807,9.3102,9.3102,9.0684,9.0684,576,0
20060808,9.2337,9.2337,9.2337,9.2337,576,0
20060810,8.9818,9.1036,8.7213,9.1036,6223,0
20060811,9.19,9.1985,8.9473,9.1985,2188,0
20060814,9.0598,9.0598,8.8689,8.9473,1844,0
20060815,8.8516,8.938,8.7733,8.7733,576,0
20060816,8.8516,8.8516,8.7213,8.7213,2188,0
20060817,8.8429,8.938,8.7733,8.8773,2882,0
20060818,8.9641,9.2849,8.9641,9.1985,1958,0
20060821,8.9641,9.0248,8.8951,9.0079,1958,0
20060822,9.1719,9.4504,9.1292,9.1292,6337,0
20060823,9.1985,9.571,9.1206,9.571,11753,0
20060825,9.2761,9.503,9.2761,9.503,2765,0
20060828,9.2849,9.4855,9.1549,9.1549,4147,0
20060829,9.1549,9.2849,9.1549,9.2849,346,0
20060830,9.2849,9.2849,9.2849,9.2849,2188,0
20060831,9.4592,9.547,9.4076,9.4592,5761,0
20060901,9.2946,9.503,9.2946,9.503,115,0
20060904,9.4154,9.4154,9.4154,9.4154,346,0
20060905,9.4154,9.71,9.2946,9.633,5761,0
20060906,9.589,9.633,9.4592,9.633,7374,0
20060907,9.589,9.589,9.589,9.589,230,0
20060908,9.3891,9.633,9.3891,9.633,691,0
20060912,9.3725,9.719,9.3725,9.719,3687,0
20060914,9.547,9.555,9.547,9.555,230,0
20060915,9.528,9.91,9.4241,9.797,4610,0
20060918,9.807,9.807,9.684,9.763,8527,0
20060919,9.884,9.884,9.675,9.745,1958,0
20060920,9.633,9.71,9.555,9.65,4035,0
20060921,9.571,9.719,9.571,9.719,807,0
20060922,9.719,9.807,9.607,9.754,2650,0
20060925,9.807,9.807,9.547,9.684,2996,0
20060926,9.641,9.807,9.581,9.807,922,0
20060927,9.633,9.797,9.555,9.797,2420,0
20060928,9.633,9.719,9.547,9.719,1267,0
20060929,9.807,9.807,9.547,9.597,1151,0
20061002,9.763,9.763,9.537,9.537,4035,0
20061003,9.3813,9.547,9.3813,9.547,807,0
20061004,9.4241,9.547,9.4241,9.4679,691,0
20061005,9.589,9.624,9.4329,9.4592,3802,0
20061006,9.537,9.547,9.52,9.547,1728,0
20061009,9.52,9.547,9.4679,9.4679,2303,0
20061012,9.547,9.547,9.4757,9.547,691,0
20061013,9.4416,9.547,9.4416,9.547,1613,0
20061016,9.4416,9.641,9.4154,9.562,7490,0
20061017,9.4679,9.633,9.4592,9.4592,691,0
20061019,9.581,9.581,9.355,9.4154,3457,0
20061020,9.3725,9.581,9.3725,9.581,1383,0
20061023,9.503,9.503,9.4679,9.4679,1267,0
20061024,9.4757,9.633,9.4592,9.624,2650,0
20061025,9.547,9.589,9.547,9.555,346,0
20061027,9.4592,9.4592,9.4592,9.4592,1958,0
20061030,9.4592,9.4592,9.4592,9.4592,2882,0
20061031,9.4592,9.624,9.4592,9.624,922,0
20061101,9.555,9.763,9.547,9.589,1728,0
20061102,9.581,9.641,9.4679,9.633,11408,0
20061103,9.684,9.684,9.675,9.684,3572,0
20061106,9.547,9.547,9.3978,9.3978,2074,0
20061107,9.547,9.547,9.547,9.547,115,0
20061108,9.547,9.763,9.547,9.728,5993,0
20061109,9.719,9.719,9.547,9.547,576,0
20061110,9.4076,9.65,9.4076,9.65,461,0
20061113,9.547,9.641,9.547,9.633,1728,0
20061114,9.547,9.745,9.547,9.745,346,0
20061116,9.659,9.659,9.547,9.547,1037,0
20061117,9.4504,9.4504,9.4504,9.4504,807,0
20061120,9.4504,9.4592,9.4504,9.4592,1497,0
20061121,9.3725,9.547,9.3199,9.547,922,0
20061122,9.503,9.503,9.3725,9.3725,2536,0
20061123,9.703,10.743,9.703,10.718,41484,0
20061124,10.674,10.743,10.396,10.406,6799,0
20061127,10.413,10.413,10.362,10.362,3111,0
20061128,10.215,10.24,10.153,10.24,3687,0
20061129,10.413,10.847,10.413,10.631,13022,0
20061130,10.761,10.978,10.413,10.474,11984,0
20061201,10.5,10.587,10.413,10.43,4147,0
20061204,10.413,10.917,10.413,10.891,28118,0
20061205,11.108,11.108,10.847,10.969,8068,0
20061206,10.933,11.307,10.847,11.142,19589,0
20061207,11.178,11.281,10.847,11.194,19936,0
20061208,11.273,11.541,11.021,11.368,21203,0
20061211,11.368,11.368,11.194,11.368,13944,0
20061212,11.368,11.368,10.933,11.021,4840,0
20061213,11.021,11.046,10.856,11.046,9565,0
20061214,11.021,11.065,11.021,11.021,2536,0
20061215,10.942,11.186,10.942,11.152,1497,0
20061218,11.178,11.194,10.908,10.908,3802,0
20061219,11.021,11.194,11.021,11.074,1151,0
20061220,11.074,11.229,11.031,11.133,1267,0
20061221,11.046,11.194,11.046,11.194,807,0
20061222,11.212,11.212,11.021,11.168,2074,0
20061227,10.978,11.021,10.933,10.933,461,0
20061228,11.099,11.099,10.933,11.074,3111,0
20061229,11.194,11.238,10.942,11.178,3572,0
20070102,11.021,11.281,11.021,11.281,2536,0
20070103,11.368,11.377,11.178,11.29,6223,0
20070104,11.29,11.368,11.074,11.281,10371,0
20070105,11.281,11.446,11.281,11.446,691,0
20070108,11.586,11.629,11.42,11.42,1383,0
20070109,11.359,11.446,11.29,11.394,5761,0
20070110,11.281,11.281,11.117,11.273,1037,0
20070111,11.178,11.186,11.065,11.186,3687,0
20070112,11.065,11.099,10.847,11.099,2536,0
20070115,10.865,10.865,10.847,10.847,1844,0
20070116,10.891,10.933,10.847,10.933,2650,0
20070117,10.933,10.933,10.933,10.933,1037,0
20070118,10.978,11.178,10.933,11.021,2420,0
20070122,11.108,11.194,11.021,11.194,2765,0
20070123,11.464,12.341,11.454,12.341,55889,0
20070124,12.157,14.015,12.157,14.006,66375,0
20070125,14.015,16.011,14.015,15.421,69025,0
20070126,15.239,16.245,15.187,16.054,72598,0
20070129,15.795,15.795,14.865,15.23,43328,0
20070130,15.394,16.003,15.247,15.689,29847,0
20070131,15.889,16.166,15.36,15.394,11408,0
20070201,16.219,16.921,15.36,16.098,54161,0
