Date,Open,High,Low,Close,Volume,OpenInt
20000103,20.903,22.49,20.903,22.49,106724,0
20000104,22.072,22.109,20.267,20.267,354586,0
20000105,20.428,20.428,19.667,19.951,304383,0
20000106,20.238,21.017,20.238,20.779,184081,0
20000107,20.932,21.216,20.267,21.216,185346,0
20000110,20.903,21.692,20.903,21.538,277543,0
20000111,21.538,21.538,20.779,20.789,285753,0
20000112,20.59,20.74,20.238,20.637,389003,0
20000113,20.428,21.055,20.428,21.055,253230,0
20000114,20.617,21.692,20.617,21.453,275965,0
20000117,20.968,22.167,20.779,22.167,217236,0
20000118,21.853,22.015,21.301,21.538,66939,0
20000119,21.216,22.167,21.216,22.138,115879,0
20000120,21.692,21.853,20.637,21.017,109879,0
20000121,20.59,20.903,20.495,20.714,68833,0
20000124,20.645,20.74,20.503,20.551,107039,0
20000125,20.428,20.645,20.267,20.267,101988,0
20000126,20.645,21.538,20.645,21.378,145560,0
20000127,21.473,21.643,21.216,21.538,190713,0
20000128,20.779,21.538,20.779,21.538,77990,0
20000131,21.502,21.538,20.446,20.446,48942,0
20000201,20.352,21.538,20.352,21.538,123458,0
20000202,21.538,21.538,20.808,21.216,108617,0
20000203,21.216,21.757,21.216,21.52,91884,0
20000204,21.662,21.692,21.378,21.538,157875,0
20000207,21.216,21.692,20.617,21.284,79885,0
20000208,21.662,22.157,21.398,21.538,125668,0
20000209,21.538,21.853,21.425,21.453,73253,0
20000210,21.662,24.067,21.187,24.067,156612,0
20000211,22.774,23.592,21.777,23.592,313855,0
20000214,22.138,22.965,21.692,22.49,111776,0
20000215,22.49,23.44,22.167,22.737,393423,0
20000216,22.49,23.115,22.232,22.926,149980,0
20000217,22.613,22.613,21.187,21.301,153138,0
20000218,21.311,21.853,21.311,21.311,67571,0
20000221,21.976,21.976,21.254,21.444,79569,0
20000222,21.226,22.118,21.226,21.786,100408,0
20000223,21.538,21.538,21.216,21.216,151243,0
20000224,21.633,21.633,20.694,20.74,80201,0
20000225,21.027,21.027,20.267,20.267,181240,0
20000228,20.267,20.456,19.477,19.639,438891,0
20000229,19.782,20.17,19.715,19.906,326169,0
20000301,19.791,19.791,19.003,19.163,578768,0
20000302,19.003,19.316,18.689,19.163,239653,0
20000303,19.163,19.791,19.163,19.791,458467,0
20000306,19.639,20.209,19.163,20.047,183765,0
20000307,19.791,19.915,19.316,19.601,94093,0
20000308,19.791,19.791,19.25,19.573,169557,0
20000309,19.734,19.734,19.192,19.192,40731,0
20000310,19.496,19.496,18.955,18.955,54940,0
20000313,19.554,20.837,19.127,20.267,168294,0
20000314,20.59,20.59,19.163,19.316,118721,0
20000315,19.316,19.791,19.163,19.173,62519,0
20000316,19.173,20.114,19.173,19.886,372583,0
20000317,20.219,20.238,19.791,20.219,110828,0
20000320,19.951,20.267,19.951,20.209,32523,0
20000321,20.17,20.428,19.316,20.428,549087,0
20000322,19.951,20.551,19.951,20.522,159769,0
20000323,20.428,20.59,20.114,20.352,179029,0
20000324,20.352,21.786,20.352,21.538,567086,0
20000327,21.538,22.803,21.538,22.546,713594,0
20000328,22.327,22.956,22.167,22.803,664021,0
20000329,23.021,23.592,22.546,22.898,356480,0
20000330,22.803,22.965,22.641,22.803,286384,0
20000331,22.803,24.067,22.641,24.067,193554,0
20000403,24.067,24.067,22.109,22.167,718644,0
20000404,22.327,22.803,22.167,22.232,279754,0
20000405,22.167,22.327,21.264,21.853,408896,0
20000406,22.167,22.965,22.167,22.167,159453,0
20000407,22.015,22.451,22.015,22.043,148717,0
20000410,22.423,23.155,21.881,23.155,88725,0
20000411,22.346,22.346,21.711,21.73,192923,0
20000412,22.157,22.327,21.976,22.167,56519,0
20000413,21.597,22.167,21.538,21.777,313539,0
20000414,21.853,22.327,21.216,21.216,239339,0
20000417,21.064,21.538,21.064,21.538,119353,0
20000418,21.254,22.167,21.254,21.597,142088,0
20000419,21.284,22.3,21.284,22.138,277543,0
20000420,22.167,22.3,21.538,21.538,193238,0
20000425,21.948,22.167,21.378,21.473,37575,0
20000426,22.005,22.186,21.786,21.786,145877,0
20000427,22.015,22.167,21.853,21.853,281333,0
20000428,22.167,22.803,22.167,22.708,239022,0
20000502,23.201,23.201,22.327,22.451,233022,0
20000503,22.641,22.641,22.327,22.49,347640,0
20000504,22.327,23.06,22.327,22.965,66307,0
20000505,22.956,23.914,22.956,23.754,180293,0
20000508,23.686,24.702,23.325,24.228,147455,0
20000510,24.542,24.702,24.009,24.181,143666,0
20000511,23.44,24.352,23.174,23.174,163559,0
20000512,23.155,24.389,23.155,24.323,140192,0
20000515,24.2,24.542,24.067,24.38,255756,0
20000516,24.542,24.779,24.294,24.389,793477,0
20000517,24.456,25.492,24.456,25.207,626446,0
20000518,25.416,27.24,25.416,26.859,501410,0
20000519,26.927,27.193,25.492,26.289,169557,0
20000522,25.966,27.392,25.966,27.24,362480,0
20000523,26.917,27.392,25.966,27.392,109565,0
20000524,25.966,27.715,25.966,27.715,217866,0
20000525,27.553,27.553,26.604,26.917,299014,0
20000526,26.917,26.917,25.302,25.302,334379,0
20000529,25.966,25.966,25.34,25.34,123142,0
20000530,25.958,26.48,25.815,26.128,90935,0
20000531,26.917,26.917,25.178,25.815,202079,0
20000601,25.966,27.079,25.966,26.917,73570,0
20000602,26.859,26.917,25.34,25.492,237127,0
20000605,26.889,26.889,25.815,26.889,43573,0
20000606,27.174,28.19,25.815,27.553,281017,0
20000607,27.715,27.715,26.917,26.917,79885,0
20000608,26.842,27.392,26.812,27.174,91253,0
20000609,27.354,28.151,27.24,27.487,47046,0
20000612,27.553,28.028,27.553,28.028,17367,0
20000613,27.715,28.342,27.553,28.342,140192,0
20000614,28.19,28.19,27.154,27.24,169557,0
20000615,27.24,28.342,27.144,27.144,309118,0
20000616,27.24,28.19,27.174,28.057,321432,0
20000619,28.057,28.057,27.581,28,58414,0
20000620,27.487,30.403,27.487,28.066,197659,0
20000621,27.933,29.454,27.933,29.454,78936,0
20000622,29.614,29.768,28.666,28.979,88725,0
20000623,28.504,29.768,28.504,29.768,120299,0
