Date,Open,High,Low,Close,Volume,OpenInt
20151008,7.4031,7.4031,7.219,7.3159,5570,0
20151009,7.3547,7.5097,7.3547,7.4419,8899,0
20151012,7.3934,7.5,7.2674,7.2674,7281,0
20151013,7.2674,7.2674,7.2674,7.2674,129,0
20151014,7.219,7.219,6.9932,6.9932,4592,0
20151015,6.9922,6.9922,6.9283,6.9477,713,0
20151020,7.0736,7.0736,7.0736,7.0736,2064,0
20151022,7.1221,7.2694,7.1221,7.2578,4126,0
20151023,7.2665,7.2665,7.0504,7.0504,2167,0
20151026,7.0494,7.1705,7.0155,7.1705,6090,0
20151027,7.1696,7.1696,7.1696,7.1696,26,0
20151029,7.1705,7.1705,7.1609,7.1609,516,0
20151030,7.156,7.156,6.9767,6.9767,2322,0
20151102,6.9671,6.9671,6.0078,6.157,18037,0
20151103,6.1764,6.2045,6.0078,6.1434,3037,0
20151104,6.1434,6.2984,6.0136,6.2984,14434,0
20151105,6.2025,6.4922,6.2016,6.3372,3500,0
20151106,6.3924,6.686,6.2975,6.6076,7347,0
20151109,6.7548,6.7548,6.5843,6.5843,4101,0
20151110,6.5795,6.5795,6.3721,6.3721,1548,0
20151111,6.2984,6.686,6.2984,6.5116,7066,0
20151112,6.6376,6.6376,6.3469,6.3953,7349,0
20151113,6.4438,6.4438,6.4438,6.4438,1362,0
20151116,6.4438,6.4438,6.3953,6.3953,2910,0
20151117,6.4922,6.5407,6.4922,6.5407,3044,0
20151118,6.686,6.8062,6.686,6.7829,2702,0
20151119,6.812,6.812,6.686,6.6957,1269,0
20151120,6.7829,6.8314,6.7829,6.8314,206,0
20151123,7.093,7.3643,7.093,7.3643,8573,0
20151124,7.3547,7.3547,7.0058,7.0252,4852,0
20151125,7.0252,7.1318,7.0252,7.1221,1687,0
20151126,7.0736,7.1318,7.0736,7.1318,1399,0
20151127,7.1415,7.1415,7.0252,7.0252,1765,0
20151130,7.0833,7.0833,7.0833,7.0833,1339,0
20151201,7.0833,7.0833,7.0824,7.0824,1897,0
20151202,7.1027,7.2674,7.1027,7.2674,987,0
20151203,7.2674,7.2674,7.0252,7.0252,1541,0
20151204,7.0252,7.1715,7.0252,7.1705,1960,0
20151207,7.2674,7.2674,7.1725,7.1725,1651,0
20151208,7.1725,7.2674,7.1705,7.1705,2329,0
20151209,7.1705,7.1705,7.1705,7.1705,206,0
20151210,7.1705,7.2674,7.1705,7.2674,1342,0
20151211,7.219,7.219,7.219,7.219,1982,0
20151214,7.2093,7.2093,7.1696,7.1696,3366,0
20151215,7.1696,7.1705,6.8808,6.8808,5407,0
20151216,6.9574,6.9574,6.8798,6.8798,2410,0
20151217,6.8798,6.8798,6.8304,6.8304,2260,0
20151218,6.8295,6.8508,6.7829,6.8508,1621,0
20151222,6.8411,6.8411,6.8411,6.8411,289,0
20151228,6.814,6.8169,6.814,6.8169,3199,0
20151229,6.938,7.2481,6.938,7.2481,7224,0
20151230,7.219,7.5484,7.0746,7.5484,19207,0
20160104,7.4612,7.4612,6.8314,7.2578,5787,0
20160105,7.2578,7.2578,7.1705,7.1705,1775,0
20160106,7.0349,7.0349,6.8411,6.8798,2894,0
20160107,6.8798,6.9283,6.8798,6.9283,1063,0
20160108,6.9186,7.1899,6.8798,7.1899,13027,0
20160111,7.0252,7.0252,7.0252,7.0252,258,0
20160112,7.0252,7.0252,7.0252,7.0252,279,0
20160113,7.0727,7.0736,6.8033,6.9767,5514,0
20160114,7.1124,7.2674,6.8702,7.0736,10437,0
20160115,7.0736,7.0736,6.7829,6.9767,4508,0
20160118,6.9283,6.9293,6.7442,6.7442,4631,0
20160119,6.812,6.813,6.8023,6.8023,3592,0
20160120,6.7829,6.7829,6.686,6.7829,1032,0
20160121,6.7829,6.7829,6.7829,6.7829,206,0
20160122,6.8023,6.9661,6.8023,6.9283,3926,0
20160125,6.8798,7.1027,6.8343,7.0833,12198,0
20160126,7.0736,7.0736,6.9874,7.0475,5005,0
20160127,7.0475,7.0475,7.0475,7.0475,310,0
20160128,7.1221,7.1221,7.0736,7.0959,2695,0
20160129,7.2665,7.2665,7.0959,7.0959,3264,0
20160201,7.1027,7.1609,7.1027,7.1599,1491,0
