Date,Open,High,Low,Close,Volume,OpenInt
20000105,4.3568,4.3725,4.2323,4.3725,4818,0
20000106,4.2033,4.4055,4.2033,4.4055,3211,0
20000107,4.2333,4.2926,4.2023,4.2926,2568,0
20000110,4.3426,4.3426,4.3426,4.3426,321,0
20000111,4.2969,4.4088,4.2969,4.4088,1925,0
20000112,4.3598,4.472,4.3598,4.472,3535,0
20000113,4.5419,4.5419,4.5419,4.5419,643,0
20000117,4.6682,4.9638,4.6682,4.9638,7392,0
20000118,4.9808,4.9808,4.841,4.841,2568,0
20000119,4.9215,4.9871,4.9215,4.9871,3214,0
20000120,4.8879,5.0433,4.8879,5.0433,5460,0
20000121,5.1342,5.1342,4.9349,4.9504,6103,0
20000124,4.9504,4.9504,4.9504,4.9504,643,0
20000125,4.9868,4.9868,4.9804,4.9804,3214,0
20000126,4.9804,4.9804,4.9804,4.9804,643,0
20000131,5.1166,5.1166,5.1166,5.1166,321,0
20000201,5.0433,5.0433,5.0433,5.0433,1286,0
20000202,5.1799,5.1799,5.1799,5.1799,321,0
20000203,5.1356,5.1356,5.1199,5.1199,964,0
20000204,5.0573,5.1166,5.0573,5.1166,1604,0
20000207,5.07,5.1199,5.07,5.1199,964,0
20000208,5.0757,5.0757,4.9511,5.06,1925,0
20000209,5.0114,5.027,4.9804,4.9804,1925,0
20000210,4.9352,4.9571,4.9352,4.9571,3532,0
20000211,4.9105,4.9571,4.7953,4.9571,3211,0
20000214,4.9082,5.0204,4.8865,5.0204,321,0
20000215,5.1579,5.1796,4.9182,4.9804,4818,0
20000216,4.9192,4.9192,4.452,4.452,27302,0
20000217,4.4045,4.4045,4.2799,4.3891,11564,0
20000218,4.3432,4.4554,4.3432,4.4554,10921,0
20000221,4.4198,4.482,4.3575,4.482,6746,0
20000222,4.437,4.437,4.2969,4.3591,22482,0
20000223,4.3588,4.6235,4.3279,4.6048,80294,0
20000224,4.7334,6.1307,4.7334,5.5551,189581,0
20000225,6.1647,9.963,6.1647,9.901,277823,0
20000228,8.0931,8.2489,7.4239,7.891,100232,0
20000229,7.5348,7.8774,6.3048,6.5852,100208,0
20000301,6.5669,7.3919,6.5669,6.987,50766,0
20000302,7.0966,7.5947,7.0064,7.1432,66505,0
20000303,7.3593,7.3593,7.0666,7.2627,8350,0
20000306,7.4325,7.4325,7.1588,7.1898,10281,0
20000307,7.1435,7.2464,6.9411,7.2464,9638,0
20000308,7.2631,7.2631,6.8492,6.9704,12206,0
20000309,6.9248,7.2487,6.9248,7.037,5782,0
20000310,7.2471,7.2471,7.1598,7.1598,5782,0
20000313,7.1602,7.1602,6.8676,6.8676,6746,0
20000314,6.8706,7.1598,6.7397,7.1598,14132,0
20000315,6.9415,6.9415,6.0076,6.2129,15420,0
20000316,6.2303,6.5386,6.2303,6.5386,18949,0
20000317,6.6005,7.1765,6.6005,6.9275,12528,0
20000320,6.7853,6.8476,6.7853,6.8476,1925,0
20000323,6.8931,6.8931,6.6628,6.8776,2568,0
20000327,6.6199,6.6199,6.4457,6.4457,4815,0
20000328,6.3522,6.4457,6.3522,6.4457,964,0
20000329,6.3981,6.5692,6.3824,6.3824,2889,0
20000330,6.3342,6.3342,5.8827,5.914,15420,0
20000331,5.9157,6.0868,5.9157,6.0868,643,0
20000404,6.0705,6.5376,6.0705,6.522,3535,0
20000405,6.6648,6.8266,6.6152,6.6152,8671,0
20000406,6.8482,6.8482,6.755,6.7613,4178,0
20000407,6.8412,6.8476,6.745,6.8476,6103,0
20000410,6.8968,7.6287,6.8968,7.5817,62948,0
20000411,7.6572,7.6572,7.1595,7.595,22166,0
20000412,7.5943,8.2482,7.5943,7.7811,20884,0
20000413,7.7495,7.9396,7.5504,7.6749,8029,0
20000414,7.815,8.0954,7.6283,7.6283,13168,0
20000417,7.3116,7.346,7.2994,7.346,2892,0
