Date,Open,High,Low,Close,Volume,OpenInt
20090415,0.135,0.135,0.12,0.12,120,0
20090417,0.12,0.16,0.12,0.12,120,0
20090421,0.135,0.135,0.12,0.12,60,0
20090422,0.135,0.16,0.12,0.16,970,0
20090423,0.135,0.16,0.12,0.16,60,0
20090505,0.13,0.16,0.13,0.16,999,0
20090512,0.172,0.21,0.13,0.21,600,0
20090515,0.18,0.18,0.15,0.151,290,0
20090519,0.17,0.17,0.15,0.15,1000,0
20090527,0.16,0.16,0.13,0.151,323,0
20090605,0.17,0.17,0.15,0.15,4000,0
20090611,0.16,0.16,0.13,0.13,1000,0
20090706,0.131,0.131,0.075,0.12,104,0
20090714,0.16,0.16,0.13,0.131,10,0
20090720,0.137,0.188,0.077,0.188,1000,0
20090730,0.145,0.145,0.11,0.11,1500,0
20090731,0.11,0.11,0.1,0.1,100,0
20090803,0.126,0.15,0.1,0.126,2550,0
20090824,0.135,0.135,0.1,0.1,26900,0
20090825,0.1,0.15,0.1,0.15,1000,0
20090826,0.09,0.12,0.09,0.12,790,0
20090917,0.12,0.12,0.1,0.1,1250,0
20090921,0.12,0.12,0.1,0.101,1250,0
20090928,0.111,0.111,0.11,0.11,600,0
20091001,0.144,0.144,0.1,0.1,500,0
20091005,0.145,0.145,0.1,0.101,500,0
20091006,0.126,0.126,0.1,0.1,400,0
20091008,0.1,0.14,0.1,0.101,400,0
20091009,0.152,0.152,0.105,0.105,3000,0
20091015,0.106,0.106,0.105,0.105,500,0
20091016,0.105,0.132,0.105,0.106,200,0
20091019,0.159,0.159,0.105,0.105,500,0
20091021,0.188,0.188,0.118,0.118,500,0
20091022,0.159,0.159,0.105,0.105,5000,0
20091026,0.147,0.147,0.105,0.105,5000,0
20091116,0.101,0.101,0.1,0.1,401,0
20091117,0.115,0.115,0.1,0.1,300,0
20091119,0.115,0.115,0.1,0.101,300,0
20091123,0.129,0.129,0.1,0.1,750,0
20091125,0.115,0.115,0.1,0.101,100,0
20091130,0.116,0.116,0.102,0.102,60,0
20091202,0.116,0.116,0.102,0.103,60,0
20091208,0.116,0.116,0.102,0.103,200,0
20091209,0.116,0.116,0.102,0.102,250,0
20091210,0.116,0.129,0.102,0.129,1500,0
20091214,0.102,0.102,0.09,0.102,9602,0
20091215,0.106,0.12,0.106,0.12,250,0
20091217,0.106,0.107,0.106,0.107,200,0
20091218,0.106,0.11,0.106,0.11,300,0
20091221,0.106,0.106,0.106,0.106,500,0
20091223,0.106,0.107,0.106,0.107,750,0
20100104,0.1,0.106,0.1,0.106,3000,0
20100105,0.106,0.107,0.106,0.107,3000,0
20100120,0.1,0.1,0.1,0.1,1000,0
20100125,0.08,0.081,0.08,0.081,3510,0
20100203,0.1,0.11,0.1,0.11,1000,0
20100204,0.1,0.1,0.1,0.1,226,0
20100208,0.1,0.101,0.1,0.101,226,0
20100218,0.1,0.11,0.1,0.11,1000,0
20100222,0.1,0.1,0.1,0.1,10,0
20100224,0.1,0.1,0.081,0.081,5030,0
20100308,0.081,0.081,0.081,0.081,670,0
20100310,0.081,0.082,0.081,0.082,670,0
20100330,0.08,0.08,0.08,0.08,850,0
20100401,0.08,0.09,0.08,0.09,1000,0
20100406,0.08,0.09,0.08,0.09,150,0
20100413,0.08,0.094,0.08,0.094,1050,0
20100415,0.08,0.08,0.08,0.08,55,0
20100419,0.08,0.081,0.08,0.081,405,0
20100426,0.09,0.091,0.09,0.091,20,0
20100428,0.09,0.09,0.09,0.09,3000,0
20100517,0.095,0.095,0.08,0.08,1730,0
20100716,0.08,0.08,0.071,0.08,400,0
20100802,0.05,0.072,0.05,0.072,1203,0
20100816,0.08,0.08,0.06,0.079,1000,0
20100817,0.08,0.08,0.06,0.08,10500,0
20100818,0.12,0.12,0.06,0.12,7150,0
20100819,0.18,0.18,0.14,0.17,1950,0
20100820,0.08,0.188,0.08,0.188,10000,0
20100827,0.188,0.188,0.128,0.128,1200,0
20100830,0.188,0.188,0.128,0.128,1000,0
20100901,0.102,0.102,0.081,0.1,500,0
20100913,0.08,0.255,0.08,0.255,24288,0
20100914,0.22,0.35,0.2,0.245,26273,0
20100915,0.244,0.244,0.15,0.15,13826,0
20100916,0.19,0.3,0.19,0.3,15227,0
20100917,0.24,0.27,0.19,0.255,13120,0
20100920,0.22,0.25,0.22,0.25,10000,0
20100921,0.22,0.295,0.22,0.295,400,0
20100922,0.22,0.29,0.22,0.29,2000,0
20100923,0.23,0.39,0.23,0.27,11000,0
20100924,0.39,0.47,0.23,0.47,44746,0
20100927,0.4,0.42,0.4,0.41,11500,0
20100928,0.3,0.43,0.3,0.41,3984,0
20100929,0.22,0.56,0.22,0.56,25870,0
20100930,0.5,0.65,0.5,0.65,7800,0
20101001,0.4,0.55,0.4,0.55,4901,0
20101004,0.25,0.5,0.25,0.5,680,0
20101006,0.41,0.42,0.25,0.42,5276,0
20101008,0.42,0.42,0.25,0.42,16701,0
20101011,0.55,0.55,0.24,0.4,3200,0
20101012,0.25,0.44,0.25,0.25,5383,0
20101013,0.23,0.3,0.23,0.3,2600,0
20101014,0.25,0.3,0.25,0.3,1000,0
20101018,0.23,0.25,0.228,0.25,200,0
20101020,0.25,0.3,0.25,0.3,4000,0
20101026,0.15,0.27,0.15,0.27,5708,0
20101027,0.2,0.375,0.2,0.375,1135,0
20101101,0.2,0.401,0.2,0.34,28201,0
20101102,0.4,0.4,0.34,0.34,300,0
20101105,0.34,0.4,0.34,0.34,5115,0
20101108,0.34,0.36,0.34,0.35,1250,0
20101109,0.35,0.36,0.34,0.36,1800,0
20101110,0.36,0.36,0.34,0.34,1000,0
20101111,0.34,0.36,0.34,0.355,500,0
20101112,0.34,0.36,0.34,0.36,2500,0
20101115,0.46,0.46,0.36,0.4,10500,0
20101116,0.34,0.461,0.34,0.461,2200,0
20101117,0.38,0.4,0.35,0.4,10099,0
20101118,0.42,0.42,0.42,0.42,2000,0
20101119,0.35,0.5,0.34,0.48,5650,0
20101122,0.34,0.44,0.34,0.44,250,0
20101124,0.34,0.44,0.34,0.34,100,0
20101125,0.31,0.37,0.31,0.31,250,0
20101126,0.31,0.59,0.31,0.59,35300,0
20101129,0.59,0.59,0.47,0.47,10500,0
20101130,0.42,0.5,0.42,0.5,2000,0
20101201,0.49,0.55,0.25,0.451,8826,0
20101202,0.455,0.49,0.455,0.49,8600,0
20101208,0.49,0.49,0.29,0.29,36500,0
20101210,0.2,0.35,0.2,0.3,2999,0
20101213,0.21,0.439,0.21,0.439,190,0
20101214,0.25,0.43,0.25,0.43,100,0
20101216,0.3,0.451,0.3,0.42,2003,0
20101217,0.41,0.42,0.31,0.42,1000,0
20101221,0.4,0.4,0.35,0.4,3500,0
20101223,0.47,0.49,0.4,0.459,25079,0
20101227,0.469,0.469,0.43,0.43,24135,0
20101229,0.5,0.5,0.4,0.4,4422,0
20110103,0.3,0.4,0.3,0.3,13667,0
20110104,0.4,0.4,0.4,0.4,192,0
20110105,0.39,0.4,0.27,0.27,808,0
20110106,0.25,0.4,0.25,0.31,808,0
20110107,0.27,0.4,0.2,0.25,4200,0
20110111,0.25,0.25,0.2,0.21,4600,0
20110112,0.2,0.221,0.2,0.221,100,0
20110117,0.25,0.3,0.25,0.251,350,0
20110118,0.4,0.4,0.25,0.3,7700,0
20110119,0.4,0.4,0.25,0.375,5452,0
20110120,0.25,0.45,0.25,0.26,10,0
20110124,0.25,0.45,0.25,0.45,20,0
