Date,Open,High,Low,Close,Volume,OpenInt
19910405,6.6749,6.7086,6.6243,6.6495,327347,0
19910408,6.5822,6.5906,6.5652,6.5652,173300,0
19910409,6.5906,6.5906,6.422,6.4472,56161,0
19910410,6.4136,6.4136,6.3715,6.3966,154045,0
19910411,6.4472,6.4979,6.422,6.4557,308892,0
19910412,6.4472,6.5989,6.4304,6.54,463740,0
19910415,6.5822,6.6495,6.5822,6.6159,289637,0
19910416,6.5906,6.6159,6.5906,6.5906,113928,0
19910417,6.6412,6.7086,6.6412,6.7086,463740,0
19910418,6.7086,6.8097,6.7002,6.8097,308892,0
19910419,6.7844,6.9193,6.7423,6.8265,677959,0
19910422,6.8181,6.877,6.7928,6.7928,424428,0
19910423,6.7844,6.9445,6.7844,6.936,600134,0
19910424,6.9613,6.9867,6.8939,6.8939,560821,0
19910425,6.9108,6.9783,6.9024,6.9024,289637,0
19910426,6.9613,6.9867,6.8097,6.8265,386718,0
19910429,6.8518,6.9024,6.7002,6.7338,463740,0
19910430,6.7086,6.7591,6.6833,6.7591,327347,0
19910502,6.7675,6.7675,6.7254,6.7675,289637,0
19910503,6.7844,6.8434,6.7844,6.8097,463740,0
19910506,6.7928,6.8097,6.7844,6.7928,173300,0
19910507,6.8097,6.8181,6.8012,6.8012,269580,0
19910508,6.7928,6.7928,6.7423,6.7423,173300,0
19910510,6.8012,6.8012,6.8012,6.8012,36906,0
19910513,6.7591,6.7675,6.7423,6.7675,173300,0
19910514,6.7844,6.7844,6.6833,6.6833,327347,0
19910515,6.6833,6.7002,6.6833,6.7002,36906,0
19910516,6.6917,6.8686,6.6495,6.6663,482194,0
19910517,6.6495,6.6495,6.6159,6.6159,327347,0
19910521,6.6412,6.7423,6.6412,6.7423,851261,0
19910522,6.7675,6.7844,6.7338,6.7675,812750,0
19910523,6.8097,6.8097,6.7254,6.7675,386718,0
19910524,6.7086,6.7928,6.7086,6.7675,250324,0
19910527,6.776,6.776,6.7338,6.7591,289637,0
19910528,6.7254,6.7423,6.7254,6.7338,192556,0
19910529,6.7423,6.7591,6.7423,6.7423,211009,0
19910531,6.8012,6.8434,6.8012,6.8349,269580,0
19910603,6.8181,7.012,6.8181,6.9276,424428,0
19910604,6.9024,7.012,6.9024,6.9613,600134,0
19910605,6.995,7.1216,6.995,7.071,851261,0
19910607,7.0204,7.1553,7.0204,7.0793,689192,0
19910610,7.0625,7.1216,7.0625,7.1047,361044,0
19910611,7.1467,7.172,7.1383,7.1467,257544,0
19910612,7.0878,7.0878,7.0625,7.0625,50545,0
19910613,7.0625,7.0793,7.0372,7.071,223846,0
19910614,7.0625,7.0962,7.0625,7.0962,171696,0
19910617,7.113,7.113,7.0625,7.0793,154045,0
19910618,7.0625,7.0625,7.0372,7.0457,171696,0
19910619,7.0204,7.0204,6.9108,6.9108,137196,0
19910620,6.9445,6.9698,6.8856,6.8939,292044,0
19910621,6.9108,6.9445,6.9108,6.9445,223846,0
19910624,6.9108,6.9108,6.7928,6.7928,119545,0
19910625,6.7675,6.8181,6.7507,6.7928,308892,0
19910626,6.7507,6.7507,6.5906,6.5989,223846,0
19910627,6.6075,6.6075,6.4727,6.5232,206195,0
19910628,6.481,6.481,6.3209,6.3799,413195,0
19910701,6.4727,6.54,6.4472,6.4641,240695,0
19910702,6.3209,6.3629,6.3209,6.3629,85046,0
19910703,6.3292,6.3883,6.3209,6.3209,171696,0
19910704,6.3629,6.3715,6.3462,6.3715,50545,0
19910705,6.3292,6.3629,6.304,6.304,102696,0
19910708,6.2535,6.2535,6.2367,6.2535,223846,0
19910709,6.3209,6.3629,6.3209,6.3629,119545,0
19910710,6.3883,6.4304,6.3883,6.4304,257544,0
19910711,6.4053,6.4304,6.4053,6.4304,50545,0
19910712,6.4472,6.5484,6.4472,6.5484,206195,0
19910715,6.6075,6.6749,6.6075,6.6749,515891,0
19910716,6.6749,6.7086,6.658,6.658,292044,0
19910717,6.6326,6.6326,6.6075,6.6159,189346,0
19910718,6.6075,6.6075,6.5484,6.5652,50545,0
19910719,6.5906,6.6075,6.5737,6.5989,137196,0
19910722,6.54,6.5906,6.54,6.5906,102696,0
19910723,6.6075,6.7086,6.6075,6.7086,361044,0
19910724,6.7254,6.8349,6.7254,6.8097,844040,0
19910725,6.8349,6.8349,6.776,6.776,395544,0
