Date,Open,High,Low,Close,Volume,OpenInt
20090408,5.5816,7.4421,5.5816,7.4421,3,0
20090414,5.5816,7.4421,5.5816,5.5816,0,0
20090416,5.5816,7.4421,5.5816,5.5816,0,0
20090417,5.5816,7.256,3.721,5.5816,9,0
20090420,5.5816,7.4421,5.5816,6.1398,2,0
20090421,5.5816,7.4421,5.5816,5.5816,17,0
20090423,5.5816,7.4421,5.5816,5.7677,2,0
20090424,5.5816,7.4421,5.5816,5.7677,0,0
20090427,5.5816,7.4421,5.5816,5.7677,1,0
20090429,5.5816,7.4421,5.5816,5.5816,0,0
20090430,5.5816,7.256,5.5816,7.256,807,0
20090504,6.5119,8.0003,5.5816,6.5119,10,0
20090505,5.5816,7.6281,5.5816,6.1398,1,0
20090506,5.9537,9.1166,5.9537,9.1166,12,0
20090507,6.5119,6.5119,5.5816,5.5816,0,0
20090508,5.9537,9.3028,5.9537,9.3028,203,0
20090511,6.5119,9.675,6.5119,9.675,215,0
20090512,6.884,9.675,6.1398,9.675,179,0
20090513,6.884,8.5584,5.5816,5.5816,1,0
20090514,8.1863,10.047,5.9537,10.047,86,0
20090515,8.7445,8.7445,6.3258,7.4421,0,0
20090519,5.9537,8.1863,5.9537,6.698,32,0
20090520,5.9537,8.1863,5.9537,7.07,0,0
20090522,5.9537,8.1863,5.9537,6.698,5,0
20090525,5.9537,8.1863,5.9537,6.698,0,0
20090526,5.9537,9.3028,5.7677,9.3028,0,0
20090527,6.5119,8.3724,4.2792,4.2792,41,0
20090528,5.9537,7.4421,5.9537,7.4421,4,0
20090529,6.698,10.047,5.9537,10.047,45,0
20090603,6.1398,8.1863,3.721,3.721,4,0
20090604,5.5816,8.1863,5.5816,8.1863,5,0
20090605,5.9537,8.1863,5.9537,5.9537,0,0
20090608,5.9537,8.1863,5.9537,6.884,33,0
20090609,5.5816,8.0003,5.5816,6.884,11,0
20090610,5.5816,8.0003,5.5816,7.07,1,0
20090612,5.9537,8.7445,5.9537,8.3724,28,0
20090615,5.9537,10.047,5.9537,7.07,58,0
20090616,6.3258,8.3724,6.3258,7.07,175,0
20090617,6.3258,8.1863,6.3258,7.07,0,0
20090618,5.9537,8.0003,4.0932,8.0003,21,0
20090619,5.9537,8.0003,5.9537,5.9537,33,0
20090622,5.9537,8.0003,5.9537,6.3258,19,0
20090624,6.3258,7.07,5.9537,6.1398,3,0
20090625,5.9537,7.07,4.0932,4.0932,16,0
20090629,5.9537,5.9537,3.721,3.721,0,0
20090630,5.5816,5.7677,3.721,5.7677,0,0
20090702,5.9537,8.1863,4.0932,6.1398,0,0
20090703,5.5816,8.3724,4.2792,8.3724,4,0
20090706,6.1398,8.1863,4.2792,6.3258,1,0
20090707,6.1398,8.1863,4.2792,4.2792,0,0
20090709,6.1398,6.698,4.2792,6.698,30,0
20090710,6.5119,7.4421,4.6513,6.5119,197,0
20090713,6.5119,7.4421,4.6513,6.698,5,0
20090715,6.5119,10.047,4.6513,10.047,256,0
20090716,6.5119,7.4421,6.5119,6.698,0,0
20090717,6.5119,6.698,4.6513,6.698,2,0
20090720,6.5119,7.07,6.5119,6.5119,811,0
20090721,6.5119,7.4421,6.5119,7.4421,10,0
20090722,7.07,7.4421,6.5119,7.4421,28,0
20090723,6.5119,7.4421,6.5119,7.4421,177,0
20090724,6.5119,10.233,6.5119,7.8142,24,0
20090727,8.3724,8.3724,6.5119,6.698,0,0
20090728,6.5119,8.3724,4.6513,4.6513,17,0
20090729,6.5119,10.233,4.6513,10.233,18,0
20090730,6.5119,8.3724,6.5119,6.698,13,0
20090731,8.3724,8.3724,4.6513,6.698,0,0
20090803,8.0003,8.0003,3.721,3.721,5,0
20090805,5.9537,5.9537,4.6513,5.7677,35,0
20090806,5.5816,8.0003,4.6513,7.8142,12,0
20090812,8.1863,8.1863,5.7677,8.0003,108,0
20090813,8.1863,8.1863,5.9537,6.1398,0,0
20090814,6.3258,6.3258,5.5816,6.1398,47,0
20090818,7.4421,7.4421,5.5816,6.698,0,0
20090819,5.5816,7.4421,5.5816,6.5119,0,0
20090820,5.5816,7.256,5.5816,7.256,5,0
20090821,5.5816,8.0003,5.5816,8.0003,135,0
20090824,5.9537,7.6281,5.7677,6.1398,0,0
20090826,6.5119,8.0003,4.8374,6.698,109,0
20090828,6.5119,8.0003,6.5119,6.5119,27,0
20090831,6.5119,8.0003,6.5119,6.5119,1,0
20090901,6.5119,7.8142,5.7677,6.3258,1,0
20090902,7.6281,7.6281,5.7677,6.3258,0,0
20090904,5.5816,7.4421,3.721,3.721,0,0
20090907,5.7677,6.3258,3.9071,6.3258,0,0
20090909,5.7677,6.3258,3.721,3.721,0,0
20090910,5.7677,6.5119,4.6513,6.5119,0,0
20090911,5.7677,6.698,4.6513,4.6513,0,0
20090914,5.7677,5.9537,4.6513,4.6513,135,0
20090915,5.7677,6.698,4.6513,4.6513,10,0
20090916,5.7677,6.698,3.9071,5.9537,18,0
20090917,5.7677,6.698,3.9071,5.9537,1,0
20090918,5.7677,6.698,3.721,3.721,0,0
20090921,5.7677,5.9537,3.9071,5.9537,1,0
20090922,5.7677,7.256,3.721,5.5816,478,0
20090923,4.6513,6.1398,3.1629,5.0234,0,0
20090925,5.0234,6.3258,3.1629,5.0234,2,0
20090928,5.0234,6.3258,3.1629,5.0234,1,0
20090929,4.4653,5.9537,2.9768,4.8374,2,0
20090930,4.2792,9.3028,2.4187,9.3028,268,0
20091002,5.0234,6.698,5.0234,6.698,6,0
20091005,5.2095,7.4421,5.0234,7.4421,177,0
20091006,5.5816,7.4421,5.5816,6.698,0,0
20091007,5.2095,6.698,3.721,6.698,0,0
20091008,5.2095,7.256,3.721,4.8374,1,0
20091012,5.3956,6.698,3.535,6.698,48,0
20091013,5.2095,6.1398,3.1629,3.1629,0,0
20091014,5.0234,6.3258,3.1629,6.3258,3,0
20091015,5.0234,6.3258,3.1629,6.3258,2,0
20091016,5.0234,6.884,3.535,5.3956,92,0
20091019,4.6513,6.884,2.9768,6.884,56,0
20091020,6.3258,6.884,6.3258,6.884,5,0
20091021,5.3956,6.3258,4.6513,4.6513,315,0
20091022,5.3956,5.5816,3.721,5.5816,108,0
20091023,3.721,5.3956,3.535,3.535,0,0
20091026,3.9071,3.9071,3.721,3.721,0,0
20091028,3.9071,5.5816,3.9071,5.5816,5,0
20091029,3.9071,5.9537,3.9071,4.4653,0,0
20091030,3.9071,5.9537,3.9071,5.9537,4,0
20091102,3.9071,5.5816,3.721,5.5816,0,0
20091103,3.721,5.5816,3.721,3.9071,0,0
20091104,3.721,5.5816,3.721,5.5816,0,0
20091105,3.721,5.5816,3.721,4.0932,0,0
20091117,3.9071,5.5816,3.9071,3.9071,0,0
20091118,4.0932,4.0932,4.0932,4.0932,1,0
20091119,4.0932,4.8374,2.2327,4.8374,56,0
20091120,4.0932,6.3258,4.0932,5.2095,1,0
20091124,6.3258,6.3258,4.0932,4.0932,0,0
20091125,4.0932,5.2095,4.0932,4.0932,0,0
