Date,Open,High,Low,Close,Volume,OpenInt
20090406,3.65,3.9,3.65,3.9,2690,0
20090407,3.79,3.9,3.75,3.8,1339,0
20090408,3.69,4.2,3.69,4.2,4047,0
20090409,3.88,4,3.69,3.92,8217,0
20090414,3.83,3.83,3.52,3.74,3810,0
20090415,3.64,3.94,3.64,3.85,4200,0
20090416,3.71,4.14,3.71,4.1,16318,0
20090417,4.05,4.38,3.95,4.25,12117,0
20090420,4.14,4.47,4.14,4.15,5827,0
20090421,4.12,4.22,4.11,4.11,2900,0
20090422,4.09,4.22,4.05,4.16,8014,0
20090423,4.06,4.33,4.03,4.25,5525,0
20090424,4.13,4.4,4.08,4.4,4603,0
20090427,4.42,4.93,4.42,4.87,21391,0
20090428,4.73,4.83,4.57,4.75,612,0
20090429,4.67,5,4.5,4.5,5870,0
20090430,4.5,4.75,4.42,4.42,3656,0
20090504,4.3,4.74,4.25,4.67,18213,0
20090505,4.42,5,4.42,5,4581,0
20090506,4.68,4.83,4.6,4.8,5959,0
20090507,4.67,5.22,4.67,4.72,19065,0
20090508,4.59,4.8,4.34,4.34,10781,0
20090511,4.31,4.51,4.31,4.51,5218,0
20090512,4.3,4.56,4.3,4.56,1629,0
20090513,4.43,4.49,4.4,4.49,2823,0
20090514,4.34,4.45,4.34,4.45,6231,0
20090515,4.33,4.73,4.33,4.61,6510,0
20090518,4.6,5.09,4.6,5.09,6288,0
20090519,4.95,5.32,4.95,5.2,20152,0
20090520,5,5.22,5,5.03,3980,0
20090521,4.89,5.1,4.8,4.81,6490,0
20090522,4.8,4.95,4.76,4.8,3418,0
20090525,4.67,5.06,4.67,4.97,3910,0
20090526,4.83,5.15,4.83,5.1,13366,0
20090527,4.96,5.87,4.9,5.87,8550,0
20090528,5.7,5.92,5.3,5.33,15879,0
20090529,5.18,5.66,5.1,5.34,17967,0
20090601,5.19,5.55,5.19,5.3,3013,0
20090602,5.26,5.55,5.03,5.4,12999,0
20090603,5.25,5.52,5.04,5.34,2887,0
20090604,5.2,5.57,5.2,5.51,1510,0
20090605,5.41,5.67,5.41,5.55,13035,0
20090608,5.39,5.75,5.39,5.65,19184,0
20090609,5.51,5.75,5.51,5.7,3651,0
20090610,5.58,5.7,5.37,5.63,2220,0
20090611,5.51,5.85,5.51,5.55,4430,0
20090612,5.43,5.79,5.43,5.67,5192,0
20090615,5.55,5.7,5.45,5.5,1894,0
20090617,5.39,5.64,5.34,5.44,6045,0
20090618,5.35,5.64,5.34,5.43,1139,0
20090619,5.43,5.6,5.35,5.54,795,0
20090622,5.55,5.73,5.44,5.49,6110,0
20090623,5.37,5.6,5.35,5.41,6670,0
20090624,5.35,5.61,5.35,5.51,3257,0
20090625,5.39,5.79,5.39,5.74,5421,0
20090626,5.62,6.12,5.62,6.1,5380,0
20090629,5.97,6.42,5.97,6.19,12228,0
20090630,6.19,6.34,6.1,6.34,8536,0
20090701,6.21,6.27,6.1,6.22,2390,0
20090702,6.09,6.2,6.05,6.1,7140,0
20090703,5.97,6.14,5.8,5.81,6500,0
20090706,5.69,5.91,5.54,5.65,3467,0
20090707,5.53,5.88,5.53,5.64,975,0
20090708,5.52,5.98,5.52,5.98,6940,0
20090709,5.85,6.08,5.82,6.08,15390,0
20090710,5.95,6.06,5.81,5.81,9891,0
20090713,5.69,5.85,5.55,5.76,575,0
20090714,5.64,5.9,5.62,5.68,326,0
20090715,5.61,5.85,5.61,5.74,2185,0
20090716,5.62,5.85,5.35,5.45,5728,0
20090717,5.34,5.85,5,5.28,22026,0
20090720,5.17,5.45,5,5.45,29148,0
20090721,5.2,5.4,5.2,5.4,6920,0
20090722,5.35,5.71,5.35,5.47,17038,0
20090723,5.49,5.55,5.35,5.4,6200,0
20090724,5.29,5.5,5.29,5.42,7883,0
20090727,5.6,5.77,5.16,5.59,14130,0
20090728,5.35,5.5,5.14,5.31,6265,0
20090729,5.2,5.44,5.2,5.25,4040,0
20090730,5.25,5.4,5.21,5.38,8995,0
20090731,5.27,5.3,5.2,5.25,1320,0
20090803,5.25,5.49,5.25,5.29,17122,0
20090804,5.25,5.35,5.2,5.2,19486,0
20090805,5.15,5.33,5.08,5.2,8579,0
20090806,5.16,5.3,5.15,5.24,18170,0
20090807,5.2,5.3,5.08,5.21,5670,0
20090810,5.21,5.32,5.17,5.17,5719,0
20090811,5.17,5.28,5.14,5.23,3126,0
20090812,5.2,5.2,5.14,5.2,1635,0
20090813,5.2,5.23,5.14,5.23,65,0
20090814,5.26,5.63,5.15,5.48,115019,0
20090817,5.37,5.47,5.12,5.12,21755,0
20090818,5.19,5.29,5.14,5.19,11017,0
20090819,5.15,5.3,5.11,5.16,5095,0
20090820,5.12,5.23,5.09,5.1,13827,0
20090821,5.05,5.19,4.95,5.03,30524,0
20090824,4.98,5.26,4.92,5.15,3057,0
20090825,5.04,5.45,5.04,5.45,3068,0
20090826,5.25,5.39,5.02,5.16,17940,0
20090827,5.05,5.2,5.02,5.13,5851,0
20090828,5.03,5.27,5.03,5.15,2093,0
20090831,5.25,5.27,5.05,5.05,13156,0
20090901,5.02,5.11,5,5,4495,0
20090902,5,5,4.63,4.76,22894,0
