Date,Open,High,Low,Close,Volume,OpenInt
20030813,1.81,1.81,1.81,1.81,323,0
20030904,1.48,1.48,1.48,1.48,432,0
20030908,1.62,1.62,1.62,1.62,2485,0
20030910,1.58,1.58,1.58,1.58,538,0
20030912,1.62,1.62,1.62,1.62,2160,0
20030917,1.62,1.62,1.62,1.62,324,0
20030918,1.62,1.62,1.62,1.62,1080,0
20030926,1.49,1.49,1.49,1.49,324,0
20031009,1.39,1.39,1.39,1.39,1079,0
20031013,1.39,1.39,1.39,1.39,540,0
20031020,1.39,1.39,1.39,1.39,216,0
20031029,1.39,1.39,1.39,1.39,216,0
20031105,1.38,1.38,1.38,1.38,648,0
20031106,1.44,1.44,1.44,1.44,753,0
20031107,1.44,1.44,1.44,1.44,108,0
20031112,1.53,1.53,1.53,1.53,108,0
20031113,1.57,1.57,1.57,1.57,861,0
20031118,1.58,1.58,1.58,1.58,108,0
20031119,1.58,1.58,1.58,1.58,4304,0
20031205,1.46,1.46,1.46,1.46,433,0
20031208,1.46,1.46,1.46,1.46,325,0
20031211,1.53,1.53,1.53,1.53,324,0
20031216,1.75,1.75,1.75,1.75,1512,0
20031222,1.46,1.46,1.46,1.46,541,0
20040102,1.57,1.57,1.57,1.57,1292,0
20040108,1.62,1.62,1.62,1.62,1080,0
20040113,1.55,1.55,1.55,1.55,431,0
20040203,1.64,1.64,1.64,1.64,324,0
20040209,1.7,1.7,1.7,1.7,1184,0
20040210,1.58,1.58,1.58,1.58,323,0
20040211,1.62,1.62,1.62,1.62,1620,0
20040213,1.95,1.95,1.95,1.95,2585,0
20040216,1.95,1.95,1.95,1.95,17123,0
20040218,2.04,2.04,2.04,2.04,647,0
20040219,2.04,2.04,2.04,2.04,324,0
20040220,2.03,2.03,2.03,2.03,2805,0
20040223,2.23,2.23,2.23,2.23,865,0
20040224,1.9,1.9,1.9,1.9,3561,0
20040227,1.83,1.83,1.83,1.83,108,0
20040301,2.2,2.2,2.2,2.2,1077,0
20040302,2.2,2.2,2.2,2.2,44384,0
20040303,2.22,2.22,2.22,2.22,9081,0
20040305,2.22,2.22,2.22,2.22,865,0
20040308,2.21,2.21,2.21,2.21,10769,0
20040309,2.22,2.22,2.22,2.22,865,0
20040310,2.41,2.41,2.41,2.41,432,0
20040311,2.4,2.4,2.4,2.4,2914,0
20040312,2.36,2.36,2.36,2.36,4214,0
20040315,2.32,2.32,2.32,2.32,3017,0
20040316,2.33,2.33,2.33,2.33,2163,0
20040317,2.55,2.55,2.55,2.55,3775,0
20040318,2.57,2.57,2.57,2.57,6575,0
20040319,2.35,2.35,2.35,2.35,4431,0
20040322,2.26,2.26,2.26,2.26,2051,0
20040323,2.22,2.22,2.22,2.22,108,0
20040324,2.22,2.22,2.22,2.22,5730,0
20040325,2.18,2.18,2.18,2.18,3773,0
20040326,2.31,2.31,2.31,2.31,755,0
20040330,2.33,2.33,2.33,2.33,1082,0
20040401,2.34,2.34,2.34,2.34,757,0
20040402,2.21,2.21,2.21,2.21,1081,0
20040405,2.19,2.19,2.19,2.19,2155,0
20040406,2.48,2.48,2.48,2.48,1189,0
20040407,2.48,2.48,2.48,2.48,216,0
20040408,2.5,2.5,2.5,2.5,216,0
20040413,2.48,2.48,2.48,2.48,973,0
20040414,2.48,2.48,2.48,2.48,1081,0
20040415,2.43,2.43,2.43,2.43,2156,0
20040416,2.43,2.43,2.43,2.43,647,0
20040420,2.32,2.32,2.32,2.32,2909,0
20040421,2.32,2.32,2.32,2.32,539,0
20040423,2.32,2.32,2.32,2.32,7974,0
20040426,2.55,2.55,2.55,2.55,32676,0
20040427,2.71,2.71,2.71,2.71,1081,0
20040428,2.73,2.73,2.73,2.73,216,0
20040429,2.73,2.73,2.73,2.73,540,0
20040504,3.06,3.06,3.06,3.06,1078,0
20040507,3.02,3.02,3.02,3.02,1079,0
20040510,3.1,3.1,3.1,3.1,2702,0
20040511,2.83,2.83,2.83,2.83,1401,0
20040512,2.73,2.73,2.73,2.73,864,0
20040513,2.65,2.65,2.65,2.65,2158,0
20040517,2.63,2.63,2.63,2.63,1512,0
20040518,2.41,2.41,2.41,2.41,216,0
20040521,2.42,2.42,2.42,2.42,216,0
20040525,2.32,2.32,2.32,2.32,4095,0
20040526,2.27,2.27,2.27,2.27,4101,0
20040527,2.38,2.38,2.38,2.38,3239,0
20040601,2.3022,2.46,2.2558,2.46,4632,0
20040602,2.3593,2.3593,2.2852,2.35,4972,0
20040603,2.3537,2.4,2.2795,2.4,9713,0
20040604,2.45,2.45,2.45,2.45,431,0
20040607,2.4878,2.4878,2.3765,2.46,7433,0
20040608,2.48,2.48,2.3319,2.48,16642,0
20040609,2.454,2.63,2.454,2.63,11878,0
20040610,2.6597,2.6783,2.53,2.53,1726,0
20040611,2.7048,2.7048,2.64,2.64,756,0
20040614,2.6632,2.6632,2.5523,2.58,6921,0
20040615,2.5193,2.5193,2.51,2.51,3887,0
20040616,2.4692,2.4692,2.4323,2.46,2595,0
20040617,2.43,2.43,2.43,2.43,1078,0
20040618,2.5,2.5,2.5,2.5,432,0
20040621,2.5007,2.51,2.5007,2.51,1080,0
20040622,2.5031,2.67,2.466,2.67,19524,0
20040623,2.6685,2.6685,2.6129,2.65,7447,0
