Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.013,0.014,0.012,0.014,100,0
20090407,0.014,0.014,0.012,0.014,44,0
20090414,0.013,0.013,0.005,0.005,1000,0
20090415,0.013,0.013,0.012,0.012,1000,0
20090417,0.013,0.013,0.012,0.012,50250,0
20090420,0.027,0.027,0.013,0.02,20000,0
20090421,0.034,0.034,0.012,0.012,1000,0
20090423,0.02,0.02,0.01,0.01,300,0
20090430,0.013,0.014,0.012,0.012,10000,0
20090504,0.014,0.014,0.012,0.013,11000,0
20090505,0.013,0.013,0.012,0.013,10000,0
20090506,0.013,0.02,0.012,0.02,10000,0
20090507,0.02,0.02,0.014,0.017,121,0
20090512,0.016,0.017,0.013,0.017,11,0
20090513,0.017,0.017,0.014,0.017,11,0
20090514,0.017,0.017,0.013,0.017,11,0
20090518,0.016,0.017,0.013,0.017,500,0
20090519,0.023,0.024,0.013,0.017,13000,0
20090520,0.017,0.017,0.013,0.017,2000,0
20090522,0.016,0.017,0.013,0.016,250,0
20090526,0.016,0.017,0.013,0.017,2,0
20090527,0.017,0.017,0.013,0.017,301,0
20090603,0.013,0.024,0.012,0.024,58000,0
20090604,0.024,0.027,0.012,0.027,112100,0
20090605,0.027,0.027,0.027,0.027,1000,0
20090608,0.027,0.03,0.015,0.015,9200,0
20090611,0.015,0.02,0.015,0.02,19500,0
20090615,0.02,0.029,0.015,0.029,70000,0
20090625,0.016,0.017,0.015,0.017,500,0
20090626,0.017,0.02,0.015,0.015,2500,0
20090701,0.02,0.02,0.016,0.017,7000,0
20090703,0.016,0.017,0.016,0.017,36200,0
20090709,0.017,0.017,0.016,0.016,247500,0
20090710,0.016,0.019,0.015,0.017,58500,0
20090716,0.016,0.017,0.007,0.007,2600,0
20090720,0.016,0.024,0.006,0.024,600,0
20090721,0.024,0.024,0.01,0.01,1000,0
20090722,0.017,0.02,0.006,0.02,4000,0
20090724,0.016,0.016,0.016,0.016,60000,0
20090727,0.017,0.02,0.016,0.02,37000,0
20090728,0.02,0.02,0.006,0.006,3200,0
20090729,0.02,0.024,0.006,0.024,3200,0
20090730,0.024,0.024,0.006,0.006,20000,0
20090731,0.017,0.024,0.006,0.024,625,0
20090803,0.024,0.024,0.021,0.021,1400,0
20090807,0.02,0.021,0.011,0.011,27100,0
20090810,0.012,0.018,0.012,0.018,4800,0
20090819,0.013,0.016,0.012,0.016,800,0
20090820,0.016,0.023,0.012,0.023,100000,0
20090821,0.023,0.023,0.012,0.016,20000,0
20090828,0.015,0.016,0.015,0.015,200000,0
20090908,0.015,0.015,0.008,0.008,17040,0
20090909,0.015,0.016,0.005,0.016,32040,0
20090910,0.016,0.016,0.016,0.016,100000,0
20090914,0.015,0.016,0.015,0.016,16000,0
20090916,0.015,0.016,0.01,0.01,3000,0
20090918,0.015,0.02,0.006,0.02,4200,0
20090922,0.015,0.019,0.015,0.019,50000,0
20090925,0.02,0.02,0.015,0.016,1800,0
20091001,0.015,0.015,0.014,0.015,1000,0
20091002,0.014,0.015,0.014,0.015,51,0
20091006,0.015,0.015,0.014,0.015,2402,0
20091012,0.02,0.02,0.006,0.006,3000,0
20091014,0.019,0.019,0.005,0.016,1000,0
20091015,0.017,0.017,0.006,0.006,4550,0
20091016,0.016,0.016,0.005,0.016,2100,0
20091019,0.017,0.017,0.006,0.006,270,0
20091021,0.016,0.016,0.005,0.016,43000,0
20091022,0.017,0.017,0.016,0.016,7069,0
20091104,0.015,0.021,0.015,0.02,141000,0
20091105,0.021,0.021,0.021,0.021,105000,0
20091106,0.028,0.028,0.015,0.02,55478,0
20091110,0.015,0.02,0.015,0.016,500,0
20091111,0.017,0.021,0.017,0.02,30000,0
20091119,0.02,0.027,0.02,0.02,30500,0
20091124,0.02,0.021,0.02,0.021,10000,0
20091125,0.021,0.021,0.02,0.021,11001,0
20091201,0.02,0.021,0.016,0.021,250,0
20091202,0.021,0.021,0.016,0.021,2,0
20091207,0.016,0.02,0.007,0.007,1000,0
20091208,0.02,0.022,0.006,0.022,863,0
20091209,0.02,0.021,0.02,0.021,270,0
20091210,0.02,0.021,0.02,0.02,30405,0
20091214,0.015,0.016,0.01,0.016,700,0
20091215,0.015,0.016,0.01,0.016,11400,0
20091217,0.014,0.017,0.014,0.017,60000,0
20091218,0.015,0.017,0.015,0.017,280,0
20091222,0.014,0.017,0.014,0.017,117,0
20091223,0.015,0.017,0.015,0.017,1001,0
20091229,0.014,0.017,0.014,0.017,1200,0
20091230,0.015,0.017,0.015,0.017,3948,0
20100104,0.015,0.016,0.015,0.016,10000,0
20100108,0.014,0.03,0.014,0.03,141000,0
20100111,0.027,0.03,0.027,0.03,15225,0
20100120,0.014,0.017,0.014,0.017,2202,0
20100121,0.015,0.017,0.015,0.017,200,0
20100125,0.014,0.017,0.01,0.017,5000,0
20100129,0.014,0.017,0.01,0.017,13000,0
20100201,0.015,0.017,0.01,0.014,392,0
20100202,0.015,0.017,0.01,0.017,765,0
20100203,0.015,0.017,0.01,0.017,500,0
20100204,0.015,0.016,0.01,0.01,10000,0
20100208,0.014,0.015,0.01,0.015,100,0
20100212,0.014,0.016,0.01,0.016,2000,0
20100215,0.014,0.016,0.01,0.016,200,0
20100217,0.014,0.016,0.014,0.016,4208,0
20100218,0.014,0.026,0.014,0.026,22000,0
20100219,0.023,0.023,0.022,0.022,79000,0
20100226,0.013,0.015,0.013,0.013,1000,0
20100303,0.014,0.017,0.01,0.016,900,0
20100304,0.015,0.016,0.006,0.006,500,0
20100305,0.014,0.017,0.006,0.017,20,0
20100308,0.006,0.015,0.006,0.012,10,0
20100310,0.014,0.015,0.01,0.01,50000,0
20100311,0.014,0.016,0.01,0.016,400,0
20100312,0.014,0.016,0.011,0.011,100240,0
20100316,0.012,0.014,0.012,0.014,50,0
20100317,0.013,0.016,0.013,0.016,3000,0
20100319,0.012,0.015,0.012,0.014,15100,0
20100323,0.013,0.02,0.013,0.019,202101,0
20100324,0.02,0.02,0.014,0.014,130,0
20100325,0.015,0.02,0.014,0.02,50000,0
20100326,0.014,0.016,0.014,0.016,250,0
20100330,0.015,0.016,0.015,0.016,15000,0
20100401,0.014,0.016,0.012,0.013,113100,0
20100406,0.012,0.019,0.012,0.013,1200,0
20100407,0.012,0.013,0.012,0.013,4700,0
20100408,0.012,0.022,0.012,0.022,70000,0
20100413,0.013,0.02,0.013,0.02,550,0
20100414,0.018,0.02,0.013,0.014,1200,0
20100415,0.015,0.02,0.013,0.019,70450,0
20100419,0.018,0.02,0.012,0.018,2000,0
20100420,0.016,0.02,0.012,0.019,19500,0
20100421,0.017,0.017,0.013,0.016,3800,0
20100422,0.014,0.02,0.013,0.02,60000,0
20100426,0.019,0.019,0.015,0.015,400,0
20100503,0.014,0.016,0.014,0.016,1500,0
20100506,0.014,0.019,0.014,0.018,13500,0
20100507,0.018,0.019,0.018,0.019,5000,0
20100510,0.017,0.019,0.017,0.019,2500,0
20100512,0.016,0.019,0.013,0.013,2522,0
20100514,0.016,0.025,0.016,0.025,1000,0
20100518,0.016,0.02,0.015,0.015,100000,0
20100531,0.016,0.017,0.015,0.017,100,0
20100616,0.014,0.02,0.01,0.02,51000,0
20100617,0.017,0.018,0.015,0.018,150000,0
20100618,0.018,0.024,0.015,0.024,10000,0
20100621,0.022,0.022,0.015,0.02,52000,0
20100622,0.018,0.019,0.018,0.018,7000,0
20100628,0.016,0.019,0.016,0.019,500,0
20100702,0.014,0.016,0.01,0.01,3000,0
20100705,0.014,0.016,0.014,0.016,1000,0
20100708,0.014,0.018,0.014,0.018,20070,0
20100715,0.015,0.018,0.015,0.016,2000,0
20100720,0.015,0.017,0.015,0.017,30000,0
20100728,0.014,0.017,0.014,0.017,7000,0
20100730,0.014,0.017,0.014,0.016,1000,0
20100803,0.014,0.016,0.014,0.015,300,0
20100804,0.014,0.017,0.014,0.017,60000,0
20100810,0.013,0.015,0.012,0.015,30000,0
20100811,0.014,0.016,0.014,0.016,1000,0
20100812,0.014,0.016,0.014,0.016,1000,0
20100817,0.014,0.016,0.014,0.016,100,0
20100818,0.014,0.016,0.014,0.016,730,0
20100819,0.014,0.016,0.014,0.016,50,0
20100830,0.014,0.017,0.014,0.015,2000,0
20100901,0.014,0.016,0.014,0.015,2750,0
20100902,0.014,0.015,0.01,0.01,400,0
20100903,0.013,0.014,0.01,0.011,3000,0
20100910,0.013,0.018,0.013,0.018,10100,0
20100913,0.016,0.017,0.016,0.017,60000,0
20100917,0.015,0.027,0.013,0.027,5000,0
20100920,0.024,0.024,0.015,0.015,300,0
20100922,0.015,0.017,0.015,0.017,30844,0
20100923,0.015,0.022,0.015,0.019,5100,0
20100924,0.017,0.023,0.016,0.023,44000,0
20100927,0.021,0.021,0.015,0.015,40000,0
20100929,0.014,0.02,0.014,0.019,200,0
20100930,0.017,0.02,0.012,0.012,1000,0
20101004,0.016,0.019,0.016,0.019,1950,0
20101005,0.017,0.02,0.015,0.015,2000,0
20101006,0.017,0.02,0.015,0.015,3500,0
20101008,0.016,0.021,0.016,0.018,90,0
20101013,0.016,0.02,0.016,0.02,400,0
