Date,Open,High,Low,Close,Volume,OpenInt
20090407,0.242,0.32,0.242,0.28,250,0
20090414,0.28,0.32,0.24,0.28,6000,0
20090415,0.268,0.32,0.24,0.28,526,0
20090423,0.268,0.3,0.26,0.28,2000,0
20090424,0.268,0.32,0.24,0.3,10,0
20090427,0.268,0.31,0.26,0.3,489,0
20090527,0.22,0.3,0.22,0.3,800,0
20090528,0.219,0.34,0.219,0.34,250,0
20090601,0.3,0.38,0.221,0.38,2600,0
20090611,0.262,0.32,0.26,0.26,500,0
20090617,0.261,0.34,0.26,0.3,400,0
20090622,0.315,0.34,0.26,0.34,4,0
20090701,0.261,0.33,0.2,0.2,1370,0
20090710,0.26,0.33,0.26,0.33,1100,0
20090723,0.261,0.34,0.2,0.2,1900,0
20090729,0.26,0.31,0.2,0.31,750,0
20090803,0.3,0.34,0.21,0.28,23820,0
20090805,0.18,0.34,0.18,0.29,214,0
20090812,0.27,0.34,0.21,0.21,4427,0
20090818,0.34,0.34,0.2,0.269,1000,0
20090819,0.219,0.34,0.2,0.26,600,0
20090902,0.34,0.34,0.2,0.26,4000,0
20090910,0.221,0.27,0.2,0.27,500,0
20090911,0.22,0.27,0.2,0.27,100,0
20090915,0.221,0.27,0.2,0.27,100,0
20090917,0.22,0.27,0.2,0.25,1850,0
20090918,0.22,0.25,0.2,0.25,6970,0
20090925,0.221,0.27,0.221,0.27,1000,0
20090928,0.221,0.3,0.221,0.27,1750,0
20090929,0.2,0.3,0.2,0.3,700,0
20091005,0.27,0.28,0.25,0.28,118,0
20091007,0.27,0.29,0.25,0.27,3600,0
20091012,0.272,0.29,0.2,0.28,650,0
20091013,0.2,0.29,0.2,0.29,15000,0
20091022,0.25,0.28,0.25,0.28,100,0
20091026,0.151,0.28,0.151,0.249,8400,0
20091027,0.15,0.27,0.15,0.23,4800,0
20091029,0.18,0.25,0.14,0.25,550,0
20091030,0.15,0.21,0.15,0.21,4000,0
20091102,0.201,0.24,0.2,0.24,5048,0
