Date,Open,High,Low,Close,Volume,OpenInt
20001101,9.3728,9.4011,9.025,9.4011,59780,0
20001102,9.26,9.4011,9.166,9.4011,57973,0
20001103,9.4011,9.4946,9.213,9.4011,9573,0
20001106,9.2172,9.2172,9.0291,9.0667,73895,0
20001107,9.027,9.121,8.8389,8.933,123896,0
20001108,9.1066,9.3141,8.9843,9.2195,19558,0
20001109,9.1248,9.3786,8.9365,9.1719,36037,0
20001110,9.027,9.1022,8.933,8.933,73700,0
20001113,9.103,9.1124,8.7456,8.9808,34029,0
20001115,8.8652,9.4011,8.837,9.4011,18508,0
20001116,9.027,9.027,8.933,8.933,8295,0
20001117,9.027,9.027,8.933,8.933,7019,0
20001120,9.0067,9.0067,8.7433,8.8374,86794,0
20001121,8.8359,8.8359,8.7043,8.7419,39044,0
20001122,8.7049,8.7897,8.6016,8.7897,11277,0
20001123,8.6536,8.6536,8.5126,8.5126,13077,0
20001124,8.6748,8.6748,8.4676,8.6559,3932,0
20001127,8.5065,8.7228,8.4595,8.7228,22022,0
20001128,8.5118,8.5118,8.4648,8.4648,33385,0
20001129,8.5139,8.6551,8.4669,8.6081,38798,0
20001130,8.5088,8.5557,8.2738,8.2738,66689,0
20001201,8.3662,8.4602,8.0936,8.1782,7128,0
20001204,8.2744,8.4624,8.105,8.312,4572,0
20001205,8.1589,8.1777,7.9897,8.1495,5958,0
20001206,8.1841,8.1841,7.9019,7.9489,4570,0
20001207,7.9489,7.9489,7.8172,7.9489,3402,0
20001208,7.9489,8.2311,7.8077,7.9489,2870,0
20001211,7.9937,7.9937,7.8056,7.8056,1596,0
20001212,7.9497,8.1473,7.8085,7.9967,5315,0
20001213,8.0431,8.0431,7.8173,7.9585,1595,0
20001214,7.8157,8.1825,7.8157,7.8534,1701,0
20001215,7.9937,8.0877,7.8056,7.8056,424,0
20001218,7.8056,7.9842,7.5234,7.8056,3084,0
20001219,7.8152,7.9562,7.8152,7.8152,851,0
20001220,7.9576,7.9576,7.9011,7.9011,1276,0
20001221,7.815,7.8526,7.7116,7.8056,7337,0
20001222,7.6709,7.8118,7.6145,7.6145,2128,0
20001227,7.613,7.613,7.519,7.519,15429,0
20001228,7.519,7.519,7.425,7.519,5746,0
20001229,7.6505,7.6505,7.519,7.519,4363,0
20010102,7.4349,7.5572,7.4255,7.5572,533,0
20010103,7.4364,7.4364,7.051,7.0604,15211,0
20010104,7.1464,7.1464,7.0524,7.1464,4361,0
20010108,7.5863,7.6145,7.5205,7.6145,2447,0
20010109,7.7622,8.6184,7.7622,8.0445,12860,0
20010110,8.1826,8.8598,7.8911,8.4648,13078,0
20010111,8.6154,8.6154,8.3143,8.4744,8080,0
20010112,8.3222,8.4633,8.2188,8.3693,4572,0
20010115,8.3686,8.3686,8.2275,8.3216,1063,0
20010117,8.2751,8.3693,8.2751,8.3693,1170,0
20010118,8.3693,8.3693,8.2281,8.3693,639,0
20010119,8.367,8.367,8.226,8.226,2021,0
20010122,8.3411,8.3693,8.3129,8.3693,5424,0
20010123,8.3668,8.3668,8.2164,8.2164,533,0
20010124,8.1153,8.3693,8.1153,8.3693,851,0
20010125,8.2224,8.2789,7.9967,7.9967,2020,0
20010126,8.0061,8.1378,7.7144,7.9967,4359,0
20010129,8.1321,8.2826,8.0851,8.2356,3935,0
20010130,8.2738,8.2738,8.1797,8.2738,1489,0
20010131,8.2333,8.2333,8.0922,8.0922,1914,0
20010201,8.2337,8.2712,8.0833,8.1209,1063,0
20010202,8.1811,8.3693,8.1811,8.3693,1170,0
20010205,8.3678,8.3678,8.2174,8.2738,1276,0
20010207,8.1284,8.1284,7.9967,7.9967,1169,0
20010208,7.8962,8.1782,7.8962,8.1782,533,0
20010209,8.1833,8.1833,7.9011,7.9011,2339,0
20010212,7.7562,7.7562,7.6623,7.6623,1596,0
20010213,7.5261,7.5261,6.8204,7.3661,9461,0
20010214,7.4957,7.4957,7.2324,7.2324,106,0
20010216,7.4337,7.4807,7.4337,7.4807,1381,0
20010219,7.5255,7.9393,7.5255,7.9393,3189,0
20010220,7.9416,8.0922,7.904,8.0922,1062,0
20010221,8.1304,8.1304,8.1304,8.1304,106,0
20010222,7.98,8.1304,7.98,8.1304,106,0
20010223,8.0841,8.1782,8.0841,8.1782,213,0
20010226,8.1782,8.1782,7.9901,8.1782,2233,0
20010227,8.0308,8.3693,8.0308,8.3693,4253,0
20010228,8.368,8.368,8.1798,8.2833,2127,0
20010301,8.3404,8.3687,8.1805,8.331,3403,0
20010302,8.3693,8.3693,8.2751,8.3693,424,0
20010305,8.6514,8.8111,8.3129,8.3693,28393,0
20010306,8.5227,8.7203,8.5227,8.5603,638,0
20010307,8.553,8.6941,8.553,8.6941,3298,0
20010308,8.6956,8.7897,8.5357,8.7897,2447,0
20010309,8.7693,8.8351,8.6753,8.6941,3725,0
20010312,8.7881,8.7881,8.6941,8.6941,425,0
20010313,8.797,8.8629,8.6559,8.6559,1276,0
20010315,8.4497,8.4497,8.0922,8.0922,2231,0
20010316,8.2361,8.2738,8.1232,8.2738,1276,0
20010319,8.1246,8.1246,7.7578,7.7578,1276,0
20010320,7.9011,7.9011,7.9011,7.9011,1381,0
20010321,7.8965,7.8965,7.6145,7.6145,319,0
20010322,7.7555,7.7555,7.4734,7.6145,1809,0
20010323,7.76,7.9011,7.76,7.9011,1276,0
20010326,7.9897,7.9897,7.5667,7.5667,3086,0
20010327,7.6145,7.6145,7.6145,7.6145,1170,0
20010328,7.5283,7.66,7.519,7.519,958,0
20010329,7.519,7.519,7.519,7.519,106,0
20010330,7.663,7.71,7.5689,7.71,533,0
20010402,8.0439,8.0909,8.0063,8.0063,6058,0
20010403,7.9967,7.9967,7.9967,7.9967,213,0
20010404,7.9026,7.9967,7.9026,7.9967,957,0
20010406,8.1797,8.2738,8.0292,8.2738,5318,0
20010409,7.9858,7.9858,7.9011,7.9011,106,0
20010410,7.8077,7.9489,7.8077,7.9489,638,0
20010411,7.8077,7.9489,7.8077,7.9489,638,0
20010412,7.9865,7.9865,7.8454,7.9489,851,0
20010417,7.9937,7.9937,7.8056,7.8056,744,0
20010418,7.7614,7.9967,7.6674,7.9967,4146,0
20010419,7.9967,7.9967,7.9967,7.9967,213,0
20010420,7.8555,7.9967,7.8555,7.9967,533,0
20010423,8.0835,8.1304,8.0364,8.1304,1809,0
20010424,7.9958,8.0898,7.9393,7.9393,533,0
20010426,8.0922,8.0922,8.0922,8.0922,213,0
20010427,8.0835,8.1304,8.0835,8.1304,1702,0
20010430,8.0908,8.0908,7.9967,7.9967,106,0
20010502,7.8634,8.0326,7.8634,7.8916,1808,0
20010503,8.1337,8.1337,7.7482,7.7482,106,0
20010504,7.9896,8.14,7.9896,8.14,958,0
20010508,8.004,8.004,7.8629,7.8629,2232,0
20010511,7.5746,7.5746,7.2265,7.4712,6589,0
20010514,7.7564,7.8974,7.4838,7.6718,15211,0
20010515,7.8154,7.8247,7.5426,7.8247,1382,0
20010516,7.6861,7.9967,7.6861,7.9967,5208,0
20010517,7.8629,7.8629,7.8629,7.8629,1063,0
20010518,7.9952,7.9952,7.8165,7.9011,2977,0
20010521,7.992,7.992,7.6254,7.71,1808,0
20010522,7.8496,7.8496,7.5769,7.6145,1809,0
20010523,7.5213,7.6718,7.3991,7.6718,1382,0
20010524,7.6167,7.7578,7.6167,7.7578,639,0
20010525,7.7539,7.7539,7.4814,7.519,1702,0
20010528,7.519,7.519,7.519,7.519,2021,0
20010529,7.4778,7.5248,7.2427,7.2897,3613,0
20010530,7.4119,7.4119,7.1579,7.2897,1381,0
20010601,7.4156,7.519,7.1523,7.519,1809,0
20010604,7.3947,7.3947,7.3947,7.3947,106,0
20010607,7.3873,7.519,7.2652,7.519,533,0
20010608,7.5265,7.5265,7.3947,7.3947,106,0
20010612,7.5173,7.5173,7.2725,7.4043,2019,0
20010618,7.4329,7.4329,7.4329,7.4329,213,0
20010619,7.3375,7.3375,7.3375,7.3375,106,0
20010620,7.4612,7.4612,7.3389,7.4329,957,0
20010621,7.4329,7.4329,7.4329,7.4329,533,0
20010625,7.3336,7.3336,6.9293,7.0986,5637,0
20010626,6.9757,7.0508,6.9757,7.0508,2340,0
20010627,7.0407,7.05,7.0031,7.0031,213,0
20010628,7.0508,7.0508,7.0508,7.0508,213,0
20010629,7.0488,7.0488,6.9267,6.9267,319,0
20010702,6.9126,7.0067,6.6304,6.6304,1808,0
20010703,6.8997,7.0313,6.8997,7.0031,1489,0
20010704,7.0516,7.0986,7.0516,7.0986,3509,0
20010705,6.9736,7.0488,6.8514,6.9267,639,0
20010709,6.9075,7.0203,6.9075,6.9075,1383,0
20010710,7.0222,7.0222,6.7683,7.0222,1170,0
