Date,Open,High,Low,Close,Volume,OpenInt
20070222,2.44,2.44,2.44,2.44,207,0
20070223,2.11,2.11,2.11,2.11,103,0
20070227,2.44,2.44,2.44,2.44,516,0
20070306,2.27,2.27,2.27,2.27,104,0
20070308,2.41,2.41,2.41,2.41,413,0
20070312,2.32,2.32,2.32,2.32,207,0
20070330,2.26,2.26,2.26,2.26,621,0
20070403,2.3085,2.3085,2.26,2.26,722,0
20070404,2.2597,2.2597,2.2306,2.25,6702,0
20070405,2.2297,2.2297,2.22,2.22,413,0
20070410,2.23,2.23,2.23,2.23,516,0
20070411,2.166,2.166,2.0017,2.05,22648,0
20070412,2.0983,2.108,2.05,2.05,28025,0
20070413,2.1,2.1,2.1,2.1,103,0
20070416,2.1,2.1,2.1,2.1,517,0
20070417,2.0773,2.0773,1.8841,2,21632,0
20070418,1.94,1.94,1.94,1.94,722,0
20070419,1.9317,1.98,1.9317,1.98,2071,0
20070420,2,2,2,2,2070,0
20070423,2.0293,2.0293,1.9907,2.01,18316,0
20070424,2.01,2.01,2.01,2.01,103,0
20070425,2,2,2,2,1035,0
20070426,2.0519,2.11,2.0519,2.11,3100,0
20070427,2.03,2.03,2.03,2.03,1552,0
20070430,2.0316,2.08,2.0316,2.08,1550,0
20070502,2.0319,2.09,2.0319,2.09,413,0
20070503,2.08,2.08,2.08,2.08,1550,0
20070507,2.1,2.1,2.1,2.1,310,0
20070508,2.0293,2.0293,2.01,2.01,2070,0
20070509,1.9897,1.9897,1.98,1.98,2588,0
20070510,1.98,1.98,1.98,1.98,311,0
20070518,1.96,1.96,1.96,1.96,2267,0
20070521,2.03,2.03,2.03,2.03,1034,0
20070522,1.9463,2.14,1.9463,2.14,79519,0
20070523,2.11,2.11,2.11,2.11,5166,0
20070524,2.11,2.11,2.11,2.11,1033,0
20070525,2.133,2.23,2.133,2.23,7220,0
20070529,2.3063,2.3063,2.19,2.19,7430,0
20070530,2.1831,2.27,2.0285,2.27,12837,0
20070531,2.3247,2.47,2.3247,2.47,3200,0
20070601,2.369,2.369,2.34,2.34,2068,0
20070606,2.3,2.3,2.3,2.3,2587,0
20070607,2.3713,2.41,2.3713,2.41,4339,0
20070615,2.32,2.32,2.32,2.32,5690,0
20070618,2.36,2.36,2.36,2.36,103,0
20070621,2.27,2.27,2.27,2.27,518,0
20070622,2.42,2.42,2.42,2.42,310,0
20070625,2.34,2.34,2.34,2.34,207,0
20070626,2.419,2.419,2.39,2.39,620,0
20070627,2.387,2.387,2.3,2.3,4139,0
20070628,2.27,2.27,2.27,2.27,8282,0
20070629,2.0783,2.0783,2.03,2.03,71690,0
20070702,2.03,2.03,2.03,2.03,2586,0
20070703,2.1684,2.1684,2.12,2.12,1963,0
20070704,2.0422,2.11,2.0422,2.11,2066,0
20070705,2.0783,2.088,2.03,2.03,13862,0
20070706,2.03,2.03,2.03,2.03,22655,0
20070709,2.0307,2.0693,2.0307,2.05,5584,0
20070710,2.05,2.05,2.05,2.05,1034,0
20070711,2,2,2,2,1553,0
20070712,2.0493,2.059,2.03,2.03,6000,0
20070713,2.0307,2.05,2.0307,2.05,2068,0
20070716,2.1233,2.23,2.1233,2.23,8251,0
20070717,2.1306,2.1791,2.1306,2.15,2994,0
20070718,2.15,2.15,2.15,2.15,3614,0
20070719,2.2785,2.2785,2.23,2.23,2166,0
20070723,2.16,2.16,2.16,2.16,2065,0
20070724,2.08,2.08,2.08,2.08,620,0
20070727,2.1621,2.23,2.1621,2.23,6188,0
20070730,2.2168,2.2168,2.12,2.12,1550,0
