Date,Open,High,Low,Close,Volume,OpenInt
19910405,108.16,108.56,107.37,107.77,18766,0
19910408,107.37,108.72,107.37,108.4,26035,0
19910409,108.4,108.72,106.97,106.97,30881,0
19910410,106.58,106.74,105.39,105.79,29064,0
19910411,106.97,106.97,104.44,105.23,48449,0
19910412,104.99,105.54,104.44,104.83,27247,0
19910415,105.31,106.02,105.23,105.79,33910,0
19910416,105.79,105.79,104.68,104.91,36333,0
19910417,105.79,106.02,105.39,105.39,23006,0
19910418,105.79,105.79,104.99,105.54,26035,0
19910419,104.99,105.23,104.2,104.2,12708,0
19910422,103.41,103.81,101.83,101.83,26641,0
19910423,102.22,103.41,102.22,103.01,24823,0
19910424,103.01,103.25,101.43,102.06,39967,0
19910425,102.62,103.41,102.06,102.22,44814,0
19910426,102.06,103.41,102.06,102.62,33304,0
19910429,103.25,104.6,103.25,104.04,55717,0
19910430,103.41,104.2,103.01,103.81,22401,0
19910502,104.04,106.18,103.81,106.18,47236,0
19910503,106.18,106.97,106.18,106.42,39967,0
19910506,105.79,106.02,105.54,106.02,11497,0
19910507,106.18,106.58,105.87,106.02,15738,0
19910508,105.79,105.79,104.2,104.2,16949,0
19910510,104.99,105.23,104.6,104.75,12103,0
19910513,103.81,104.99,103.81,104.44,28458,0
19910514,104.44,104.6,103.01,103.01,25429,0
19910515,103.25,103.81,103.01,103.81,20583,0
19910516,103.81,104.44,103.81,104.44,10891,0
19910517,104.2,104.2,103.41,103.49,11497,0
19910521,103.81,105.79,103.81,105.79,27852,0
19910522,106.58,107.53,106.18,106.58,58746,0
19910523,106.97,107.53,106.58,107.53,15738,0
19910524,106.74,109.98,106.74,109.35,33304,0
19910527,109.51,110.14,109.35,109.98,19371,0
19910528,110.14,110.54,108.95,110.14,32093,0
19910529,110.93,111.33,105.39,105.79,72678,0
19910531,106.18,106.58,106.02,106.02,29669,0
19910603,105.94,105.94,104.44,104.6,6651,0
19910604,104.04,104.44,103.01,103.25,21795,0
19910605,103.56,104.75,103.56,104.6,30275,0
19910606,104.75,105.39,104.12,104.44,21795,0
19910607,104.44,104.68,103.56,103.56,17554,0
19910610,103.41,104.04,103.25,104.04,6045,0
19910611,104.6,105.23,104.2,105.23,71467,0
19910612,104.99,105.23,103.81,103.81,38151,0
19910613,104.04,104.2,103.01,103.41,18160,0
19910614,104.2,104.44,103.41,103.56,10286,0
19910617,104.2,104.6,103.25,103.25,19977,0
19910618,103.25,103.56,102.46,103.56,12708,0
19910619,102.77,103.01,100.24,100.24,30881,0
19910620,100.79,101.43,100.71,101.03,15738,0
19910621,101.58,102.62,101.58,102.46,14525,0
19910624,102.22,102.22,100,100.24,21189,0
19910625,100.08,100.64,99.85,100.24,18766,0
19910626,100.48,100.64,97.865,97.865,27247,0
19910627,97.865,98.499,96.672,97.865,32699,0
19910628,97.069,97.069,95.088,96.276,26035,0
19910701,96.276,96.672,95.801,95.801,22401,0
19910702,96.514,96.514,93.899,94.295,15738,0
19910703,94.295,94.295,93.107,93.107,22401,0
19910704,93.503,94.295,93.503,94.216,20583,0
19910705,94.295,94.692,93.899,93.899,14525,0
19910708,93.107,93.582,93.107,93.503,7256,0
19910709,94.295,95.484,94.136,95.325,10286,0
19910710,95.484,97.699,95.088,97.621,29669,0
19910711,97.465,97.465,96.514,97.069,19371,0
19910712,97.865,98.099,97.465,97.865,40573,0
19910715,98.255,98.499,97.621,98.021,21795,0
19910716,97.543,97.543,96.514,96.514,14525,0
19910717,96.117,96.276,95.642,96.117,24823,0
19910718,95.642,95.642,95.325,95.325,6045,0
19910719,96.117,96.514,95.88,96.038,18766,0
19910722,95.642,97.465,95.484,97.231,34516,0
19910723,97.621,97.621,97.069,97.621,30275,0
19910724,97.309,97.309,95.88,96.276,27852,0
19910725,96.514,96.672,95.88,95.88,40573,0
19910726,96.276,96.831,95.167,95.642,56929,0
19910729,95.484,96.117,95.088,95.88,23006,0
19910730,96.276,97.465,96.276,97.465,24823,0
19910731,97.621,100.08,97.621,99.85,79947,0
19910801,100.64,101.83,100.08,100.56,44208,0
19910802,99.85,101.83,99.446,101.43,18766,0
19910805,101.58,102.46,101.58,101.58,15131,0
19910806,101.83,102.06,101.35,101.75,53899,0
19910807,102.22,104.04,102.06,104.04,53294,0
19910808,103.81,104.36,103.25,103.41,40573,0
19910809,103.01,103.81,103.01,103.56,25429,0
19910812,103.01,103.41,102.46,102.46,15131,0
