Date,Open,High,Low,Close,Volume,OpenInt
20060929,6.3932,6.7343,6.3932,6.4785,1786878,0
20061002,6.5625,6.6393,6.4347,6.4688,452903,0
20061003,6.5492,6.5492,6.3874,6.43,109669,0
20061004,6.4934,6.4934,6.3059,6.3911,499561,0
20061005,6.4733,6.4904,5.9878,6.09,285882,0
20061006,6.0518,6.1285,5.5752,5.5752,549944,0
20061009,5.6885,5.714,5.3052,5.5267,707991,0
20061010,5.6426,5.9835,5.5573,5.8472,705924,0
20061011,5.958,5.958,5.7112,5.7112,452213,0
20061012,5.8814,5.8814,5.7026,5.7792,389012,0
20061013,5.8735,6.1969,5.831,6.1289,631205,0
20061016,6.2906,6.3417,6.1289,6.1289,321300,0
20061017,6.231,6.2566,6.1289,6.1289,173632,0
20061018,6.2115,6.2285,6.1092,6.1774,156093,0
20061019,6.2138,6.333,6.1118,6.1968,197248,0
20061020,6.2139,6.265,6.1797,6.1968,102888,0
20061023,6.261,6.3463,6.1589,6.3037,120444,0
20061024,6.3868,6.7105,6.3443,6.7019,530193,0
20061025,6.7333,6.8356,6.5287,6.8185,558131,0
20061026,6.844,6.8696,6.7674,6.8185,242469,0
20061027,6.8466,6.8466,6.7019,6.7019,128938,0
20061030,6.7699,6.8124,6.6507,6.7699,90187,0
20061031,6.7944,6.8114,6.6667,6.6922,134010,0
20061101,6.8099,6.8185,6.7758,6.8185,93393,0
20061102,6.804,6.821,6.6677,6.7699,216544,0
20061103,6.8185,6.8781,6.7417,6.8185,364774,0
20061106,6.8124,6.821,6.7103,6.7699,94533,0
20061107,6.7799,6.7799,6.567,6.6436,156267,0
20061108,6.572,6.64,6.5379,6.6145,64373,0
20061109,6.6032,6.7821,6.5607,6.7311,132272,0
20061110,6.7396,6.7737,6.6459,6.7311,59975,0
20061113,6.7728,6.7728,6.4235,6.5854,255305,0
20061114,6.6024,6.645,6.4831,6.5854,41905,0
20061115,6.5616,6.5616,6.3911,6.3911,109136,0
20061116,6.4189,6.5212,6.3507,6.4785,103116,0
20061117,6.4663,6.5856,6.2703,6.5174,413995,0
20061120,6.5259,6.6026,6.4322,6.5174,96133,0
20061121,6.5208,6.5549,6.0946,6.1968,172926,0
20061122,6.2201,6.3563,6.1519,6.1774,60912,0
20061123,6.2173,6.294,6.1407,6.294,39921,0
20061124,6.2915,6.2915,6.1554,6.2745,65307,0
20061127,6.3781,6.3865,6.1822,6.2163,63062,0
20061128,6.2141,6.2141,6.0353,6.0609,80235,0
20061129,6.179,6.179,6.0511,6.0511,68640,0
20061130,6.083,6.2193,5.9296,5.9637,259753,0
20061201,6.107,6.1752,5.9367,6.09,109070,0
20061204,6.1318,6.1318,5.8763,5.8763,154760,0
20061205,6.0454,6.054,5.7985,5.8666,124256,0
20061206,5.9626,5.9881,5.7922,5.954,68444,0
20061207,5.954,6.0392,5.8518,5.954,58935,0
20061208,5.9262,6.0029,5.79,5.8666,69058,0
20061211,5.9007,5.9602,5.7814,5.8666,111689,0
20061212,5.8801,6.0335,5.8375,5.8375,217559,0
20061213,5.9116,5.9116,5.7071,5.886,93448,0
20061214,5.941,5.941,5.5495,5.7112,288904,0
20061215,5.7776,5.914,5.7776,5.9055,159595,0
20061218,5.9241,5.9241,5.7536,5.7792,68397,0
20061219,5.7952,5.8293,5.6759,5.7015,88121,0
20061220,5.704,5.7296,5.5933,5.6529,217069,0
20061221,5.6405,5.7683,5.6234,5.7598,238253,0
20061222,5.7748,5.7748,5.5278,5.5364,382272,0
20061227,5.6616,5.7211,5.5168,5.5849,102894,0
20061228,5.6408,5.6664,5.5556,5.6238,144821,0
20061229,5.6408,5.6408,5.5811,5.6238,110200,0
20070102,5.615,5.7429,5.615,5.6918,141305,0
20070103,5.6969,5.7055,5.4926,5.5267,241438,0
20070104,5.58,5.6652,5.3841,5.6141,231363,0
20070105,5.5789,5.6215,5.4767,5.5364,116584,0
20070108,5.5619,5.5619,5.4426,5.5364,141826,0
20070109,5.5786,5.8512,5.5361,5.6723,599739,0
20070110,5.7114,5.7114,5.5327,5.5752,291596,0
20070111,5.7064,5.8086,5.6468,5.6723,604436,0
20070112,5.7544,6.0016,5.7118,5.9249,312257,0
20070115,6.0096,6.1968,6.0096,6.1968,350088,0
20070116,6.3075,6.316,6.1881,6.2648,193698,0
20070117,6.2201,6.2967,6.0922,6.1774,100111,0
20070118,6.2056,6.2141,6.0862,6.1289,75433,0
20070119,6.1361,6.1532,6.0595,6.1191,146084,0
20070122,6.1763,6.2273,6.0911,6.1677,170444,0
20070123,6.2368,6.3389,6.1515,6.3134,196476,0
20070124,6.3689,6.5818,6.3433,6.5562,411177,0
20070125,6.5732,6.6839,6.403,6.5562,243935,0
20070126,6.5013,6.6036,6.2628,6.5951,164070,0
20070129,6.6017,6.6102,6.3717,6.3717,133478,0
20070130,6.4444,6.5893,6.3932,6.4785,190747,0
20070131,6.532,6.5576,6.4554,6.4979,91119,0
20070201,6.458,6.5177,6.1939,6.3814,225473,0
20070202,6.4262,6.5114,6.3921,6.4688,65706,0
20070205,6.5083,6.7213,6.4999,6.7213,284782,0
20070206,6.7643,6.8154,6.5257,6.5854,274087,0
20070207,6.6106,6.7724,6.5595,6.7213,124900,0
20070208,6.7808,6.8149,6.6872,6.7893,171389,0
20070209,6.838,7.1105,6.7188,6.7699,310254,0
20070212,6.81,6.81,6.6909,6.7505,224373,0
20070213,6.7707,7.0347,6.7281,6.9836,384427,0
20070214,7.0297,7.2002,6.9445,7.0127,321914,0
20070215,7.0761,7.0846,6.9058,6.9739,89723,0
20070216,7.026,7.1027,6.9153,7.0516,81607,0
20070219,7.1961,7.2642,7.0768,7.1876,295676,0
20070220,7.1927,7.2438,6.92,7.0904,186221,0
20070221,7.0955,7.1892,6.9933,6.9933,86287,0
20070222,7.0661,7.1598,7.0405,7.1001,79310,0
20070223,7.0468,7.132,6.8935,7.0127,136839,0
20070226,7.0116,7.1137,7.003,7.003,115969,0
20070227,7.0075,7.016,6.4966,6.5562,461444,0
20070228,6.3848,6.7253,6.1634,6.5465,310349,0
20070301,6.6402,6.751,6.2997,6.4785,179252,0
20070302,6.3586,6.529,6.2222,6.2648,321695,0
20070305,6.2176,6.2262,6.0643,6.158,202060,0
20070306,6.2206,6.4337,6.2206,6.3911,93880,0
20070307,6.4308,6.6182,6.4308,6.5756,90987,0
20070308,6.6422,6.7699,6.6166,6.7699,133637,0
20070309,6.8015,6.8696,6.6567,6.8185,90808,0
20070312,6.9025,6.9877,6.7236,6.8088,125212,0
20070313,6.8587,6.961,6.799,6.799,81572,0
20070314,6.6575,6.7002,6.4018,6.4785,99010,0
20070315,6.5987,6.7689,6.539,6.6242,91492,0
20070316,6.474,6.6019,6.3037,6.3037,654106,0
20070319,6.2776,6.2861,5.7495,6.022,776149,0
20070320,6.0719,6.123,5.9698,6.0123,151362,0
20070321,6.0208,6.1059,6.0037,6.0123,116722,0
20070322,6.0778,6.1289,6.0182,6.1289,257275,0
20070323,6.1715,6.197,6.0521,6.1289,91035,0
20070326,6.1589,6.3037,6.1078,6.3037,174561,0
20070327,6.2745,6.3171,6.2149,6.2745,35590,0
20070328,6.3175,6.3175,6.0195,6.0706,131781,0
20070329,6.0912,6.1934,6.0656,6.0997,46836,0
20070330,6.1363,6.2557,6.0511,6.0511,73216,0
20070402,6.0475,6.1325,5.9878,6.09,62225,0
20070403,6.1375,6.5297,6.1375,6.4785,294450,0
20070404,6.5137,6.5818,6.4199,6.5562,133183,0
20070405,6.5819,6.5819,6.4712,6.4882,25720,0
20070410,6.4189,6.4785,6.3849,6.4785,37119,0
20070411,6.4214,6.5066,6.3448,6.43,57301,0
20070412,6.3246,6.4011,6.1458,6.1968,161886,0
20070413,6.2028,6.3647,6.1688,6.2454,102108,0
20070416,6.2574,6.3595,6.2574,6.3425,81401,0
20070417,6.2951,6.3719,6.2696,6.3037,76539,0
20070418,6.2633,6.3996,6.2633,6.3911,69237,0
20070419,6.3487,6.3572,6.2635,6.3231,40016,0
20070420,6.3436,6.4799,6.3181,6.4202,94071,0
20070423,6.4736,6.5077,6.3799,6.5077,48251,0
20070424,6.4507,6.5189,6.3741,6.3911,47058,0
20070425,6.3583,6.4264,6.2221,6.4008,84472,0
20070426,6.4322,6.5344,6.3981,6.5174,71014,0
20070427,6.4763,6.5019,6.3911,6.3911,20889,0
20070430,6.4483,6.4739,6.3461,6.3717,50127,0
20070502,6.4455,6.5903,6.4455,6.5562,141052,0
20070503,6.5039,6.5977,6.4101,6.5465,99483,0
20070504,6.5198,6.5453,6.4345,6.5368,37431,0
20070507,6.4699,6.5635,6.4273,6.5465,38412,0
20070508,6.4785,6.5467,6.3848,6.4785,102060,0
20070509,6.4143,6.4824,6.3035,6.3717,64567,0
20070510,6.3157,6.4266,6.2561,6.3328,58428,0
20070511,6.2708,6.3389,6.2538,6.3134,65610,0
20070514,6.3694,6.3694,6.2673,6.2843,32530,0
20070515,6.3401,6.4595,6.2805,6.3231,176256,0
20070516,6.3425,6.3511,6.2744,6.3425,30305,0
20070517,6.39,6.39,6.2793,6.3134,10681,0
20070518,6.2964,6.356,6.2708,6.3134,55516,0
20070521,6.3757,6.3757,6.2648,6.2648,50096,0
20070522,6.3229,6.4422,6.2888,6.3911,161944,0
20070523,6.403,6.5988,6.3519,6.5562,226788,0
20070524,6.5856,6.6026,6.4492,6.5174,130173,0
20070525,6.4528,6.64,6.4272,6.6145,131683,0
20070529,6.6145,6.6827,6.4951,6.6145,94324,0
20070530,6.5549,6.64,6.4868,6.6145,69895,0
20070531,6.5621,6.6303,6.5366,6.6048,78617,0
20070601,6.5563,6.6245,6.4541,6.4882,96891,0
20070604,6.4081,6.4337,6.357,6.3911,82615,0
20070605,6.3414,6.4095,6.3158,6.3328,100566,0
20070606,6.3475,6.4582,6.3134,6.3134,73356,0
20070607,6.3493,6.5538,6.3237,6.5368,104312,0
20070608,6.4774,6.5455,6.3921,6.4688,72629,0
20070611,6.5212,6.5467,6.4359,6.4785,55605,0
20070612,6.4774,6.5455,6.4262,6.4688,64767,0
20070613,6.521,6.5465,6.4101,6.5465,50445,0
20070614,6.5453,6.5538,6.4345,6.5368,97741,0
20070615,6.5344,6.5344,6.4663,6.5174,41317,0
20070618,6.5465,6.6146,6.4869,6.5465,172559,0
20070619,6.4928,6.5951,6.4503,6.5951,52225,0
20070620,6.589,6.6231,6.5124,6.5465,62845,0
20070621,6.5528,6.5869,6.425,6.4591,51049,0
20070622,6.4703,6.4703,6.3425,6.3425,43578,0
20070625,6.356,6.39,6.2282,6.3134,103755,0
20070626,6.2987,6.3584,6.2733,6.3328,44409,0
20070627,6.2759,6.3354,6.0885,6.2163,100641,0
20070628,6.2201,6.2881,6.1519,6.1774,65840,0
20070629,6.2588,6.2588,6.1396,6.2163,76332,0
20070702,6.2481,6.2481,6.0609,6.0609,108194,0
20070703,6.0936,6.1788,6.0254,6.1191,138223,0
20070704,6.0918,6.3219,6.0152,6.3134,207040,0
20070705,6.2844,6.2929,6.1737,6.2163,65528,0
20070706,6.3002,6.3002,6.1385,6.2066,101600,0
20070709,6.2141,6.2651,6.0609,6.0609,96917,0
20070710,6.1,6.1767,5.8615,5.9637,275364,0
20070711,5.9613,6.0379,5.9273,5.9443,85367,0
20070712,6.1205,6.1205,6.0097,6.0609,229810,0
20070713,6.1239,6.1921,6.0728,6.158,100266,0
20070716,6.1734,6.4033,6.1479,6.3522,237461,0
20070717,6.3059,6.3911,6.1865,6.3911,170980,0
20070718,6.2562,6.3328,6.1711,6.3328,89053,0
20070719,6.317,6.3681,6.2829,6.3425,57674,0
20070720,6.3705,6.3705,6.2427,6.362,54129,0
20070723,6.3048,6.3899,6.2621,6.3814,39437,0
20070724,6.3025,6.3281,6.2173,6.294,32993,0
20070725,6.2138,6.2649,6.1373,6.1968,68021,0
20070726,6.2632,6.2632,5.9308,5.9734,187530,0
20070727,5.9588,6.027,5.7371,5.9929,140532,0
20070730,6.0064,6.0489,5.8785,5.9637,34509,0
20070731,5.9664,5.9664,5.8896,5.9152,70278,0
20070801,5.8621,5.8621,5.5895,5.6918,149872,0
20070802,5.9559,5.9559,5.6662,5.6918,60441,0
20070803,5.7106,5.7533,5.4975,5.4975,141026,0
20070806,5.442,5.4504,5.3141,5.3227,159929,0
20070807,5.3272,5.4807,5.2846,5.4295,81421,0
20070808,5.4874,5.6749,5.4704,5.6238,203148,0
20070809,5.6749,5.709,5.5386,5.6238,116772,0
20070810,5.624,5.6665,5.4706,5.5558,148689,0
20070813,5.6166,5.6251,5.5059,5.5655,50100,0
20070814,5.5207,5.5207,5.4781,5.4781,10095,0
20070815,5.5389,5.5389,5.4196,5.4878,20302,0
20070816,5.4216,5.4387,5.0216,5.0216,177649,0
20070817,4.7302,5.2501,4.6876,5.1478,155228,0
20070820,5.1246,5.3544,5.1246,5.2353,45932,0
20070821,5.2769,5.3195,5.0216,5.0216,70378,0
20070822,5.0905,5.3289,5.065,5.2353,46284,0
20070823,5.2793,5.3644,5.092,5.109,101585,0
20070824,5.0665,5.109,4.9216,5.109,77041,0
20070827,5.0532,5.113,4.9852,5.0022,33093,0
20070828,4.9657,5.0679,4.9316,4.9827,42736,0
20070829,4.8953,4.9634,4.8953,4.8953,22435,0
20070830,4.9475,4.9986,4.9049,4.973,23134,0
20070831,4.9209,4.9549,4.8528,4.8953,66012,0
20070903,4.9538,4.9538,4.8176,4.8176,39358,0
20070904,4.8174,4.9027,4.7407,4.8856,109543,0
20070905,4.8527,4.9803,4.8527,4.9633,64605,0
20070906,4.9813,5.109,4.8791,5.109,54258,0
20070907,5.109,5.1942,5.0579,5.109,40517,0
20070910,5.0933,5.0933,4.9655,5.0507,49664,0
20070911,5.0227,5.0398,4.9632,5.0313,24903,0
20070912,5.0231,5.0231,4.7848,4.8273,58024,0
20070913,4.8944,4.8944,4.6391,4.6816,183387,0
20070914,4.6822,4.6822,4.2991,4.3417,241041,0
20070917,4.3007,4.3007,4.0708,4.1474,177778,0
20070918,4.0854,4.2046,4.0514,4.128,128299,0
