Date,Open,High,Low,Close,Volume,OpenInt
20010214,15.76,15.76,14.96,15.26,171600,0
20010216,15.4,15.4,14.96,15.02,17400,0
20010219,14.96,15.16,14.96,15.16,21400,0
20010220,14.96,15.26,14.76,15.06,24200,0
20010221,15.21,17.41,15.16,17.11,58000,0
20010222,16.76,17.96,16.46,16.96,147300,0
20010223,16.96,17.26,16.66,16.96,25600,0
20010226,17.36,17.46,16.86,17.11,24200,0
20010227,17.26,17.26,15.71,15.96,41700,0
20010228,15.66,15.96,15.02,15.16,14300,0
20010301,15.36,16.07,15.36,15.96,19500,0
20010302,16.06,17.2,16.06,17.16,27800,0
20010305,16.86,19.35,16.86,18.95,106200,0
20010306,19.2,19.25,17.96,18.17,51900,0
20010307,18.11,18.3,17.66,18.25,21000,0
20010308,17.96,18.35,17.46,18.35,17400,0
20010309,17.86,17.98,17.26,17.56,18200,0
20010312,17.26,17.26,16.71,17.11,13600,0
20010313,16.81,16.81,15.96,16.33,7500,0
20010315,15.91,16.66,15.76,16.46,68700,0
20010316,16.36,16.36,15.96,15.96,3200,0
20010319,15.56,15.71,15.46,15.71,4600,0
20010320,15.46,15.81,15.46,15.81,1100,0
20010321,15.61,15.92,15.36,15.86,9700,0
20010322,15.71,16.16,15.11,15.86,9200,0
20010323,16.26,16.26,15.36,15.91,9600,0
20010326,16.13,16.56,16.13,16.56,9500,0
20010327,16.36,16.36,15.46,16.16,23400,0
20010328,15.96,16.11,15.66,16.11,7600,0
20010329,15.81,16.26,15.81,15.96,1300,0
20010330,15.86,16.56,15.81,16.16,28900,0
20010402,15.96,16.06,15.96,16.06,500,0
20010403,15.66,15.66,14.96,15.4,9000,0
20010404,15.01,16.06,15.01,15.91,12600,0
20010405,15.66,15.7,15.36,15.36,17300,0
20010406,15.36,15.76,15.36,15.76,1400,0
20010409,15.56,15.56,15.56,15.56,1000,0
20010410,15.71,16.06,15.56,16.06,6300,0
20010411,15.76,15.96,15.26,15.96,19100,0
20010412,15.76,16.96,15.76,16.61,44400,0
20010417,16.56,16.56,15.86,16.16,15700,0
20010418,16.26,17.16,16.06,17.16,10500,0
20010419,16.96,16.96,16.26,16.66,15700,0
20010420,16.95,17.16,16.71,16.96,26200,0
20010423,17.19,17.96,17.06,17.06,21100,0
20010424,17.06,17.06,16.86,17.06,1800,0
20010425,17.11,17.16,16.86,17.06,4100,0
20010426,17.11,17.51,16.86,17.16,15500,0
20010427,17.26,20.45,17.26,20.25,50300,0
20010430,21.05,22.44,20.26,21.05,43000,0
20010502,21.45,21.45,19.95,20.25,30400,0
20010503,19.95,20.25,19.65,19.65,6500,0
20010504,19.95,20.05,19.05,19.95,8900,0
20010508,19.77,20.45,19.77,20.3,6000,0
20010509,19.45,19.45,18.98,18.98,4300,0
20010510,19.25,20.15,19.25,19.92,12200,0
20010511,19.7,19.9,19.25,19.45,8000,0
20010514,19.55,19.55,17.96,18.75,12500,0
20010515,18.85,18.85,17.96,18.16,12500,0
20010516,17.96,18.06,17.66,18.06,7400,0
20010517,18.35,18.55,18.16,18.45,5300,0
20010518,18.35,18.45,18.16,18.25,2200,0
20010521,18.25,18.45,18.25,18.45,500,0
20010522,18.45,19.45,18.41,19.05,5300,0
20010523,18.95,19.15,18.65,18.65,4800,0
20010524,18.95,19.05,18.65,18.65,1700,0
20010525,19.05,19.05,18.25,18.79,5800,0
20010528,19.05,19.95,18.85,18.95,17200,0
20010529,18.94,18.94,17.45,17.45,7200,0
20010530,17.16,17.16,16.26,16.46,30400,0
20010531,16.26,16.26,15.86,15.97,10200,0
20010601,16.2,16.2,15.74,16.06,7000,0
20010604,16.06,16.23,16.01,16.01,600,0
20010605,15.79,15.96,15.79,15.96,100,0
20010606,15.76,15.76,15.76,15.76,200,0
20010607,15.96,15.96,15.54,15.8,4700,0
20010608,15.58,15.8,15.41,15.41,1400,0
20010611,15.31,15.31,14.07,14.17,17000,0
20010612,13.96,13.99,13.07,13.97,48500,0
20010613,14.63,16.46,14.46,16.16,22400,0
20010614,15.93,15.93,15.93,15.93,300,0
20010618,16.25,16.25,15.76,16.16,5400,0
20010619,16.16,17.06,15.93,16.56,8400,0
20010620,16.33,16.58,15.81,16.04,9000,0
20010621,16.26,16.31,14.96,16.28,28800,0
20010622,15.91,16.04,15.66,15.73,6600,0
20010625,15.26,15.46,14.31,15.36,26400,0
20010626,15.14,15.2,13.97,15.06,40000,0
20010627,15.2,15.2,15.01,15.01,800,0
20010628,14.96,15.24,14.76,14.96,5300,0
20010629,14.86,16.96,14.76,16.76,10100,0
20010702,16.76,16.76,15.46,16.36,14900,0
20010703,15.47,15.92,15.47,15.82,9200,0
20010704,15.42,15.61,15.37,15.51,2900,0
20010705,15.56,15.61,15.4,15.61,2900,0
20010706,16.01,16.11,15.46,16.11,8100,0
20010709,16.16,16.16,15.26,15.46,5800,0
20010710,15.46,15.46,15.36,15.46,700,0
20010711,14.76,14.86,13.64,14.36,12100,0
20010712,14.57,14.57,13.98,14.37,1400,0
20010716,14.66,14.86,14.36,14.36,5700,0
20010717,14.11,14.31,13.98,14.16,3700,0
20010718,13.98,14.17,13.78,13.98,4300,0
20010719,13.97,13.97,13.78,13.97,600,0
20010720,13.97,13.97,13.37,13.75,3000,0
20010723,13.56,13.76,13.38,13.76,1200,0
20010724,13.71,13.71,13.32,13.51,3000,0
20010725,13.33,13.46,11.7,12.46,12600,0
20010726,12.46,12.46,12.12,12.32,3300,0
20010727,12.15,12.22,11.99,11.99,600,0
20010730,11.87,12.53,11.82,12.53,3500,0
20010801,12.52,12.52,12.27,12.27,2300,0
20010802,12.1,12.1,11.72,11.86,6600,0
20010803,11.72,11.72,11.7,11.7,600,0
20010806,11.77,11.86,11.52,11.69,3400,0
20010807,11.53,11.65,10.67,10.95,21300,0
20010808,10.63,10.63,9.38,9.68,15300,0
20010809,9.86,9.86,9.72,9.72,3200,0
20010810,9.59,9.59,9.46,9.46,1600,0
20010813,9.33,9.33,8.67,8.67,11500,0
20010814,8.68,9.18,8.63,8.63,2200,0
20010815,8.58,8.88,8.58,8.64,3400,0
20010816,8.53,8.53,7.88,7.88,8800,0
20010817,7.78,7.78,7.28,7.48,5500,0
20010820,7.59,8.01,7.59,7.89,10400,0
20010821,7.79,8.28,7.39,7.97,21900,0
20010823,7.99,8.16,7.81,7.97,9800,0
20010824,7.87,7.99,7.67,7.78,7300,0
20010827,7.67,7.89,7.67,7.78,2000,0
20010828,7.67,7.8,7.58,7.75,3700,0
20010829,7.6,7.65,7.6,7.65,2200,0
20010830,7.75,7.85,7.73,7.85,1400,0
20010831,7.74,7.88,7.68,7.87,10900,0
20010903,7.77,7.77,7.58,7.58,7900,0
20010904,7.68,7.68,7.13,7.43,17400,0
20010906,7.38,7.38,7.22,7.38,4900,0
