Date,Open,High,Low,Close,Volume,OpenInt
20000114,9.975,10.576,9.615,9.885,59909,0
20000117,10.066,10.185,8.7734,9.1644,59243,0
20000118,9.1002,9.1331,8.4121,8.4872,41940,0
20000119,9.766,11.569,9.556,11.299,116142,0
20000120,11.568,12.169,10.981,11.869,80877,0
20000121,12.32,12.32,11.569,11.884,114150,0
20000124,12.29,13.042,12.29,12.62,111817,0
20000125,11.568,12.516,11.568,12.258,36945,0
20000126,12.019,12.62,11.87,12.019,38605,0
20000127,13.22,14.27,13.22,14.27,35282,0
20000128,14.418,14.572,13.34,13.761,27958,0
20000131,13.459,13.88,13.22,13.22,21636,0
20000201,13.522,15.625,13.522,14.993,35276,0
20000202,15.174,15.895,15.174,15.895,15310,0
20000203,15.923,15.923,15.067,15.592,44936,0
20000204,15.625,15.625,14.123,14.664,16972,0
20000207,14.843,14.843,12.919,12.919,26624,0
20000208,13.397,15.321,13.397,15.321,23300,0
20000209,15.621,15.925,14.722,14.963,25627,0
20000210,14.354,14.452,13.823,14.122,15309,0
20000211,14.452,14.543,13.221,14.512,27956,0
20000214,14.121,14.42,14.121,14.15,3662,0
20000215,14.393,16.736,14.393,16.225,63236,0
20000216,16.556,18.029,16.556,16.691,34946,0
20000217,17.154,17.154,16.524,16.974,19305,0
20000218,17.789,21.316,17.789,20.865,119159,0
20000221,22.535,23.495,21.35,23.135,65899,0
20000222,25.237,27.175,24.261,25.147,53921,0
20000223,23.735,24.831,22.534,24.036,36280,0
20000224,24.638,24.819,21.815,22.235,19968,0
20000225,21.932,23.435,21.932,22.984,36946,0
20000228,22.835,23.437,18.869,19.982,42600,0
20000229,20.071,20.732,20.071,20.431,17974,0
20000301,20.731,21.872,20.429,20.731,28958,0
20000302,20.43,21.091,19.829,20.34,24631,0
20000303,20.432,20.492,19.23,19.801,18970,0
20000306,20.431,20.882,19.831,19.982,24629,0
20000307,19.53,20.372,19.53,19.982,11317,0
20000308,19.23,19.982,19.23,19.53,8319,0
20000309,20.415,21.031,19.829,21.004,9320,0
20000310,21.633,24.07,21.333,22.534,38941,0
20000314,22.836,22.836,22.085,22.833,3661,0
20000315,22.173,22.173,20.129,21.391,28625,0
20000316,20.371,25.169,20.371,23.585,33284,0
20000317,24.939,25.54,24.187,24.668,26292,0
20000320,24.939,25.389,23.888,23.888,7654,0
20000321,23.826,24.427,21.336,22.805,39273,0
20000322,22.985,23.586,22.865,22.865,5992,0
20000323,23.735,23.735,21.932,22.653,11318,0
20000324,23.436,23.436,22.535,22.805,3329,0
20000327,22.248,22.833,22.021,22.322,2663,0
20000328,21.633,21.633,21.033,21.033,3329,0
20000329,21.033,21.033,20.432,20.582,4993,0
20000330,20.43,20.43,19.529,19.83,7988,0
20000331,19.078,20.467,18.627,20.399,12648,0
20000403,20.281,20.732,19.529,19.83,5992,0
20000404,19.229,19.381,18.93,18.93,3993,0
20000405,18.93,19.08,17.337,18.268,12314,0
20000406,18.269,19.201,17.728,19.201,16641,0
20000407,19.078,19.348,18.327,18.628,3329,0
20000410,18.898,19.528,18.628,19.348,2663,0
20000411,18.628,19.228,18.327,19.228,5325,0
20000412,19.382,20.131,19.382,20.131,8985,0
20000413,19.23,19.831,19.23,19.801,2995,0
20000414,21.333,21.633,20.852,21.152,12980,0
20000417,19.98,19.98,18.778,18.958,17308,0
20000418,21.094,22.499,20.733,22.499,25294,0
20000419,22.835,23.136,21.634,21.634,13645,0
20000420,22.144,22.144,21.034,21.184,2330,0
20000425,21.482,21.633,20.972,20.685,2995,0
20000426,21.542,21.631,21.032,21.482,667,0
20000427,21.481,21.481,20.732,21.332,3329,0
20000428,21.634,21.634,21.033,21.574,3329,0
20000502,22.054,22.054,21.033,21.363,7322,0
20000503,21.632,21.632,20.731,20.731,5992,0
20000504,20.732,21.032,20.732,20.881,667,0
20000505,20.582,20.582,20.401,20.582,3329,0
20000508,20.13,20.431,19.681,19.982,4660,0
20000510,19.23,19.382,17.998,18.479,3661,0
20000511,18.477,19.348,18.027,19.348,9987,0
20000512,19.499,19.499,18.778,19.228,2663,0
20000515,19.078,19.348,19.078,19.348,1664,0
20000516,19.258,20.246,19.258,19.679,9986,0
20000517,20.282,20.282,19.53,19.53,2663,0
20000518,20.13,20.13,19.709,19.83,2330,0
20000519,19.529,19.83,19.169,19.381,1664,0
20000522,19.565,20.871,19.565,20.861,6654,0
20000523,20.732,21.634,19.381,19.389,5548,0
20000524,18.032,18.481,17.671,18.481,4992,0
20000525,18.612,19.289,18.027,18.568,10429,0
20000526,18.836,19.393,18.024,18.69,6991,0
20000529,19.202,19.202,17.397,18.029,7654,0
20000530,18.024,18.024,17.123,17.123,2775,0
20000531,17.936,17.936,16.061,16.583,6102,0
20000601,16.669,17.218,16.497,16.66,2773,0
20000602,17.124,17.124,16.402,16.944,4660,0
20000605,17.575,18.025,17.124,17.935,8987,0
20000606,17.852,18.032,17.129,17.49,5324,0
20000607,17.213,17.303,17.123,17.123,2886,0
20000608,18.024,18.969,18.024,18.302,6546,0
20000609,17.488,18.21,17.128,17.85,45037,0
20000612,17.94,17.94,17.309,17.67,5767,0
20000613,17.488,17.622,17.182,17.226,11317,0
20000614,17.213,17.934,16.77,17.123,16090,0
20000615,17.306,17.306,16.042,16.583,19970,0
20000616,16.68,17.212,16.68,16.906,3217,0
20000619,17.083,17.128,16.407,16.858,3882,0
20000620,16.901,17.126,16.405,16.812,32285,0
20000621,17.125,17.125,16.178,16.178,7544,0
20000622,16.132,17.303,16.132,16.337,26077,0
20000623,16.042,17.305,15.637,16.763,31289,0
20000626,16.312,16.493,15.951,15.951,4327,0
20000627,16.047,16.047,15.417,15.507,15085,0
20000628,15.951,16.402,15.546,15.951,20195,0
20000629,16.04,16.311,15.138,15.318,10986,0
20000630,15.325,15.55,13.972,14.469,14311,0
20000703,15.054,15.235,14.604,14.874,3882,0
20000704,16.086,16.536,15.825,16.132,23636,0
20000705,16.495,17.207,16.315,17.207,12980,0
20000706,17.035,17.261,16.585,16.812,4881,0
20000710,16.678,16.678,16.138,16.48,1554,0
20000711,16.314,16.314,15.413,15.413,5215,0
20000712,15.821,16.045,15.641,16.045,1220,0
20000714,16.043,17.396,15.908,16.991,8099,0
20000717,17.125,18.701,16.989,18.341,10764,0
20000718,19.197,19.287,18.25,18.521,14092,0
20000719,18.481,19.97,18.481,19.475,22627,0
20000720,19.852,22.359,19.834,22.043,46033,0
20000721,22.493,23.619,20.465,20.825,24847,0
20000724,21.818,22.359,20.96,21.637,19411,0
20000725,21.633,21.995,20.913,21.363,12314,0
20000726,21.366,21.366,20.646,20.646,3549,0
20000727,20.193,20.239,19.023,19.833,12978,0
20000728,19.918,20.098,19.378,19.918,3550,0
20000731,20.279,20.459,18.837,18.927,6214,0
20000801,18.745,18.926,16.582,18.7,20529,0
20000802,18.477,18.477,17.576,17.576,5548,0
20000803,17.888,17.934,16.672,17.123,15646,0
20000804,17.574,17.574,16.943,17.123,3440,0
20000807,16.763,17.528,16.763,17.528,5215,0
20000808,17.848,17.848,17.396,17.396,1331,0
20000809,18.476,18.928,18.027,18.747,4549,0
20000810,18.838,18.838,17.576,17.576,6990,0
20000811,17.937,17.937,17.125,17.576,2663,0
20000814,18.476,18.747,18.296,18.747,2663,0
20000815,18.838,18.838,18.027,18.568,1554,0
20000816,18.884,18.884,17.758,17.802,3106,0
20000817,17.723,18.119,17.723,18.029,887,0
20000818,18.029,18.029,17.622,17.622,1443,0
20000821,18.458,18.458,17.756,17.756,2108,0
20000822,17.573,17.843,17.302,17.302,1221,0
20000823,17.213,17.574,17.123,17.123,556,0
20000824,17.218,17.734,17.218,17.264,5435,0
20000825,17.257,17.574,17.032,17.123,1998,0
20000828,16.945,17.532,16.945,17.396,1886,0
20000829,17.393,17.484,17.123,17.123,998,0
20000830,17.488,18.209,17.127,18.209,10538,0
