Date,Open,High,Low,Close,Volume,OpenInt
20000605,28.433,28.647,25.848,25.921,4676304,0
20000606,26.364,27.052,26.085,26.476,1289893,0
20000607,26.646,26.646,25.486,25.996,721859,0
20000608,26.306,26.432,25.575,25.996,442648,0
20000609,26.269,26.284,25.493,25.493,591189,0
20000612,25.848,25.848,25.111,25.256,252130,0
20000613,25.16,25.434,24.74,24.999,276095,0
20000614,25.146,25.324,24.962,25.111,122003,0
20000615,25.111,25.331,24.312,24.408,320511,0
20000616,24.371,24.703,24.222,24.518,93567,0
20000619,24.726,25.111,24.002,24.222,180092,0
20000620,24.444,24.444,23.374,24.075,208527,0
20000621,23.448,23.669,22.931,22.967,398234,0
20000622,22.967,23.189,22.931,22.975,82869,0
20000623,22.967,23.115,22.931,22.967,212049,0
20000626,22.997,23.115,22.895,23.019,190924,0
20000627,23.019,23.079,22.931,22.953,504529,0
20000628,22.931,23.041,22.842,22.96,767355,0
20000629,23.079,23.987,22.931,23.743,404598,0
20000630,24.009,24.142,23.041,23.929,77453,0
20000703,24.016,24.075,23.633,24.002,51184,0
20000704,24.002,24.222,23.359,23.669,68380,0
20000705,23.633,23.832,23.227,23.558,75693,0
20000706,23.411,23.61,23.264,23.411,111169,0
20000710,23.706,24.2,23.411,24.024,97629,0
20000711,24.002,24.039,23.403,23.558,56601,0
20000712,23.824,24.777,23.78,24.378,158970,0
20000714,25.072,26.306,24.814,25.479,271087,0
20000717,25.996,26.697,25.589,25.848,304938,0
20000718,25.84,26.07,25.183,25.479,72037,0
20000719,25.111,25.789,24.955,25.774,71089,0
20000720,25.183,25.626,24.444,24.955,89912,0
20000721,24.527,24.925,24.002,24.556,76235,0
20000724,24.918,25.256,23.965,24.504,162625,0
20000725,24.208,24.74,24.186,24.482,39539,0
20000726,24.593,25.036,24.222,24.371,58630,0
20000727,24.518,25.479,24.297,24.556,74609,0
20000728,24.74,24.888,24.164,24.888,96816,0
20000731,24.74,25.368,24.378,24.777,96680,0
20000801,24.652,24.888,24.075,24.297,70818,0
20000802,24.149,24.186,23.633,23.743,73390,0
20000803,23.847,23.847,22.895,23.448,252265,0
20000804,23.633,23.706,23.123,23.485,97222,0
20000807,23.566,23.929,23.374,23.854,25729,0
20000808,23.706,24.186,23.633,23.633,29384,0
20000809,23.633,24.112,23.521,24.002,71630,0
