Date,Open,High,Low,Close,Volume,OpenInt
20070426,14.52,14.52,14.52,14.52,890,0
20070502,15.729,15.729,15.729,15.729,668,0
20070503,15.825,15.825,15.825,15.825,444,0
20070504,16.628,17.75,16.628,17.697,2346513,0
20070507,17.533,17.624,17.084,17.092,205199,0
20070508,17.08,17.08,16.81,17.035,687370,0
20070509,16.812,16.992,16.633,16.785,143818,0
20070510,16.67,17.165,16.67,17.102,44621,0
20070511,17.083,17.253,17.083,17.217,8008,0
20070514,17.076,17.211,17.076,17.121,15021,0
20070515,17.083,17.137,17.083,17.083,188635,0
20070516,17.483,17.483,16.944,17.438,203258,0
20070517,17.426,17.426,17.111,17.111,779,0
20070518,17.08,17.08,16.209,16.901,61292,0
20070521,16.898,17.077,16.628,16.853,4783,0
20070522,16.721,16.856,16.622,16.622,10234,0
20070523,16.539,16.539,15.55,16.44,36490,0
20070524,16.442,16.631,16.27,16.468,12570,0
20070525,16.537,16.852,15.998,16.689,38833,0
20070529,16.386,16.476,16.359,16.449,2003,0
20070530,15.791,16.537,15.791,16.266,7677,0
20070531,16.362,16.362,16.183,16.362,87757,0
20070601,16.066,16.632,16.066,16.632,77307,0
20070604,16.534,16.543,16.362,16.362,5005,0
20070605,16.528,16.528,16.186,16.266,8678,0
20070606,16.177,16.266,16.177,16.266,106596,0
20070607,16.268,16.268,16.009,16.009,17023,0
20070608,15.362,16.044,15.362,15.729,44056,0
20070611,15.323,15.475,13.733,15.269,145988,0
20070612,15.278,15.278,15.278,15.278,44618,0
20070613,15.727,15.727,14.48,15.278,38721,0
20070614,15.553,16.048,15.553,15.643,68407,0
20070615,15.354,16.108,15.281,15.461,14908,0
20070618,15.437,15.437,14.043,14.933,49719,0
20070619,15.016,15.24,14.926,15.24,10122,0
20070620,15.106,15.771,14.971,15.106,30363,0
20070621,15.017,15.017,14.567,14.837,47152,0
20070622,14.612,14.873,14.388,14.828,21909,0
20070625,14.648,14.737,14.262,14.559,11795,0
20070626,14.53,14.53,14.116,14.387,139691,0
20070627,14.432,15.071,14.432,14.837,13234,0
20070628,14.837,14.837,14.837,14.837,30360,0
20070629,14.832,15.281,14.607,15.039,23917,0
20070702,15.161,15.278,14.766,15.278,4340,0
20070703,15.459,15.818,14.866,14.866,17913,0
20070704,15.123,16.183,15.123,15.509,9008,0
20070705,16.017,16.017,14.442,15.278,26036,0
20070706,15.548,15.548,15.278,15.278,15243,0
20070709,15.018,15.278,15.018,15.278,44841,0
20070710,15.278,15.324,15.278,15.278,4562,0
20070711,15.278,15.324,15.278,15.278,102700,0
20070712,15.458,15.458,15.188,15.278,12573,0
20070713,15.281,16.036,15.281,16.036,25140,0
20070716,15.954,15.954,15.307,15.307,4895,0
20070717,15.284,15.375,14.835,15.086,17462,0
20070718,14.874,15.143,14.829,14.837,5560,0
20070719,14.829,15.07,14.388,14.693,7678,0
20070720,14.952,15.519,14.611,15.375,20464,0
20070723,15.643,17.09,15.643,16.632,74749,0
20070724,16.922,16.922,15.645,15.96,33699,0
20070725,16.233,16.449,16.162,16.449,6675,0
20070726,16.452,16.498,16.272,16.498,54725,0
20070727,16.183,16.183,15.052,16.085,16795,0
20070730,15.801,15.801,14.723,14.723,23810,0
20070731,14.832,15.615,14.787,15.615,7231,0
20070801,15.326,15.461,15.056,15.461,44388,0
20070802,15.72,15.729,15.163,15.163,16910,0
20070803,15.428,15.509,14.295,15.509,26027,0
20070806,15.689,15.733,15.464,15.643,444,0
20070807,15.689,15.689,15.239,15.509,3671,0
20070808,15.735,15.898,14.918,15.825,225984,0
20070809,15.823,16.183,15.276,15.375,80748,0
20070810,15.089,15.099,14.164,14.713,16356,0
20070813,14.655,15.195,14.387,14.52,21690,0
20070814,14.745,14.745,13.801,14.387,43709,0
20070815,14.296,14.664,13.487,14.664,114447,0
20070816,14.414,14.414,13.938,14.127,22465,0
20070817,13.704,13.993,13.21,13.704,86796,0
20070820,13.935,14.025,13.756,13.935,37263,0
20070821,14.114,14.114,13.935,13.935,6896,0
20070822,13.935,13.935,13.935,13.935,6786,0
20070823,14.172,14.172,13.319,13.57,20474,0
20070824,13.78,13.78,12.945,13.196,6787,0
20070827,13.215,13.441,12.937,12.937,3338,0
20070828,13.091,13.126,12.811,12.811,3114,0
20070829,12.627,12.627,12.196,12.448,6565,0
20070830,12.357,12.446,11.862,11.996,8791,0
20070831,12.131,12.311,11.681,11.996,94147,0
20070903,12.042,12.042,11.286,11.286,7234,0
20070904,11.111,11.237,11.022,11.229,65740,0
20070905,11.105,11.466,10.881,11.42,46595,0
20070906,11.418,11.507,11.102,11.229,4338,0
20070907,11.213,11.465,10.98,10.98,46264,0
20070910,10.92,11.036,10.784,11.036,41280,0
20070911,10.873,11.142,10.666,11.142,32495,0
20070912,10.983,11.056,10.785,11.056,5452,0
20070913,11.097,11.097,10.874,11.008,668,0
20070914,10.81,11.097,10.514,11.008,27042,0
20070917,10.766,10.972,10.72,10.72,6449,0
20070918,10.655,10.698,10.142,10.249,69404,0
20070919,10.34,10.826,10.16,10.826,112887,0
20070920,10.608,10.939,10.608,10.786,7676,0
20070921,10.801,11.979,10.801,11.862,55194,0
20070924,11.693,12.682,11.693,12.313,18804,0
20070925,12.137,12.362,11.957,12.362,56732,0
20070926,12.635,13.031,12.401,12.86,10906,0
20070927,13.033,13.033,13.015,13.033,1334,0
20070928,13.201,13.732,12.788,13.273,89965,0
20071001,13.446,13.482,13.033,13.033,4562,0
20071002,13.032,13.446,12.861,13.302,47177,0
20071003,13.086,13.302,13.086,13.302,147426,0
20071004,13.214,13.484,13.214,13.484,156074,0
20071005,13.704,13.704,12.851,12.851,4896,0
20071008,12.409,12.643,12.229,12.409,39257,0
20071009,12.221,12.526,12.221,12.418,37698,0
20071010,12.452,12.586,12.362,12.362,12459,0
20071011,12.16,12.761,12.16,12.582,77334,0
20071012,12.676,12.676,12.227,12.227,4115,0
20071015,12.376,12.492,12.134,12.313,131847,0
20071016,12.363,12.363,12.137,12.227,21356,0
20071017,12.134,12.359,12.134,12.178,31042,0
20071018,12.177,12.582,12.177,12.582,13686,0
20071019,12.49,12.581,12.401,12.562,22257,0
20071022,12.358,12.582,12.358,12.582,333,0
20071023,12.538,12.538,12.402,12.448,14353,0
20071024,12.409,12.499,12.409,12.409,8786,0
20071025,12.455,12.589,12.409,12.409,7006,0
20071026,12.41,12.517,12.41,12.418,11232,0
20071029,12.68,12.68,12.572,12.572,7234,0
20071030,12.582,12.744,12.573,12.725,8123,0
20071031,12.854,13.195,12.854,12.899,14908,0
20071101,12.811,12.811,12.794,12.811,16238,0
20071102,12.948,12.948,12.767,12.811,9232,0
20071105,12.806,12.806,12.518,12.582,6232,0
20071106,12.498,12.678,12.498,12.678,6117,0
20071107,12.582,12.672,12.133,12.582,21476,0
20071108,12.225,13.042,12.225,12.764,10013,0
20071109,13.047,13.488,12.409,12.409,65947,0
20071112,12.15,12.428,12.132,12.428,27708,0
20071113,12.452,12.452,12.137,12.362,778,0
20071114,12.222,12.582,12.133,12.582,5898,0
20071115,12.456,12.456,12.051,12.141,170691,0
20071116,12.159,12.554,12.141,12.141,9452,0
20071119,12.141,12.554,11.916,12.141,67943,0
20071120,12.141,12.546,12.076,12.141,35584,0
20071121,11.908,11.908,11.683,11.881,29486,0
20071122,12.099,12.136,11.775,11.775,2114,0
20071123,11.728,11.728,11.728,11.728,223,0
20071126,12.042,12.131,11.852,11.852,13020,0
20071127,11.684,13.033,11.684,13.033,7788,0
20071128,12.83,12.83,12.408,12.678,4114,0
20071129,12.582,12.582,12.231,12.582,5341,0
20071130,12.584,12.584,12.314,12.332,1446,0
20071203,12.503,12.503,12.045,12.045,4672,0
20071204,12.135,12.36,12.045,12.045,6120,0
20071205,12.133,12.582,12.133,12.582,12907,0
20071206,12.414,12.586,12.155,12.362,4894,0
20071207,12.493,12.493,12.178,12.178,3672,0
20071210,12.141,12.185,12.141,12.141,4559,0
20071211,12.141,12.23,11.978,12.141,66498,0
20071212,12.141,12.141,11.691,12.141,13566,0
20071213,12.135,12.584,12.045,12.045,12349,0
20071214,12.184,12.184,11.699,11.699,10454,0
20071217,11.686,11.785,11.507,11.507,22915,0
20071218,11.516,11.686,11.507,11.507,6674,0
20071219,11.303,11.689,10.951,10.97,52716,0
20071220,11.445,11.643,11.211,11.238,7786,0
20071221,11.24,11.419,11.213,11.411,3113,0
20071227,11.614,11.91,11.066,11.91,7008,0
20071228,11.505,12.575,11.505,12.045,37605,0
20080102,11.887,11.914,11.654,11.689,19018,0
20080103,11.689,11.689,11.689,11.689,22688,0
20080104,11.595,11.684,11.28,11.334,42501,0
20080107,11.231,11.376,10.998,10.998,3339,0
20080108,11.055,11.325,10.965,11.325,5787,0
20080109,10.801,11.179,10.801,11.008,8235,0
20080110,10.875,11.028,10.264,10.47,76552,0
20080111,10.214,10.214,9.827,9.827,5227,0
20080114,9.683,9.826,9.53,9.664,7007,0
20080115,9.3068,9.513,9.055,9.4141,32917,0
20080116,9.345,9.596,9.1652,9.1652,15914,0
20080117,9.0363,9.2525,8.9913,9.1172,9454,0
20080118,8.9939,9.506,8.9939,9.4439,30577,0
20080121,9.43,9.4835,9.2593,9.3763,7564,0
20080122,9.3881,9.3881,8.6411,9.1268,24356,0
20080123,9.2593,10.339,9.2593,9.654,48946,0
20080124,9.89,10.357,9.89,10.249,41820,0
20080125,10.448,10.448,9.981,9.981,45487,0
20080128,10.112,10.337,10.112,10.337,12794,0
20080129,10.638,11.142,10.441,10.855,19142,0
20080130,10.978,11.327,10.653,10.94,8232,0
20080131,11.096,11.527,11.096,11.411,16904,0
20080201,11.419,11.419,11.249,11.411,12566,0
20080204,11.418,11.418,11.077,11.238,13793,0
20080205,11.238,11.238,11.022,11.238,8008,0
20080206,11.241,11.42,11.241,11.42,6116,0
20080207,11.412,11.412,11.142,11.142,6009,0
20080208,11.017,11.017,10.801,10.874,9904,0
20080211,10.88,10.88,10.611,10.7,10565,0
20080212,10.785,10.912,10.695,10.912,9123,0
20080213,10.879,10.97,10.879,10.97,4560,0
20080214,11.178,11.178,10.97,10.97,6006,0
20080215,10.97,10.97,10.942,10.97,4671,0
20080218,10.963,10.963,10.388,10.72,14468,0
20080219,10.725,10.786,10.365,10.509,5450,0
20080220,10.558,10.874,10.326,10.874,10794,0
20080221,10.79,10.872,10.629,10.7,7229,0
20080222,10.761,10.877,10.562,10.653,129259,0
20080225,10.853,10.97,10.835,10.97,4004,0
20080226,10.967,10.967,10.453,10.786,21804,0
