Date,Open,High,Low,Close,Volume,OpenInt
20000114,26.477,27.256,26.477,27.256,4238,0
20000117,27.255,27.411,26.477,26.865,2183,0
20000118,26.873,27.262,26.133,26.133,10399,0
20000119,26.865,26.865,26.086,26.476,2569,0
20000120,26.015,26.481,25.781,25.781,2054,0
20000121,26.477,27.256,25.776,27.256,13869,0
20000124,28.039,30.765,28.039,29.597,12711,0
20000125,29.984,30.374,26.947,27.57,13482,0
20000126,29.522,30.293,28.821,29.055,9499,0
20000127,28.424,28.579,27.022,27.256,13869,0
20000128,26.873,27.262,26.483,26.561,2568,0
20000131,26.477,27.567,26.477,27.256,11300,0
20000201,28.27,28.27,27.647,28.036,1798,0
20000202,28.425,28.425,27.257,27.646,13997,0
20000203,28.035,28.035,27.257,27.646,2826,0
20000204,28.041,29.21,28.041,28.664,7575,0
20000207,28.429,29.441,28.429,28.74,4365,0
20000209,28.04,28.04,27.26,27.884,9116,0
20000210,28.311,29.207,27.649,29.207,19902,0
20000211,29.209,31.935,28.897,30.377,47630,0
20000214,30.377,30.689,30.377,30.377,514,0
20000215,30.137,32.318,30.137,31.928,14767,0
20000216,32.711,34.269,32.322,33.023,14638,0
20000217,33.878,34.267,32.709,33.099,13097,0
20000218,33.49,35.04,32.712,34.27,15921,0
20000221,33.768,36.604,33.768,35.24,20673,0
20000222,35.822,37.224,34.694,34.888,21444,0
20000223,35.042,36.6,35.042,35.821,13870,0
20000224,36.607,36.607,35.05,35.05,9372,0
20000225,35.437,35.437,33.49,33.49,6035,0
20000228,33.876,34.266,32.319,32.319,4751,0
20000229,32.793,32.793,30.767,30.767,7318,0
20000301,31.539,31.927,30.759,31.539,5394,0
20000302,31.543,33.879,31.31,33.879,10657,0
20000303,33.104,33.493,31.935,32.48,6419,0
20000306,31.929,32.319,31.151,32.319,10658,0
20000307,31.934,31.934,31.186,31.186,3723,0
20000308,31.186,31.186,29.986,30.025,4493,0
20000309,30.377,30.377,28.041,29.521,16691,0
20000310,29.362,29.595,28.816,28.816,2183,0
20000314,28.427,28.816,28.116,28.816,1412,0
20000315,28.813,28.813,28.112,28.112,899,0
20000316,29.123,29.513,28.189,28.189,2311,0
20000317,29.596,30.375,29.207,29.207,2569,0
20000320,29.669,31.617,29.669,31.539,7577,0
20000321,30.76,32.318,30.76,31.928,8731,0
20000322,31.623,31.623,29.987,29.987,5521,0
20000323,30.377,30.377,28.82,29.521,5906,0
20000324,29.909,29.909,28.818,29.597,7318,0
20000327,29.908,29.986,29.207,29.207,642,0
20000328,29.595,29.985,28.816,28.816,10400,0
20000329,28.813,28.813,27.645,28.026,5778,0
20000330,27.597,27.799,26.086,26.476,10531,0
20000331,26.088,26.633,26.088,26.4,6292,0
20000403,26.828,26.828,25.699,25.933,4238,0
20000404,25.703,25.703,24.924,24.924,2311,0
20000405,25.308,26.476,24.918,26.476,12071,0
20000406,27.261,27.417,27.261,27.417,1027,0
20000407,27.254,27.254,26.476,26.476,1798,0
20000410,27.255,27.255,26.865,26.865,1541,0
20000411,26.485,27.256,26.485,27.256,257,0
20000412,26.87,27.104,26.87,27.104,128,0
20000413,27.254,27.254,26.476,26.476,1927,0
20000414,26.476,27.254,26.476,26.476,128,0
20000417,26.477,27.256,26.477,27.256,12199,0
20000418,27.259,29.595,27.259,28.816,22342,0
20000419,29.594,29.594,28.037,28.426,7961,0
20000420,28.035,28.035,26.866,27.256,6935,0
20000425,27.256,27.256,26.477,27.256,5778,0
20000426,27.646,27.646,26.4,26.789,6036,0
20000427,26.52,28.195,26.52,27.493,32098,0
20000428,27.957,27.996,25.698,25.885,15666,0
20000502,28.819,29.201,26.086,26.476,11429,0
20000503,26.787,26.865,25.697,26.865,7577,0
20000504,26.865,27.255,26.554,26.865,8475,0
20000505,26.68,27.646,26.68,27.646,2697,0
20000508,27.802,27.802,27.257,27.646,257,0
20000510,26.87,27.104,26.558,27.104,2183,0
20000511,27.255,27.255,26.087,26.865,7962,0
20000515,26.476,26.476,26.476,26.476,514,0
20000516,26.477,26.477,26.4,26.4,514,0
20000517,26.478,28.815,26.323,28.036,11043,0
20000518,28.275,28.322,26.873,28.236,5264,0
20000519,27.493,28.038,27.104,27.104,7576,0
20000522,26.865,26.865,26.865,26.865,514,0
20000523,27.411,27.411,26.865,26.865,1027,0
20000524,26.483,26.483,25.627,25.705,10014,0
20000525,26.09,26.712,26.09,26.324,7448,0
20000526,26.476,26.787,25.696,26.476,10787,0
20000530,27.256,27.256,27.256,27.256,642,0
20000531,27.647,27.647,27.259,27.57,1157,0
20000601,27.646,27.646,27.529,27.646,257,0
20000602,27.26,27.648,26.87,27.531,1155,0
20000605,27.644,27.722,27.644,27.722,899,0
20000606,27.88,27.88,27.264,27.646,770,0
20000607,27.26,27.884,27.26,27.884,1669,0
20000608,27.099,27.255,26.865,26.865,1157,0
20000609,26.476,26.476,26.476,26.476,514,0
20000612,26.48,26.675,26.48,26.675,128,0
20000613,26.476,26.476,26.476,26.476,770,0
20000615,26.095,26.874,26.095,26.095,1797,0
20000616,26.324,26.324,26.324,26.324,642,0
20000619,26.868,26.868,26.324,26.324,770,0
20000620,26.095,26.095,26.095,26.095,3209,0
20000621,26.248,26.248,26.248,26.248,1669,0
20000622,26.286,26.286,26.286,26.286,257,0
20000623,26.087,26.321,26.009,26.009,642,0
20000626,25.705,25.705,25.705,25.705,385,0
20000627,25.699,25.699,25.077,25.077,2311,0
20000628,25.308,27.254,24.84,26.476,9503,0
20000629,26.477,26.477,26.009,26.009,3081,0
20000630,26.017,26.095,25.705,26.095,1669,0
20000703,26.017,26.327,25.705,25.705,1412,0
20000704,25.705,25.705,25.705,25.705,1027,0
20000705,25.705,25.705,25.705,25.705,514,0
20000706,25.705,26.095,25.705,26.095,514,0
20000710,26.086,26.476,26.086,26.476,1285,0
20000712,25.933,25.933,25.933,25.933,1798,0
20000714,27.1,27.412,27.1,27.256,6935,0
20000717,27.098,27.254,26.476,26.476,1927,0
20000718,26.479,26.556,26.324,26.324,642,0
20000719,26.796,26.796,26.095,26.095,2054,0
20000721,25.709,25.709,25.001,25.001,2054,0
20000724,25.705,25.705,25.705,25.705,128,0
20000725,24.932,25.314,24.769,25.314,4108,0
20000726,25.703,25.703,24.924,24.924,2054,0
20000728,24.925,25.158,24.925,25.143,514,0
20000731,25.142,25.313,24.924,24.924,642,0
20000801,25.588,25.588,24.848,24.848,1541,0
20000802,24.533,24.533,24.144,24.144,1926,0
20000803,24.139,24.139,21.491,21.803,12843,0
20000804,21.809,23.835,21.77,23.211,14251,0
20000807,23.368,23.601,22.979,23.601,2696,0
20000809,23.362,23.362,22.583,22.583,5008,0
20000810,22.971,22.971,22.581,22.659,2439,0
20000811,22.584,22.973,22.584,22.973,770,0
20000814,22.973,23.051,22.973,22.973,257,0
20000815,22.973,22.973,22.583,22.583,128,0
20000816,22.583,22.583,22.583,22.583,257,0
20000818,22.973,23.401,22.973,22.973,39294,0
20000821,22.973,23.362,22.583,22.583,4623,0
20000822,22.583,22.973,22.583,22.583,4109,0
20000823,22.349,22.387,22.193,22.193,4624,0
20000824,22.196,22.196,22.041,22.041,1669,0
20000825,21.881,21.881,21.803,21.803,386,0
20000828,21.803,21.803,21.803,21.803,770,0
20000829,21.803,22.27,21.569,21.803,5008,0
20000830,21.578,21.812,21.422,21.422,1155,0
20000831,21.416,21.805,21.26,21.26,4238,0
20000901,21.422,21.656,21.422,21.422,1284,0
20000904,21.226,21.421,21.031,21.031,2311,0
20000905,21.418,23.365,21.184,22.517,46094,0
20000906,22.588,25.314,22.198,25.314,106560,0
20000907,25.041,25.391,24.535,24.924,15920,0
20000908,24.924,25.703,24.924,24.924,9500,0
20000911,24.926,25.705,24.926,25.705,3209,0
20000912,24.924,24.924,24.301,24.924,10014,0
20000914,24.143,24.143,23.754,23.754,4880,0
20000915,23.754,24.065,23.754,23.754,1412,0
20000918,23.368,24.147,23.368,23.992,5905,0
20000919,23.911,24.924,23.443,24.534,5649,0
20000920,24.142,24.22,24.142,24.22,257,0
20000921,24.144,24.377,23.754,24.144,1926,0
20000922,24.146,25.705,24.146,25.705,2054,0
20000925,25.7,25.7,24.61,24.61,7191,0
20000926,24.533,24.533,24.144,24.144,1412,0
20000927,24.144,24.144,24.144,24.144,1926,0
20000928,24.923,25.701,24.144,24.144,10271,0
20000929,24.918,24.918,24.762,24.762,128,0
20001002,24.141,25.697,23.362,25.153,22345,0
20001004,24.92,24.92,24.686,24.686,4109,0
20001005,24.924,24.924,24.534,24.534,385,0
20001006,24.534,24.534,24.534,24.534,770,0
20001009,24.924,24.924,24.924,24.924,6805,0
20001010,24.923,24.923,24.144,24.144,2569,0
20001011,24.143,24.143,23.754,23.754,2183,0
20001012,23.438,23.438,21.803,21.803,10917,0
20001013,21.805,22.973,21.805,22.973,12841,0
20001016,22.973,22.973,22.973,22.973,257,0
20001017,23.088,23.088,23.088,23.088,386,0
20001018,22.582,22.894,22.193,22.193,2826,0
