Date,Open,High,Low,Close,Volume,OpenInt
20151008,9.562,9.562,8.8267,9.0719,296898,0
20151009,8.7287,9.7,8.5992,9.4544,238393,0
20151012,9.219,9.219,8.9748,9.1327,78832,0
20151013,9.1161,9.2897,9.0033,9.2573,59311,0
20151014,9.2181,9.2181,8.8267,8.8875,71107,0
20151015,9.0709,9.0709,8.8385,9.0709,60700,0
20151016,8.8571,8.9739,8.7699,8.8944,64563,0
20151019,8.8954,9.0013,8.8287,8.8287,50532,0
20151020,8.8993,8.9248,8.8267,8.8758,47996,0
20151021,8.8277,8.9719,8.8267,8.9582,92143,0
20151022,8.7885,8.8258,8.3854,8.7973,85465,0
20151023,8.7699,8.7777,7.9647,8.4335,77627,0
20151026,8.2373,8.4894,8.1402,8.1893,93905,0
20151027,8.101,8.1402,7.8332,8.0127,228955,0
20151028,7.848,8.0421,7.846,8.0421,118879,0
20151029,7.895,8.9042,7.846,8.7777,209978,0
20151030,8.8169,9.0719,8.7267,9.0719,168733,0
20151102,9.0719,9.66,9.0719,9.562,101423,0
20151103,9.562,9.582,9.4642,9.582,47752,0
20151104,9.4152,9.611,9.4152,9.562,19407,0
20151105,9.514,9.61,9.513,9.591,28351,0
20151106,9.513,9.61,9.513,9.572,14687,0
20151109,9.611,9.631,9.3171,9.3171,45085,0
20151110,9.2583,9.4142,8.9356,9.1867,24270,0
20151111,9.0857,9.222,8.9739,9.0827,14459,0
20151112,9.12,9.2151,9.12,9.2151,15053,0
20151113,9.121,9.2092,9.0229,9.2092,5595,0
20151116,9.121,9.219,8.9739,8.9739,15807,0
20151117,9.0621,9.4181,9.0621,9.4044,38102,0
20151118,9.3161,9.4544,9.1396,9.2965,78156,0
20151119,9.1729,9.3073,9.121,9.1396,40835,0
20151120,9.2465,9.3073,8.9837,9.169,26480,0
20151123,8.9748,9.0219,8.9739,8.9739,6268,0
20151124,8.9739,9.2975,8.9081,9.121,42795,0
20151125,9.0425,9.121,8.8758,9.0719,31856,0
20151126,8.9248,9.121,8.8267,9.0719,26348,0
20151127,9.0494,9.3181,8.8885,9.1337,86425,0
20151130,9.3073,9.3073,9.1308,9.1308,16475,0
20151201,9.3014,9.562,9.219,9.219,122840,0
