Date,Open,High,Low,Close,Volume,OpenInt
19910405,27.21,27.477,27.187,27.365,331653,0
19910408,27.21,27.332,27.21,27.234,223090,0
19910409,27.389,27.412,26.929,26.97,247187,0
19910410,26.768,26.848,26.584,26.768,241100,0
19910411,26.728,26.889,26.486,26.768,355750,0
19910412,26.808,26.97,26.64,26.728,271285,0
19910415,27.009,27.694,26.954,27.573,458228,0
19910416,27.653,27.775,27.412,27.573,524559,0
19910417,27.959,28.499,27.911,28.499,850249,0
19910418,28.54,28.54,27.911,28.015,289421,0
19910419,27.896,27.936,27.694,27.775,458228,0
19910422,27.389,27.613,27.373,27.412,415995,0
19910423,27.453,28.216,27.453,28.169,566791,0
19910424,28.137,28.362,27.976,28.16,452265,0
19910425,28.257,28.685,28.257,28.339,747647,0
19910426,28.362,28.659,28.298,28.394,301469,0
19910429,28.62,28.7,28.379,28.499,319480,0
19910430,28.283,28.379,28.015,28.339,343701,0
19910502,28.419,28.484,28.322,28.419,349665,0
19910503,28.379,28.459,28.137,28.177,313517,0
19910506,28.097,28.137,28.015,28.056,192905,0
19910507,28.216,28.216,28.015,28.041,144709,0
19910508,27.936,27.936,27.735,27.775,307431,0
19910510,28.041,28.041,27.976,28.015,114525,0
19910513,27.775,28.041,27.775,28.041,174769,0
19910514,27.992,28.137,27.613,27.613,512509,0
19910515,27.613,27.992,27.534,27.936,596974,0
19910516,27.855,28.283,27.855,28.113,657217,0
19910517,28.153,28.177,27.976,28.041,548656,0
19910521,28.177,28.499,28.137,28.459,542693,0
19910522,28.579,28.902,28.379,28.7,717588,0
19910523,28.822,28.886,28.644,28.822,337615,0
19910524,28.781,29.184,28.765,29.184,247187,0
19910527,29.103,29.466,29.103,29.344,132662,0
19910528,29.545,29.626,29.103,29.585,464313,0
19910529,29.707,29.828,29.57,29.602,452265,0
19910531,29.804,30.633,29.787,30.431,675355,0
19910603,30.455,30.592,30.19,30.23,355750,0
19910604,30.174,30.271,30.092,30.11,373761,0
19910605,30.23,30.841,30.23,30.778,482324,0
19910606,30.794,31.197,30.495,30.592,542693,0
19910607,30.592,30.874,30.592,30.673,422080,0
19910610,30.472,30.778,30.375,30.754,307431,0
19910611,30.954,31.1,30.728,31.1,596974,0
19910612,31.075,31.075,30.552,30.552,512509,0
19910613,30.609,30.778,30.576,30.778,373761,0
19910614,30.874,31.156,30.834,31.075,325566,0
19910617,31.116,31.615,31.116,31.333,506422,0
19910618,31.477,31.719,31.237,31.678,596974,0
19910619,31.398,31.518,31.237,31.237,530643,0
19910620,31.316,31.615,31.316,31.477,699450,0
19910621,31.678,32.219,31.678,32.082,844161,0
19910624,32.002,32.082,31.559,31.639,572753,0
19910625,31.559,32.041,31.503,31.92,898443,0
19910626,32.002,32.275,30.874,30.874,976823,0
19910627,30.914,31.075,30.552,30.713,639083,0
19910628,30.673,30.673,30.053,30.19,554742,0
19910701,30.31,30.375,30.19,30.31,434130,0
19910702,30.391,30.391,29.908,30.11,440092,0
19910703,30.092,30.375,29.988,30.11,609023,0
19910704,30.19,30.552,30.15,30.271,391897,0
19910705,30.23,30.271,30.092,30.15,307431,0
19910708,29.924,30.004,29.852,29.988,331653,0
19910709,30.15,30.327,30.11,30.271,325566,0
19910710,30.375,30.431,30.222,30.319,373761,0
19910711,30.23,30.351,30.126,30.271,446178,0
19910712,30.375,30.472,30.31,30.351,500461,0
19910715,30.472,30.527,30.375,30.455,229051,0
19910716,30.431,30.455,30.271,30.271,198993,0
19910717,30.294,30.294,30.028,30.15,434130,0
19910718,30.028,30.028,29.924,29.988,391897,0
19910719,30.126,30.15,30.036,30.069,373761,0
19910722,30.028,30.15,29.924,30.11,192905,0
19910723,30.15,30.254,30.11,30.15,259236,0
19910724,30.126,30.126,29.868,29.908,265323,0
19910725,29.947,29.947,29.787,29.804,319480,0
19910726,29.828,29.852,29.506,29.506,482324,0
19910729,29.466,29.466,29.265,29.425,283333,0
19910730,29.522,29.585,29.449,29.489,385810,0
19910731,29.585,29.602,29.401,29.401,645170,0
19910801,29.489,29.57,29.248,29.304,506422,0
19910802,29.248,29.304,29.087,29.248,410033,0
19910805,29.265,29.466,29.224,29.425,367800,0
19910806,29.344,29.489,29.2,29.248,337615,0
19910807,29.385,29.65,29.175,29.585,530643,0
19910808,29.585,29.772,29.506,29.667,584926,0
19910809,29.602,30.028,29.602,29.972,621072,0
19910812,29.828,29.947,29.787,29.852,361713,0
19910813,29.972,30.343,29.972,30.294,1085387,0
19910814,30.407,30.431,30.23,30.23,434130,0
19910815,30.271,30.31,30.126,30.174,229051,0
19910816,30.174,30.23,30.11,30.206,265323,0
19910819,28.781,28.982,27.758,27.976,1025017,0
19910820,28.298,28.394,28.113,28.298,729636,0
19910821,28.484,29.747,28.459,29.626,1157679,0
19910822,29.868,30.077,29.868,29.997,687402,0
19910823,29.891,30.19,29.868,30.19,476363,0
19910826,30.19,30.552,30.15,30.375,482324,0
19910827,30.351,30.609,30.174,30.19,596974,0
19910828,30.254,30.455,30.23,30.431,385810,0
19910829,30.527,30.713,30.52,30.52,470275,0
19910830,30.592,30.592,30.375,30.391,180857,0
19910902,30.472,30.585,30.455,30.495,295382,0
19910903,30.511,30.592,30.511,30.511,361713,0
19910904,30.431,30.472,30.271,30.271,174769,0
19910905,30.19,30.294,30.134,30.271,186818,0
19910906,30.271,30.271,30.117,30.206,253149,0
19910909,30.19,30.23,30.036,30.053,174769,0
19910910,29.988,30.004,29.828,29.891,289421,0
19910911,29.852,30.053,29.852,29.908,253149,0
