Date,Open,High,Low,Close,Volume,OpenInt
20000103,14.623,14.813,14.079,14.249,4264,0
20000104,13.767,13.767,13.428,13.428,1323,0
20000105,12.925,13.334,12.925,13.334,2646,0
20000107,13.192,13.192,13.192,13.192,736,0
20000110,13.4,13.4,13.4,13.4,147,0
20000111,13.19,13.706,13.19,13.598,2059,0
20000113,13.943,13.943,13.909,13.909,1323,0
20000114,13.767,13.937,13.496,13.937,1471,0
20000117,13.741,13.741,13.197,13.334,4850,0
20000118,13.683,13.683,13.683,13.683,736,0
20000119,14.119,14.758,14.01,14.758,6763,0
20000120,14.796,15.102,14.626,14.626,2498,0
20000121,14.277,14.454,13.937,13.937,4560,0
20000124,13.769,13.769,13.259,13.749,2794,0
20000125,13.598,13.598,13.598,13.598,736,0
20000126,13.598,13.598,13.598,13.598,1618,0
20000127,13.6,13.6,13.532,13.532,441,0
20000128,13.465,14.172,13.465,14.145,6764,0
20000131,13.398,13.894,13.398,13.466,441,0
20000201,13.394,13.598,13.394,13.598,882,0
20000202,13.409,13.409,13.409,13.409,147,0
20000203,13.265,13.598,13.265,13.598,147,0
20000204,13.598,13.598,13.598,13.598,295,0
20000207,13.674,14.967,13.674,14.626,6321,0
20000208,14.959,18.759,14.959,18.759,16766,0
20000209,18.702,20.403,18.702,19.043,11175,0
20000210,18.358,18.684,18.017,18.222,6030,0
20000211,18.974,24.822,18.974,24.006,24115,0
20000214,23.494,23.494,19.38,21.76,8383,0
20000215,23.123,23.123,21.015,21.015,1029,0
20000216,20.741,20.741,20.741,20.741,736,0
20000217,20.74,23.733,20.74,23.733,13824,0
20000218,23.119,23.119,22.1,22.439,3235,0
20000221,22.779,23.894,22.439,23.118,11029,0
20000222,23.473,25.507,23.473,25.167,18231,0
20000223,25.676,25.676,24.479,25.091,5147,0
20000224,25.506,25.683,24.826,25.506,3234,0
20000225,24.962,25.506,24.962,25.506,2498,0
20000228,25.497,25.497,22.098,22.166,6030,0
20000229,23.118,23.799,22.915,23.289,5589,0
20000301,24.017,27.819,24.017,27.139,5587,0
20000302,27.816,31.033,27.816,29.272,14409,0
20000303,28.291,30.262,28.291,29.923,5294,0
20000306,29.926,30.266,29.245,29.715,3529,0
20000307,29.244,29.924,28.903,29.244,1323,0
20000308,29.243,29.378,25.299,26.856,10881,0
20000309,27.134,27.134,25.094,25.562,6176,0
20000310,25.299,25.829,25.299,25.299,1323,0
20000313,25.561,26.648,25.561,26.648,1765,0
20000314,26.371,26.371,25.297,25.827,2941,0
20000315,25.847,25.847,24.568,24.827,2941,0
20000316,24.57,25.025,24.57,25.025,589,0
20000317,25.283,25.283,24.903,24.903,589,0
20000320,25.165,25.165,24.138,24.138,4705,0
20000321,23.8,23.867,21.76,22.1,5147,0
20000322,22.439,22.908,22.439,22.779,1912,0
20000323,21.764,23.267,21.764,22.845,2941,0
20000324,23.275,24.131,22.289,23.629,2793,0
20000327,23.806,23.806,23.201,23.534,1323,0
20000329,23.099,23.201,22.677,22.779,2207,0
20000330,22.372,22.372,20.543,20.543,4410,0
20000331,20.401,21.122,20.401,21.081,736,0
20000403,21.467,21.862,21.08,21.467,2353,0
20000404,21.51,21.51,20.741,20.741,1029,0
20000405,20.675,21.049,17.683,18.363,1323,0
