Date,Open,High,Low,Close,Volume,OpenInt
20160718,75.66,76.82,75.51,76.35,86449,0
20160719,76.44,76.54,74,75.4,112639,0
20160720,75.59,76.92,74.85,75.1,174113,0
20160721,75.69,75.76,73.31,73.93,277191,0
20160722,73.65,74.15,73.14,73.2,128190,0
20160725,73.49,74.07,71.31,73.71,80666,0
20160726,73.14,74.01,72.83,73.47,85384,0
20160727,74.85,74.85,73.51,74.69,182799,0
20160728,73.7,75.97,73.7,75,352649,0
20160729,75.11,75.34,74.33,74.8,265248,0
20160801,76.92,76.92,74.53,75,227950,0
20160802,75.33,75.33,74.16,74.16,229012,0
20160803,74.52,74.57,73.83,74.15,228049,0
20160804,74.55,74.55,73.73,73.9,185256,0
20160805,74,74.32,73.4,74.25,170719,0
20160808,74.4,74.5,73.87,74.26,122109,0
20160809,74.07,75.75,74,75.68,367837,0
20160810,76,76,74.99,75.65,334216,0
20160811,75.96,76,75.4,76,185652,0
20160812,75.7,75.88,75.33,75.75,317449,0
20160815,75.99,76.43,75.4,76.43,249203,0
20160816,75.88,76.99,75.61,76.84,260823,0
20160817,76.98,77.69,76.41,77.29,187382,0
20160818,78,80.56,77,80.16,479581,0
20160819,79.83,80.38,77.7,80.08,369025,0
20160822,79.98,80.56,76.73,77.89,190809,0
20160823,78.5,79.07,77.6,78.6,171777,0
20160824,78.47,79.9,77.02,77.76,215449,0
20160825,77.18,77.63,76.42,76.67,217501,0
20160826,76.44,76.92,75.1,76.25,170130,0
20160829,75.48,77.46,75.37,77.09,185925,0
20160830,77.7,78,76.35,76.7,175909,0
20160831,76.75,76.99,75.54,76.6,401602,0
20160901,77,77.01,75.47,75.78,202914,0
20160902,76.15,76.78,75.72,76.34,227080,0
20160905,76.9,77,76.33,76.65,134565,0
20160906,76.79,76.81,75.61,76.35,197515,0
20160907,76.63,77.25,74.87,75.26,374802,0
20160908,75.62,75.8,74.2,74.91,278820,0
20160909,74.85,75.29,74,74.09,408208,0
20160912,73.23,74.29,72.5,72.85,310732,0
20160913,72.94,73.78,72.61,73.7,303572,0
20160914,74,74.74,73.42,73.57,629048,0
20160915,73.61,74.11,72.52,73.9,468465,0
20160916,73.98,74.42,72.96,73.4,1672987,0
20160919,73.73,73.92,73.25,73.8,332202,0
20160920,73.78,75.7,73.7,75.47,359673,0
20160921,75.93,77.08,75.51,75.55,345970,0
20160922,76.03,76.73,75.7,76.52,323136,0
20160923,76.18,76.45,75.14,75.14,289589,0
20160926,74.49,74.92,72.9,73.13,389725,0
20160927,73.5,73.75,71.6,72.51,380539,0
20160928,73.01,73.8,71.96,72.4,225415,0
20160929,73.55,73.97,72.09,72.24,262915,0
20160930,71.18,72.15,70.25,72.15,609941,0
20161004,72.15,73.67,71.5,72.8,598469,0
20161005,71.94,72.54,71.55,72.25,226086,0
20161006,72.64,72.84,71.8,72.75,264097,0
20161007,72.49,72.71,70.94,70.94,332931,0
20161010,70.59,71.7,70.3,71.33,202238,0
20161011,71.33,71.81,71.1,71.19,252345,0
20161012,71.08,71.28,70.26,70.45,252219,0
20161013,70.34,70.37,69.2,70.06,276341,0
20161014,70.42,71.25,70.42,71,218576,0
20161017,70.62,71.41,69.52,69.61,319891,0
20161018,69.8,70.69,69.5,69.62,364506,0
20161019,69.72,70.05,69.24,69.88,259835,0
20161020,69.9,69.91,69.15,69.51,286644,0
20161021,69.71,69.75,69.16,69.5,222942,0
20161024,69.58,70.38,69.58,70.18,232795,0
20161025,70.37,70.6,69.9,70.13,275555,0
20161026,70.13,70.35,69.16,69.52,213345,0
20161027,69.5,70.5,69.18,70,207683,0
20161028,69.49,70.65,69.15,70.55,232402,0
20161031,70.09,70.88,69.26,70.88,387966,0
20161101,71,71.06,69.78,69.87,254483,0
20161102,69.4,69.62,68.92,69.15,256272,0
20161103,69.17,69.17,67.72,68.16,438092,0
20161104,67.93,68.35,67.35,67.54,294142,0
20161107,69.5,70.3,69.1,70.05,348160,0
20161108,69.88,70.09,68.88,69.26,239644,0
20161109,67.5,72.63,67.19,72.58,765307,0
20161110,72.79,77.26,72.22,76.16,965351,0
20161111,76.25,76.25,75.38,75.92,413802,0
20161114,76.5,77.05,76.1,76.42,332737,0
20161115,76.47,76.97,75.92,76.43,289292,0
20161116,76.93,77.49,76.35,76.6,352298,0
20161117,76.3,76.59,75.48,76.36,244880,0
20161118,76.77,77.22,76.43,76.52,307374,0
20161121,76.17,76.78,75.24,75.84,342418,0
20161122,76.5,76.76,75.84,76.14,264002,0
20161123,76.06,76.21,75.63,75.9,197090,0
20161124,75.91,76.07,75.2,75.5,164514,0
20161125,75.21,75.89,75,75.6,202386,0
20161128,75.1,75.56,74.87,75.12,274149,0
20161129,75.01,75.83,74.65,75.63,311100,0
20161130,75.29,76.69,75.29,76.25,457204,0
20161201,75.66,75.94,73.9,74.36,437420,0
20161202,73.8,74.82,73.66,74.66,386068,0
20161205,74.37,76.03,73.28,73.75,396309,0
20161206,73.23,74.01,72.66,73.63,336196,0
20161207,74.5,75.24,73.94,75.24,343518,0
20161208,75.78,76.76,75.18,76.76,399776,0
20161209,76.34,77.31,75.84,77.14,310722,0
20161212,77.22,78.3,76.49,78.21,290324,0
20161213,77.89,78.98,77.57,78.36,257304,0
20161214,78.31,78.84,76.75,77.15,283708,0
20161215,77.23,79.74,76.56,79.3,500623,0
20161216,78.69,80.37,78.19,79.63,548321,0
20161219,79.63,79.88,78.54,79.21,240701,0
20161220,79.34,80.16,78.5,80.16,339420,0
20161221,79.67,80,78.61,79.01,342360,0
20161222,78.55,78.81,78.12,78.13,410428,0
20161223,78.53,78.68,77.76,78.34,201364,0
20161227,78.7,78.71,77.89,78.07,113789,0
20161228,77.92,78.08,77.6,77.6,169003,0
20161229,77.25,78.07,77.25,77.7,127823,0
20161230,77.78,78,77.53,77.54,142356,0
20170102,78.31,79.35,77.57,79.09,140311,0
20170103,79.22,79.9,78.75,78.99,318474,0
20170104,78.73,78.96,78.06,78.06,365357,0
20170105,76.56,77.81,75.95,77.74,547321,0
20170106,77.31,77.94,77.3,77.49,208699,0
20170109,77.5,78.77,77.37,77.95,268079,0
20170110,77.78,78.53,77.44,78.3,235866,0
20170111,78,79,77.81,78.7,233287,0
20170112,78.59,78.82,78.07,78.35,302155,0
20170113,78.35,78.68,78.24,78.36,235546,0
20170116,77.97,78.59,77.65,78.08,133835,0
20170117,78.03,78.49,77.4,77.99,346287,0
20170118,77.96,78.49,77.88,78.05,294528,0
20170119,78,78.42,77.92,78.34,254641,0
20170120,78.2,78.35,76.7,78.31,518351,0
20170123,77.55,80.23,77.2,80.06,327610,0
20170124,80.5,80.93,80.03,80.74,401870,0
20170125,81.36,82.72,81.23,82.25,528700,0
20170126,82.65,84.23,82.6,83.35,341874,0
20170127,83.41,84.88,83.05,83.85,363368,0
20170130,83.5,84.5,82.52,83.84,281308,0
20170131,84.48,86.19,84.48,85.24,481048,0
20170201,83.67,86.52,83.3,85.65,426265,0
20170202,85.76,85.76,83.94,84.42,420063,0
20170203,84.5,85.55,83.85,84.31,315743,0
20170206,83.67,84.74,83.26,83.5,483795,0
20170207,83.66,83.87,82.36,82.36,511512,0
20170208,82.27,82.27,80.29,81.5,536142,0
20170209,81.79,83,81.65,82.58,480647,0
20170210,83.23,83.35,82.64,82.88,253156,0
20170213,83.26,83.7,83,83.51,215528,0
20170214,83.33,83.76,82.91,83.04,240493,0
20170215,83.04,84.25,82.5,82.81,181553,0
20170216,83.33,83.95,82.79,83.44,316252,0
20170217,83.32,83.67,82.23,83.28,289268,0
20170220,83.53,84.66,83.52,84.4,163684,0
20170221,84,84.73,83.83,84.08,402522,0
20170222,84.48,84.84,83.63,83.83,337988,0
20170223,83.98,84.65,83.64,83.94,339824,0
20170224,83.88,84.95,83.19,83.94,474523,0
20170227,82,82.11,79.51,80.76,826644,0
20170228,80.67,82.34,80.67,80.9,431038,0
20170301,81.49,82.05,80.97,81.94,356811,0
20170302,81.98,82.23,81.63,81.88,280199,0
20170303,81.17,81.74,79.91,80.03,330607,0
20170306,79.78,80,78.81,79.8,337247,0
20170307,79.53,79.92,78.01,78.68,400075,0
20170308,78.03,78.86,77.54,78.47,351332,0
20170309,78.23,79.19,78.05,79.04,248128,0
20170310,79.31,80.25,78.85,80.08,304932,0
20170313,79.94,80.18,79.48,79.52,257730,0
20170314,79.33,80.7,78.82,80.46,225910,0
20170315,80.34,80.81,79.32,80.64,201654,0
20170316,81.92,82,80.14,80.14,380182,0
20170317,80.06,81.42,79.7,81.42,536362,0
20170320,81.25,81.99,80.89,81.87,274468,0
20170321,81.77,82.37,81.11,81.86,333519,0
20170322,81.63,81.65,79.2,79.49,430196,0
20170323,79.76,81.6,79.38,81.54,234105,0
