Date,Open,High,Low,Close,Volume,OpenInt
19910405,24.805,25.024,24.742,24.882,592053,0
19910408,24.765,24.921,24.719,24.868,554540,0
19910409,24.921,25.039,24.805,24.843,641816,0
19910410,24.742,24.805,24.593,24.694,567045,0
19910411,24.687,24.789,24.593,24.765,448634,0
19910412,24.828,25.196,24.765,25,1034434,0
19910415,25.142,25.456,25.142,25.392,666826,0
19910416,25.378,25.378,25.212,25.26,517153,0
19910417,25.47,25.745,25.408,25.722,909772,0
19910418,25.801,25.941,25.313,25.378,810118,0
19910419,25.274,25.291,25.024,25.078,716590,0
19910422,24.726,24.828,24.632,24.632,629440,0
19910423,24.687,25.064,24.687,25.024,691708,0
19910424,25.064,25.196,24.961,25.024,685456,0
19910425,25.117,25.51,25.095,25.274,785237,0
19910426,25.235,25.533,25.196,25.196,535910,0
19910429,25.392,25.666,25.392,25.487,691708,0
19910430,25.392,25.392,25.196,25.306,660574,0
19910502,25.353,25.84,25.353,25.807,1420928,0
19910503,25.768,25.98,25.768,25.792,841252,0
19910506,25.706,25.784,25.651,25.745,249197,0
19910507,25.823,25.823,25.706,25.737,467391,0
19910508,25.683,25.683,25.345,25.431,504779,0
19910510,25.533,25.627,25.51,25.588,224316,0
19910513,25.313,25.51,25.313,25.431,529659,0
19910514,25.47,25.549,25.26,25.26,872386,0
19910515,25.235,25.338,25.196,25.313,242946,0
19910516,25.235,25.487,25.212,25.47,479768,0
19910517,25.51,25.526,25.408,25.408,729095,0
19910521,25.47,26.074,25.47,26.074,1084326,0
19910522,26.216,26.529,26.207,26.372,1121712,0
19910523,26.451,26.631,25.902,25.902,1346028,0
19910524,25.823,26.168,25.823,26.121,1184108,0
19910527,26.098,26.216,26.059,26.121,317719,0
19910528,26.176,26.333,26.02,26.27,816369,0
19910529,26.451,26.529,26.216,26.216,641816,0
19910531,26.451,26.686,26.412,26.552,660574,0
19910603,26.529,26.661,26.387,26.451,579549,0
19910604,26.372,26.451,26.294,26.294,504779,0
19910605,26.387,26.827,26.372,26.771,722841,0
19910606,26.803,27.077,26.647,26.748,934782,0
19910607,26.725,26.905,26.686,26.686,716590,0
19910610,26.647,26.764,26.49,26.686,610684,0
19910611,26.803,26.842,26.686,26.803,598178,0
19910612,26.779,26.779,26.238,26.255,866263,0
19910613,26.294,26.333,26.121,26.255,666826,0
19910614,26.333,26.387,26.238,26.294,386366,0
19910617,26.372,26.49,26.16,26.16,529659,0
19910618,26.176,26.192,26.02,26.176,573297,0
19910619,26.02,26.02,25.666,25.683,411248,0
19910620,25.745,25.846,25.729,25.801,404995,0
19910621,25.902,26.216,25.863,26.216,336475,0
19910624,26.121,26.16,25.753,25.801,473643,0
19910625,25.706,25.823,25.619,25.683,841252,0
19910626,25.768,25.784,25.274,25.274,567045,0
19910627,25.313,25.392,25.095,25.274,654321,0
19910628,25.235,25.26,24.632,24.726,1071822,0
19910701,24.843,24.882,24.609,24.632,666826,0
19910702,24.726,24.742,24.178,24.35,816369,0
19910703,24.256,24.374,24.1,24.1,542162,0
19910704,24.201,24.335,24.178,24.31,592053,0
19910705,24.335,24.335,23.982,24.083,430004,0
19910708,23.943,23.974,23.848,23.957,367611,0
19910709,24.1,24.436,24.1,24.413,934782,0
19910710,24.436,24.632,24.397,24.632,909772,0
19910711,24.57,24.68,24.453,24.577,1028182,0
19910712,24.702,24.789,24.655,24.687,704212,0
19910715,24.789,24.882,24.773,24.828,579549,0
19910716,24.805,24.828,24.632,24.648,361356,0
19910717,24.632,24.648,24.475,24.648,535910,0
19910718,24.546,24.546,24.492,24.531,386366,0
19910719,24.648,24.687,24.57,24.593,392620,0
19910722,24.546,24.632,24.475,24.632,430004,0
19910723,24.648,24.758,24.609,24.632,735346,0
19910724,24.609,24.632,24.397,24.453,672951,0
19910725,24.475,24.492,24.335,24.374,517153,0
19910726,24.374,24.453,24.256,24.296,486020,0
19910729,24.279,24.31,24.201,24.296,411248,0
19910730,24.397,24.632,24.374,24.609,835001,0
19910731,24.671,24.868,24.609,24.765,1053193,0
19910801,24.899,25.078,24.882,24.938,822624,0
19910802,24.882,25.157,24.789,25.117,697959,0
19910805,25.142,25.212,25.078,25.181,454885,0
19910806,25.078,25.196,25.024,25.078,486020,0
19910807,25.212,25.605,25.196,25.588,934782,0
19910808,25.588,25.745,25.51,25.605,965916,0
19910809,25.549,25.729,25.51,25.605,648069,0
19910812,25.51,25.658,25.47,25.549,373862,0
19910813,25.666,25.98,25.666,25.98,760227,0
19910814,26.042,26.059,25.941,25.941,959664,0
19910815,25.964,26.02,25.863,25.964,766480,0
19910816,25.941,25.98,25.846,25.964,772733,0
19910819,24.687,25.353,23.119,23.332,2199913,0
19910820,23.809,24.044,23.629,23.825,1003301,0
19910821,24.044,25.487,23.943,25.353,2268433,0
19910822,25.487,25.666,25.392,25.431,1215241,0
19910823,25.353,25.605,25.353,25.588,654321,0
19910826,25.588,25.846,25.588,25.729,741598,0
19910827,25.706,25.863,25.51,25.51,691708,0
19910828,25.549,25.651,25.47,25.605,554540,0
19910829,25.745,25.823,25.541,25.541,978420,0
19910830,25.619,25.627,25.47,25.487,280333,0
19910902,25.573,25.675,25.573,25.666,417500,0
19910903,25.706,25.784,25.683,25.729,691708,0
19910904,25.666,25.683,25.588,25.651,373862,0
19910905,25.588,25.729,25.549,25.683,404995,0
19910906,25.706,25.714,25.627,25.651,392620,0
19910909,25.658,25.666,25.313,25.378,336475,0
19910910,25.313,25.313,25.039,25.212,560791,0
19910911,25.181,25.338,25.142,25.26,361356,0
19910912,25.26,25.408,25.235,25.353,492273,0
19910913,25.462,25.533,25.322,25.361,648069,0
19910916,25.408,25.431,25.212,25.274,380114,0
19910917,25.392,25.408,25.26,25.313,299089,0
19910918,25.338,25.392,25.047,25.095,342726,0
19910919,25.117,25.181,25.039,25.142,286585,0
19910920,25.142,25.142,25,25.117,292837,0
19910923,25.142,25.181,25.078,25.157,373862,0
19910924,25.157,25.353,25.142,25.322,504779,0
19910925,25.353,25.408,25.252,25.26,454885,0
19910926,25.274,25.274,25.117,25.142,367611,0
19910927,25.157,25.173,25.039,25.173,454885,0
19910930,25.142,25.173,25.024,25.078,448634,0
19911001,25.157,25.274,25.142,25.212,872386,0
19911002,25.235,25.313,25.117,25.313,785237,0
19911004,25.204,25.313,25.117,25.291,573297,0
19911007,25.157,25.274,25.095,25.142,492273,0
19911008,25.078,25.204,25.064,25.117,629440,0
19911009,25.157,25.157,24.843,24.921,810118,0
19911010,24.843,25.016,24.671,24.938,878638,0
19911011,25.039,25.095,24.938,25.024,697959,0
19911014,24.985,25.055,24.938,25.039,398743,0
19911015,25.142,25.26,25.142,25.26,866263,0
19911016,25.291,25.313,25.024,25.064,523406,0
19911017,25.095,25.142,24.93,24.961,554540,0
19911018,25.039,25.047,24.899,25.039,423751,0
19911021,25.078,25.212,25.024,25.086,685456,0
19911022,25.095,25.313,25.064,25.204,511030,0
19911023,25.26,25.431,25.26,25.338,866263,0
19911024,25.378,25.408,25.157,25.157,772733,0
19911025,25.157,25.235,25.117,25.196,610684,0
19911028,25.196,25.392,25.142,25.378,691708,0
19911029,25.456,25.596,25.456,25.51,1321148,0
19911030,25.588,25.666,25.479,25.533,1071822,0
19911031,25.549,25.549,25.431,25.47,523406,0
19911101,25.47,25.487,25.338,25.392,454885,0
19911104,25.353,25.51,25.338,25.378,535910,0
19911105,25.392,25.573,25.378,25.549,1146594,0
19911106,25.51,25.588,25.479,25.479,841252,0
19911107,25.51,25.737,25.487,25.729,1146594,0
19911108,25.863,26.325,25.863,26.317,2255930,0
19911111,26.308,26.451,26.067,26.16,1638994,0
19911112,26.294,26.49,26.294,26.333,1614112,0
19911113,26.372,26.387,26.074,26.121,1314895,0
19911114,26.216,26.255,26.106,26.238,847506,0
19911115,26.27,26.317,26.176,26.216,884891,0
19911118,25.51,25.854,25.392,25.784,1626489,0
19911119,25.846,25.846,25.456,25.456,878638,0
19911121,25.627,25.957,25.549,25.941,1395919,0
19911122,25.98,26.137,25.902,25.949,1732523,0
19911125,25.902,25.989,25.846,25.964,990796,0
19911126,26.042,26.333,26.042,26.255,1744900,0
19911127,26.356,26.387,26.02,26.074,1109207,0
19911128,26.02,26.098,25.964,26.074,660574,0
19911129,26.02,26.02,25.627,25.706,1433305,0
19911202,25.431,25.462,25.235,25.431,1109207,0
19911203,25.588,25.658,25.439,25.573,1028182,0
19911204,25.666,25.996,25.605,25.651,1931959,0
19911205,25.706,25.784,25.573,25.706,1009553,0
19911206,25.627,25.706,25.549,25.636,791362,0
19911209,25.573,25.651,25.573,25.619,560791,0
19911210,25.51,25.557,25.353,25.378,897394,0
19911211,25.338,25.487,25.274,25.456,778984,0
19911212,25.51,25.658,25.392,25.651,965916,0
19911213,25.768,25.823,25.729,25.745,797614,0
19911216,25.801,25.801,25.627,25.658,598178,0
19911217,25.627,25.941,25.627,25.902,654321,0
19911218,25.902,26.16,25.902,26.098,729095,0
