Date,Open,High,Low,Close,Volume,OpenInt
20010308,15.377,15.377,15.377,15.377,250,0
20011205,13.014,13.014,13.014,13.014,43951,0
20011206,13.175,13.175,13.175,13.175,49945,0
20011212,13.415,13.415,13.415,13.415,42452,0
20020226,13.535,13.535,13.535,13.535,125,0
20020429,14.135,14.135,14.135,14.135,375,0
20020710,13.615,13.615,13.615,13.615,625,0
20020711,13.615,13.615,13.615,13.615,1249,0
20020723,13.615,13.615,13.615,13.615,3745,0
20020725,13.615,13.615,13.615,13.615,7365,0
20020814,12.414,12.414,12.414,12.414,250,0
20020821,12.894,12.894,12.894,12.894,375,0
20021001,12.814,12.814,12.814,12.814,125,0
20021003,12.093,12.093,12.093,12.093,125,0
20021011,12.814,12.814,12.814,12.814,125,0
20021031,11.132,11.132,11.132,11.132,1125,0
20021104,11.413,11.413,11.413,11.413,250,0
20030120,12.07,12.214,12.07,12.214,1373,0
20030121,12.254,12.254,12.053,12.133,998,0
20030122,12.012,12.012,12.012,12.012,250,0
20030123,12.133,12.133,11.997,11.997,2997,0
20030124,12.03,12.03,12.03,12.03,501,0
20030127,11.974,11.974,11.974,11.974,625,0
20030128,12.158,12.158,12.158,12.158,250,0
20030129,12.133,12.133,11.933,11.933,2872,0
20030131,11.933,12.053,11.933,12.053,1125,0
20030206,12.101,12.246,12.03,12.03,2622,0
20030207,12.012,12.012,12.012,12.012,750,0
20030210,12.012,12.038,12.012,12.038,750,0
20030212,12.214,12.214,12.053,12.133,1749,0
20030213,12.214,12.214,12.093,12.093,1125,0
20030214,12.293,12.293,12.293,12.293,750,0
20030217,12.414,12.414,12.414,12.414,2622,0
20030219,12.229,12.254,12.229,12.254,2498,0
20030221,12.374,12.374,12.374,12.374,501,0
20030224,12.254,12.254,12.254,12.254,750,0
20030225,12.254,12.254,12.053,12.053,3872,0
20030226,12.149,12.149,12.053,12.053,4994,0
20030227,12.053,12.053,12.053,12.053,2123,0
20030228,12.158,12.158,12.053,12.053,375,0
20030313,12.012,12.012,12.012,12.012,750,0
20030318,12.07,12.07,12.053,12.053,1874,0
20030320,12.053,12.053,11.869,12.053,8990,0
20030321,12.214,12.214,12.214,12.214,998,0
20030324,12.165,12.165,12.165,12.165,125,0
20030325,12.158,12.158,12.158,12.158,501,0
20030327,12.053,12.053,12.053,12.053,750,0
20030328,12.062,12.093,12.062,12.062,2371,0
20030331,12.07,12.07,12.053,12.053,36834,0
20030402,12.062,12.093,12.062,12.093,1249,0
20030403,12.093,12.093,12.093,12.093,6244,0
20030404,12.197,12.197,12.158,12.158,625,0
20030407,12.158,12.158,12.109,12.109,1125,0
20030408,12.27,12.27,12.214,12.214,2247,0
20030409,12.093,12.214,12.093,12.214,2498,0
20030410,12.214,12.214,12.214,12.214,1498,0
20030414,12.214,12.222,12.214,12.222,3496,0
20030415,12.214,12.349,12.214,12.349,2748,0
20030416,12.495,12.83,12.495,12.814,3246,0
20030422,13.031,13.031,13.031,13.031,501,0
20030423,13.415,13.415,12.83,12.83,2371,0
20030424,13.069,13.495,13.069,13.495,3246,0
20030425,13.495,13.495,13.151,13.351,4495,0
20030428,13.495,13.599,13.495,13.599,3496,0
20030430,13.399,13.399,13.069,13.215,9988,0
20030502,13.014,13.096,13.014,13.096,1997,0
20030505,13.215,13.215,13.215,13.215,1749,0
20030506,13.199,13.199,13.199,13.199,750,0
20030507,13.014,13.31,12.903,13.134,5119,0
20030508,12.855,13.014,12.814,12.814,6743,0
20030509,12.814,12.855,12.814,12.855,12486,0
20030512,12.814,12.814,12.758,12.814,2997,0
20030513,12.622,12.798,12.622,12.798,625,0
20030514,12.814,12.814,12.814,12.814,2872,0
20030515,12.735,12.735,12.735,12.735,250,0
20030516,12.814,13.014,12.814,12.894,12362,0
20030519,12.879,13.014,12.823,12.855,4870,0
20030520,12.926,13.014,12.91,13.014,9490,0
20030521,12.951,13.119,12.934,12.975,12985,0
20030522,12.975,13.014,12.975,13.014,250,0
20030523,12.934,12.934,12.798,12.814,11486,0
20030526,12.774,12.774,12.654,12.67,4745,0
20030527,12.67,12.735,12.654,12.654,3872,0
20030528,12.735,12.735,12.735,12.735,2247,0
20030530,12.975,12.975,12.767,12.774,10365,0
20030602,12.814,12.934,12.814,12.934,18355,0
20030603,12.934,12.975,12.894,12.91,13111,0
20030604,12.975,12.975,12.879,12.934,6367,0
20030605,12.975,12.975,12.83,12.934,7492,0
20030606,12.934,13.014,12.91,12.951,6991,0
20030609,13.055,13.055,13.055,13.055,5867,0
20030610,13.055,13.415,13.014,13.231,21601,0
20030611,13.415,13.455,13.31,13.335,41703,0
20030612,13.31,13.335,13.055,13.215,28218,0
20030613,13.295,13.415,13.175,13.415,11613,0
20030616,13.415,13.448,13.295,13.335,14609,0
20030617,13.415,13.455,12.814,12.855,33337,0
20030618,12.894,13.455,12.814,12.934,18479,0
20030619,12.51,12.51,12.293,12.293,125,0
20030620,12.414,12.63,12.414,12.495,4619,0
20030623,12.614,12.798,12.414,12.414,8117,0
20030624,12.534,12.614,12.51,12.614,2748,0
20030625,12.614,12.614,12.534,12.614,2247,0
20030626,12.534,12.534,12.414,12.534,12736,0
20030627,12.414,12.414,12.414,12.414,250,0
20030630,12.214,12.43,12.133,12.414,9490,0
20030701,12.173,12.214,12.133,12.214,3872,0
20030702,12.358,12.374,12.317,12.358,4246,0
20030703,12.229,12.358,12.229,12.293,11862,0
20030704,12.335,12.335,12.173,12.317,11486,0
20030707,12.254,12.365,12.229,12.365,11987,0
20030708,12.358,12.495,12.317,12.495,14109,0
20030709,12.414,12.47,12.398,12.43,10112,0
20030710,12.495,12.654,12.495,12.654,25722,0
20030711,12.654,12.654,12.614,12.654,8865,0
20030714,12.614,12.614,12.614,12.614,625,0
20030715,12.654,12.654,12.414,12.614,6867,0
