Date,Open,High,Low,Close,Volume,OpenInt
20061026,10.602,11.176,10.545,10.946,870369,0
20061027,11.032,11.749,11.032,11.456,131567,0
20061030,11.459,11.459,11.156,11.391,28268,0
20061031,11.391,11.391,10.969,11.103,49206,0
20061101,11.176,11.176,11.103,11.176,65958,0
20061102,11.17,11.17,11.032,11.17,55838,0
20061103,11.176,11.176,11.032,11.078,15705,0
20061106,11.233,11.298,11.061,11.061,15705,0
20061107,11.176,11.176,11.061,11.176,2094,0
20061108,11.17,11.17,11.032,11.032,8376,0
20061109,11.087,11.176,11.087,11.146,36294,0
20061110,11.07,11.074,11.032,11.032,2792,0
20061113,11.176,11.176,11.035,11.035,10819,0
20061114,11.032,11.032,10.946,10.946,46765,0
20061115,10.946,11.032,10.943,11.032,8027,0
20061116,11.103,11.103,10.602,11.061,128775,0
20061117,11.032,11.176,11.032,11.176,52697,0
20061120,11.176,11.462,10.949,11.118,42228,0
20061121,11.173,11.176,10.888,11.176,26174,0
20061122,11.413,11.462,11.233,11.462,46415,0
20061123,11.319,11.491,11.176,11.491,69448,0
20061124,11.749,11.749,11.292,11.456,37690,0
20061127,11.405,11.405,11.233,11.319,10119,0
20061128,11.405,11.405,11.405,11.405,1047,0
20061129,11.289,11.319,11.289,11.304,2792,0
20061130,11.233,11.604,11.233,11.462,27221,0
20061204,11.462,11.72,11.462,11.72,5236,0
20061205,11.604,11.718,11.604,11.718,9073,0
20061206,11.69,11.749,11.662,11.749,7677,0
20061207,11.749,12.321,11.749,12.321,21986,0
20061208,12.321,12.752,12.321,12.608,5236,0
20061211,12.752,12.895,12.551,12.694,12563,0
20061212,12.393,12.451,12.321,12.448,4887,0
20061213,12.321,12.321,12.25,12.321,7328,0
20061214,12.321,12.321,12.035,12.035,4537,0
20061215,11.835,12.393,11.731,12.393,23382,0
20061218,12.321,12.321,12.321,12.321,699,0
20061219,12.091,12.091,11.978,12.035,5236,0
20061220,11.794,12.003,11.749,11.749,5933,0
20061221,11.749,11.892,11.749,11.892,3141,0
20061222,11.921,12.293,11.921,11.925,1745,0
20061227,11.749,11.749,11.72,11.72,4887,0
20061228,11.604,11.72,11.547,11.72,3840,0
20061229,11.749,11.749,11.749,11.749,13610,0
20070102,11.74,12.464,11.74,12.334,73986,0
20070103,12.479,12.645,11.706,12.179,26873,0
20070104,11.949,12.179,11.949,12.179,5236,0
20070105,11.934,12.179,11.892,12.035,11168,0
20070108,11.465,12.035,11.462,11.892,20591,0
20070109,11.921,12.035,11.604,11.604,18846,0
20070110,11.551,11.634,11.462,11.462,9073,0
20070111,11.319,11.462,11.319,11.459,8376,0
20070112,11.319,11.462,11.319,11.405,17799,0
20070115,11.596,11.596,11.376,11.462,3491,0
20070116,11.462,11.889,11.316,11.749,98414,0
20070117,11.634,11.662,11.47,11.604,85152,0
20070118,11.47,11.777,11.47,11.604,28617,0
20070119,11.634,12.179,11.634,12.179,49206,0
20070122,12.179,12.179,12.035,12.041,23382,0
20070123,12.179,12.179,11.969,12.035,13262,0
20070124,11.964,12.179,11.949,12.107,101905,0
20070125,12.167,12.179,12.063,12.15,5583,0
20070126,12.15,12.15,12.035,12.035,10469,0
20070129,11.892,12.179,11.892,12.175,4537,0
20070130,12.035,12.334,12.035,12.334,36644,0
20070131,12.25,12.551,12.25,12.321,30013,0
20070201,12.264,12.871,12.264,12.871,74681,0
20070202,12.851,12.966,12.643,12.892,146225,0
20070205,12.752,12.895,12.321,12.376,9772,0
20070206,12.608,12.946,12.608,12.791,61071,0
20070207,12.791,13.689,12.697,13.689,120051,0
20070208,13.611,13.754,13.491,13.754,5583,0
20070209,13.926,13.926,13.725,13.725,8027,0
20070213,13.611,13.754,13.5,13.754,1745,0
20070216,13.614,13.614,13.525,13.525,4188,0
20070220,13.611,13.611,13.468,13.611,1047,0
20070221,13.468,13.468,13.468,13.468,3840,0
20070222,13.626,13.626,13.468,13.468,2792,0
20070223,13.468,13.554,13.468,13.468,699,0
20070226,13.468,13.468,13.384,13.384,350,0
20070227,13.453,13.453,13.038,13.038,3840,0
20070228,12.895,12.895,11.462,12.321,25127,0
20070301,12.17,12.335,12.035,12.063,17799,0
20070302,12.091,12.23,12.035,12.23,6632,0
20070305,12.179,12.179,11.749,11.749,8723,0
20070306,11.895,12.035,11.491,11.749,13262,0
20070307,11.69,11.749,11.547,11.547,3840,0
20070308,11.749,11.892,11.749,11.806,8027,0
20070309,11.952,11.997,11.823,11.823,6632,0
20070312,11.969,12.035,11.969,11.978,6632,0
20070313,12.126,12.413,12.126,12.321,12214,0
20070314,12.321,12.519,12.321,12.519,29664,0
20070315,12.611,12.611,12.321,12.321,7328,0
20070316,12.321,12.536,12.321,12.536,3840,0
20070319,12.605,12.605,12.605,12.605,699,0
20070320,12.679,12.679,12.321,12.321,9422,0
20070321,12.536,12.536,12.256,12.256,7328,0
20070322,12.104,12.25,11.869,12.25,6979,0
20070323,12.236,12.393,12.236,12.236,3141,0
20070326,12.367,12.583,12.367,12.583,2792,0
20070327,12.393,12.608,12.393,12.608,3141,0
20070328,12.812,12.97,12.812,12.895,48857,0
20070329,12.895,12.951,12.895,12.895,3840,0
20070330,12.895,13.213,12.827,13.18,4887,0
20070402,13.324,14.04,13.18,13.898,46765,0
20070403,13.783,14.112,13.757,14.112,13960,0
20070404,14.267,14.527,14.242,14.456,69797,0
20070405,14.614,16.534,14.614,16.534,115165,0
20070410,15.904,16.72,15.759,16.72,40831,0
20070411,16.562,17.202,16.23,16.418,36294,0
20070412,16.6,17.175,16.411,16.495,13262,0
20070413,16.678,16.978,16.678,16.978,4188,0
20070416,17.161,17.658,17.161,17.623,3141,0
20070417,17.623,18.053,17.382,18.053,4188,0
20070418,18.196,18.339,17.895,18.339,7328,0
20070419,18.339,18.339,17.703,18.044,9422,0
20070420,18.199,18.199,17.82,17.82,2792,0
20070423,18.015,18.053,17.765,17.851,4537,0
20070424,17.765,18.101,17.765,18.101,1047,0
20070426,18.19,18.244,18.053,18.053,2442,0
20070427,18.024,18.138,17.823,17.967,8027,0
20070430,17.909,18.138,17.84,17.995,5583,0
20070502,17.995,18.053,17.247,17.566,17450,0
20070503,17.594,17.594,17.098,17.221,16403,0
20070504,17.41,17.41,17.193,17.193,5933,0
20070507,17.193,17.278,17.193,17.25,2792,0
20070508,17.121,17.193,16.562,16.619,19892,0
20070509,16.801,17.038,16.628,16.963,15355,0
20070510,17.278,17.278,17.164,17.278,11518,0
20070511,17.193,17.364,17.193,17.364,5583,0
20070514,17.554,17.679,17.482,17.679,2442,0
20070515,17.872,17.909,17.623,17.751,15355,0
20070516,17.909,18.724,17.886,18.724,13960,0
20070517,18.777,19.341,18.777,19.234,8376,0
20070518,19.485,19.629,18.489,18.489,21636,0
20070521,18.287,18.287,17.815,17.815,11168,0
20070522,17.721,17.809,17.676,17.765,4188,0
20070523,17.721,17.738,17.323,17.339,10469,0
20070524,17.339,17.466,16.594,17.193,24429,0
20070525,17.049,17.336,17.049,17.25,27570,0
20070529,17.25,17.336,17.193,17.278,9422,0
20070530,17.193,17.25,17.193,17.193,20939,0
20070531,17.193,17.278,17.193,17.193,4188,0
20070601,17.193,17.379,17.193,17.278,34550,0
20070604,17.45,17.45,17.193,17.193,51300,0
20070605,17.193,17.193,17.092,17.193,20242,0
20070606,17.193,17.193,17.049,17.049,48159,0
20070607,17.221,17.221,17.064,17.193,61421,0
20070608,17.193,17.336,17.193,17.264,6979,0
20070611,17.336,18.365,17.333,17.909,62468,0
20070612,18.038,18.224,17.895,18.11,119005,0
20070613,18.053,18.053,17.602,17.837,15005,0
20070614,17.909,18.03,17.837,17.909,24080,0
20070615,17.909,18.224,17.909,18.224,9422,0
20070618,18.339,18.482,17.984,18.11,23032,0
20070619,18.056,18.861,18.053,18.053,42576,0
20070620,18.25,19.042,18.25,18.339,40133,0
20070621,18.339,18.583,18.069,18.069,11864,0
20070622,18.125,18.204,17.762,18.053,27570,0
20070625,17.815,18.053,17.815,17.97,1745,0
20070626,17.981,17.981,17.193,17.193,23032,0
20070627,17.474,17.626,17.193,17.333,10469,0
20070628,17.193,17.534,16.619,17.327,25824,0
20070629,17.508,17.762,17.323,17.479,60375,0
20070702,17.336,17.694,17.336,17.694,2792,0
20070703,17.765,18.625,17.765,18.382,37342,0
20070704,18.339,18.625,18.196,18.625,27570,0
20070705,18.625,19.362,18.625,19.341,70845,0
