Date,Open,High,Low,Close,Volume,OpenInt
20000103,5.6164,5.6739,5.3576,5.5588,88269,0
20000104,5.6164,5.6931,4.7826,5.1563,59160,0
20000105,4.9359,5.0317,4.84,4.9647,44344,0
20000106,5.0414,5.2618,5.0414,5.2331,20033,0
20000107,5.2714,5.5397,5.2522,5.3576,54882,0
20000110,5.463,5.5397,5.2331,5.3384,41840,0
20000111,5.3001,5.3001,5.0796,5.1755,17215,0
20000112,5.0988,5.3289,5.0796,5.2714,14190,0
20000113,5.3289,5.4438,5.2331,5.3097,11060,0
20000114,5.3192,5.3192,5.2043,5.2234,17738,0
20000117,5.1851,5.6548,5.1468,5.5588,84200,0
20000118,5.6356,5.6356,5.511,5.5588,34640,0
20000119,5.5588,5.6548,5.4152,5.6451,48934,0
20000120,5.5685,5.5781,5.4438,5.511,19511,0
20000121,5.463,5.511,5.3672,5.4438,14712,0
20000124,5.3672,5.6356,5.3672,5.6068,44031,0
20000125,5.6356,5.6356,5.5588,5.5781,39961,0
20000126,5.6068,5.6068,5.3864,5.5397,27858,0
20000127,5.6068,5.6068,5.3672,5.4152,9182,0
20000128,5.3384,5.4247,5.2714,5.4247,13668,0
20000131,5.3767,5.4344,5.2714,5.4344,23790,0
20000201,5.3959,5.4438,5.2714,5.2714,11164,0
20000202,5.2714,5.3192,5.0796,5.3097,24520,0
20000203,5.3192,5.5588,5.3192,5.5588,17738,0
20000204,5.6068,5.6356,5.5397,5.6356,52168,0
20000207,5.4918,5.6643,5.4918,5.6451,39544,0
20000208,5.6548,5.7505,5.5588,5.6548,39544,0
20000209,5.7026,5.8656,5.7026,5.7985,78461,0
20000210,5.7794,5.7985,5.6068,5.7218,35579,0
20000211,5.7505,5.7505,5.5588,5.6068,18468,0
20000214,5.5301,5.5877,5.463,5.5205,5947,0
20000215,5.463,5.5397,5.3864,5.4727,21285,0
20000216,5.3959,5.3959,5.2714,5.3672,17320,0
20000217,5.3097,5.3192,5.2138,5.2618,12729,0
20000218,5.3192,5.3192,5.2714,5.2714,6678,0
20000221,5.2714,5.6548,5.2234,5.6548,39649,0
20000222,5.5781,5.5781,5.4055,5.4822,18676,0
20000223,5.4152,5.4152,5.2714,5.2714,2608,0
20000224,5.1947,5.2522,4.9551,5.0317,22015,0
20000225,4.9839,5.0509,4.8688,4.9839,16173,0
20000228,4.9167,5.0509,4.888,4.9839,7200,0
20000229,4.9647,5.003,4.888,4.9073,11581,0
20000301,4.888,4.888,4.7921,4.7921,14712,0
20000302,4.888,5.0317,4.8592,4.9839,66985,0
20000303,4.8976,5.0317,4.7921,4.9839,52899,0
20000306,4.9359,5.0606,4.9359,5.0606,4487,0
20000307,4.9839,5.0317,4.9263,4.9839,14921,0
20000308,4.9743,4.9743,4.7729,4.888,24728,0
20000309,4.821,4.84,4.7729,4.7921,9285,0
20000310,4.7921,4.84,4.6963,4.7155,21910,0
20000313,4.7826,4.84,4.7058,4.7443,20138,0
20000314,4.8113,4.9647,4.7443,4.9647,17528,0
20000315,4.888,4.888,4.6676,4.7251,40379,0
20000316,4.7921,4.8976,4.7921,4.888,5843,0
20000317,4.9359,5.0796,4.9359,5.0796,22119,0
20000320,5.0796,5.2714,5.0796,5.1277,18259,0
20000321,5.0414,5.1277,5.0125,5.0125,14607,0
20000322,5.0893,5.0893,4.9743,4.9743,4487,0
20000323,4.9839,4.9839,4.9263,4.9359,15337,0
20000324,4.9359,4.9359,4.7921,4.9073,19929,0
20000327,4.9359,4.9839,4.888,4.888,7200,0
20000328,4.9359,4.9359,4.84,4.9073,15755,0
20000329,4.84,4.9359,4.84,4.84,6991,0
20000330,4.888,4.9359,4.8113,4.9359,15337,0
20000331,5.0317,5.0317,4.8018,4.8018,52378,0
