Date,Open,High,Low,Close,Volume,OpenInt
20160615,1.643,1.65,1.55,1.65,2410,0
20160616,1.65,3.2,1.65,2.3,8132,0
20160617,2.201,2.201,2.001,2.049,169,0
20160620,2,2,1.8,1.9,375,0
20160622,2.51,2.701,2.4,2.4,2898,0
20160623,2.4,2.4,2.318,2.318,600,0
20160624,2.715,2.9,2.7,2.87,4417,0
20160627,2.473,2.473,2.473,2.473,2000,0
20160628,2.25,2.25,2.25,2.25,283,0
20160701,2.02,2.31,2.02,2.27,12368,0
20160706,2.255,2.64,2.24,2.64,6184,0
20160708,2.75,2.85,2.75,2.85,6389,0
20160711,2.75,2.75,2.75,2.75,2000,0
20160712,2.666,2.67,2.477,2.477,2308,0
20160714,2.4,2.4,2.4,2.4,39,0
20160715,2.492,2.492,2.492,2.492,80,0
20160718,2.43,2.43,2.43,2.43,631,0
20160720,2.3,2.514,2.249,2.401,6879,0
20160721,2.399,2.399,2.31,2.31,748,0
20160722,2.4,2.42,2.3,2.42,954,0
20160725,2.33,2.33,2.243,2.243,2500,0
20160726,2.2,2.201,2.179,2.201,5517,0
20160728,2.13,2.13,2.13,2.13,3650,0
20160801,1.95,2.222,1.95,2.222,3221,0
20160802,2.091,2.091,2.091,2.091,320,0
20160803,2.05,2.442,2.01,2.2,3602,0
20160808,2.15,2.15,2.15,2.15,16,0
20160810,2,2,2,2,2500,0
20160811,2,2,1.88,1.88,4450,0
20160812,1.85,1.85,1.776,1.78,2620,0
20160815,1.71,1.71,1.572,1.572,2830,0
20160816,1.57,1.57,1.57,1.57,510,0
20160817,1.5,1.65,1.5,1.65,2500,0
20160818,1.45,1.45,1.42,1.42,6767,0
20160819,1.4,1.4,1.27,1.3,9129,0
20160822,1.24,1.24,1.197,1.197,13574,0
20160823,1.25,1.25,1.25,1.25,2000,0
20160824,1.324,1.324,1.18,1.18,2900,0
20160825,1.17,1.17,1.085,1.123,6116,0
20160826,1.165,1.299,1.165,1.199,13834,0
20160829,1.2,1.4,1.199,1.23,19380,0
20160830,1.288,1.288,1.288,1.288,2016,0
20160831,1.3,1.3,1.274,1.275,1871,0
20160905,1.238,1.238,1.238,1.238,2400,0
20160908,1.279,1.3,1.279,1.3,1362,0
20160914,1.3,1.3,1.3,1.3,300,0
20160916,1.251,1.251,1.251,1.251,150,0
20160920,1.26,1.28,1.209,1.28,2666,0
20160922,1.3,1.3,1.3,1.3,75,0
20160927,1.22,1.22,1.118,1.17,7792,0
