Date,Open,High,Low,Close,Volume,OpenInt
20090406,7.1476,7.5109,7.1476,7.5109,5310,0
20090407,7.4716,7.5109,7.236,7.4029,5877,0
20090408,7.0985,7.5109,7.0985,7.5109,7384,0
20090409,7.5109,7.5109,7.4618,7.5109,7119,0
20090414,7.3636,7.56,7.236,7.4029,399,0
20090415,7.1476,7.8938,7.1476,7.7073,4948,0
20090416,7.5502,7.8545,7.5109,7.8055,2546,0
20090422,7.344,7.7564,7.3342,7.7073,2037,0
20090423,7.5796,7.7073,7.4225,7.5993,43,0
20090429,7.4225,7.6582,7.4225,7.4913,3056,0
20090505,7.2851,7.6582,7.0691,7.3244,204,0
20090506,7.0789,7.6582,7.0789,7.3244,4410,0
20090514,7.1673,7.3636,7.1673,7.3636,1528,0
20090519,7.2262,7.3636,7.1967,7.2655,14633,0
20090522,7.1378,7.3636,7.1378,7.2655,5093,0
20090526,7.1182,7.3636,7.1182,7.3636,5602,0
20090527,7.1673,7.7465,7.1673,7.5305,7588,0
20090603,7.3047,7.8545,7.3047,7.8545,153,0
20090604,7.5305,7.8545,7.5109,7.6876,1019,0
20090609,7.3244,7.8545,7.3244,7.5109,133,0
20090615,7.2753,7.5207,7.2753,7.5207,5232,0
20090629,6.9415,7.2655,6.9218,7.0495,2037,0
20090708,6.9807,7.1673,6.8727,6.8727,5093,0
20090710,6.6567,6.8335,6.6567,6.7549,6924,0
20090715,6.5684,6.8335,6.5585,6.8335,306,0
20090716,6.6567,6.8727,6.6567,6.8727,5306,0
20090721,6.8531,7.1476,6.8531,7.1476,815,0
20090727,7.1476,7.3636,7.1476,7.1673,713,0
20090730,7.1967,7.1967,7.1673,7.1673,285,0
20090811,7.1476,7.3636,7.1476,7.1673,1116,0
20090812,7.0298,7.0298,6.7745,7.0298,102,0
20090813,6.8924,6.8924,6.6371,6.8727,866,0
20090814,6.7353,6.7353,6.4898,6.6764,306,0
20090817,6.4604,6.7942,6.3622,6.7942,306,0
20090818,6.588,6.6469,6.4113,6.5978,306,0
20090819,6.7549,6.8825,6.3622,6.8825,1538,0
20090820,6.6273,6.8236,6.3818,6.588,4730,0
20090821,6.5095,6.6665,6.3622,6.6665,306,0
20090825,6.5978,6.6665,6.5978,6.6665,77,0
20090901,6.6665,6.9022,6.6665,6.9022,3157,0
20090902,6.9022,7.1575,6.9022,7.1575,285,0
20090903,6.8727,7.4618,6.8727,7.4618,1426,0
20090904,7.2262,7.6385,7.2262,7.6385,611,0
20090908,7.6091,7.7367,7.6091,7.7367,509,0
20090909,7.5796,8.0313,7.5796,8.0313,316,0
20090910,7.7269,8.3258,7.7269,8.3258,815,0
20090911,8.0509,8.5418,8.0509,8.3455,2210,0
20090914,8.1295,8.3455,8.1295,8.3455,509,0
20090915,8.2178,8.3455,8.2178,8.3455,204,0
20090916,8.1982,8.4829,8.1982,8.3455,5469,0
20090917,8.1687,8.3455,8.1687,8.3455,3070,0
20090930,8.0509,8.1491,8.0509,8.1491,7028,0
20091007,8.0215,8.1491,8.0215,8.1491,117,0
20091016,8.1295,8.1491,8.1,8.1,5704,0
20091022,7.5011,7.5011,6.8629,6.8629,2546,0
20091026,6.8531,7.1182,6.8531,7.1182,1019,0
20091027,6.8335,7.1182,6.8335,6.8629,4380,0
20091102,6.8335,7.1182,6.8335,7.1084,20,0
20091103,6.8531,7.1182,6.8531,7.1084,509,0
20091104,6.8335,7.1182,6.8335,7.1084,306,0
20091106,7.0789,7.2065,6.8727,7.1084,407,0
20091110,6.8727,7.1084,6.6371,7.0396,733,0
20091111,6.7745,7.1084,6.7745,7.0691,306,0
20091112,6.9611,7.1084,6.8727,7.0102,306,0
20091113,6.588,6.8727,6.588,6.7745,306,0
20091116,6.6665,6.8727,6.6665,6.8727,725,0
20091123,6.7844,6.8727,6.7745,6.7745,143,0
20091130,6.7156,6.9709,6.6764,6.9709,7435,0
20091202,6.804,7.3636,6.7745,7.3636,8657,0
20091203,7.0985,7.8349,6.7745,7.8349,917,0
20091204,7.7465,8.1491,6.7745,8.1491,818,0
20091207,6.7745,8.64,6.7745,8.64,509,0
20091208,8.2964,9.1309,6.7745,9.1309,1019,0
20091209,8.2964,9.622,6.7745,8.9345,1273,0
20091210,8.4535,9.622,8.4535,9.622,188,0
20091211,9.818,10.113,8.8364,9.828,1376,0
20091214,9.818,9.818,8.8364,9.818,102,0
20091215,10.005,10.015,8.8364,9.818,1697,0
20091216,9.4745,9.916,9.4745,9.916,306,0
20091218,9.514,9.916,9.4255,9.4255,4329,0
20091221,9.4058,9.916,9.4058,9.4255,5449,0
20091222,9.1996,9.916,9.1996,9.524,306,0
20091228,9.553,9.818,9.524,9.818,1120,0
20091229,9.4156,9.818,9.4156,9.622,155,0
20091230,9.1702,9.72,9.1702,9.622,560,0
20100104,9.2291,9.524,9.0327,9.0327,611,0
20100105,8.9738,9.4255,8.8364,8.8364,4380,0
20100107,8.5732,9.4255,8.5732,9.0327,3361,0
20100108,8.9738,9.4255,8.9738,9.1309,12069,0
20100111,9.1505,9.4255,8.7382,9.0818,6111,0
20100115,9.2782,9.4255,9.2782,9.3273,4074,0
20100118,9.3175,9.4255,9.3175,9.3273,4028,0
20100122,9.2684,9.4255,9.2684,9.4255,5602,0
20100208,9.2193,9.524,9.1309,9.524,204,0
20100209,9.1309,9.524,9.1309,9.1309,611,0
20100211,9.182,9.524,8.8855,8.8855,18,0
20100218,8.8766,9.3273,8.8766,8.9345,21,0
20100301,8.9836,9.18,8.9345,8.9345,50,0
20100305,8.9345,9.18,8.9345,8.9345,306,0
20100308,8.9247,9.18,8.9247,8.9345,20,0
20100309,8.8619,9.18,8.8619,8.9247,20,0
20100310,8.8639,9.18,8.8639,8.9345,3565,0
20100312,8.9169,9.18,8.9169,9.0327,13037,0
20100317,8.6302,9.0818,8.6302,8.64,14,0
20100319,8.6066,9.0818,8.6066,9.0327,4736,0
20100324,8.6027,9.0818,8.6027,9.0327,1019,0
20100329,8.4888,9.0818,8.4888,8.8364,2689,0
20100409,8.317,8.8364,8.317,8.7185,611,0
20100414,8.318,8.7873,8.318,8.7873,2546,0
20100422,8.4623,8.64,8.1491,8.1491,1609,0
20100423,7.7976,8.5418,7.7976,8.5418,387,0
20100426,8.477,8.8364,8.3455,8.8364,5806,0
20100427,8.5742,8.64,8.4436,8.64,1324,0
20100429,8.586,8.64,8.586,8.64,306,0
20100506,8.2826,8.8364,8.2473,8.7382,3463,0
20100510,8.5909,8.5909,8.3455,8.3455,306,0
20100511,8.5016,8.5909,8.3455,8.5909,10,0
20100517,8.2345,8.8364,8.2345,8.5418,2852,0
20100519,8.5399,8.64,8.5399,8.64,306,0
20100520,6.1511,8.7382,6.1511,8.4436,5602,0
20100521,8.1638,8.5418,8.1638,8.5418,9167,0
20100525,3.5395,8.64,3.5395,8.64,5398,0
20100526,3.674,8.6891,3.674,8.64,9676,0
20100601,3.618,8.7382,3.618,8.7382,509,0
20100603,8.6263,8.7873,8.5418,8.7873,802,0
20100607,8.6233,8.7873,8.5909,8.7873,306,0
20100611,8.8364,9.0327,8.8364,8.8364,6926,0
20100621,9.0327,9.0327,9.0327,9.0327,4074,0
