Date,Open,High,Low,Close,Volume,OpenInt
20090415,4.6,4.9,3.7,4.6,400,0
20090422,4.6,4.9,4.6,4.75,500,0
20090429,4.75,4.9,4.75,4.75,200,0
20090504,4,4.99,4,4.9,1,0
20090507,4.26,4.9,4.26,4.9,600,0
20090519,3.62,5.25,3.62,4.5,3000,0
20090527,4,4.9,4,4.6,1050,0
20090602,4.08,5.1,4.08,5.1,2,0
20090604,4.42,5,4.37,5,50,0
20090608,4.34,4.87,4.33,4.33,270,0
20090612,3.85,4.9,3.85,4.9,1000,0
20090625,4.32,5.3,4.32,5.3,1450,0
20090702,4.34,4.78,4.25,4.75,100,0
20090706,5,5.11,5,5,1000,0
20090709,4.75,4.75,4.23,4.23,961,0
20090717,4.03,4.52,3.98,3.98,250,0
20090722,3.85,4.5,3.85,4,699,0
20090723,3.85,4.8,3.85,4.8,3151,0
20090724,4.27,4.95,3.98,4.95,3575,0
20090729,4.06,4.8,4.06,4.8,1000,0
20090730,4.27,4.8,4.27,4.8,901,0
20090731,4.8,5,4.8,5,1000,0
20090804,4.8,5,4.8,5,600,0
20090814,4.8,5.1,4.8,4.8,100,0
20090819,3.93,5.1,3.93,4.8,970,0
20090821,4.04,5.1,4.04,4.8,804,0
20090908,3.85,5.1,3.85,4.4,10,0
20090917,3.85,5.1,3.85,4.5,569,0
20090923,3.93,5.1,3.93,4.8,500,0
20090929,4.77,5.1,4.76,4.9,1355,0
20091001,4.37,5.1,4,4,720,0
20091002,4.15,5.1,3.85,4.86,2500,0
20091007,4.32,5.1,4.32,4.86,3000,0
20091008,4.45,5.1,3.85,3.85,320,0
20091009,3.9,5.1,3.9,4.52,800,0
20091012,4.03,5.1,4.03,5.1,250,0
20091014,4.13,5.1,4.13,4.9,750,0
20091015,4.36,5.1,4.36,4.8,500,0
20091019,4.07,5.1,4,4.11,5113,0
20091021,4.1,5.1,4.1,4.82,2300,0
20091023,4.15,4.46,4.1,4.35,306,0
20091028,4.05,4.84,4.05,4.84,2000,0
20091029,4.27,4.95,4.27,4.95,4000,0
20091030,4.7,5.2,4.18,5.2,1320,0
20091104,5,5.2,5,5,180,0
20091105,4.92,5.39,4.38,5.39,800,0
20091110,4.33,5.2,4.22,5.2,600,0
20091111,4.63,5.4,4.47,5.4,500,0
20091113,4.55,5.4,4.43,5.4,1059,0
20091118,4.58,5.6,4.58,5.6,1000,0
20091123,4.63,5.14,4.3,4.3,2000,0
20091126,4.15,4.61,4.15,4.5,1000,0
20091214,4.4,4.94,4.4,4.94,3800,0
20091215,4.4,4.96,4.4,4.96,500,0
20091218,4.4,5,4.4,5,2720,0
20091221,4.45,4.84,4.4,4.44,2500,0
20091228,4.4,4.75,4.4,4.75,1000,0
20100104,4.4,4.4,3.912,4.347,238,0
20100105,4.35,4.72,4.35,4.72,252,0
20100112,4.35,4.75,4.35,4.72,550,0
20100126,4.35,4.35,3.9,3.9,1200,0
20100127,3.468,3.854,3.084,3.854,17,0
20100128,3.5,4.4,3.427,4.4,515,0
20100129,3.912,4.9,3.6,4.9,1990,0
20100201,4.36,4.44,3.873,4.44,1400,0
20100204,4,4.4,3.94,4.4,295,0
20100205,4,4.22,4,4.22,700,0
20100210,4,4.4,4,4.4,1000,0
20100212,4,4,4,4,1000,0
20100222,4,4.25,4,4.25,500,0
20100223,4,5,4,4.4,600,0
20100225,4,4.25,4,4.25,500,0
20100226,4,4.57,4,4.57,1400,0
20100301,4.063,4.5,3.62,4.5,850,0
20100302,4.1,4.46,4.001,4.4,1350,0
20100303,3.912,4.9,3.55,4.9,1850,0
20100304,4.36,4.83,4.35,4.83,700,0
20100305,4.3,4.9,4.294,4.76,950,0
20100308,4.232,4.57,4.05,4.57,550,0
20100309,4.063,4.9,4.063,4.57,1130,0
20100310,4.063,4.7,4.063,4.7,300,0
20100311,4.18,4.9,4.18,4.9,1058,0
20100312,4.36,4.841,4.356,4.841,178,0
20100315,4.304,4.78,4.1,4.78,500,0
20100316,4.25,4.73,4.1,4.55,1470,0
20100317,4.15,4.6,4.1,4.5,1295,0
20100318,4.1,4.7,4.1,4.7,650,0
20100319,4.18,4.6,4.13,4.6,600,0
20100322,4.13,4.44,4.13,4.44,400,0
20100323,4.13,4.7,4.13,4.7,850,0
20100324,4.2,4.9,4.13,4.9,1000,0
20100325,4.356,4.9,4.28,4.9,1800,0
20100326,4.356,5.3,4.25,5.3,1829,0
20100331,4.99,4.99,4.71,4.71,599,0
20100401,4.5,4.8,4.46,4.8,500,0
20100406,4.46,4.91,4.46,4.8,501,0
20100407,4.46,5.1,4.46,5.1,1500,0
20100408,4.534,5.3,4.46,5.3,450,0
20100409,4.712,4.9,4.65,4.9,400,0
20100414,4.65,4.87,4.65,4.87,550,0
20100415,4.6,5,4.6,5,3500,0
20100416,4.6,5.21,4.6,5.21,1000,0
20100419,4.623,5.4,4.623,5.4,2000,0
20100420,4.712,5,4.5,4.5,2500,0
20100421,4.25,5,4.25,4.55,1650,0
20100422,4.55,5.4,4.55,5.4,2650,0
20100423,4.8,6,4.8,6,3650,0
20100426,5.5,5.66,4.89,5.6,3150,0
20100427,5.032,6.25,5.032,6.25,1500,0
20100428,5.556,6.05,4.94,5.6,1100,0
20100429,5.379,6.1,4.782,6.1,1845,0
20100430,5.423,6.7,5.423,6.7,1350,0
20100503,5.956,6.26,5.295,6.26,200,0
20100504,5.565,6.2,4.948,6.2,200,0
20100505,5.512,6.04,5.33,6.04,500,0
20100506,5.369,5.9,5.3,5.9,800,0
20100507,6.9,6.9,6.13,6.13,175,0
20100510,6.134,6.2,5.453,6.2,900,0
20100511,5.5,6.33,5.5,6.33,200,0
20100512,5.5,6.26,5.5,6,360,0
20100513,6,6,6,6,214,0
20100517,5.55,5.55,4.742,5.27,160,0
20100521,5.33,5.45,5.33,5.45,180,0
20100526,5.35,5.48,5.33,5.48,200,0
20100528,5.5,5.5,5.35,5.35,200,0
20100531,5.3,5.9,5.3,5.9,71,0
20100601,5.3,5.75,4.663,5.75,225,0
20100602,5.37,5.7,4.544,5.4,250,0
20100603,5.068,5.699,5.068,5.699,180,0
20100604,5.067,5.5,4.505,5.5,300,0
20100607,4.89,5.37,4.348,5.25,400,0
20100608,5.37,5.37,4.668,5.35,1300,0
20100609,4.756,5.37,4.228,5.37,1350,0
20100610,5.6,5.66,5.05,5.66,1440,0
20100611,5.05,5.4,5.032,5.4,400,0
20100614,4.8,5.55,4.8,5.55,500,0
20100615,4.934,5.5,4.934,5.5,750,0
20100616,4.9,5.4,4.9,5.4,400,0
20100617,4.9,5.4,4.9,5.4,230,0
20100618,4.9,5.15,4.9,5.15,4950,0
20100622,4.5,5.3,4.5,4.7,1320,0
20100623,4.5,5.2,4.5,4.6,1000,0
20100624,4.5,5.2,4.5,5,1250,0
20100628,4.5,5.5,4.5,5.2,900,0
20100629,5,5.099,4.5,4.5,1020,0
20100630,4.533,5.2,4.5,4.7,4775,0
20100705,4.65,4.65,4.6,4.65,530,0
20100706,4.134,4.66,4.134,4.66,250,0
20100707,4.143,4.9,4.143,4.9,2500,0
20100708,4.6,4.91,4.356,4.91,250,0
20100709,4.6,5.05,4.365,5.05,2300,0
20100712,4.49,4.99,4.49,4.99,200,0
20100713,4.436,5.04,4.436,4.6,275,0
20100714,4.48,4.89,4.48,4.89,400,0
20100715,4.348,4.968,4.348,4.6,380,0
20100716,4.416,4.945,4.416,4.945,717,0
20100719,4.396,4.77,4.2,4.2,600,0
20100720,4.241,4.713,4.241,4.713,230,0
20100721,4.19,4.655,4.19,4.655,500,0
20100722,4.139,4.656,3.68,4.656,500,0
20100723,4.139,4.655,4,4.655,2100,0
20100726,4.139,5.049,3.68,5.049,1875,0
20100727,4.445,5.05,3.95,4.999,998,0
20100728,4.444,4.97,3.95,4.97,300,0
20100729,4.419,4.998,4.419,4.44,350,0
20100730,4.444,5.049,3.95,5.049,5010,0
20100802,4.489,5,3.99,5,300,0
20100803,4.445,5.05,4.445,5,300,0
20100805,4.56,5,4.44,4.78,695,0
20100806,4.25,4.99,4,4.99,1600,0
20100810,4.25,4.9,4.25,4.9,300,0
20100811,4.6,5.1,4.25,5.1,1100,0
20100812,4.6,5.1,4.6,4.6,5000,0
20100813,4.61,5,4.6,5,1000,0
20100816,5,5.05,4.6,5.05,1000,0
20100819,4.95,5.05,4.95,5.05,1000,0
20100823,5.02,5.04,5.02,5.02,160,0
20100824,5.04,5.04,5.02,5.02,140,0
20100825,5.04,5.07,5.02,5.07,500,0
20100826,5.02,5.07,5.02,5.04,500,0
20100827,5,5.07,5,5.07,500,0
20100830,5,5.1,5,5.1,1000,0
20100831,5.04,5.09,5.04,5.09,350,0
20100901,5,5.09,5,5.09,150,0
20100920,5.07,5.08,5.07,5.08,1000,0
20100922,5.05,5.08,5.05,5.08,1000,0
20101007,4.94,4.99,4.44,4.99,10,0
20101011,4.98,5,4.75,5,1010,0
20101013,4.75,5.1,4.75,5.1,1800,0
20101015,5.08,5.081,5.07,5.081,50,0
20101019,5.07,5.1,5.07,5.1,1500,0
20101020,5.07,5.1,5.07,5.1,800,0
20101021,5.07,5.09,5.07,5.09,2000,0
20101022,5.08,5.17,5.08,5.17,10620,0
20101025,5.09,5.11,5.07,5.11,2000,0
20101026,5.08,5.1,5.07,5.1,8413,0
20101027,5.07,5.89,5.07,5.89,200,0
20101028,5.95,5.95,5.5,5.65,1152,0
20101102,5.75,6.1,5.57,6.1,300,0
20101103,5.55,5.57,5.55,5.57,200,0
20101104,5.55,5.88,5.55,5.88,200,0
20101105,5.55,6,5.55,6,500,0
20101112,6,6,5.99,5.99,1100,0
20101115,5.88,6,5.88,5.88,150,0
20101116,6,6,5.57,5.8,225,0
20101118,6,6,5.69,5.8,775,0
20101119,5.75,6,5.75,5.75,100,0
20101122,5.9,5.9,5.84,5.84,400,0
20101123,5.66,5.9,5.66,5.85,550,0
20101124,6,6,5.66,5.88,2875,0
20101125,6,6,5.88,5.89,50,0
20101130,5.88,6,5.88,5.91,1000,0
20101202,5.91,6.02,5.91,6.01,207,0
20101203,5.91,6.03,5.91,6,477,0
20101208,5.95,6.03,5.95,5.95,220,0
20101209,5.91,6,5.91,6,2001,0
20101210,6.03,6.03,6,6,1659,0
20101215,6.03,6.03,5.91,6,500,0
20101216,6.03,6.03,5.91,6.01,691,0
20101222,6.03,6.03,5.95,6.01,86,0
20101227,5.91,6.03,5.91,5.96,2,0
20110104,5.95,6.11,5.95,6.11,725,0
20110107,6.04,6.11,6.04,6.11,800,0
20110113,6.03,6.09,6.03,6.08,4176,0
20110114,6.07,6.25,5.85,6.2,2305,0
20110118,6.16,6.2,6.12,6.15,565,0
20110125,6.07,6.15,6.04,6.04,710,0
20110126,6.1,6.15,6.04,6.15,249,0
20110203,6.05,6.05,6.03,6.03,601,0
20110204,5.85,6.05,5.771,5.771,630,0
20110207,5.9,6.15,5.6,5.6,1447,0
20110209,5.357,5.8,5.357,5.6,6650,0
20110210,5.477,5.8,5.477,5.598,300,0
20110214,5.356,5.8,5.356,5.6,260,0
20110301,5.57,5.6,5.4,5.6,440,0
20110307,5.361,5.6,5.244,5.6,300,0
20110314,5.4,5.6,5.01,5.6,400,0
20110321,5.24,5.6,5.24,5.6,4500,0
20110324,5.4,5.55,5.4,5.55,2000,0
20110325,5.4,5.6,5.4,5.6,3560,0
20110328,5.477,5.6,5.4,5.6,5600,0
20110329,5.477,5.6,5.4,5.6,7000,0
20110330,5.4,5.6,5.4,5.6,8700,0
20110331,5.4,5.6,5.4,5.6,1706,0
20110401,5.4,5.6,5.4,5.6,360,0
20110412,5.58,5.6,5.4,5.59,1005,0
20110413,5.58,5.64,5.4,5.64,5937,0
20110415,5.64,5.65,5.4,5.65,500,0
20110418,5.64,5.85,5.4,5.85,8498,0
20110421,5.9,6.47,5.4,6.47,836,0
20110426,6.6,6.6,5.4,6.3,1100,0
20110427,5.4,6.298,5.4,6.298,135,0
20110429,5.4,6.7,5.4,6.7,800,0
20110502,5.4,6.6,5.4,6.6,700,0
20110503,5.4,7.25,5.4,7.25,250,0
20110504,6.9,7.367,6.9,7.367,150,0
20110505,7.206,7.35,6.5,6.5,1001,0
20110506,6.456,7.25,6.456,6.746,200,0
20110509,6.7,7.25,6.7,6.73,309,0
20110510,6.7,7.25,6.7,6.71,5,0
20110511,7.25,7.25,6.7,6.7,605,0
